<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEAD.DE,D,20191206,000000,11.9,11.9,11.9,11.9,0,0
SEAD.DE,D,20191209,000000,11.94,11.94,11.94,11.94,0,0
SEAD.DE,D,20191210,000000,11.93,11.93,11.93,11.93,0,0
SEAD.DE,D,20191211,000000,11.93,11.94,11.93,11.94,0,0
SEAD.DE,D,20191212,000000,11.97,11.97,11.97,11.97,570000,0
SEAD.DE,D,20191213,000000,11.93,11.94,11.93,11.94,0,0
SEAD.DE,D,20191216,000000,11.91,11.91,11.91,11.91,0,0
SEAD.DE,D,20191217,000000,11.92,11.92,11.92,11.92,0,0
SEAD.DE,D,20191218,000000,11.93,11.93,11.93,11.93,0,0
SEAD.DE,D,20191219,000000,11.92,11.92,11.92,11.92,0,0
SEAD.DE,D,20191220,000000,11.92,12.07,11.92,12.003,160,0
SEAD.DE,D,20191223,000000,12.06,12.06,12.001,12.017,350,0
SEAD.DE,D,20191227,000000,12.023,12.023,12.023,12.023,0,0
SEAD.DE,D,20191230,000000,12.047,12.053,12.047,12.053,0,0
SEAD.DE,D,20200102,000000,12.051,12.06,12.039,12.049,375,0
SEAD.DE,D,20200103,000000,12.048,12.048,12.047,12.047,0,0
SEAD.DE,D,20200106,000000,12.049,12.049,12.032,12.032,0,0
SEAD.DE,D,20200107,000000,12.049,12.05,12.0185,12.05,190000,0
SEAD.DE,D,20200108,000000,12.05,12.06,12.037,12.037,190000,0
SEAD.DE,D,20200109,000000,12.04,12.0635,12.035,12.035,0,0
SEAD.DE,D,20200110,000000,12.064,12.079,12.048,12.079,0,0
SEAD.DE,D,20200113,000000,12.076,12.084,12.066,12.066,0,0
SEAD.DE,D,20200114,000000,12.089,12.1065,12.083,12.1065,0,0
SEAD.DE,D,20200115,000000,12.1205,12.1205,12.099,12.1135,0,0
SEAD.DE,D,20200116,000000,12.143,12.143,12.12,12.131,3438,0
SEAD.DE,D,20200117,000000,12.11,12.11,12.094,12.094,0,0
SEAD.DE,D,20200120,000000,12.1,12.1,12.085,12.085,0,0
SEAD.DE,D,20200121,000000,12.123,12.125,12.0995,12.125,0,0
SEAD.DE,D,20200122,000000,12.104,12.104,12.087,12.087,0,0
SEAD.DE,D,20200123,000000,12.089,12.1005,12.089,12.096,0,0
SEAD.DE,D,20200124,000000,12.096,12.096,12.075,12.075,0,0
SEAD.DE,D,20200127,000000,12.078,12.078,12.066,12.066,0,0
SEAD.DE,D,20200128,000000,12.011077,12.028995,12.011077,12.028995,0,0
SEAD.DE,D,20200129,000000,12.025014,12.028995,12.021032,12.021032,0,0
SEAD.DE,D,20200130,000000,12.033973,12.033973,12.020036,12.020036,0,0
SEAD.DE,D,20200131,000000,12.019041,12.028498,12.019041,12.028,0,0
SEAD.DE,D,20200203,000000,12.06,12.06,12.0535,12.057,0,0
SEAD.DE,D,20200204,000000,12.056,12.059,12.056,12.057,0,0
SEAD.DE,D,20200205,000000,12.0515,12.068,12.0515,12.068,0,0
SEAD.DE,D,20200206,000000,12.071,12.091,12.071,12.091,0,0
SEAD.DE,D,20200207,000000,12.07,12.089,12.07,12.088,0,0
SEAD.DE,D,20200210,000000,12.07,12.081,12.069,12.069,0,0
SEAD.DE,D,20200211,000000,12.069,12.093,12.069,12.093,0,0
SEAD.DE,D,20200212,000000,12.065,12.07,12.0635,12.07,0,0
SEAD.DE,D,20200213,000000,12.0635,12.065,12.0635,12.065,0,0
SEAD.DE,D,20200214,000000,12.062,12.08,12.057,12.08,0,0
SEAD.DE,D,20200217,000000,12.1035,12.1035,12.044,12.08,1154,0
SEAD.DE,D,20200218,000000,12.073,12.0835,12.073,12.075,0,0
SEAD.DE,D,20200219,000000,12.084,12.084,12.0825,12.083,0,0
SEAD.DE,D,20200220,000000,12.076,12.088,12.076,12.088,0,0
SEAD.DE,D,20200221,000000,12.069,12.096,12.069,12.096,0,0
SEAD.DE,D,20200224,000000,12.069,12.079,12.066,12.079,0,0
SEAD.DE,D,20200225,000000,12.056,12.056,12.053,12.053,0,0
SEAD.DE,D,20200226,000000,12.018,12.023,12.001,12.023,0,0
SEAD.DE,D,20200227,000000,11.997,12.013,11.997,12.013,0,0
SEAD.DE,D,20200302,000000,11.891,11.917,11.891,11.917,0,0
SEAD.DE,D,20200303,000000,11.9365,11.9365,11.9365,11.9365,0,0
SEAD.DE,D,20200304,000000,11.9695,12.03,11.9695,11.984,160,0
SEAD.DE,D,20200305,000000,12.015,12.015,11.958,11.958,0,0
SEAD.DE,D,20200306,000000,11.964,11.964,11.906,11.906,0,0
SEAD.DE,D,20200311,000000,11.754,11.754,11.567,11.567,100,0
SEAD.DE,D,20200317,000000,11.123,11.123,11.092,11.092,0,0
SEAD.DE,D,20200323,000000,10.512,10.512,10.46,10.46,0,0
SEAD.DE,D,20200324,000000,10.519,10.549,10.519,10.549,0,0
SEAD.DE,D,20200325,000000,10.737,10.737,10.737,10.737,0,0
SEAD.DE,D,20200326,000000,10.713,10.713,10.713,10.713,0,0
SEAD.DE,D,20200327,000000,10.698,10.701,10.658,10.658,0,0
SEAD.DE,D,20200330,000000,10.654,10.733,10.654,10.725,0,0
SEAD.DE,D,20200331,000000,10.738,10.773,10.738,10.773,0,0
SEAD.DE,D,20200401,000000,10.554,10.554,10.554,10.554,0,0
SEAD.DE,D,20200402,000000,10.667,10.667,10.665,10.665,0,0
SEAD.DE,D,20200403,000000,10.666,10.711,10.666,10.711,0,0
SEAD.DE,D,20200406,000000,10.73,10.739,10.727,10.727,0,0
SEAD.DE,D,20200407,000000,10.728,10.852,10.728,10.852,0,0
SEAD.DE,D,20200408,000000,10.795,10.797,10.792,10.792,0,0
SEAD.DE,D,20200409,000000,10.801,10.881,10.801,10.881,0,0
SEAD.DE,D,20200414,000000,10.974,10.974,10.921,10.94,0,0
SEAD.DE,D,20200415,000000,11.02,11.02,10.934,10.934,0,0
SEAD.DE,D,20200416,000000,10.952,10.977,10.952,10.957,0,0
SEAD.DE,D,20200417,000000,10.999,11.002,10.942,10.942,0,0
SEAD.DE,D,20200420,000000,10.975,10.975,10.965,10.971,0,0
SEAD.DE,D,20200421,000000,10.959,10.959,10.898,10.913,0,0
SEAD.DE,D,20200422,000000,10.907,10.907,10.898,10.906,0,0
SEAD.DE,D,20200423,000000,10.911,10.968,10.911,10.968,0,0
SEAD.DE,D,20200424,000000,10.969,10.969,10.9,10.9,0,0
SEAD.DE,D,20200427,000000,10.893,10.951,10.893,10.942,0,0
SEAD.DE,D,20200428,000000,10.953,10.953,10.948,10.951,0,0
SEAD.DE,D,20200429,000000,10.953,11.076,10.953,11.076,0,0
SEAD.DE,D,20200430,000000,11.051,11.09,11.051,11.09,0,0
SEAD.DE,D,20200504,000000,10.996,11.014,10.996,11.001,0,0
SEAD.DE,D,20200505,000000,11.002,11.084,11.002,11.084,0,0
SEAD.DE,D,20200506,000000,11.082,11.082,11.07,11.07,0,0
SEAD.DE,D,20200507,000000,11.084,11.121,11.084,11.121,0,0
SEAD.DE,D,20200508,000000,11.106,11.16,11.106,11.117,100000,0
SEAD.DE,D,20200511,000000,11.123,11.169,11.123,11.146,0,0
SEAD.DE,D,20200512,000000,11.146,11.216,11.146,11.216,0,0
SEAD.DE,D,20200513,000000,11.205,11.205,11.164,11.164,0,0
SEAD.DE,D,20200514,000000,11.161,11.161,11.136,11.136,0,0
SEAD.DE,D,20200515,000000,11.153,11.215,11.153,11.215,0,0
SEAD.DE,D,20200518,000000,11.209,11.278,11.209,11.278,0,0
