<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIS.DE,D,20201218,000000,40.7,40.9,40.6,40.9,1869,0
SIS.DE,D,20201221,000000,40.6,40.8,40.4,40.5,2689,0
SIS.DE,D,20201222,000000,40.7,40.9,40.4,40.9,1182,0
SIS.DE,D,20201223,000000,40.8,41,40.5,41,3773,0
SIS.DE,D,20201228,000000,40.7,41,40.6,41,1892,0
SIS.DE,D,20201229,000000,40.6,41,40.2,41,6756,0
SIS.DE,D,20201230,000000,41,41,40.4,40.4,2042,0
SIS.DE,D,20210104,000000,40.4,40.8,40.2,40.8,2695,0
SIS.DE,D,20210105,000000,40.5,40.9,40.4,40.9,1337,0
SIS.DE,D,20210106,000000,41,41,41,41,162,0
SIS.DE,D,20210107,000000,40.8,40.9,40.6,40.9,2918,0
SIS.DE,D,20210108,000000,40.7,41,40.7,41,2996,0
SIS.DE,D,20210111,000000,40.5,41,40.5,40.7,3725,0
SIS.DE,D,20210112,000000,40.7,41,40.7,41,2184,0
SIS.DE,D,20210113,000000,41,41,40.7,41,1931,0
SIS.DE,D,20210114,000000,40.8,41,40.7,40.9,2472,0
SIS.DE,D,20210115,000000,40.9,41,40.7,41,3205,0
SIS.DE,D,20210118,000000,41,41,40.7,41,2743,0
SIS.DE,D,20210119,000000,41,41.1,40.7,41,3839,0
SIS.DE,D,20210120,000000,40.8,41,40.8,41,1999,0
SIS.DE,D,20210121,000000,41,41,40.9,41,810,0
SIS.DE,D,20210122,000000,40.8,41,40.8,41,2376,0
SIS.DE,D,20210125,000000,41,41,40.8,41,1477,0
SIS.DE,D,20210126,000000,41,41.8,40.8,41.3,2836,0
SIS.DE,D,20210127,000000,41.1,41.2,40.9,41.2,1674,0
SIS.DE,D,20210128,000000,41,41.2,40.9,41.2,2409,0
SIS.DE,D,20210129,000000,41.1,41.3,40.9,41.2,1640,0
SIS.DE,D,20210201,000000,41,41,40.6,41,2996,0
SIS.DE,D,20210202,000000,41.1,41.1,40.8,41,2441,0
SIS.DE,D,20210203,000000,40.8,41,40.7,41,1084,0
SIS.DE,D,20210204,000000,41,41,40.7,40.7,1545,0
SIS.DE,D,20210205,000000,41,41,41,41,766,0
SIS.DE,D,20210208,000000,40.8,41.1,40.8,40.9,4215,0
SIS.DE,D,20210209,000000,40.8,41,40.8,41,683,0
SIS.DE,D,20210210,000000,40.8,41,40.6,41,5360,0
SIS.DE,D,20210211,000000,40.9,41,40.8,40.9,1518,0
SIS.DE,D,20210212,000000,40.7,41,40.7,41,1667,0
SIS.DE,D,20210215,000000,41,41,40.8,41,1943,0
SIS.DE,D,20210216,000000,41,41.6,40.8,41.6,1397,0
SIS.DE,D,20210217,000000,41,41,40.8,40.9,2456,0
SIS.DE,D,20210218,000000,40.8,40.9,40.8,40.9,1108,0
SIS.DE,D,20210219,000000,41,41.1,40.8,41.1,1873,0
SIS.DE,D,20210222,000000,40.9,41.1,40.8,41.1,2274,0
SIS.DE,D,20210223,000000,40.9,41.1,40.8,41.1,1497,0
SIS.DE,D,20210224,000000,41,41,40.6,40.9,1588,0
SIS.DE,D,20210225,000000,40.7,41,40.6,41,1557,0
SIS.DE,D,20210226,000000,40.8,41,40.7,41,1281,0
SIS.DE,D,20210301,000000,41,41,40.8,40.9,1350,0
SIS.DE,D,20210302,000000,40.9,41,40.7,40.9,2011,0
SIS.DE,D,20210303,000000,40.9,40.9,39.5,40.9,11294,0
SIS.DE,D,20210304,000000,41,41,40.3,40.7,3510,0
SIS.DE,D,20210305,000000,40.6,40.9,40.3,40.6,5171,0
SIS.DE,D,20210308,000000,40.6,40.7,40.6,40.7,1914,0
SIS.DE,D,20210309,000000,40.6,40.6,40.3,40.6,2819,0
SIS.DE,D,20210310,000000,40.4,40.7,40,40.5,4227,0
SIS.DE,D,20210311,000000,40.4,40.5,40,40.4,16223,0
SIS.DE,D,20210312,000000,40.3,40.3,40,40.3,1985,0
SIS.DE,D,20210315,000000,40,40.4,40,40.2,4005,0
SIS.DE,D,20210316,000000,40,40.2,40,40.2,3122,0
SIS.DE,D,20210317,000000,40.1,40.4,39.8,40.2,7743,0
SIS.DE,D,20210318,000000,40,40.1,39.7,40,6453,0
SIS.DE,D,20210319,000000,39.9,40.1,39.9,40.1,1755,0
SIS.DE,D,20210322,000000,40,40.3,40,40.3,5815,0
SIS.DE,D,20210323,000000,40.2,40.2,39.9,40,5942,0
SIS.DE,D,20210324,000000,40,40.2,40,40.2,2761,0
SIS.DE,D,20210325,000000,40,40.2,39.9,40.2,7816,0
SIS.DE,D,20210326,000000,40,40.2,39.9,40.2,13571,0
SIS.DE,D,20210329,000000,40,40.2,39.8,40.2,8180,0
SIS.DE,D,20210330,000000,40.3,40.6,39.9,40.5,1824,0
SIS.DE,D,20210331,000000,40.2,40.6,40.2,40.6,1056,0
SIS.DE,D,20210401,000000,40.7,40.7,40.3,40.6,896,0
SIS.DE,D,20210406,000000,40.3,40.5,40.2,40.5,1430,0
SIS.DE,D,20210407,000000,40.4,41,40.2,41,1989,0
SIS.DE,D,20210408,000000,40.7,40.9,40.4,40.9,4568,0
SIS.DE,D,20210409,000000,41,41.1,40.7,41.1,5326,0
SIS.DE,D,20210412,000000,41,41.3,40.8,41.3,333,0
SIS.DE,D,20210413,000000,41,41.4,41,41.4,1307,0
SIS.DE,D,20210414,000000,41.5,42,41.2,42,1054,0
SIS.DE,D,20210415,000000,42.4,42.4,41.4,42,3118,0
SIS.DE,D,20210416,000000,42.3,42.8,42.2,42.5,1234,0
SIS.DE,D,20210419,000000,42.2,42.5,42.2,42.3,1429,0
SIS.DE,D,20210420,000000,42.5,42.5,41.9,42.5,443,0
SIS.DE,D,20210421,000000,42.2,42.9,42.2,42.9,298,0
SIS.DE,D,20210422,000000,43,43,42.4,43,829,0
SIS.DE,D,20210423,000000,43,43,43,43,0,0
SIS.DE,D,20210426,000000,43,43.4,42.6,42.7,353,0
SIS.DE,D,20210427,000000,42.8,43,41.2,42.9,1531,0
SIS.DE,D,20210428,000000,42.9,42.9,42.9,42.9,184,0
SIS.DE,D,20210429,000000,44.2,45.1,43,44.5,3617,0
SIS.DE,D,20210430,000000,44.5,44.5,43.3,43.9,469,0
SIS.DE,D,20210503,000000,43.9,43.9,42.5,43.2,2030,0
SIS.DE,D,20210504,000000,43.6,43.6,43.6,43.6,146,0
SIS.DE,D,20210505,000000,43.2,43.4,42.8,43.4,1895,0
SIS.DE,D,20210506,000000,43.2,43.6,43.1,43.6,513,0
SIS.DE,D,20210507,000000,43.8,43.8,43.1,43.4,476,0
SIS.DE,D,20210510,000000,42.2,43.3,41.2,43.3,2499,0
SIS.DE,D,20210511,000000,43,43.1,42,43.1,2071,0
SIS.DE,D,20210512,000000,43.8,43.9,42.7,43.5,1048,0
SIS.DE,D,20210513,000000,43.1,43.5,42.6,43.5,1780,0
SIS.DE,D,20210514,000000,43.1,43.2,42.6,43.2,1408,0
