<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLUS.DE,D,20190328,000000,4.402329,4.419346,4.402329,4.418373,0,0
SLUS.DE,D,20190329,000000,4.447544,4.460184,4.447544,4.454836,3842,0
SLUS.DE,D,20190401,000000,4.4913,4.506857,4.490814,4.506857,1983,0
SLUS.DE,D,20190402,000000,4.512205,4.52436,4.512205,4.521443,964,0
SLUS.DE,D,20190403,000000,4.536514,4.544293,4.526304,4.544293,0,0
SLUS.DE,D,20190404,000000,4.527763,4.536028,4.527763,4.533597,0,0
SLUS.DE,D,20190405,000000,4.546724,4.560823,4.546238,4.560823,12626,0
SLUS.DE,D,20190408,000000,4.555475,4.555475,4.534569,4.544293,172,0
SLUS.DE,D,20190409,000000,4.548669,4.548669,4.529708,4.529708,0,0
SLUS.DE,D,20190410,000000,4.529221,4.540404,4.529221,4.540404,0,0
SLUS.DE,D,20190411,000000,4.54721,4.550127,4.546724,4.546724,0,0
SLUS.DE,D,20190412,000000,4.538459,4.546238,4.538459,4.545752,0,0
SLUS.DE,D,20190415,000000,4.554017,4.563254,4.548669,4.548669,89,0
SLUS.DE,D,20190416,000000,4.560337,4.57395,4.560337,4.566657,0,0
SLUS.DE,D,20190417,000000,4.558392,4.562768,4.547696,4.547696,0,0
SLUS.DE,D,20190418,000000,4.531652,4.567629,4.531652,4.567629,0,0
SLUS.DE,D,20190423,000000,4.582701,4.62986,4.58027,4.62986,2004,0
SLUS.DE,D,20190424,000000,4.635694,4.649307,4.635694,4.649307,0,0
SLUS.DE,D,20190425,000000,4.656114,4.663406,4.651252,4.663406,9004,0
SLUS.DE,D,20190426,000000,4.648821,4.655141,4.648821,4.655141,0,0
SLUS.DE,D,20190429,000000,4.668754,4.677019,4.668268,4.675561,20119,0
SLUS.DE,D,20190430,000000,4.6566,4.6566,4.63618,4.63618,0,0
SLUS.DE,D,20190502,000000,4.631319,4.645904,4.618192,4.618192,1611,0
SLUS.DE,D,20190503,000000,4.639097,4.655141,4.639097,4.655141,0,0
