<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPY1.DE,D,20121018,000000,19.64,19.64,19.64,19.64,0,0
SPY1.DE,D,20121019,000000,19.7,19.7,19.65,19.65,400,0
SPY1.DE,D,20121022,000000,19.39,19.39,19.39,19.39,0,0
SPY1.DE,D,20121023,000000,19.34,19.34,19.34,19.34,0,0
SPY1.DE,D,20121024,000000,19.44,19.44,19.44,19.44,0,0
SPY1.DE,D,20121025,000000,19.41,19.41,19.41,19.41,0,0
SPY1.DE,D,20121026,000000,19.44,19.44,19.44,19.44,0,0
SPY1.DE,D,20121029,000000,19.45,19.53,19.45,19.53,150,0
SPY1.DE,D,20121030,000000,19.48,19.48,19.48,19.48,0,0
SPY1.DE,D,20121031,000000,19.45,19.45,19.45,19.45,0,0
SPY1.DE,D,20121101,000000,19.61,19.61,19.61,19.61,0,0
SPY1.DE,D,20121102,000000,19.68,19.75,19.68,19.75,50,0
SPY1.DE,D,20121105,000000,19.66,19.66,19.57,19.57,2080,0
SPY1.DE,D,20121106,000000,19.62,19.62,19.62,19.62,0,0
SPY1.DE,D,20121107,000000,19.63,19.63,19.32,19.32,10000,0
SPY1.DE,D,20121108,000000,19.41,19.41,19.41,19.41,0,0
SPY1.DE,D,20121109,000000,19.35,19.35,19.35,19.35,0,0
SPY1.DE,D,20121112,000000,19.36,19.36,19.27,19.27,100,0
SPY1.DE,D,20121113,000000,19.47,19.47,19.42,19.42,150,0
SPY1.DE,D,20121114,000000,19.18,19.18,19.18,19.18,0,0
SPY1.DE,D,20121115,000000,18.94,18.94,18.94,18.94,0,0
SPY1.DE,D,20121116,000000,19.08,19.08,19.08,19.08,0,0
SPY1.DE,D,20121119,000000,19.27,19.27,19.22,19.22,600,0
SPY1.DE,D,20121120,000000,19.2,19.22,19.2,19.22,5000,0
SPY1.DE,D,20121121,000000,19.21,19.21,19.21,19.21,0,0
SPY1.DE,D,20121122,000000,19.27,19.27,19.17,19.17,100,0
SPY1.DE,D,20121123,000000,19.11,19.11,19.11,19.11,0,0
SPY1.DE,D,20121126,000000,19.08,19.14,19.08,19.14,5000,0
SPY1.DE,D,20121127,000000,19.23,19.23,19.23,19.23,0,0
SPY1.DE,D,20121128,000000,19.23,19.23,19.23,19.23,0,0
SPY1.DE,D,20121129,000000,19.36,19.36,19.3,19.3,100,0
SPY1.DE,D,20121130,000000,19.29,19.29,19.29,19.29,0,0
SPY1.DE,D,20121203,000000,19.25,19.25,19.25,19.25,0,0
SPY1.DE,D,20121204,000000,19.2,19.2,19.2,19.2,10000,0
SPY1.DE,D,20121205,000000,19.24,19.24,19.24,19.24,0,0
SPY1.DE,D,20121206,000000,19.46,19.46,19.46,19.46,0,0
SPY1.DE,D,20121207,000000,19.5,19.5,19.5,19.5,0,0
SPY1.DE,D,20121210,000000,19.58,19.58,19.58,19.58,0,0
SPY1.DE,D,20121211,000000,19.58,19.58,19.58,19.58,0,0
SPY1.DE,D,20121212,000000,19.6,19.6,19.47,19.47,75,0
SPY1.DE,D,20121213,000000,19.32,19.32,19.32,19.32,0,0
SPY1.DE,D,20121214,000000,19.15,19.15,19.15,19.15,0,0
SPY1.DE,D,20121217,000000,19.21,19.21,19.21,19.21,0,0
