<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPYA.DE,D,20110719,000000,35.34,35.34,35.34,35.34,0,0
SPYA.DE,D,20110720,000000,35.61,35.61,35.61,35.61,0,0
SPYA.DE,D,20110721,000000,35.26,35.26,35.26,35.26,0,0
SPYA.DE,D,20110722,000000,35.45,35.45,35.45,35.45,0,0
SPYA.DE,D,20110725,000000,35.31,35.31,35.31,35.31,0,0
SPYA.DE,D,20110726,000000,35.19,35.19,35.19,35.19,0,0
SPYA.DE,D,20110727,000000,35.24,35.24,35.24,35.24,0,0
SPYA.DE,D,20110728,000000,35.51,35.51,35.51,35.51,0,0
SPYA.DE,D,20110729,000000,35.27,35.27,35,35,13320,0
SPYA.DE,D,20110801,000000,35.34,35.34,35.34,35.34,0,0
SPYA.DE,D,20110802,000000,35.06,35.06,35.06,35.06,0,0
SPYA.DE,D,20110804,000000,33.99,33.99,33.99,33.99,300,0
SPYA.DE,D,20110805,000000,32.22,32.22,32.22,32.22,5200,0
SPYA.DE,D,20110809,000000,30.74,30.74,30.74,30.74,0,0
SPYA.DE,D,20110810,000000,30.74,30.74,30.74,30.74,0,0
SPYA.DE,D,20110811,000000,30.97,30.97,30.97,30.97,0,0
SPYA.DE,D,20110812,000000,31.22,31.22,31.2,31.2,200,0
SPYA.DE,D,20110815,000000,31.25,31.25,31.25,31.25,0,0
SPYA.DE,D,20110816,000000,31.4,31.4,31.4,31.4,0,0
SPYA.DE,D,20110817,000000,31.37,31.37,31.37,31.37,0,0
SPYA.DE,D,20110818,000000,31.15,31.15,31.15,31.15,2700,0
SPYA.DE,D,20110822,000000,29.38,29.38,29.38,29.38,0,0
SPYA.DE,D,20110824,000000,29.91,29.91,29.91,29.91,0,0
SPYA.DE,D,20110826,000000,30.13,30.13,30.13,30.13,0,0
SPYA.DE,D,20110901,000000,31.82,31.82,31.82,31.82,0,0
SPYA.DE,D,20110902,000000,31.3,31.3,31.3,31.3,0,0
SPYA.DE,D,20110906,000000,30.9,30.9,30.9,30.9,0,0
SPYA.DE,D,20110912,000000,31.08,31.08,31.08,31.08,0,0
SPYA.DE,D,20110913,000000,30.96,30.96,30.96,30.96,0,0
SPYA.DE,D,20110914,000000,30.56,30.6,30.56,30.6,12000,0
