<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRT.DE,D,20070102,000000,8.256624,8.256624,7.943081,8.026693,586,0
SRT.DE,D,20070103,000000,8.256624,8.29843,7.754956,7.754956,280,0
SRT.DE,D,20070104,000000,8.15211,8.256624,7.838567,8.120755,1304,0
SRT.DE,D,20070105,000000,8.15211,8.15211,7.842748,7.943081,2945,0
SRT.DE,D,20070108,000000,7.943081,7.943081,7.734053,7.744504,200,0
SRT.DE,D,20070109,000000,8.256624,8.361138,7.86156,8.214818,1480,0
SRT.DE,D,20070110,000000,8.214818,8.256624,8.047595,8.235721,3649,0
SRT.DE,D,20070115,000000,8.313062,8.313062,8.15211,8.15211,701,0
SRT.DE,D,20070116,000000,7.989067,8.047595,7.85738,7.85947,1324,0
SRT.DE,D,20070117,000000,7.922178,7.922178,7.834386,7.834386,796,0
SRT.DE,D,20070118,000000,7.943081,7.943081,7.880373,7.880373,200,0
SRT.DE,D,20070119,000000,7.761226,7.807213,7.736143,7.807213,307,0
SRT.DE,D,20070122,000000,7.734053,8.00579,7.734053,7.901276,848,0
SRT.DE,D,20070123,000000,7.901276,7.901276,7.890824,7.890824,430,0
SRT.DE,D,20070124,000000,7.6379,7.838567,7.6379,7.754956,186,0
SRT.DE,D,20070125,000000,7.754956,8.00579,7.631629,8.00579,3193,0
SRT.DE,D,20070126,000000,8.099853,8.150019,7.840657,8.068498,993,0
SRT.DE,D,20070129,000000,7.943081,7.993248,7.838567,7.943081,1570,0
SRT.DE,D,20070130,000000,7.943081,7.943081,7.943081,7.943081,520,0
SRT.DE,D,20070131,000000,7.943081,7.943081,7.943081,7.943081,980,0
SRT.DE,D,20070201,000000,7.840657,7.840657,7.838567,7.838567,172,0
SRT.DE,D,20070202,000000,7.838567,7.943081,7.838567,7.943081,495,0
SRT.DE,D,20070205,000000,8.189735,8.189735,7.796761,8.026693,5576,0
SRT.DE,D,20070206,000000,7.984887,8.110304,7.984887,8.030873,807,0
SRT.DE,D,20070207,000000,8.15211,8.15211,7.943081,8.120755,1391,0
SRT.DE,D,20070208,000000,8.07895,8.127026,7.963984,8.045505,7878,0
SRT.DE,D,20070209,000000,8.066408,8.158381,8.045505,8.051776,12607,0
SRT.DE,D,20070212,000000,8.068498,8.241992,7.995338,8.099853,4438,0
SRT.DE,D,20070213,000000,8.254534,8.463562,8.214818,8.264985,9944,0
SRT.DE,D,20070214,000000,8.400854,8.442659,8.308881,8.310971,2045,0
SRT.DE,D,20070215,000000,8.361138,8.361138,8.099853,8.287978,4374,0
SRT.DE,D,20070216,000000,8.214818,8.444749,8.214818,8.277527,3634,0
SRT.DE,D,20070219,000000,8.256624,8.444749,8.256624,8.287978,1460,0
SRT.DE,D,20070220,000000,8.438479,8.672591,8.361138,8.52,10605,0
SRT.DE,D,20070221,000000,8.478194,8.545083,8.361138,8.459381,4931,0
SRT.DE,D,20070222,000000,8.37159,9.266231,8.37159,9.134543,13353,0
SRT.DE,D,20070226,000000,9.301766,9.301766,8.779195,8.779195,3542,0
SRT.DE,D,20070227,000000,8.695584,8.726938,8.507458,8.570167,6520,0
SRT.DE,D,20070228,000000,8.361138,8.528361,8.277527,8.528361,5473,0
SRT.DE,D,20070301,000000,8.570167,8.622424,8.488645,8.570167,1287,0
SRT.DE,D,20070302,000000,8.758292,8.772924,8.570167,8.676771,1124,0
SRT.DE,D,20070305,000000,8.545083,8.852355,8.413395,8.649597,10047,0
SRT.DE,D,20070306,000000,8.737389,8.737389,8.611972,8.735299,2613,0
SRT.DE,D,20070307,000000,8.603611,8.756202,8.603611,8.756202,1296,0
SRT.DE,D,20070308,000000,8.624514,8.873258,8.624514,8.860716,1348,0
SRT.DE,D,20070309,000000,8.860716,8.946418,8.718577,8.942237,10756,0
SRT.DE,D,20070312,000000,8.923425,8.923425,8.902522,8.902522,578,0
SRT.DE,D,20070313,000000,8.923425,8.923425,8.800098,8.800098,300,0
SRT.DE,D,20070314,000000,8.674681,8.877438,8.674681,8.737389,1332,0
SRT.DE,D,20070315,000000,8.779195,8.923425,8.779195,8.923425,313,0
SRT.DE,D,20070316,000000,8.925515,8.977772,8.821001,8.977772,1146,0
SRT.DE,D,20070319,000000,8.988223,8.988223,8.946418,8.988223,3352,0
SRT.DE,D,20070320,000000,8.988223,8.988223,8.946418,8.988223,1005,0
SRT.DE,D,20070321,000000,8.8858,8.988223,8.883709,8.883709,760,0
SRT.DE,D,20070322,000000,8.883709,8.986133,8.883709,8.8858,396,0
SRT.DE,D,20070323,000000,8.88789,8.986133,8.8858,8.8858,2358,0
SRT.DE,D,20070326,000000,8.988223,9.046751,8.988223,9.040481,520,0
SRT.DE,D,20070327,000000,9.092738,9.092738,9.030029,9.071835,646,0
SRT.DE,D,20070328,000000,8.8858,8.8858,8.883709,8.883709,445,0
SRT.DE,D,20070329,000000,8.88789,8.88789,8.8858,8.8858,1012,0
SRT.DE,D,20070330,000000,8.988223,9.301766,8.988223,9.199342,1516,0
SRT.DE,D,20070402,000000,9.019578,9.301766,9.019578,9.115731,1136,0
SRT.DE,D,20070403,000000,9.280863,9.280863,9.197252,9.197252,254,0
SRT.DE,D,20070404,000000,9.197252,9.40419,9.197252,9.197252,5385,0
SRT.DE,D,20070405,000000,9.232787,9.349843,9.197252,9.297586,11735,0
SRT.DE,D,20070410,000000,9.40628,9.40628,8.988223,9.310127,3228,0
SRT.DE,D,20070411,000000,9.170078,9.33312,8.950598,9.090647,2492,0
SRT.DE,D,20070412,000000,9.144995,9.144995,9.019578,9.019578,3290,0
SRT.DE,D,20070413,000000,9.088557,9.090647,9.088557,9.090647,500,0
SRT.DE,D,20070416,000000,9.165898,9.165898,9.144995,9.165898,515,0
SRT.DE,D,20070417,000000,9.197252,9.239058,9.197252,9.197252,1185,0
SRT.DE,D,20070418,000000,9.322669,9.4021,9.117821,9.186801,4143,0
SRT.DE,D,20070419,000000,9.197252,9.197252,8.737389,8.737389,3333,0
SRT.DE,D,20070420,000000,8.779195,8.986133,8.779195,8.986133,930,0
SRT.DE,D,20070423,000000,8.946418,8.946418,8.361138,8.591069,7234,0
SRT.DE,D,20070424,000000,8.570167,8.747841,8.402944,8.402944,9100,0
SRT.DE,D,20070425,000000,8.382041,8.685132,8.379951,8.570167,4747,0
SRT.DE,D,20070426,000000,8.883709,8.883709,8.549264,8.570167,1901,0
SRT.DE,D,20070427,000000,8.726938,8.779195,8.570167,8.779195,4035,0
SRT.DE,D,20070430,000000,8.868302,9.122895,8.868302,9.016815,4885,0
SRT.DE,D,20070502,000000,9.228975,9.228975,8.912856,9.016815,1020,0
SRT.DE,D,20070503,000000,8.910734,9.006207,8.910734,9.001963,1650,0
SRT.DE,D,20070504,000000,8.948923,9.016815,8.948923,9.016815,1414,0
SRT.DE,D,20070507,000000,9.186543,9.207759,9.059247,9.120773,4651,0
SRT.DE,D,20070508,000000,9.016815,9.120773,8.910734,8.953167,9214,0
SRT.DE,D,20070509,000000,8.857694,9.080463,8.857694,9.067733,2188,0
SRT.DE,D,20070510,000000,8.93195,8.93195,8.910734,8.910734,680,0
SRT.DE,D,20070511,000000,8.806776,8.974383,8.698574,8.721912,1701,0
