<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRT3.DE,D,20070102,000000,6.554196,6.642767,6.491795,6.542119,15154,0
SRT3.DE,D,20070103,000000,6.542119,6.602507,6.501859,6.552183,11349,0
SRT3.DE,D,20070104,000000,6.475691,6.521989,6.189851,6.340823,46791,0
SRT3.DE,D,20070105,000000,6.455561,6.602507,6.455561,6.582378,17493,0
SRT3.DE,D,20070108,000000,6.505885,6.592443,6.340823,6.501859,13331,0
SRT3.DE,D,20070109,000000,6.620624,6.620624,6.441471,6.612572,6890,0
SRT3.DE,D,20070110,000000,6.612572,6.642767,6.592443,6.642767,7750,0
SRT3.DE,D,20070115,000000,6.564261,6.642767,6.564261,6.594455,3157,0
SRT3.DE,D,20070116,000000,6.642767,6.642767,6.602507,6.614585,5077,0
SRT3.DE,D,20070117,000000,6.614585,6.642767,6.614585,6.626663,13853,0
SRT3.DE,D,20070118,000000,6.626663,6.703155,6.622637,6.642767,35484,0
SRT3.DE,D,20070119,000000,6.642767,6.803803,6.642767,6.743415,39905,0
SRT3.DE,D,20070122,000000,6.783674,7.045358,6.711207,6.995034,8945,0
SRT3.DE,D,20070123,000000,6.98497,6.98497,6.844062,6.884322,3767,0
SRT3.DE,D,20070124,000000,6.884322,6.924581,6.884322,6.894386,4730,0
SRT3.DE,D,20070125,000000,6.995034,7.296978,6.793738,7.296978,13932,0
SRT3.DE,D,20070126,000000,7.260745,7.294965,7.166136,7.246654,418,0
SRT3.DE,D,20070129,000000,7.160097,7.224512,7.146006,7.16211,2497,0
SRT3.DE,D,20070130,000000,7.146006,7.296978,7.146006,7.226525,2571,0
SRT3.DE,D,20070131,000000,7.294965,7.345289,7.154058,7.190292,6203,0
SRT3.DE,D,20070201,000000,7.190292,7.381523,7.190292,7.343276,4024,0
SRT3.DE,D,20070202,000000,7.437886,7.437886,7.30503,7.391587,1192,0
SRT3.DE,D,20070205,000000,7.391587,7.727752,7.391587,7.697557,95441,0
SRT3.DE,D,20070206,000000,7.604961,7.669376,7.568728,7.669376,2992,0
SRT3.DE,D,20070207,000000,7.709635,7.755933,7.649246,7.723726,9057,0
SRT3.DE,D,20070208,000000,7.729765,7.838465,7.679441,7.69957,15766,0
SRT3.DE,D,20070209,000000,7.671389,7.850542,7.671389,7.768011,14848,0
SRT3.DE,D,20070212,000000,7.751907,7.850542,7.751907,7.840477,15602,0
SRT3.DE,D,20070213,000000,7.830413,8.118266,7.830413,8.049825,61638,0
SRT3.DE,D,20070214,000000,8.051838,8.092097,8.031709,8.069955,16949,0
SRT3.DE,D,20070215,000000,8.078007,8.08002,8.051838,8.053851,20723,0
SRT3.DE,D,20070216,000000,8.069955,8.138395,8.053851,8.061903,4659,0
