<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ST5.DE,D,20070625,000000,15.021397,15.772467,15.021397,15.455348,506734,0
ST5.DE,D,20070628,000000,15.34686,15.355206,15.188301,15.188301,36092,0
ST5.DE,D,20070629,000000,15.355206,15.605562,15.163266,15.230027,21436,0
ST5.DE,D,20070702,000000,15.605562,15.689014,15.271753,15.689014,18177,0
ST5.DE,D,20070703,000000,15.689014,16.239799,15.438658,15.647288,28548,0
ST5.DE,D,20070704,000000,15.855919,16.014478,15.689014,15.872609,9143,0
ST5.DE,D,20070705,000000,15.855919,15.922681,15.814193,15.855919,47682,0
ST5.DE,D,20070706,000000,15.855919,15.981097,15.855919,15.939371,11844,0
ST5.DE,D,20070709,000000,15.939371,15.981097,15.772467,15.864264,6348,0
ST5.DE,D,20070710,000000,15.981097,16.022823,15.981097,15.997788,8047,0
ST5.DE,D,20070711,000000,15.663979,15.855919,15.630598,15.69736,8397,0
ST5.DE,D,20070712,000000,15.69736,15.880955,15.622253,15.855919,28797,0
ST5.DE,D,20070713,000000,15.855919,15.880955,15.855919,15.855919,29085,0
ST5.DE,D,20070716,000000,15.814193,15.855919,15.780812,15.780812,3507,0
ST5.DE,D,20070717,000000,15.780812,15.855919,15.438658,15.855919,2945,0
ST5.DE,D,20070718,000000,15.855919,15.855919,15.772467,15.855919,4848,0
ST5.DE,D,20070719,000000,15.90599,15.90599,15.705705,15.855919,1660,0
ST5.DE,D,20070720,000000,15.772467,15.855919,15.063123,15.438658,6520,0
ST5.DE,D,20070723,000000,15.689014,15.689014,15.52211,15.680669,1458,0
ST5.DE,D,20070724,000000,15.680669,15.680669,15.613907,15.613907,1567,0
ST5.DE,D,20070725,000000,15.447003,15.52211,15.447003,15.52211,1543,0
ST5.DE,D,20070726,000000,15.647288,15.855919,15.52211,15.52211,1950,0
ST5.DE,D,20070727,000000,15.52211,15.855919,15.438658,15.438658,2867,0
ST5.DE,D,20070730,000000,15.563836,15.897645,15.563836,15.855919,10774,0
ST5.DE,D,20070731,000000,15.855919,15.8893,15.438658,15.597217,10877,0
ST5.DE,D,20070801,000000,15.638943,15.638943,15.605562,15.605562,789,0
ST5.DE,D,20070802,000000,15.605562,15.880955,15.605562,15.880955,4918,0
ST5.DE,D,20070803,000000,15.855919,15.855919,15.647288,15.847574,1359,0
ST5.DE,D,20070806,000000,15.480384,15.764121,15.104849,15.438658,4407,0
ST5.DE,D,20070807,000000,15.204992,15.563836,15.204992,15.288444,2327,0
ST5.DE,D,20070808,000000,15.563836,15.563836,15.438658,15.438658,575,0
ST5.DE,D,20070809,000000,15.271753,15.447003,15.271753,15.271753,21043,0
ST5.DE,D,20070810,000000,15.438658,15.855919,15.104849,15.855919,26942,0
ST5.DE,D,20070813,000000,15.447003,15.563836,15.405277,15.52211,10520,0
ST5.DE,D,20070814,000000,15.438658,15.805848,15.305134,15.305134,17255,0
ST5.DE,D,20070815,000000,15.605562,15.764121,15.355206,15.355206,1311,0
ST5.DE,D,20070816,000000,15.31348,15.31348,15.088159,15.088159,11885,0
ST5.DE,D,20070817,000000,15.021397,15.021397,15.021397,15.021397,18449,0
ST5.DE,D,20070820,000000,15.021397,15.104849,15.004706,15.104849,11695,0
ST5.DE,D,20070821,000000,15.230027,15.31348,15.188301,15.188301,15450,0
ST5.DE,D,20070822,000000,15.430313,15.430313,15.104849,15.188301,1408,0
ST5.DE,D,20070823,000000,15.188301,15.230027,14.437231,14.687588,7662,0
ST5.DE,D,20070824,000000,14.654207,15.021397,14.654207,15.021397,1959,0
ST5.DE,D,20070827,000000,15.021397,15.129885,15.021397,15.129885,550,0
ST5.DE,D,20070828,000000,15.188301,15.188301,15.046432,15.046432,475,0
ST5.DE,D,20070829,000000,15.021397,15.021397,15.021397,15.021397,32,0
ST5.DE,D,20070830,000000,15.188301,15.355206,15.188301,15.355206,30,0
ST5.DE,D,20070831,000000,15.021397,15.021397,15.021397,15.021397,20,0
ST5.DE,D,20070903,000000,15.355206,15.655634,15.355206,15.438658,273,0
ST5.DE,D,20070904,000000,15.421967,15.421967,15.021397,15.421967,18,0
ST5.DE,D,20070905,000000,15.563836,15.563836,15.021397,15.021397,67,0
ST5.DE,D,20070906,000000,15.021397,15.021397,15.021397,15.021397,50,0
ST5.DE,D,20070907,000000,15.021397,15.021397,15.021397,15.021397,72,0
ST5.DE,D,20070910,000000,15.455348,15.455348,15.188301,15.188301,7164,0
ST5.DE,D,20070911,000000,15.121539,15.271753,15.104849,15.271753,7186,0
ST5.DE,D,20070912,000000,15.029742,15.271753,15.029742,15.271753,1,0
ST5.DE,D,20070913,000000,15.029742,15.029742,14.837802,14.837802,500,0
ST5.DE,D,20070914,000000,14.503993,14.503993,14.061696,14.061696,27317,0
ST5.DE,D,20070917,000000,14.103423,14.353779,14.103423,14.312053,11397,0
ST5.DE,D,20070918,000000,14.312053,14.312053,14.312053,14.312053,500,0
ST5.DE,D,20070919,000000,14.353779,14.395505,14.01997,14.01997,1414,0
ST5.DE,D,20070920,000000,14.228601,14.270327,14.228601,14.270327,200,0
ST5.DE,D,20070921,000000,14.228601,14.520684,14.103423,14.353779,7801,0
ST5.DE,D,20070924,000000,14.186875,15.046432,14.186875,14.921254,6306,0
ST5.DE,D,20070925,000000,15.046432,15.805848,15.046432,15.396932,6044,0
ST5.DE,D,20070926,000000,15.855919,15.855919,15.855919,15.855919,300,0
ST5.DE,D,20070927,000000,16.022823,16.064549,15.52211,15.755776,1485,0
ST5.DE,D,20070928,000000,15.547146,15.547146,15.547146,15.547146,400,0
ST5.DE,D,20071001,000000,15.213337,15.880955,15.213337,15.880955,3955,0
ST5.DE,D,20071002,000000,15.922681,16.565263,15.922681,16.148002,5226,0
ST5.DE,D,20071003,000000,16.27318,16.356632,15.855919,16.106275,1288,0
ST5.DE,D,20071004,000000,16.189728,16.48181,16.189728,16.281525,5118,0
ST5.DE,D,20071005,000000,16.682096,16.682096,16.682096,16.682096,250,0
ST5.DE,D,20071008,000000,16.64037,16.64037,16.064549,16.064549,5720,0
ST5.DE,D,20071009,000000,16.022823,16.022823,16.022823,16.022823,12,0
ST5.DE,D,20071010,000000,15.772467,15.772467,15.772467,15.772467,300,0
ST5.DE,D,20071011,000000,15.730741,15.730741,15.438658,15.438658,1230,0
ST5.DE,D,20071012,000000,15.438658,15.438658,15.438658,15.438658,0,0
ST5.DE,D,20071015,000000,15.146575,15.146575,14.337089,14.687588,5175,0
ST5.DE,D,20071016,000000,14.604136,14.687588,14.353779,14.687588,1500,0
ST5.DE,D,20071017,000000,14.645862,14.687588,14.228601,14.687588,22457,0
ST5.DE,D,20071018,000000,14.604136,14.604136,14.604136,14.604136,500,0
ST5.DE,D,20071019,000000,14.587445,14.587445,14.587445,14.587445,26,0
ST5.DE,D,20071022,000000,14.604136,14.837802,14.437231,14.437231,8878,0
ST5.DE,D,20071023,000000,14.687588,14.687588,14.604136,14.604136,508,0
ST5.DE,D,20071024,000000,14.604136,14.645862,14.604136,14.645862,663,0
ST5.DE,D,20071025,000000,14.645862,14.645862,14.645862,14.645862,0,0
ST5.DE,D,20071026,000000,14.729314,14.729314,14.604136,14.604136,1165,0
ST5.DE,D,20071029,000000,14.604136,14.604136,14.604136,14.604136,500,0
ST5.DE,D,20071030,000000,14.56241,14.56241,13.769614,13.769614,8746,0
ST5.DE,D,20071031,000000,14.061696,14.186875,13.936518,13.936518,1660,0
ST5.DE,D,20071101,000000,13.769614,14.145149,13.519257,14.145149,2021,0
ST5.DE,D,20071102,000000,14.103423,14.103423,14.103423,14.103423,200,0
ST5.DE,D,20071105,000000,14.095077,14.095077,13.953209,13.953209,915,0
ST5.DE,D,20071106,000000,13.602709,13.602709,13.602709,13.602709,282,0
ST5.DE,D,20071107,000000,13.377388,13.644435,13.352353,13.519257,1624,0
ST5.DE,D,20071108,000000,13.352353,13.352353,13.352353,13.352353,594,0
ST5.DE,D,20071109,000000,13.143722,13.143722,12.350926,12.517831,5043,0
ST5.DE,D,20071112,000000,11.933665,12.476105,11.891939,11.891939,667,0
ST5.DE,D,20071113,000000,11.933665,11.933665,11.808487,11.808487,80,0
ST5.DE,D,20071114,000000,12.10057,12.325891,12.10057,12.325891,7001,0
ST5.DE,D,20071115,000000,12.10057,12.10057,12.10057,12.10057,10084,0
ST5.DE,D,20071116,000000,12.325891,12.476105,12.10057,12.476105,900,0
ST5.DE,D,20071119,000000,12.476105,12.476105,12.275819,12.275819,320,0
ST5.DE,D,20071120,000000,12.10057,12.10057,12.10057,12.10057,150,0
ST5.DE,D,20071121,000000,12.200712,12.200712,11.933665,11.933665,1481,0
ST5.DE,D,20071122,000000,11.775106,11.775106,11.683309,11.683309,1040,0
ST5.DE,D,20071123,000000,11.641583,12.025463,11.057417,11.432952,1500,0
ST5.DE,D,20071126,000000,11.432952,11.432952,10.932239,10.932239,2050,0
ST5.DE,D,20071127,000000,11.099143,11.291083,10.873822,10.873822,1922,0
ST5.DE,D,20071128,000000,10.848787,10.848787,10.565049,10.565049,3774,0
ST5.DE,D,20071129,000000,10.523323,10.840441,10.473252,10.765334,3078,0
ST5.DE,D,20071130,000000,10.514978,10.890513,10.514978,10.59843,2558,0
ST5.DE,D,20071203,000000,10.448216,10.765334,10.448216,10.765334,1000,0
ST5.DE,D,20071204,000000,10.556704,10.765334,10.431526,10.431526,5550,0
ST5.DE,D,20071205,000000,10.765334,11.641583,10.765334,11.382881,9492,0
ST5.DE,D,20071206,000000,11.516404,11.725035,11.516404,11.683309,8205,0
ST5.DE,D,20071207,000000,11.758416,12.225748,11.71669,11.933665,9531,0
ST5.DE,D,20071210,000000,11.858558,12.184022,11.850213,12.184022,6781,0
ST5.DE,D,20071211,000000,12.10057,12.10057,12.10057,12.10057,3220,0
ST5.DE,D,20071212,000000,11.766761,11.766761,11.266048,11.266048,1180,0
ST5.DE,D,20071213,000000,11.266048,11.55813,11.266048,11.55813,1170,0
ST5.DE,D,20071214,000000,11.282738,11.282738,11.282738,11.282738,15,0
ST5.DE,D,20071217,000000,11.282738,11.282738,11.282738,11.282738,15,0
ST5.DE,D,20071218,000000,11.282738,11.282738,11.099143,11.107488,3977,0
ST5.DE,D,20071219,000000,11.249357,11.249357,11.249357,11.249357,61,0
ST5.DE,D,20071220,000000,11.082453,11.082453,10.59843,10.59843,6698,0
ST5.DE,D,20071221,000000,10.848787,10.848787,10.473252,10.473252,1296,0
ST5.DE,D,20071227,000000,10.857132,11.032381,10.857132,11.032381,1612,0
ST5.DE,D,20071228,000000,11.090798,11.599856,10.473252,10.473252,2240,0
ST5.DE,D,20080102,000000,11.332809,11.332809,11.099143,11.099143,432,0
ST5.DE,D,20080103,000000,11.508059,11.683309,10.907203,11.683309,3210,0
ST5.DE,D,20080104,000000,11.357845,11.683309,10.765334,11.499714,8744,0
ST5.DE,D,20080107,000000,11.516404,11.683309,11.266048,11.266048,2360,0
ST5.DE,D,20080108,000000,11.683309,11.683309,11.36619,11.36619,909,0
ST5.DE,D,20080109,000000,11.3495,11.3495,10.348073,10.431526,9141,0
ST5.DE,D,20080110,000000,10.890513,10.890513,10.765334,10.765334,2012,0
ST5.DE,D,20080111,000000,10.765334,10.765334,10.181169,10.181169,1285,0
ST5.DE,D,20080114,000000,10.181169,10.181169,10.181169,10.181169,1285,0
ST5.DE,D,20080115,000000,10.690227,10.690227,10.014265,10.014265,706,0
ST5.DE,D,20080116,000000,10.014265,10.014265,9.380028,9.380028,62,0
ST5.DE,D,20080117,000000,9.597004,10.181169,9.179743,9.179743,29100,0
ST5.DE,D,20080118,000000,10.014265,10.014265,9.388373,9.388373,175,0
ST5.DE,D,20080121,000000,9.597004,9.597004,9.029529,9.179743,5560,0
ST5.DE,D,20080122,000000,9.179743,9.179743,7.510698,7.736019,1292,0
ST5.DE,D,20080123,000000,8.679029,8.679029,8.428673,8.428673,965,0
ST5.DE,D,20080124,000000,10.014265,10.014265,8.228387,8.512125,1405,0
ST5.DE,D,20080125,000000,9.087945,9.112981,8.912695,9.112981,3271,0
ST5.DE,D,20080128,000000,9.146362,9.146362,8.528815,8.946076,8998,0
ST5.DE,D,20080129,000000,8.88766,9.087945,8.762481,8.912695,1362,0
ST5.DE,D,20080130,000000,8.971112,8.971112,8.962767,8.962767,2305,0
ST5.DE,D,20080131,000000,9.012838,9.012838,8.762481,8.762481,1960,0
ST5.DE,D,20080201,000000,8.804208,8.804208,8.687374,8.762481,1230,0
ST5.DE,D,20080204,000000,8.88766,8.929386,8.88766,8.929386,495,0
ST5.DE,D,20080205,000000,9.438444,9.438444,8.762481,8.762481,4582,0
ST5.DE,D,20080206,000000,8.587232,8.88766,8.34522,8.34522,2350,0
ST5.DE,D,20080207,000000,8.845934,8.845934,8.512125,8.754136,12725,0
ST5.DE,D,20080208,000000,8.762481,8.762481,8.34522,8.34522,660,0
ST5.DE,D,20080211,000000,8.094864,8.094864,8.019757,8.019757,1000,0
ST5.DE,D,20080212,000000,7.978031,7.978031,7.978031,7.978031,100,0
ST5.DE,D,20080213,000000,7.978031,7.978031,7.978031,7.978031,100,0
ST5.DE,D,20080214,000000,7.886233,8.178316,7.886233,7.927959,4085,0
ST5.DE,D,20080215,000000,7.886233,7.927959,6.676176,6.843081,13586,0
ST5.DE,D,20080218,000000,6.926533,7.093437,6.434165,6.434165,10173,0
ST5.DE,D,20080219,000000,6.626105,6.626105,6.626105,6.626105,450,0
ST5.DE,D,20080220,000000,6.82639,6.82639,6.676176,6.676176,325,0
ST5.DE,D,20080221,000000,6.676176,6.676176,6.676176,6.676176,325,0
ST5.DE,D,20080222,000000,6.82639,7.260342,6.82639,7.251997,10550,0
ST5.DE,D,20080225,000000,7.043366,7.260342,7.043366,7.17689,3430,0
ST5.DE,D,20080226,000000,7.218616,7.218616,7.17689,7.17689,12800,0
ST5.DE,D,20080227,000000,7.17689,7.17689,7.17689,7.17689,12800,0
ST5.DE,D,20080228,000000,6.968259,7.009985,6.726248,6.926533,1580,0
ST5.DE,D,20080229,000000,6.926533,7.352139,6.926533,7.17689,8450,0
ST5.DE,D,20080303,000000,7.468972,7.468972,7.260342,7.260342,650,0
ST5.DE,D,20080304,000000,6.968259,6.968259,6.968259,6.968259,1700,0
ST5.DE,D,20080306,000000,6.968259,7.093437,6.968259,7.093437,2280,0
ST5.DE,D,20080307,000000,6.968259,7.093437,6.968259,7.093437,2635,0
ST5.DE,D,20080310,000000,7.110128,7.110128,7.051711,7.051711,1532,0
ST5.DE,D,20080311,000000,7.260342,7.260342,7.01833,7.01833,1422,0
ST5.DE,D,20080312,000000,7.110128,7.110128,7.01833,7.051711,2700,0
ST5.DE,D,20080313,000000,7.343794,7.343794,7.260342,7.343794,3005,0
ST5.DE,D,20080314,000000,7.510698,7.761055,7.510698,7.761055,6000,0
ST5.DE,D,20080317,000000,7.677603,7.927959,7.051711,7.051711,2357,0
ST5.DE,D,20080318,000000,7.343794,7.343794,7.260342,7.260342,1090,0
ST5.DE,D,20080319,000000,7.485663,7.485663,7.260342,7.260342,304,0
ST5.DE,D,20080320,000000,7.427246,7.594151,7.260342,7.260342,4080,0
ST5.DE,D,20080325,000000,7.510698,7.510698,7.360484,7.360484,14310,0
ST5.DE,D,20080326,000000,7.510698,7.510698,7.443937,7.443937,1190,0
ST5.DE,D,20080327,000000,7.260342,7.260342,7.260342,7.260342,610,0
ST5.DE,D,20080328,000000,7.468972,7.719329,7.260342,7.719329,9394,0
ST5.DE,D,20080331,000000,7.677603,7.677603,7.260342,7.260342,4292,0
ST5.DE,D,20080401,000000,7.36883,7.36883,7.36883,7.36883,61,0
ST5.DE,D,20080402,000000,7.260342,7.260342,7.260342,7.260342,484,0
ST5.DE,D,20080404,000000,7.310413,7.527389,7.260342,7.527389,12357,0
ST5.DE,D,20080407,000000,7.38552,7.427246,7.38552,7.427246,640,0
ST5.DE,D,20080408,000000,7.327104,7.327104,7.327104,7.327104,3,0
ST5.DE,D,20080411,000000,7.218616,7.218616,6.968259,6.968259,1797,0
ST5.DE,D,20080414,000000,6.968259,6.968259,6.767974,6.767974,2473,0
ST5.DE,D,20080415,000000,6.843081,6.843081,6.759629,6.759629,3700,0
ST5.DE,D,20080416,000000,6.843081,6.843081,6.843081,6.843081,500,0
ST5.DE,D,20080417,000000,6.759629,6.759629,6.759629,6.759629,30,0
ST5.DE,D,20080418,000000,6.717902,6.717902,6.717902,6.717902,40,0
ST5.DE,D,20080421,000000,6.926533,7.143509,6.717902,6.926533,7755,0
ST5.DE,D,20080422,000000,6.884807,6.884807,6.884807,6.884807,17500,0
ST5.DE,D,20080423,000000,7.093437,7.260342,7.051711,7.260342,19166,0
ST5.DE,D,20080424,000000,7.427246,7.519044,7.218616,7.218616,5690,0
ST5.DE,D,20080425,000000,7.218616,7.218616,6.926533,6.926533,9000,0
ST5.DE,D,20080428,000000,6.926533,6.926533,6.926533,6.926533,1544,0
ST5.DE,D,20080430,000000,7.051711,7.051711,6.851426,6.851426,225,0
ST5.DE,D,20080502,000000,6.717902,6.717902,6.717902,6.717902,850,0
ST5.DE,D,20080506,000000,6.651141,6.651141,6.651141,6.651141,60,0
ST5.DE,D,20080507,000000,6.550998,6.550998,6.550998,6.550998,50,0
ST5.DE,D,20080508,000000,6.258915,6.258915,4.71505,4.71505,38967,0
ST5.DE,D,20080509,000000,4.898644,4.898644,4.74843,4.74843,16265,0
ST5.DE,D,20080512,000000,4.790157,4.790157,4.790157,4.790157,1300,0
ST5.DE,D,20080513,000000,4.623252,4.623252,4.055777,4.331169,58180,0
ST5.DE,D,20080514,000000,3.930599,4.289443,3.930599,4.17261,24360,0
ST5.DE,D,20080515,000000,4.17261,4.180955,4.139229,4.17261,3672,0
ST5.DE,D,20080516,000000,4.17261,4.289443,4.089158,4.289443,2494,0
ST5.DE,D,20080519,000000,4.289443,5.466119,4.289443,5.466119,22114,0
ST5.DE,D,20080520,000000,5.149001,5.149001,4.498074,4.498074,26885,0
ST5.DE,D,20080521,000000,4.656633,4.73174,4.5398,4.631597,4997,0
ST5.DE,D,20080522,000000,4.464693,4.589871,4.464693,4.589871,1846,0
ST5.DE,D,20080523,000000,4.589871,4.589871,4.17261,4.306134,11032,0
ST5.DE,D,20080526,000000,4.256062,4.297789,4.139229,4.297789,6360,0
ST5.DE,D,20080527,000000,4.272753,4.272753,4.272753,4.272753,3077,0
ST5.DE,D,20080528,000000,4.222682,4.239372,4.130884,4.239372,14081,0
ST5.DE,D,20080529,000000,4.439657,4.439657,4.089158,4.122539,9361,0
ST5.DE,D,20080530,000000,4.214336,4.214336,4.005706,4.030741,4219,0
ST5.DE,D,20080602,000000,3.96398,3.96398,3.897218,3.922254,2798,0
ST5.DE,D,20080603,000000,3.997361,4.005706,3.997361,4.005706,6019,0
ST5.DE,D,20080604,000000,4.005706,4.005706,3.755349,3.755349,5733,0
ST5.DE,D,20080605,000000,3.755349,4.005706,3.755349,3.997361,8714,0
ST5.DE,D,20080606,000000,4.005706,4.289443,4.005706,4.256062,19041,0
ST5.DE,D,20080609,000000,4.214336,4.247717,4.214336,4.247717,1000,0
ST5.DE,D,20080610,000000,4.239372,4.239372,4.205991,4.205991,596,0
ST5.DE,D,20080611,000000,3.930599,4.005706,3.880528,3.880528,4319,0
ST5.DE,D,20080612,000000,4.005706,4.005706,3.880528,3.997361,1950,0
ST5.DE,D,20080613,000000,4.197646,4.197646,4.17261,4.17261,201,0
