<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXR5.DE,D,20100705,000000,69.58,69.58,69.58,69.58,0,0
SXR5.DE,D,20100719,000000,66.7,66.7,66.7,66.7,0,0
SXR5.DE,D,20100720,000000,66.22,66.22,66.22,66.22,0,0
SXR5.DE,D,20100726,000000,67.93,67.93,67.93,67.93,0,0
SXR5.DE,D,20100727,000000,67.95,67.95,67.95,67.95,0,0
SXR5.DE,D,20100728,000000,68.5,68.5,68.5,68.5,0,0
SXR5.DE,D,20100729,000000,68.65,68.65,68.65,68.65,0,0
SXR5.DE,D,20100730,000000,68.3,68.3,68.3,68.3,0,0
SXR5.DE,D,20100804,000000,68.68,68.68,68.68,68.68,0,0
SXR5.DE,D,20100805,000000,68.8,68.8,68.8,68.8,0,0
SXR5.DE,D,20100806,000000,68.11,68.11,68.11,68.11,0,0
SXR5.DE,D,20100809,000000,68.95,68.95,68.95,68.95,0,0
SXR5.DE,D,20100810,000000,68.84,68.84,68.84,68.84,0,0
SXR5.DE,D,20100811,000000,68.49,68.49,68.03,68.03,440,0
SXR5.DE,D,20100812,000000,68.15,68.15,68.15,68.15,0,0
SXR5.DE,D,20100813,000000,68.24,68.24,68.24,68.24,0,0
SXR5.DE,D,20100816,000000,67.98,68.17,67.98,68.17,1020,0
SXR5.DE,D,20100817,000000,69,69.2,68.85,69.2,2896,0
SXR5.DE,D,20100818,000000,68.54,68.99,68.54,68.99,1,0
SXR5.DE,D,20100819,000000,68.83,68.83,68.83,68.83,0,0
SXR5.DE,D,20100820,000000,69.12,69.12,69.12,69.12,0,0
SXR5.DE,D,20100823,000000,69.45,69.45,69.45,69.45,0,0
SXR5.DE,D,20100824,000000,69.24,69.24,69.24,69.24,0,0
SXR5.DE,D,20100825,000000,68.62,68.62,68.62,68.62,0,0
SXR5.DE,D,20100826,000000,68.57,68.57,68.57,68.57,0,0
SXR5.DE,D,20100830,000000,70,70,69.51,69.51,3899,0
SXR5.DE,D,20100831,000000,68.8,68.8,68.8,68.8,0,0
SXR5.DE,D,20100901,000000,69.49,69.49,69.49,69.49,0,0
SXR5.DE,D,20100902,000000,68.99,68.99,68.99,68.99,0,0
SXR5.DE,D,20100903,000000,69.36,69.36,69.36,69.36,0,0
SXR5.DE,D,20100908,000000,70.71,70.71,70.71,70.71,0,0
SXR5.DE,D,20100909,000000,71.13,71.13,71.13,71.13,0,0
SXR5.DE,D,20100910,000000,71.02,71.04,71.02,71.04,1500,0
SXR5.DE,D,20100913,000000,70.9,70.9,70.9,70.9,0,0
SXR5.DE,D,20100914,000000,70.21,70.21,70.21,70.21,510,0
SXR5.DE,D,20100915,000000,69.78,69.78,69.78,69.78,0,0
SXR5.DE,D,20100916,000000,68.79,68.79,68.79,68.79,0,0
SXR5.DE,D,20100917,000000,68.86,68.86,68.86,68.86,0,0
SXR5.DE,D,20100920,000000,69.79,69.79,69.79,69.79,0,0
SXR5.DE,D,20100921,000000,69.08,69.08,69.08,69.08,0,0
SXR5.DE,D,20100923,000000,67.84,67.84,67.84,67.84,0,0
SXR5.DE,D,20100924,000000,67.72,67.72,67.72,67.72,0,0
SXR5.DE,D,20100927,000000,67.77,67.77,67.77,67.77,0,0
SXR5.DE,D,20100928,000000,67.88,67.88,67.88,67.88,0,0
SXR5.DE,D,20100929,000000,67.92,67.92,67.92,67.92,0,0
SXR5.DE,D,20100930,000000,66.97,66.97,66.97,66.97,0,0
SXR5.DE,D,20101001,000000,66.33,66.33,66.33,66.33,0,0
SXR5.DE,D,20101004,000000,65.65,65.65,65.65,65.65,0,0
SXR5.DE,D,20101007,000000,67.55,67.55,67.55,67.55,0,0
SXR5.DE,D,20101008,000000,67.63,67.63,67.63,67.63,0,0
SXR5.DE,D,20101011,000000,67.87,67.87,67.87,67.87,0,0
SXR5.DE,D,20101012,000000,67.34,67.34,67.34,67.34,0,0
SXR5.DE,D,20101013,000000,67.11,67.11,67.11,67.11,0,0
SXR5.DE,D,20101014,000000,67.03,67.03,67.03,67.03,0,0
SXR5.DE,D,20101015,000000,66.94,66.94,66.94,66.94,0,0
SXR5.DE,D,20101018,000000,67.69,67.69,67.69,67.69,0,0
SXR5.DE,D,20101019,000000,68.09,68.09,68.09,68.09,0,0
SXR5.DE,D,20101020,000000,67.57,67.57,67.57,67.57,0,0
SXR5.DE,D,20101021,000000,67.12,67.12,67.12,67.12,0,0
SXR5.DE,D,20101022,000000,67.2,67.2,67.2,67.2,0,0
SXR5.DE,D,20101025,000000,67.13,67.13,67.13,67.13,0,0
SXR5.DE,D,20101026,000000,66.88,66.88,66.88,66.88,0,0
SXR5.DE,D,20101027,000000,66.71,66.71,66.71,66.71,0,0
SXR5.DE,D,20101028,000000,66.55,66.55,66.55,66.55,0,0
SXR5.DE,D,20101029,000000,66.49,66.49,66.49,66.49,0,0
SXR5.DE,D,20101101,000000,66.02,66.02,66.02,66.02,0,0
SXR5.DE,D,20101102,000000,65.6,65.6,65.6,65.6,0,0
SXR5.DE,D,20101103,000000,65.45,65.45,65.45,65.45,0,0
SXR5.DE,D,20101104,000000,66.26,66.26,66.26,66.26,0,0
SXR5.DE,D,20101105,000000,67.5,67.63,67.5,67.63,6671,0
SXR5.DE,D,20101108,000000,68.48,68.48,68.48,68.48,0,0
SXR5.DE,D,20101109,000000,69.4,69.4,69.4,69.4,0,0
SXR5.DE,D,20101110,000000,69.34,69.34,69.34,69.34,0,0
SXR5.DE,D,20101111,000000,69.68,69.68,69.68,69.68,0,0
SXR5.DE,D,20101112,000000,69.35,69.44,69.35,69.44,2261,0
SXR5.DE,D,20101115,000000,68.87,68.87,68.87,68.87,0,0
SXR5.DE,D,20101119,000000,70.73,70.73,70.73,70.73,0,0
SXR5.DE,D,20101122,000000,70.74,70.74,70.74,70.74,0,0
SXR5.DE,D,20101123,000000,70.61,70.61,70.61,70.61,10000,0
SXR5.DE,D,20101125,000000,71.78,71.78,71.78,71.78,0,0
SXR5.DE,D,20101126,000000,71.86,71.86,71.86,71.86,0,0
SXR5.DE,D,20101129,000000,72.12,72.12,72.12,72.12,0,0
SXR5.DE,D,20101130,000000,72.51,72.51,72.51,72.51,0,0
SXR5.DE,D,20101202,000000,73.68,73.68,73.68,73.68,0,0
SXR5.DE,D,20101203,000000,73.12,73.12,73.12,73.12,0,0
SXR5.DE,D,20101206,000000,73.96,73.96,73.96,73.96,0,0
SXR5.DE,D,20101207,000000,73.48,73.48,73.48,73.48,0,0
SXR5.DE,D,20101208,000000,73.38,73.38,73.38,73.38,0,0
SXR5.DE,D,20101209,000000,74.01,74.01,73.75,73.75,2,0
SXR5.DE,D,20101210,000000,73.67,73.67,73.67,73.67,0,0
SXR5.DE,D,20101213,000000,74.41,74.41,73.92,73.92,140,0
SXR5.DE,D,20101214,000000,74.48,74.48,74.48,74.48,0,0
SXR5.DE,D,20101215,000000,74.35,74.35,74.35,74.35,0,0
SXR5.DE,D,20101216,000000,74.72,74.72,74.72,74.72,0,0
SXR5.DE,D,20101217,000000,74.69,74.69,74.69,74.69,0,0
SXR5.DE,D,20101220,000000,75.43,75.43,75.43,75.43,0,0
SXR5.DE,D,20101221,000000,75.77,75.77,75.77,75.77,0,0
SXR5.DE,D,20101222,000000,76.03,76.39,76.03,76.39,2300,0
SXR5.DE,D,20101223,000000,76.23,76.23,76.23,76.23,0,0
SXR5.DE,D,20101227,000000,76.11,76.11,76.11,76.11,0,0
SXR5.DE,D,20101228,000000,76.89,76.89,76.89,76.89,0,0
SXR5.DE,D,20101229,000000,77.33,77.33,77.33,77.33,0,0
SXR5.DE,D,20110103,000000,76.63,76.63,76.51,76.51,12088,0
SXR5.DE,D,20110104,000000,76.44,76.56,76.44,76.56,4000,0
SXR5.DE,D,20110105,000000,77.37,77.37,77.37,77.37,0,0
SXR5.DE,D,20110106,000000,78.15,78.15,78.15,78.15,0,0
SXR5.DE,D,20110107,000000,78.64,78.64,78.64,78.64,0,0
SXR5.DE,D,20110110,000000,78.96,78.96,78.54,78.54,98,0
SXR5.DE,D,20110111,000000,79.12,79.12,79.12,79.12,0,0
SXR5.DE,D,20110112,000000,79.48,79.48,79.34,79.34,63,0
SXR5.DE,D,20110113,000000,78.64,78.64,78.19,78.19,4,0
SXR5.DE,D,20110114,000000,77.77,77.77,77.77,77.77,0,0
SXR5.DE,D,20110117,000000,77.71,77.71,77.49,77.49,25,0
SXR5.DE,D,20110118,000000,77.75,77.75,77.48,77.48,13,0
SXR5.DE,D,20110119,000000,77.99,77.99,77.19,77.19,124,0
SXR5.DE,D,20110120,000000,76.31,76.31,76.31,76.31,0,0
SXR5.DE,D,20110124,000000,74.82,74.91,74.82,74.91,377,0
SXR5.DE,D,20110125,000000,75.49,75.49,75.49,75.49,0,0
SXR5.DE,D,20110126,000000,75.55,75.55,75.53,75.53,15,0
SXR5.DE,D,20110127,000000,75,75,75,75,0,0
SXR5.DE,D,20110128,000000,74.86,74.86,74.86,74.86,0,0
SXR5.DE,D,20110131,000000,74.63,74.63,74.63,74.63,0,0
SXR5.DE,D,20110201,000000,75.77,75.77,75.77,75.77,0,0
SXR5.DE,D,20110207,000000,77.25,77.88,77.25,77.88,1840,0
SXR5.DE,D,20110208,000000,77.35,77.35,77.35,77.35,0,0
SXR5.DE,D,20110209,000000,76.6,76.6,76.6,76.6,0,0
SXR5.DE,D,20110210,000000,76.91,77.08,76.91,77.08,65,0
SXR5.DE,D,20110211,000000,77.45,77.45,77.45,77.45,0,0
SXR5.DE,D,20110215,000000,78.25,78.25,78.25,78.25,0,0
SXR5.DE,D,20110216,000000,78.82,78.82,78.82,78.82,0,0
SXR5.DE,D,20110217,000000,79.29,79.29,79.29,79.29,0,0
SXR5.DE,D,20110218,000000,78.87,78.87,78.87,78.87,0,0
SXR5.DE,D,20110221,000000,78.62,78.62,77.95,77.95,5500,0
SXR5.DE,D,20110222,000000,77.53,77.53,77.53,77.53,0,0
SXR5.DE,D,20110224,000000,75.98,75.98,75.98,75.98,0,0
SXR5.DE,D,20110301,000000,77.6,77.6,77.6,77.6,0,0
SXR5.DE,D,20110303,000000,76.34,76.34,76.34,76.34,0,0
SXR5.DE,D,20110304,000000,75.71,75.71,75.71,75.71,0,0
SXR5.DE,D,20110307,000000,75.31,75.31,75.31,75.31,0,0
SXR5.DE,D,20110308,000000,75.57,75.57,75.57,75.57,0,0
SXR5.DE,D,20110309,000000,75.16,75.16,75.16,75.16,0,0
SXR5.DE,D,20110310,000000,74.38,74.55,74.31,74.31,9060,0
SXR5.DE,D,20110311,000000,72.84,72.84,72.6,72.6,125,0
SXR5.DE,D,20110314,000000,67.99,68.02,66.42,66.42,6711,0
SXR5.DE,D,20110315,000000,62.98,65.68,61.43,64.71,94470,0
SXR5.DE,D,20110316,000000,65.86,65.9,63.87,64.16,54472,0
SXR5.DE,D,20110317,000000,66.58,67.4,66.1,67.24,26179,0
SXR5.DE,D,20110318,000000,66.3,67.02,66.1,66.8,21558,0
SXR5.DE,D,20110321,000000,68.63,68.88,68.63,68.88,25768,0
SXR5.DE,D,20110322,000000,68.9,69.02,68.65,69.02,2799,0
SXR5.DE,D,20110323,000000,68.66,69.32,68.65,69.32,17290,0
SXR5.DE,D,20110324,000000,69.17,69.17,69.17,69.17,0,0
SXR5.DE,D,20110325,000000,68.3,68.58,68.3,68.58,579,0
SXR5.DE,D,20110328,000000,68.57,68.65,67.9,67.93,6370,0
SXR5.DE,D,20110329,000000,67.72,67.72,67.72,67.72,0,0
SXR5.DE,D,20110330,000000,68.3,68.66,68.3,68.54,460,0
SXR5.DE,D,20110331,000000,68.38,68.38,67.65,67.65,60,0
SXR5.DE,D,20110401,000000,67.44,67.44,67.44,67.44,0,0
SXR5.DE,D,20110404,000000,66.6,66.7,66.49,66.66,2854,0
SXR5.DE,D,20110405,000000,65.57,65.57,65.27,65.27,6217,0
SXR5.DE,D,20110406,000000,64.13,64.25,63.89,63.89,6430,0
SXR5.DE,D,20110407,000000,64.2,64.2,63.25,63.25,8,0
SXR5.DE,D,20110408,000000,64.28,64.28,64.28,64.28,0,0
SXR5.DE,D,20110411,000000,64.38,64.38,64.38,64.38,0,0
SXR5.DE,D,20110412,000000,63.85,63.85,63.85,63.85,0,0
SXR5.DE,D,20110413,000000,64.26,64.26,64.23,64.23,75,0
SXR5.DE,D,20110414,000000,64.4,64.4,64.4,64.4,0,0
SXR5.DE,D,20110415,000000,64.42,64.68,64.42,64.68,696,0
SXR5.DE,D,20110418,000000,64.9,64.9,64.9,64.9,0,0
SXR5.DE,D,20110419,000000,64.7,64.7,64.7,64.7,0,0
SXR5.DE,D,20110420,000000,64.95,64.95,64.95,64.95,0,0
SXR5.DE,D,20110421,000000,65.12,65.12,65.12,65.12,0,0
SXR5.DE,D,20110426,000000,65.03,65.03,65.03,65.03,0,0
SXR5.DE,D,20110427,000000,64.49,64.49,64.49,64.49,0,0
SXR5.DE,D,20110428,000000,65.07,65.56,65.01,65.56,11093,0
SXR5.DE,D,20110429,000000,65.77,65.98,65.77,65.98,1310,0
SXR5.DE,D,20110502,000000,66.46,66.46,66.09,66.09,1287,0
SXR5.DE,D,20110503,000000,66.19,66.19,66.19,66.19,0,0
SXR5.DE,D,20110504,000000,65.59,65.59,65.59,65.59,0,0
SXR5.DE,D,20110505,000000,65.96,66.82,65.95,66.82,6695,0
SXR5.DE,D,20110506,000000,68.1,68.1,68.1,68.1,0,0
SXR5.DE,D,20110509,000000,68.14,68.4,68.14,68.4,928,0
SXR5.DE,D,20110510,000000,68.68,68.68,68.55,68.55,60,0
SXR5.DE,D,20110511,000000,68.26,68.26,68.26,68.26,0,0
SXR5.DE,D,20110512,000000,68.22,68.22,68.22,68.22,0,0
SXR5.DE,D,20110513,000000,67.7,67.7,67.7,67.7,0,0
SXR5.DE,D,20110516,000000,67.07,67.1,67.07,67.1,750,0
SXR5.DE,D,20110517,000000,66.27,66.34,66.27,66.34,237,0
SXR5.DE,D,20110518,000000,66.76,66.76,66.76,66.76,0,0
