<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYBD.DE,D,20130828,000000,29.467764,29.467764,29.467764,29.467764,0,0
SYBD.DE,D,20130829,000000,29.526602,29.526602,29.467764,29.467764,193,0
SYBD.DE,D,20130830,000000,29.526602,29.526602,29.457958,29.457958,3000,0
SYBD.DE,D,20130902,000000,29.536408,29.536408,29.477571,29.477571,150,0
SYBD.DE,D,20130903,000000,29.467764,29.467764,29.467764,29.467764,0,0
SYBD.DE,D,20130904,000000,29.467764,29.467764,29.467764,29.467764,0,0
SYBD.DE,D,20130905,000000,29.448152,29.448152,29.448152,29.448152,0,0
SYBD.DE,D,20130906,000000,29.467764,29.467764,29.467764,29.467764,0,0
SYBD.DE,D,20130909,000000,29.477571,29.477571,29.477571,29.477571,0,0
SYBD.DE,D,20130910,000000,29.477571,29.477571,29.477571,29.477571,0,0
SYBD.DE,D,20130911,000000,29.477571,29.477571,29.477571,29.477571,0,0
SYBD.DE,D,20130912,000000,29.536408,29.536408,29.487377,29.487377,10,0
SYBD.DE,D,20130913,000000,29.487377,29.487377,29.487377,29.487377,0,0
SYBD.DE,D,20130916,000000,29.506989,29.506989,29.506989,29.506989,0,0
SYBD.DE,D,20130917,000000,29.506989,29.506989,29.506989,29.506989,0,0
SYBD.DE,D,20130918,000000,29.497183,29.497183,29.497183,29.497183,0,0
SYBD.DE,D,20130919,000000,29.556021,29.556021,29.556021,29.556021,0,0
SYBD.DE,D,20130920,000000,29.546214,29.546214,29.546214,29.546214,0,0
SYBD.DE,D,20130923,000000,29.565827,29.565827,29.565827,29.565827,0,0
SYBD.DE,D,20130924,000000,29.693308,29.693308,29.575633,29.575633,1050,0
SYBD.DE,D,20130925,000000,29.654083,29.654083,29.556021,29.556021,320,0
SYBD.DE,D,20130926,000000,29.565827,29.565827,29.565827,29.565827,0,0
SYBD.DE,D,20130927,000000,29.605052,29.605052,29.585439,29.585439,7342,0
SYBD.DE,D,20130930,000000,29.546214,29.575633,29.546214,29.575633,15905,0
SYBD.DE,D,20131001,000000,29.585439,29.585439,29.585439,29.585439,0,0
SYBD.DE,D,20131002,000000,29.546214,29.585439,29.546214,29.585439,176,0
SYBD.DE,D,20131003,000000,29.585439,29.585439,29.585439,29.585439,0,0
SYBD.DE,D,20131004,000000,29.585439,29.585439,29.585439,29.585439,0,0
SYBD.DE,D,20131007,000000,29.595245,29.595245,29.595245,29.595245,0,0
SYBD.DE,D,20131008,000000,29.595245,29.595245,29.595245,29.595245,0,0
SYBD.DE,D,20131009,000000,29.585439,29.595245,29.585439,29.595245,20,0
SYBD.DE,D,20131010,000000,29.595245,29.595245,29.595245,29.595245,0,0
SYBD.DE,D,20131011,000000,29.605052,29.605052,29.605052,29.605052,0,0
SYBD.DE,D,20131014,000000,29.614858,29.614858,29.614858,29.614858,0,0
SYBD.DE,D,20131015,000000,29.575633,29.605052,29.575633,29.605052,342,0
SYBD.DE,D,20131016,000000,29.595245,29.595245,29.595245,29.595245,0,0
SYBD.DE,D,20131017,000000,29.624664,29.624664,29.614858,29.614858,353,0
SYBD.DE,D,20131018,000000,29.585439,29.614858,29.585439,29.614858,330,0
SYBD.DE,D,20131021,000000,29.644277,29.644277,29.624664,29.624664,660,0
SYBD.DE,D,20131022,000000,29.605052,29.654083,29.605052,29.63447,1389,0
SYBD.DE,D,20131023,000000,29.624664,29.624664,29.624664,29.624664,0,0
SYBD.DE,D,20131024,000000,29.624664,29.624664,29.624664,29.624664,0,0
SYBD.DE,D,20131025,000000,29.644277,29.644277,29.614858,29.614858,1792,0
SYBD.DE,D,20131028,000000,29.644277,29.644277,29.624664,29.624664,994,0
SYBD.DE,D,20131029,000000,29.644277,29.654083,29.595245,29.63447,1411,0
SYBD.DE,D,20131030,000000,29.663889,29.663889,29.605052,29.63447,1402,0
