<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYBI.DE,D,20130429,000000,50.704414,50.769212,50.348025,50.348025,357,0
SYBI.DE,D,20130430,000000,50.672015,50.672015,50.101793,50.101793,260,0
SYBI.DE,D,20130502,000000,50.471142,51.190399,50.471142,50.970086,8000,0
SYBI.DE,D,20130503,000000,51.216318,51.216318,50.756253,50.756253,150,0
SYBI.DE,D,20130506,000000,51.119121,51.119121,50.866409,50.866409,1152,0
SYBI.DE,D,20130507,000000,51.041364,51.15152,50.756253,51.15152,735,0
SYBI.DE,D,20130508,000000,51.093202,51.093202,50.801611,50.879369,14879,0
SYBI.DE,D,20130509,000000,51.119121,51.546788,51.093202,51.119121,4420,0
SYBI.DE,D,20130510,000000,51.319995,51.47551,51.16448,51.16448,5576,0
SYBI.DE,D,20130513,000000,51.190399,51.222798,50.866409,50.866409,21298,0
SYBI.DE,D,20130514,000000,50.866409,50.983045,50.678495,50.808091,7271,0
SYBI.DE,D,20130515,000000,50.704414,50.866409,50.348025,50.348025,4309,0
SYBI.DE,D,20130516,000000,50.587778,50.587778,50.497061,50.52298,1071,0
SYBI.DE,D,20130517,000000,50.717374,50.924727,50.717374,50.775692,3532,0
SYBI.DE,D,20130520,000000,50.801611,50.801611,50.412823,50.490581,290,0
SYBI.DE,D,20130521,000000,50.464662,50.490581,50.036995,50.036995,2311,0
SYBI.DE,D,20130522,000000,49.745404,50.348025,49.745404,50.302667,11945,0
SYBI.DE,D,20130523,000000,49.89444,50.030515,49.350137,49.350137,541,0
SYBI.DE,D,20130524,000000,49.505652,49.615808,49.376056,49.615808,2729,0
SYBI.DE,D,20130527,000000,49.713005,49.713005,49.317738,49.317738,1901,0
SYBI.DE,D,20130528,000000,49.667647,49.667647,48.967829,49.2335,2276,0
SYBI.DE,D,20130529,000000,48.92895,48.92895,48.164334,48.488324,1052,0
SYBI.DE,D,20130530,000000,48.28097,48.326329,47.62651,47.730187,14593,0
SYBI.DE,D,20130531,000000,47.620031,47.9505,47.490435,47.490435,630,0
SYBI.DE,D,20130603,000000,47.237723,47.237723,46.816536,46.823016,325,0
SYBI.DE,D,20130604,000000,46.466627,47.095167,46.466627,47.095167,767,0
SYBI.DE,D,20130605,000000,47.542273,47.542273,46.330551,46.771177,1043,0
SYBI.DE,D,20130606,000000,46.330551,47.140526,46.298152,46.298152,1653,0
SYBI.DE,D,20130607,000000,46.330551,46.330551,45.352102,45.779768,418,0
SYBI.DE,D,20130610,000000,45.591854,45.591854,45.319703,45.319703,150,0
SYBI.DE,D,20130611,000000,44.788359,45.07995,43.887667,44.665243,1667,0
SYBI.DE,D,20130612,000000,45.034592,45.034592,44.814278,44.814278,270,0
SYBI.DE,D,20130613,000000,43.738632,45.170667,43.738632,44.74948,3235,0
SYBI.DE,D,20130614,000000,45.468738,45.468738,45.034592,45.203066,1730,0
SYBI.DE,D,20130617,000000,45.203066,45.552975,44.373652,44.911475,801,0
SYBI.DE,D,20130618,000000,44.704122,44.704122,44.561566,44.561566,45,0
SYBI.DE,D,20130619,000000,44.522688,44.542127,44.43845,44.43845,651,0
SYBI.DE,D,20130620,000000,44.192218,44.192218,42.228839,42.876819,9293,0
SYBI.DE,D,20130621,000000,42.766662,42.766662,42.358435,42.358435,116,0
SYBI.DE,D,20130624,000000,41.794693,42.786102,41.794693,42.079804,671,0
SYBI.DE,D,20130625,000000,41.924289,42.83146,41.924289,42.565789,20,0
SYBI.DE,D,20130626,000000,43.123051,43.187849,42.799061,42.799061,650,0
SYBI.DE,D,20130627,000000,43.239688,43.673834,43.239688,43.272087,1005,0
SYBI.DE,D,20130628,000000,43.855268,43.855268,42.941617,43.16193,28,0
SYBI.DE,D,20130701,000000,43.48592,43.48592,43.48592,43.48592,0,0
SYBI.DE,D,20130702,000000,44.11446,44.192218,43.829349,43.829349,70,0
SYBI.DE,D,20130703,000000,43.829349,44.224617,43.427602,43.557198,323,0
SYBI.DE,D,20130704,000000,44.062622,44.062622,43.848789,43.848789,700,0
SYBI.DE,D,20130705,000000,43.842309,43.842309,43.842309,43.842309,0,0
SYBI.DE,D,20130708,000000,43.868228,43.868228,42.999935,43.460001,717,0
SYBI.DE,D,20130709,000000,43.16841,44.004304,43.16841,44.004304,150,0
SYBI.DE,D,20130710,000000,43.933026,44.146859,43.48592,44.146859,175,0
SYBI.DE,D,20130711,000000,43.596077,43.641435,43.511839,43.511839,195,0
SYBI.DE,D,20130712,000000,43.246167,43.246167,43.246167,43.246167,0,0
SYBI.DE,D,20130715,000000,43.848789,44.101501,43.848789,44.101501,770,0
SYBI.DE,D,20130716,000000,44.11446,44.321814,43.79047,43.79047,610,0
SYBI.DE,D,20130717,000000,44.308854,44.341253,44.276455,44.276455,315,0
SYBI.DE,D,20130718,000000,44.613405,44.717081,44.593965,44.717081,444,0
SYBI.DE,D,20130719,000000,44.76892,44.879076,44.477329,44.477329,1540,0
SYBI.DE,D,20130722,000000,44.710602,44.710602,44.386612,44.386612,150,0
SYBI.DE,D,20130723,000000,44.710602,44.807799,44.503248,44.503248,320,0
SYBI.DE,D,20130724,000000,45.008672,45.008672,44.153339,44.360693,843,0
SYBI.DE,D,20130725,000000,44.166299,44.166299,44.166299,44.166299,0,0
SYBI.DE,D,20130726,000000,44.101501,44.101501,44.101501,44.101501,0,0
SYBI.DE,D,20130729,000000,44.095021,44.095021,43.738632,43.738632,800,0
SYBI.DE,D,20130730,000000,43.654395,43.654395,43.654395,43.654395,0,0
SYBI.DE,D,20130731,000000,43.414642,43.414642,43.064733,43.064733,350,0
SYBI.DE,D,20130801,000000,43.557198,43.557198,43.557198,43.557198,0,0
SYBI.DE,D,20130802,000000,43.609036,44.017263,43.544238,44.017263,760,0
SYBI.DE,D,20130805,000000,43.544238,43.544238,43.375763,43.375763,52,0
SYBI.DE,D,20130806,000000,43.544238,43.958945,43.544238,43.563678,87,0
SYBI.DE,D,20130807,000000,43.958945,43.958945,43.323925,43.323925,255,0
SYBI.DE,D,20130808,000000,43.47296,43.47944,43.47296,43.47944,234,0
SYBI.DE,D,20130809,000000,43.738632,44.010784,43.602556,43.602556,397,0
SYBI.DE,D,20130812,000000,43.596077,44.010784,43.596077,44.010784,35,0
SYBI.DE,D,20130813,000000,44.075582,44.082061,43.647915,43.647915,624,0
SYBI.DE,D,20130814,000000,43.356324,43.356324,42.948097,43.110092,4750,0
SYBI.DE,D,20130815,000000,42.766662,43.47944,42.766662,42.915698,56,0
SYBI.DE,D,20130816,000000,43.097132,43.097132,42.650026,42.650026,2,0
SYBI.DE,D,20130819,000000,42.721304,42.721304,42.364915,42.364915,76,0
SYBI.DE,D,20130820,000000,42.118683,42.118683,41.684536,41.684536,20,0
SYBI.DE,D,20130821,000000,41.716935,41.716935,41.716935,41.716935,0,0
SYBI.DE,D,20130822,000000,40.978238,41.470703,40.894001,41.470703,3000,0
SYBI.DE,D,20130823,000000,41.464223,41.464223,41.217991,41.341107,108,0
SYBI.DE,D,20130826,000000,42.2094,42.2094,41.392945,41.645658,891,0
SYBI.DE,D,20130827,000000,41.405905,41.405905,41.282789,41.282789,15,0
SYBI.DE,D,20130828,000000,41.211511,41.211511,40.62185,40.744966,400,0
SYBI.DE,D,20130829,000000,41.146713,41.794693,40.894001,41.444784,17012,0
SYBI.DE,D,20130830,000000,41.367026,41.367026,41.367026,41.367026,0,0
SYBI.DE,D,20130902,000000,41.114314,41.217991,41.094875,41.217991,675,0
SYBI.DE,D,20130903,000000,42.429713,42.429713,41.632698,41.632698,6058,0
SYBI.DE,D,20130904,000000,41.25039,41.25039,41.25039,41.25039,0,0
SYBI.DE,D,20130905,000000,40.822723,41.496622,40.822723,41.496622,250,0
SYBI.DE,D,20130906,000000,41.736375,41.736375,41.736375,41.736375,0,0
SYBI.DE,D,20130909,000000,41.846531,41.846531,41.846531,41.846531,0,0
SYBI.DE,D,20130910,000000,41.865971,42.157562,41.859491,42.157562,10,0
SYBI.DE,D,20130911,000000,42.630587,42.630587,42.040925,42.040925,1390,0
SYBI.DE,D,20130912,000000,42.157562,42.157562,42.157562,42.157562,0,0
SYBI.DE,D,20130913,000000,42.267718,42.267718,42.267718,42.267718,0,0
SYBI.DE,D,20130916,000000,42.786102,42.967536,42.559309,42.559309,312,0
SYBI.DE,D,20130917,000000,42.585228,42.585228,42.585228,42.585228,0,0
SYBI.DE,D,20130918,000000,42.967536,43.025854,42.650026,42.650026,4400,0
SYBI.DE,D,20130919,000000,43.621996,43.621996,43.621996,43.621996,47,0
SYBI.DE,D,20130920,000000,43.200809,43.200809,43.200809,43.200809,0,0
SYBI.DE,D,20130923,000000,43.304486,43.304486,43.304486,43.304486,0,0
SYBI.DE,D,20130924,000000,43.103612,43.103612,43.103612,43.103612,0,0
SYBI.DE,D,20130925,000000,42.799061,42.799061,42.799061,42.799061,0,0
SYBI.DE,D,20130926,000000,42.650026,42.650026,42.650026,42.650026,0,0
SYBI.DE,D,20130927,000000,42.248279,42.248279,42.248279,42.248279,0,0
SYBI.DE,D,20130930,000000,42.773142,43.304486,42.773142,43.304486,60,0
SYBI.DE,D,20131001,000000,42.410274,42.410274,42.410274,42.410274,0,0
SYBI.DE,D,20131002,000000,42.390834,42.390834,42.390834,42.390834,0,0
SYBI.DE,D,20131003,000000,42.598188,42.598188,42.189961,42.189961,91,0
SYBI.DE,D,20131004,000000,42.442673,42.442673,42.442673,42.442673,0,0
SYBI.DE,D,20131007,000000,42.863859,42.863859,42.52691,42.52691,400,0
SYBI.DE,D,20131008,000000,42.993455,43.077693,42.183481,42.475072,432,0
SYBI.DE,D,20131009,000000,42.442673,42.824981,42.442673,42.824981,35,0
SYBI.DE,D,20131010,000000,43.362804,43.362804,42.941617,42.941617,31,0
SYBI.DE,D,20131011,000000,42.863859,42.863859,42.863859,42.863859,0,0
SYBI.DE,D,20131014,000000,42.131642,43.103612,42.131642,43.103612,5058,0
SYBI.DE,D,20131015,000000,43.576637,43.576637,43.246167,43.246167,2,0
