<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TCO0.DE,D,20210219,000000,2.658,2.7885,2.658,2.7885,3727,0
TCO0.DE,D,20210222,000000,2.6585,2.785,2.6,2.785,13102,0
TCO0.DE,D,20210223,000000,2.562,2.7925,2.562,2.7925,6552,0
TCO0.DE,D,20210224,000000,2.692,2.8115,2.66,2.8115,17984,0
TCO0.DE,D,20210225,000000,2.68,2.798,2.631,2.798,10766,0
TCO0.DE,D,20210226,000000,2.624,2.721,2.624,2.721,6975,0
TCO0.DE,D,20210301,000000,2.66,2.77,2.57,2.77,12193,0
TCO0.DE,D,20210302,000000,2.62,2.66,2.58,2.66,24916,0
TCO0.DE,D,20210303,000000,2.64,2.65,2.58,2.636,21845,0
TCO0.DE,D,20210304,000000,2.6,2.68,2.5305,2.68,23594,0
TCO0.DE,D,20210305,000000,2.57,2.65,2.538,2.65,15904,0
TCO0.DE,D,20210308,000000,2.63,2.673,2.6,2.673,22596,0
TCO0.DE,D,20210309,000000,2.64,2.651,2.64,2.651,12130,0
TCO0.DE,D,20210310,000000,2.77,2.77,2.77,2.77,12000,0
TCO0.DE,D,20210311,000000,2.63,2.671,2.6,2.671,21841,0
TCO0.DE,D,20210312,000000,2.61,2.669,2.5905,2.669,16354,0
TCO0.DE,D,20210315,000000,2.64,2.77,2.6155,2.77,23431,0
TCO0.DE,D,20210316,000000,2.63,2.81,2.62,2.81,32646,0
TCO0.DE,D,20210317,000000,2.7,2.785,2.64,2.785,32935,0
TCO0.DE,D,20210318,000000,2.69,2.7395,2.677,2.7395,27217,0
TCO0.DE,D,20210319,000000,2.67,2.72,2.67,2.695,23535,0
TCO0.DE,D,20210322,000000,2.7,2.715,2.68,2.705,14918,0
TCO0.DE,D,20210323,000000,2.7195,2.72,2.6805,2.692,3526,0
TCO0.DE,D,20210324,000000,2.6645,2.68,2.6645,2.6715,9290,0
TCO0.DE,D,20210325,000000,2.69,2.71,2.68,2.685,21708,0
TCO0.DE,D,20210326,000000,2.652,2.71,2.65,2.6875,20600,0
TCO0.DE,D,20210329,000000,2.7195,2.72,2.7,2.7,26402,0
TCO0.DE,D,20210330,000000,2.73,2.74,2.6855,2.6855,21633,0
TCO0.DE,D,20210331,000000,2.7,2.76,2.7,2.7245,950,0
TCO0.DE,D,20210401,000000,2.72,2.74,2.72,2.7305,12720,0
TCO0.DE,D,20210406,000000,2.75,2.75,2.67,2.706,28599,0
TCO0.DE,D,20210407,000000,2.7,2.71,2.7,2.71,2214,0
TCO0.DE,D,20210408,000000,2.7395,2.77,2.7395,2.7625,8380,0
TCO0.DE,D,20210409,000000,2.748,2.75,2.736,2.7405,2404,0
TCO0.DE,D,20210412,000000,2.76,2.76,2.7,2.7355,6710,0
TCO0.DE,D,20210413,000000,2.71,2.735,2.6905,2.735,20871,0
TCO0.DE,D,20210414,000000,2.64,2.67,2.6,2.663,90248,0
TCO0.DE,D,20210415,000000,2.65,2.6505,2.62,2.6505,117530,0
TCO0.DE,D,20210416,000000,2.62,2.7155,2.62,2.7155,5630,0
TCO0.DE,D,20210419,000000,2.68,2.7435,2.68,2.7435,1624,0
TCO0.DE,D,20210420,000000,2.76,2.76,2.6725,2.6725,11700,0
TCO0.DE,D,20210421,000000,2.69,2.69,2.68,2.69,6386,0
TCO0.DE,D,20210422,000000,2.66,2.666,2.65,2.666,1489,0
TCO0.DE,D,20210423,000000,2.6205,2.63,2.598,2.615,27939,0
TCO0.DE,D,20210426,000000,2.6,2.62,2.6,2.61,12731,0
TCO0.DE,D,20210427,000000,2.6,2.61,2.59,2.601,26340,0
TCO0.DE,D,20210428,000000,2.595,2.595,2.55,2.58,9577,0
TCO0.DE,D,20210429,000000,2.58,2.581,2.531,2.5555,14463,0
TCO0.DE,D,20210430,000000,2.532,2.5665,2.529,2.5475,6155,0
TCO0.DE,D,20210503,000000,2.6,2.65,2.565,2.565,1857,0
TCO0.DE,D,20210504,000000,2.6,2.625,2.6,2.604,7185,0
TCO0.DE,D,20210505,000000,2.625,2.625,2.6,2.6135,30732,0
TCO0.DE,D,20210506,000000,2.636,2.636,2.6235,2.6235,1000,0
TCO0.DE,D,20210507,000000,2.65,2.655,2.6315,2.6315,9122,0
TCO0.DE,D,20210510,000000,2.66,2.682,2.66,2.665,21073,0
TCO0.DE,D,20210511,000000,2.66,2.662,2.619,2.6415,35791,0
TCO0.DE,D,20210512,000000,2.63,2.6655,2.627,2.649,60650,0
TCO0.DE,D,20210513,000000,2.6325,2.6455,2.6,2.639,110922,0
TCO0.DE,D,20210514,000000,2.662,2.715,2.662,2.67,3976,0
TCO0.DE,D,20210517,000000,2.723,2.74,2.67,2.7145,12909,0
TCO0.DE,D,20210518,000000,2.749,2.759,2.6795,2.6795,8275,0
TCO0.DE,D,20210519,000000,2.7255,2.7255,2.685,2.6925,17079,0
