<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TL0.DE,D,20100714,000000,2.88,2.88,2.88,2.88,4025,0
TL0.DE,D,20100715,000000,3.1,3.1,3.1,3.1,5575,0
TL0.DE,D,20100716,000000,3.096,3.24,3.035,3.24,29485,0
TL0.DE,D,20100719,000000,3.24,3.43,3.18,3.276,40510,0
TL0.DE,D,20100720,000000,3.368,3.4,3.26,3.32,16805,0
TL0.DE,D,20100721,000000,3.2,3.309,3.16,3.16,7180,0
TL0.DE,D,20100722,000000,3.176,3.231,3.176,3.18,3055,0
TL0.DE,D,20100723,000000,3.294,3.44,3.246,3.44,5620,0
TL0.DE,D,20100726,000000,3.336,3.336,3.336,3.336,100,0
TL0.DE,D,20100727,000000,3.216,3.281,3.21,3.22,3520,0
TL0.DE,D,20100728,000000,3.125,3.19,3.125,3.19,1775,0
TL0.DE,D,20100729,000000,3.196,3.196,3.059,3.059,3550,0
TL0.DE,D,20100730,000000,3.151,3.158,3.053,3.053,2700,0
TL0.DE,D,20100802,000000,3.12,3.13,3.081,3.117,3970,0
TL0.DE,D,20100803,000000,3.2,3.2,3.176,3.176,3770,0
TL0.DE,D,20100804,000000,3.36,3.36,3.303,3.31,7775,0
TL0.DE,D,20100805,000000,3.169,3.205,3.142,3.176,15200,0
TL0.DE,D,20100806,000000,3.136,3.136,2.917,2.917,16585,0
TL0.DE,D,20100809,000000,2.954,3.03,2.954,2.996,7040,0
TL0.DE,D,20100810,000000,2.996,3.034,2.98,2.98,1800,0
TL0.DE,D,20100811,000000,2.966,2.966,2.857,2.857,7475,0
TL0.DE,D,20100812,000000,2.762,2.793,2.699,2.75,19335,0
TL0.DE,D,20100813,000000,2.77,2.872,2.719,2.872,5130,0
TL0.DE,D,20100816,000000,2.899,2.906,2.88,2.88,7010,0
TL0.DE,D,20100817,000000,2.887,3.02,2.887,3.02,4400,0
TL0.DE,D,20100818,000000,3.01,3.01,3,3,1200,0
TL0.DE,D,20100819,000000,2.946,2.952,2.944,2.952,270,0
