<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UEF0.DE,D,20140618,000000,16.04,16.04,16.04,16.04,0,0
UEF0.DE,D,20140619,000000,16.1,16.1,16.08,16.08,1000,0
UEF0.DE,D,20140620,000000,16.05,16.05,16.05,16.05,0,0
UEF0.DE,D,20140623,000000,16.09,16.09,16.09,16.09,0,0
UEF0.DE,D,20140624,000000,16.08,16.13,16.08,16.13,0,0
UEF0.DE,D,20140630,000000,16.16,16.16,16.16,16.16,0,0
UEF0.DE,D,20140701,000000,16.13,16.13,16.13,16.13,0,0
UEF0.DE,D,20140703,000000,16.02,16.02,16.02,16.02,0,0
UEF0.DE,D,20140704,000000,16.04,16.04,16.04,16.04,0,0
UEF0.DE,D,20140707,000000,16.07,16.07,16.07,16.07,0,0
UEF0.DE,D,20140709,000000,16.11,16.11,16.11,16.11,0,0
UEF0.DE,D,20140711,000000,16.17,16.17,16.17,16.17,0,0
UEF0.DE,D,20140714,000000,16.14,16.14,16.14,16.14,0,0
UEF0.DE,D,20140715,000000,16.12,16.12,16.12,16.12,0,0
UEF0.DE,D,20140716,000000,16.14,16.14,16.14,16.14,0,0
UEF0.DE,D,20140718,000000,16.19,16.19,16.19,16.19,0,0
UEF0.DE,D,20140721,000000,16.23,16.23,16.23,16.23,0,0
UEF0.DE,D,20140722,000000,16.19,16.19,16.19,16.19,0,0
UEF0.DE,D,20140723,000000,16.22,16.22,16.22,16.22,0,0
UEF0.DE,D,20140724,000000,16.18,16.18,16.18,16.18,0,0
UEF0.DE,D,20140725,000000,16.22,16.22,16.22,16.22,0,0
UEF0.DE,D,20140728,000000,16.22,16.22,16.22,16.22,0,0
UEF0.DE,D,20140729,000000,16.23,16.23,16.23,16.23,0,0
UEF0.DE,D,20140731,000000,16.14,16.14,16.14,16.14,0,0
UEF0.DE,D,20140801,000000,16.16,16.16,16.16,16.16,0,0
UEF0.DE,D,20140804,000000,16.18,16.18,16.18,16.18,0,0
UEF0.DE,D,20140807,000000,16.2,16.200001,16.2,16.200001,0,0
UEF0.DE,D,20140811,000000,16.2,16.200001,16.2,16.200001,0,0
UEF0.DE,D,20140812,000000,16.21,16.21,16.209999,16.209999,0,0
UEF0.DE,D,20140813,000000,16.22,16.22,16.219999,16.219999,0,0
UEF0.DE,D,20140814,000000,16.24,16.24,16.24,16.24,0,0
UEF0.DE,D,20140818,000000,16.34,16.34,16.34,16.34,3100,0
UEF0.DE,D,20140820,000000,16.27,16.27,16.27,16.27,0,0
UEF0.DE,D,20140821,000000,16.27,16.27,16.27,16.27,0,0
UEF0.DE,D,20140822,000000,16.29,16.290001,16.29,16.290001,0,0
UEF0.DE,D,20140825,000000,16.31,16.31,16.309999,16.309999,0,0
UEF0.DE,D,20140826,000000,16.33,16.33,16.33,16.33,0,0
UEF0.DE,D,20140827,000000,16.37,16.370001,16.37,16.370001,0,0
UEF0.DE,D,20140828,000000,16.42,16.42,16.42,16.42,0,0
UEF0.DE,D,20140829,000000,16.42,16.42,16.42,16.42,0,0
