<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UEFR.DE,D,20120510,000000,86.326575,86.326575,86.326575,86.326575,0,0
UEFR.DE,D,20120511,000000,86.326575,86.326575,86.326575,86.326575,0,0
UEFR.DE,D,20120514,000000,86.458028,86.458028,86.458028,86.458028,0,0
UEFR.DE,D,20120515,000000,86.401691,86.401691,86.401691,86.401691,0,0
UEFR.DE,D,20120516,000000,86.223291,86.223291,86.223291,86.223291,0,0
UEFR.DE,D,20120517,000000,86.270239,86.270239,86.270239,86.270239,0,0
UEFR.DE,D,20120518,000000,86.07306,86.07306,86.07306,86.07306,0,0
UEFR.DE,D,20120521,000000,86.07306,86.07306,86.07306,86.07306,0,0
UEFR.DE,D,20120522,000000,85.997945,85.997945,85.997945,85.997945,0,0
UEFR.DE,D,20120523,000000,86.120008,86.120008,86.120008,86.120008,0,0
UEFR.DE,D,20120524,000000,86.044892,86.044892,86.044892,86.044892,0,0
UEFR.DE,D,20120525,000000,86.044892,86.08245,86.044892,86.08245,1200,0
UEFR.DE,D,20120528,000000,86.110618,86.110618,86.110618,86.110618,0,0
UEFR.DE,D,20120529,000000,86.091839,86.120008,86.091839,86.120008,500,0
UEFR.DE,D,20120530,000000,86.24207,86.24207,86.24207,86.24207,0,0
UEFR.DE,D,20120601,000000,86.307796,86.307796,86.307796,86.307796,0,0
UEFR.DE,D,20120604,000000,86.157565,86.157565,86.157565,86.157565,0,0
UEFR.DE,D,20120605,000000,86.176344,86.176344,86.176344,86.176344,0,0
UEFR.DE,D,20120606,000000,85.875882,85.875882,85.875882,85.875882,0,0
UEFR.DE,D,20120607,000000,85.763209,85.791377,85.763209,85.791377,10000,0
UEFR.DE,D,20120608,000000,85.885271,85.885271,85.885271,85.885271,0,0
UEFR.DE,D,20120611,000000,86.063671,86.063671,85.885271,86.063671,0,0
UEFR.DE,D,20120612,000000,85.659925,85.885271,85.659925,85.659925,0,0
UEFR.DE,D,20120613,000000,85.490915,85.885271,85.490915,85.490915,0,0
UEFR.DE,D,20120614,000000,85.519083,85.519083,85.519083,85.519083,0,0
UEFR.DE,D,20120615,000000,85.678704,85.678704,85.678704,85.678704,0,0
UEFR.DE,D,20120618,000000,85.819545,85.819545,85.819545,85.819545,0,0
UEFR.DE,D,20120619,000000,85.490915,85.490915,85.490915,85.490915,0,0
UEFR.DE,D,20120620,000000,85.340683,85.340683,85.340683,85.340683,0,0
UEFR.DE,D,20120621,000000,85.659925,85.819545,85.659925,85.819545,10500,0
UEFR.DE,D,20120622,000000,85.716261,85.716261,85.716261,85.716261,0,0
UEFR.DE,D,20120625,000000,86.07306,86.07306,86.07306,86.07306,0,0
UEFR.DE,D,20120626,000000,85.950998,85.950998,85.950998,85.950998,0,0
UEFR.DE,D,20120627,000000,85.753819,85.753819,85.753819,85.753819,0,0
UEFR.DE,D,20120628,000000,85.91344,85.91344,85.91344,85.91344,0,0
UEFR.DE,D,20120629,000000,85.979166,85.979166,85.979166,85.979166,0,0
UEFR.DE,D,20120702,000000,86.345354,86.345354,86.345354,86.345354,0,0
UEFR.DE,D,20120703,000000,86.41108,86.41108,86.41108,86.41108,0,0
UEFR.DE,D,20120704,000000,86.711543,86.711543,86.711543,86.711543,0,0
UEFR.DE,D,20120705,000000,87.002616,87.002616,87.002616,87.002616,0,0
UEFR.DE,D,20120706,000000,87.134068,87.134068,87.134068,87.134068,0,0
UEFR.DE,D,20120709,000000,87.26552,87.26552,87.143457,87.143457,215,0
UEFR.DE,D,20120710,000000,87.218573,87.218573,87.218573,87.218573,0,0
UEFR.DE,D,20120711,000000,87.303078,87.303078,87.303078,87.303078,0,0
UEFR.DE,D,20120713,000000,87.43453,87.43453,87.43453,87.43453,0,0
UEFR.DE,D,20120716,000000,87.509646,87.509646,87.509646,87.509646,0,0
UEFR.DE,D,20120717,000000,87.584761,87.584761,87.584761,87.584761,0,0
UEFR.DE,D,20120718,000000,87.753771,87.753771,87.753771,87.753771,0,0
UEFR.DE,D,20120719,000000,87.791329,87.791329,87.791329,87.791329,0,0
UEFR.DE,D,20120720,000000,87.913392,87.913392,87.913392,87.913392,0,0
UEFR.DE,D,20120723,000000,87.716214,87.716214,87.716214,87.716214,0,0
UEFR.DE,D,20120724,000000,87.547203,87.547203,87.547203,87.547203,0,0
UEFR.DE,D,20120725,000000,87.509646,87.509646,87.509646,87.509646,0,0
UEFR.DE,D,20120726,000000,87.490867,87.490867,87.490867,87.490867,0,0
UEFR.DE,D,20120727,000000,87.350025,87.350025,87.350025,87.350025,0,0
UEFR.DE,D,20120730,000000,87.60354,87.60354,87.60354,87.60354,0,0
UEFR.DE,D,20120731,000000,87.979118,87.979118,87.979118,87.979118,0,0
UEFR.DE,D,20120801,000000,87.791329,87.791329,87.791329,87.791329,0,0
UEFR.DE,D,20120802,000000,88.035455,88.035455,88.035455,88.035455,0,0
UEFR.DE,D,20120803,000000,87.669266,87.669266,87.669266,87.669266,0,0
UEFR.DE,D,20120806,000000,87.979118,87.979118,87.979118,87.979118,0,0
UEFR.DE,D,20120807,000000,87.904002,87.904002,87.904002,87.904002,0,0
UEFR.DE,D,20120808,000000,88.176296,88.176296,88.176296,88.176296,0,0
UEFR.DE,D,20120809,000000,88.373475,88.373475,88.373475,88.373475,0,0
UEFR.DE,D,20120810,000000,88.523706,88.523706,88.523706,88.523706,0,0
UEFR.DE,D,20120813,000000,88.523706,88.523706,88.523706,88.523706,0,0
UEFR.DE,D,20120814,000000,88.411033,88.411033,88.411033,88.411033,0,0
UEFR.DE,D,20120815,000000,88.270191,88.270191,88.270191,88.270191,0,0
UEFR.DE,D,20120816,000000,88.429812,88.429812,88.429812,88.429812,0,0
UEFR.DE,D,20120817,000000,88.570653,88.570653,88.570653,88.570653,0,0
UEFR.DE,D,20120820,000000,88.561264,88.561264,88.561264,88.561264,0,0
UEFR.DE,D,20120821,000000,88.486148,88.486148,88.486148,88.486148,0,0
UEFR.DE,D,20120822,000000,88.580043,88.580043,88.580043,88.580043,0,0
UEFR.DE,D,20120823,000000,88.702105,88.702105,88.702105,88.702105,0,0
UEFR.DE,D,20120824,000000,88.608211,88.608211,88.608211,88.608211,0,0
UEFR.DE,D,20120827,000000,88.598822,88.598822,88.598822,88.598822,0,0
