<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UETE.DE,D,20190621,000000,13.808,13.852,13.79,13.79,100,0
UETE.DE,D,20190624,000000,13.778,13.778,13.72,13.734,0,0
UETE.DE,D,20190625,000000,13.66,13.706,13.66,13.706,0,0
UETE.DE,D,20190626,000000,13.682,13.688,13.682,13.688,0,0
UETE.DE,D,20190627,000000,13.768,13.768,13.736,13.736,0,0
UETE.DE,D,20190628,000000,13.744,13.744,13.718,13.718,0,0
UETE.DE,D,20190701,000000,13.944,13.944,13.908,13.914,0,0
UETE.DE,D,20190702,000000,13.904,13.904,13.864,13.864,0,0
UETE.DE,D,20190703,000000,13.818,13.866,13.818,13.866,0,0
UETE.DE,D,20190704,000000,13.92,13.978,13.92,13.978,0,0
UETE.DE,D,20190705,000000,13.918,13.942,13.886,13.886,200,0
UETE.DE,D,20190708,000000,13.808,13.892,13.808,13.892,0,0
UETE.DE,D,20190709,000000,13.788,13.832,13.776,13.832,0,0
UETE.DE,D,20190710,000000,13.798,13.92,13.798,13.92,0,0
UETE.DE,D,20190711,000000,13.97,14,13.88,13.88,0,0
UETE.DE,D,20190712,000000,13.896,13.898,13.852,13.852,0,0
UETE.DE,D,20190715,000000,13.916,13.936,13.916,13.936,0,0
UETE.DE,D,20190716,000000,13.966,14.028,13.966,14.014,0,0
UETE.DE,D,20190717,000000,14.022,14.022,13.962,13.962,0,0
UETE.DE,D,20190718,000000,13.946,14.024,13.946,14.024,0,0
UETE.DE,D,20190719,000000,14.076,14.076,14.046,14.046,0,0
UETE.DE,D,20190722,000000,13.94,14.022,13.94,14.022,0,0
UETE.DE,D,20190723,000000,14.062,14.082,14.062,14.066,0,0
UETE.DE,D,20190724,000000,14.052,14.074,14.052,14.074,0,0
UETE.DE,D,20190725,000000,14.062,14.062,13.9,13.9,0,0
UETE.DE,D,20190726,000000,13.9,13.9,13.858,13.858,0,0
UETE.DE,D,20190729,000000,13.836,13.89,13.836,13.864,0,0
UETE.DE,D,20190730,000000,13.896,13.916,13.772,13.772,679,0
UETE.DE,D,20190731,000000,13.776,13.778,13.776,13.778,0,0
UETE.DE,D,20190801,000000,13.742,13.784,13.74,13.784,0,0
UETE.DE,D,20190802,000000,13.486,13.486,13.328,13.328,679,0
UETE.DE,D,20190805,000000,13.178,13.178,12.908,12.908,10,0
UETE.DE,D,20190806,000000,12.922,13.054,12.922,12.97,0,0
UETE.DE,D,20190807,000000,13.054,13.058,12.886,12.886,0,0
UETE.DE,D,20190808,000000,13.132,13.146,13.088,13.146,0,0
UETE.DE,D,20190809,000000,13.208,13.208,13.006,13.006,0,0
UETE.DE,D,20190812,000000,13.06,13.06,12.842,12.842,0,0
UETE.DE,D,20190813,000000,12.772,12.964,12.734,12.964,0,0
UETE.DE,D,20190814,000000,12.98,12.98,12.836,12.836,0,0
UETE.DE,D,20190815,000000,12.762,12.762,12.65,12.76,0,0
UETE.DE,D,20190816,000000,12.9,12.95,12.9,12.948,0,0
UETE.DE,D,20190819,000000,13.068,13.068,12.954,12.954,0,0
UETE.DE,D,20190820,000000,12.966,12.966,12.93,12.93,0,0
UETE.DE,D,20190821,000000,12.99,13.01,12.99,13.01,0,0
UETE.DE,D,20190822,000000,13.002,13.002,12.908,12.908,0,0
UETE.DE,D,20190823,000000,12.994,12.998,12.756,12.756,0,0
UETE.DE,D,20190826,000000,12.768,12.826,12.768,12.826,0,0
UETE.DE,D,20190827,000000,12.774,12.826,12.774,12.826,0,0
UETE.DE,D,20190828,000000,12.806,12.844,12.806,12.844,0,0
UETE.DE,D,20190829,000000,12.778,12.982,12.778,12.982,0,0
UETE.DE,D,20190830,000000,13.076,13.212,13.076,13.212,0,0
UETE.DE,D,20190902,000000,13.204,13.236,13.178,13.178,0,0
UETE.DE,D,20190903,000000,13.124,13.156,13.12,13.156,0,0
UETE.DE,D,20190904,000000,13.238,13.24,13.208,13.24,0,0
UETE.DE,D,20190905,000000,13.32,13.362,13.32,13.362,0,0
UETE.DE,D,20190906,000000,13.374,13.444,13.374,13.444,0,0
UETE.DE,D,20190909,000000,13.578,13.578,13.48,13.48,95,0
UETE.DE,D,20190910,000000,13.43,13.444,13.42,13.42,0,0
UETE.DE,D,20190911,000000,13.502,13.584,13.502,13.584,0,0
UETE.DE,D,20190912,000000,13.6,13.63,13.6,13.63,0,0
UETE.DE,D,20190913,000000,13.6,13.682,13.6,13.682,0,0
UETE.DE,D,20190916,000000,13.522,13.724,13.522,13.724,0,0
UETE.DE,D,20190917,000000,13.57,13.57,13.508,13.55,0,0
UETE.DE,D,20190918,000000,13.576,13.616,13.564,13.564,0,0
UETE.DE,D,20190919,000000,13.496,13.552,13.466,13.552,0,0
UETE.DE,D,20190920,000000,13.58,13.618,13.58,13.618,0,0
UETE.DE,D,20190923,000000,13.616,13.616,13.572,13.612,0,0
UETE.DE,D,20190924,000000,13.608,13.636,13.532,13.532,0,0
UETE.DE,D,20190925,000000,13.476,13.506,13.418,13.506,0,0
UETE.DE,D,20190926,000000,13.518,13.592,13.518,13.566,0,0
UETE.DE,D,20190927,000000,13.586,13.586,13.58,13.58,0,0
UETE.DE,D,20191001,000000,13.592,13.592,13.434,13.434,0,0
UETE.DE,D,20191002,000000,13.346,13.346,13.202,13.202,0,0
UETE.DE,D,20191004,000000,13.342,13.438,13.3,13.438,0,0
UETE.DE,D,20191007,000000,13.394,13.394,13.388,13.39,0,0
UETE.DE,D,20191008,000000,13.432,13.432,13.284,13.344,0,0
UETE.DE,D,20191009,000000,13.336,13.394,13.336,13.366,0,0
UETE.DE,D,20191010,000000,13.344,13.474,13.316,13.474,0,0
UETE.DE,D,20191011,000000,13.494,13.684,13.494,13.684,0,0
UETE.DE,D,20191014,000000,13.612,13.612,13.56,13.582,0,0
UETE.DE,D,20191015,000000,13.606,13.61,13.596,13.61,0,0
UETE.DE,D,20191016,000000,13.564,13.614,13.564,13.612,0,0
UETE.DE,D,20191017,000000,13.624,13.662,13.624,13.632,0,0
UETE.DE,D,20191018,000000,13.582,13.622,13.582,13.604,0,0
UETE.DE,D,20191021,000000,13.608,13.632,13.608,13.612,0,0
UETE.DE,D,20191022,000000,13.644,13.716,13.644,13.716,0,0
UETE.DE,D,20191023,000000,13.67,13.736,13.664,13.736,0,0
UETE.DE,D,20191024,000000,13.768,13.78,13.768,13.78,0,0
UETE.DE,D,20191025,000000,13.726,13.786,13.688,13.786,0,0
UETE.DE,D,20191028,000000,13.828,13.906,13.828,13.906,0,0
UETE.DE,D,20191029,000000,13.916,13.916,13.854,13.854,0,0
UETE.DE,D,20191030,000000,13.856,13.856,13.818,13.818,0,0
UETE.DE,D,20191031,000000,13.896,13.896,13.736,13.736,0,0
UETE.DE,D,20191101,000000,13.84,13.84,13.84,13.84,0,0
UETE.DE,D,20191104,000000,13.99,14.084,13.99,14.028,1100,0
UETE.DE,D,20191105,000000,14.084,14.17,14.084,14.164,0,0
UETE.DE,D,20191106,000000,14.134,14.19,14.134,14.164,0,0
UETE.DE,D,20191107,000000,14.222,14.264,14.222,14.264,0,0
UETE.DE,D,20191108,000000,14.204,14.204,14.176,14.176,0,0
UETE.DE,D,20191111,000000,13.93,14.018,13.93,14.018,0,0
UETE.DE,D,20191112,000000,14.084,14.086,14.002,14.002,2,0
UETE.DE,D,20191113,000000,13.9,13.9,13.84,13.888,0,0
UETE.DE,D,20191114,000000,13.986,13.986,13.928,13.928,0,0
UETE.DE,D,20191115,000000,14.012,14.046,13.998,14.046,0,0
UETE.DE,D,20191118,000000,14.032,14.032,13.946,13.946,0,0
UETE.DE,D,20191119,000000,13.964,13.964,13.878,13.878,0,0
UETE.DE,D,20191120,000000,13.892,13.922,13.892,13.922,0,0
UETE.DE,D,20191121,000000,13.812,13.83,13.812,13.83,0,0
UETE.DE,D,20191122,000000,13.854,13.892,13.854,13.87,0,0
UETE.DE,D,20191125,000000,13.984,14.002,13.984,13.99,0,0
UETE.DE,D,20191126,000000,13.962,13.962,13.864,13.864,0,0
UETE.DE,D,20191127,000000,13.944,13.944,13.882,13.882,0,0
UETE.DE,D,20191128,000000,13.864,13.864,13.834,13.834,0,0
UETE.DE,D,20191129,000000,13.732,13.82,13.732,13.782,0,0
UETE.DE,D,20191202,000000,13.784,13.784,13.66,13.66,0,0
UETE.DE,D,20191203,000000,13.714,13.714,13.564,13.564,0,0
UETE.DE,D,20191204,000000,13.618,13.8,13.618,13.746,9000,0
UETE.DE,D,20191205,000000,13.782,13.782,13.73,13.73,0,0
UETE.DE,D,20191206,000000,13.798,13.858,13.786,13.858,0,0
UETE.DE,D,20191209,000000,13.862,13.862,13.786,13.786,0,0
UETE.DE,D,20191210,000000,13.802,13.802,13.71,13.73,0,0
UETE.DE,D,20191211,000000,13.786,13.838,13.786,13.838,0,0
UETE.DE,D,20191212,000000,13.9,14.038,13.878,14.038,0,0
UETE.DE,D,20191213,000000,14.108,14.118,14.086,14.086,0,0
UETE.DE,D,20191216,000000,14.132,14.218,14.132,14.218,0,0
UETE.DE,D,20191217,000000,14.26,14.26,14.25,14.25,0,0
UETE.DE,D,20191218,000000,14.314,14.378,14.314,14.378,0,0
UETE.DE,D,20191219,000000,14.41,14.448,14.396,14.448,0,0
UETE.DE,D,20191220,000000,14.422,14.542,14.422,14.542,0,0
UETE.DE,D,20191223,000000,14.492,14.578,14.492,14.494,220,0
UETE.DE,D,20191227,000000,16,16,14.456,14.456,2,0
UETE.DE,D,20191230,000000,14.442,14.452,14.358,14.452,420,0
UETE.DE,D,20200102,000000,14.506,14.556,14.506,14.556,0,0
UETE.DE,D,20200103,000000,14.438,14.46,14.42,14.446,72,0
UETE.DE,D,20200106,000000,14.286,14.304,14.22,14.304,0,0
UETE.DE,D,20200107,000000,14.344,14.38,14.344,14.38,0,0
UETE.DE,D,20200108,000000,14.234,14.378,14.234,14.378,0,0
UETE.DE,D,20200109,000000,14.51,14.51,14.472,14.472,0,0
UETE.DE,D,20200110,000000,14.504,14.546,14.504,14.516,0,0
UETE.DE,D,20200113,000000,14.578,14.578,14.568,14.572,0,0
UETE.DE,D,20200114,000000,14.544,14.584,14.544,14.584,0,0
UETE.DE,D,20200115,000000,14.578,14.61,14.538,14.538,0,0
UETE.DE,D,20200116,000000,14.544,14.658,14.544,14.62,150,0
UETE.DE,D,20200117,000000,14.622,14.674,14.622,14.674,0,0
UETE.DE,D,20200120,000000,14.644,14.716,14.644,14.648,150,0
UETE.DE,D,20200121,000000,14.48,14.48,14.436,14.48,556,0
UETE.DE,D,20200122,000000,14.558,14.558,14.532,14.532,0,0
UETE.DE,D,20200123,000000,14.488,14.488,14.408,14.408,0,0
UETE.DE,D,20200124,000000,14.602,14.626,14.556,14.556,0,0
UETE.DE,D,20200127,000000,14.074,14.074,14.062,14.062,0,0
UETE.DE,D,20200128,000000,14.15,14.152,14.09,14.152,0,0
UETE.DE,D,20200129,000000,14.276,14.276,14.208,14.208,21300,0
UETE.DE,D,20200130,000000,13.976,13.976,13.906,13.906,0,0
UETE.DE,D,20200131,000000,13.956,13.956,13.656,13.656,20000,0
UETE.DE,D,20200203,000000,13.74,13.866,13.74,13.832,10050,0
UETE.DE,D,20200204,000000,14.096,14.236,14.096,14.236,10000,0
UETE.DE,D,20200205,000000,14.348,14.348,14.344,14.344,0,0
UETE.DE,D,20200206,000000,14.442,14.45,14.388,14.388,2036,0
UETE.DE,D,20200207,000000,14.314,14.314,14.204,14.204,0,0
UETE.DE,D,20200210,000000,14.228,14.268,14.216,14.268,900,0
UETE.DE,D,20200211,000000,14.428,14.464,14.384,14.464,0,0
UETE.DE,D,20200212,000000,14.552,14.61,14.552,14.604,49000,0
UETE.DE,D,20200213,000000,14.51,14.586,14.51,14.586,0,0
UETE.DE,D,20200214,000000,14.586,14.586,14.546,14.546,0,0
UETE.DE,D,20200217,000000,14.626,14.626,14.588,14.606,0,0
UETE.DE,D,20200218,000000,14.442,14.458,14.442,14.458,0,0
UETE.DE,D,20200219,000000,14.592,14.592,14.572,14.572,0,0
UETE.DE,D,20200220,000000,14.514,14.514,14.244,14.244,0,0
UETE.DE,D,20200221,000000,14.216,14.232,14.194,14.194,0,0
UETE.DE,D,20200224,000000,13.9,13.9,13.624,13.624,0,0
UETE.DE,D,20200225,000000,13.836,13.836,13.594,13.594,0,0
UETE.DE,D,20200226,000000,13.618,13.696,13.582,13.696,0,0
UETE.DE,D,20200227,000000,13.51,13.51,13.176,13.176,0,0
UETE.DE,D,20200228,000000,12.77,12.77,12.728,12.728,0,0
UETE.DE,D,20200302,000000,13.054,13.054,12.646,12.814,0,0
UETE.DE,D,20200303,000000,12.978,13.084,12.978,13.084,0,0
UETE.DE,D,20200304,000000,13.042,13.218,13.042,13.102,0,0
UETE.DE,D,20200305,000000,13.228,13.228,12.918,12.936,2000,0
UETE.DE,D,20200306,000000,12.648,12.648,12.372,12.372,108,0
UETE.DE,D,20200309,000000,11.478,11.478,11.436,11.436,0,0
UETE.DE,D,20200310,000000,11.778,11.952,11.76,11.76,0,0
UETE.DE,D,20200311,000000,11.768,11.768,11.758,11.758,0,0
UETE.DE,D,20200312,000000,10.796,10.796,10.298,10.298,2000,0
UETE.DE,D,20200313,000000,11.286,11.286,10.948,10.948,0,0
UETE.DE,D,20200316,000000,9.947,10.106,9.947,10.106,0,0
UETE.DE,D,20200317,000000,10.256,10.264,10.01,10.264,2000,0
UETE.DE,D,20200318,000000,9.543,9.555,9.543,9.555,0,0
UETE.DE,D,20200319,000000,9.38,9.513,9.38,9.513,0,0
UETE.DE,D,20200320,000000,10.29,10.29,9.943,9.943,2628,0
UETE.DE,D,20200323,000000,9.289,9.289,9.27,9.27,2,0
UETE.DE,D,20200324,000000,9.755,9.971,9.755,9.971,0,0
UETE.DE,D,20200325,000000,10.236,10.304,10.158,10.304,0,0
UETE.DE,D,20200326,000000,10.234,10.642,10.234,10.642,0,0
UETE.DE,D,20200327,000000,10.358,10.358,10.104,10.104,0,0
UETE.DE,D,20200330,000000,10.104,10.148,10.018,10.148,1,0
UETE.DE,D,20200331,000000,10.3,10.41,10.3,10.41,192,0
UETE.DE,D,20200401,000000,10.03,10.038,9.948,9.948,640,0
UETE.DE,D,20200402,000000,10.188,10.226,10.188,10.226,0,0
UETE.DE,D,20200403,000000,10.168,10.168,10.06,10.06,40,0
UETE.DE,D,20200406,000000,10.408,10.562,10.408,10.562,0,0
UETE.DE,D,20200407,000000,10.728,10.868,10.728,10.822,0,0
UETE.DE,D,20200408,000000,10.674,10.764,10.674,10.764,0,0
UETE.DE,D,20200409,000000,10.946,10.99,10.884,10.958,1488,0
UETE.DE,D,20200414,000000,10.996,11.038,10.996,11.038,0,0
UETE.DE,D,20200415,000000,10.996,10.996,10.678,10.678,540,0
UETE.DE,D,20200416,000000,10.888,10.888,10.838,10.872,0,0
UETE.DE,D,20200417,000000,11.156,11.156,10.93,10.93,0,0
UETE.DE,D,20200420,000000,11.016,11.016,10.964,11.014,0,0
UETE.DE,D,20200421,000000,10.87,10.87,10.602,10.602,500,0
UETE.DE,D,20200422,000000,10.808,10.936,10.808,10.936,0,0
UETE.DE,D,20200423,000000,11.076,11.088,11.076,11.088,0,0
UETE.DE,D,20200424,000000,10.958,10.974,10.81,10.834,620,0
UETE.DE,D,20200427,000000,10.974,11.06,10.974,11.014,300,0
UETE.DE,D,20200428,000000,11.116,11.176,11.116,11.176,0,0
UETE.DE,D,20200429,000000,11.276,11.424,11.276,11.424,0,0
UETE.DE,D,20200430,000000,11.552,11.552,11.28,11.28,69,0
UETE.DE,D,20200504,000000,10.864,10.934,10.864,10.934,0,0
UETE.DE,D,20200505,000000,10.748,11.226,10.748,11.226,0,0
UETE.DE,D,20200506,000000,11.27,11.27,11.064,11.064,17256,0
UETE.DE,D,20200507,000000,11.162,11.162,11.142,11.142,0,0
UETE.DE,D,20200508,000000,11.196,11.294,11.196,11.294,0,0
UETE.DE,D,20200511,000000,11.214,11.218,11.204,11.218,180,0
UETE.DE,D,20200512,000000,11.218,11.254,11.218,11.254,0,0
UETE.DE,D,20200513,000000,11.228,11.228,11.156,11.156,0,0
UETE.DE,D,20200514,000000,11.028,11.036,11.028,11.036,0,0
UETE.DE,D,20200515,000000,10.988,10.988,10.952,10.952,0,0
UETE.DE,D,20200518,000000,11.076,11.244,11.076,11.244,0,0
UETE.DE,D,20200519,000000,11.188,11.238,11.134,11.238,0,0
UETE.DE,D,20200520,000000,11.258,11.276,11.258,11.276,0,0
UETE.DE,D,20200521,000000,11.198,11.232,11.184,11.232,0,0
UETE.DE,D,20200522,000000,11.136,11.212,11.136,11.186,0,0
UETE.DE,D,20200525,000000,11.376,11.404,11.376,11.404,0,0
UETE.DE,D,20200526,000000,11.518,11.518,11.478,11.486,0,0
UETE.DE,D,20200527,000000,11.376,11.58,11.376,11.416,4018,0
UETE.DE,D,20200528,000000,11.484,11.498,11.484,11.484,0,0
UETE.DE,D,20200529,000000,11.342,11.38,11.322,11.322,0,0
UETE.DE,D,20200602,000000,11.794,11.896,11.794,11.896,0,0
UETE.DE,D,20200603,000000,12.066,12.206,12.066,12.206,0,0
UETE.DE,D,20200604,000000,12.128,12.146,12.038,12.038,0,0
UETE.DE,D,20200605,000000,12.09,12.42,12.09,12.42,0,0
UETE.DE,D,20200608,000000,12.252,12.31,12.252,12.31,0,0
UETE.DE,D,20200609,000000,12.432,12.432,12.228,12.228,2,0
UETE.DE,D,20200610,000000,12.31,12.334,12.252,12.252,2002,0
UETE.DE,D,20200611,000000,12.062,12.062,11.846,11.846,700,0
UETE.DE,D,20200612,000000,11.874,12.054,11.874,12.036,2558,0
UETE.DE,D,20200615,000000,11.688,11.728,11.688,11.728,0,0
UETE.DE,D,20200616,000000,12.012,12.104,12.012,12.048,0,0
UETE.DE,D,20200617,000000,12.096,12.188,12.096,12.188,0,0
UETE.DE,D,20200618,000000,12.182,12.182,12.17,12.174,0,0
UETE.DE,D,20200619,000000,12.26,12.302,12.246,12.246,0,0
UETE.DE,D,20200622,000000,12.184,12.2,12.136,12.2,0,0
UETE.DE,D,20200623,000000,12.252,12.338,12.252,12.338,2,0
UETE.DE,D,20200624,000000,12.338,12.338,12.114,12.114,0,0
UETE.DE,D,20200625,000000,12.056,12.162,12.056,12.162,0,0
UETE.DE,D,20200626,000000,12.248,12.26,12.08,12.08,0,0
UETE.DE,D,20200629,000000,11.982,12.092,11.982,12.092,0,0
UETE.DE,D,20200630,000000,12.178,12.178,12.074,12.074,0,0
UETE.DE,D,20200701,000000,12.128,12.194,12.128,12.194,0,0
UETE.DE,D,20200702,000000,12.408,12.536,12.408,12.536,0,0
UETE.DE,D,20200703,000000,12.658,12.658,12.572,12.572,0,0
UETE.DE,D,20200706,000000,12.734,12.762,12.698,12.762,0,0
UETE.DE,D,20200707,000000,12.638,12.686,12.59,12.686,0,0
UETE.DE,D,20200708,000000,12.756,12.768,12.734,12.734,0,0
UETE.DE,D,20200709,000000,12.858,12.926,12.838,12.838,0,0
UETE.DE,D,20200710,000000,12.824,12.866,12.824,12.858,0,0
UETE.DE,D,20200713,000000,12.988,13.036,12.988,13.036,0,0
UETE.DE,D,20200714,000000,12.77,12.77,12.648,12.704,0,0
UETE.DE,D,20200715,000000,12.778,12.81,12.776,12.776,0,0
UETE.DE,D,20200716,000000,12.546,12.618,12.546,12.618,0,0
UETE.DE,D,20200717,000000,12.684,12.684,12.664,12.674,0,0
UETE.DE,D,20200720,000000,12.65,12.716,12.642,12.716,831,0
UETE.DE,D,20200721,000000,12.974,13.074,12.97,12.97,0,0
UETE.DE,D,20200722,000000,12.882,12.882,12.766,12.766,0,0
UETE.DE,D,20200723,000000,12.87,12.87,12.758,12.758,0,0
