<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UIQN.DE,D,20180705,000000,9.1995,9.1995,9.1995,9.1995,0,0
UIQN.DE,D,20180706,000000,9.2135,9.2135,9.2135,9.2135,0,0
UIQN.DE,D,20180709,000000,9.2595,9.2595,9.2595,9.2595,0,0
UIQN.DE,D,20180710,000000,9.3145,9.3145,9.3145,9.3145,0,0
UIQN.DE,D,20180711,000000,9.2225,9.2225,9.2225,9.2225,0,0
UIQN.DE,D,20180712,000000,9.286,9.286,9.2815,9.2815,140,0
UIQN.DE,D,20180713,000000,9.3065,9.3065,9.3065,9.3065,0,0
UIQN.DE,D,20180716,000000,9.306,9.306,9.306,9.306,0,0
UIQN.DE,D,20180717,000000,9.355,9.355,9.355,9.355,0,0
UIQN.DE,D,20180718,000000,9.405,9.405,9.405,9.405,0,0
UIQN.DE,D,20180719,000000,9.378,9.378,9.378,9.378,0,0
UIQN.DE,D,20180720,000000,9.332,9.332,9.332,9.332,0,0
UIQN.DE,D,20180723,000000,9.3,9.3,9.3,9.3,0,0
UIQN.DE,D,20180724,000000,9.356,9.356,9.356,9.356,0,0
UIQN.DE,D,20180725,000000,9.335,9.335,9.335,9.335,0,0
UIQN.DE,D,20180726,000000,9.395,9.397,9.373,9.397,2200,0
UIQN.DE,D,20180727,000000,9.422,9.422,9.422,9.422,0,0
UIQN.DE,D,20180730,000000,9.41,9.41,9.41,9.41,0,0
UIQN.DE,D,20180731,000000,9.416,9.416,9.416,9.416,0,0
UIQN.DE,D,20180801,000000,9.381,9.381,9.381,9.381,0,0
UIQN.DE,D,20180802,000000,9.426,9.426,9.329,9.329,2200,0
UIQN.DE,D,20180803,000000,9.322,9.322,9.322,9.322,1100,0
UIQN.DE,D,20180806,000000,9.33,9.336,9.33,9.336,1100,0
UIQN.DE,D,20180807,000000,9.363,9.363,9.363,9.363,0,0
UIQN.DE,D,20180808,000000,9.35,9.35,9.35,9.35,0,0
UIQN.DE,D,20180809,000000,9.375,9.375,9.371,9.371,2200,0
UIQN.DE,D,20180810,000000,9.262,9.262,9.262,9.262,0,0
UIQN.DE,D,20180813,000000,9.24,9.255,9.24,9.255,281,0
UIQN.DE,D,20180814,000000,9.245,9.245,9.245,9.245,0,0
UIQN.DE,D,20180815,000000,9.109,9.109,9.109,9.109,0,0
UIQN.DE,D,20180816,000000,9.176,9.176,9.176,9.176,0,0
UIQN.DE,D,20180817,000000,9.167,9.167,9.167,9.167,0,0
UIQN.DE,D,20180820,000000,9.221,9.221,9.221,9.221,0,0
UIQN.DE,D,20180821,000000,9.274,9.274,9.274,9.274,0,0
UIQN.DE,D,20180822,000000,9.284,9.284,9.284,9.284,0,0
UIQN.DE,D,20180823,000000,9.295,9.295,9.295,9.295,0,0
UIQN.DE,D,20180824,000000,9.311,9.311,9.311,9.311,0,0
UIQN.DE,D,20180827,000000,9.35,9.385,9.35,9.385,10,0
UIQN.DE,D,20180828,000000,9.386,9.386,9.386,9.386,0,0
UIQN.DE,D,20180829,000000,9.406,9.406,9.406,9.406,0,0
UIQN.DE,D,20180830,000000,9.359,9.359,9.359,9.359,0,0
UIQN.DE,D,20180831,000000,9.285,9.285,9.285,9.285,0,0
UIQN.DE,D,20180903,000000,9.293,9.293,9.293,9.293,0,0
UIQN.DE,D,20180904,000000,9.3,9.3,9.214,9.214,300,0
UIQN.DE,D,20180905,000000,9.105,9.105,9.105,9.105,0,0
UIQN.DE,D,20180906,000000,9.07,9.07,9.07,9.07,0,0
UIQN.DE,D,20180907,000000,9.079,9.092,9.079,9.092,5000,0
UIQN.DE,D,20180910,000000,9.129,9.129,9.129,9.129,0,0
UIQN.DE,D,20180911,000000,9.137,9.137,9.137,9.137,0,0
UIQN.DE,D,20180912,000000,9.193,9.193,9.193,9.193,0,0
UIQN.DE,D,20180913,000000,9.187,9.187,9.187,9.187,0,0
UIQN.DE,D,20180914,000000,9.218,9.218,9.218,9.218,0,0
UIQN.DE,D,20180917,000000,9.204,9.208,9.204,9.208,900,0
UIQN.DE,D,20180918,000000,9.252,9.252,9.252,9.252,0,0
UIQN.DE,D,20180919,000000,9.26,9.26,9.258,9.258,300,0
UIQN.DE,D,20180920,000000,9.286,9.286,9.286,9.286,0,0
UIQN.DE,D,20180921,000000,9.33,9.33,9.33,9.33,0,0
UIQN.DE,D,20180924,000000,9.311,9.311,9.272,9.283,335,0
UIQN.DE,D,20180925,000000,9.306,9.306,9.306,9.306,0,0
UIQN.DE,D,20180926,000000,9.306,9.306,9.306,9.306,0,0
UIQN.DE,D,20180927,000000,9.322,9.322,9.322,9.322,0,0
UIQN.DE,D,20180928,000000,9.23,9.23,9.23,9.23,0,0
UIQN.DE,D,20181001,000000,9.265,9.265,9.265,9.265,0,0
UIQN.DE,D,20181002,000000,9.207,9.207,9.207,9.207,0,0
UIQN.DE,D,20181004,000000,9.125,9.125,9.125,9.125,0,0
UIQN.DE,D,20181005,000000,9.045,9.045,9.045,9.045,0,0
UIQN.DE,D,20181008,000000,8.919,8.919,8.919,8.919,0,0
UIQN.DE,D,20181009,000000,8.946,8.946,8.946,8.946,0,0
UIQN.DE,D,20181010,000000,8.747,8.747,8.747,8.747,260,0
UIQN.DE,D,20181011,000000,8.585,8.585,8.585,8.585,0,0
UIQN.DE,D,20181012,000000,8.578,8.578,8.578,8.578,0,0
UIQN.DE,D,20181015,000000,8.569,8.569,8.569,8.569,0,0
UIQN.DE,D,20181016,000000,8.726,8.726,8.726,8.726,0,0
UIQN.DE,D,20181017,000000,8.703,8.703,8.703,8.703,0,0
