<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
V1L.DE,D,20210111,000000,47.89,47.89,47.89,47.89,0,0
V1L.DE,D,20210112,000000,48.59,48.59,48.59,48.59,0,0
V1L.DE,D,20210113,000000,49,49,48.405,48.405,108,0
V1L.DE,D,20210114,000000,49.24,49.24,49.24,49.24,0,0
V1L.DE,D,20210115,000000,48.72,48.72,48.72,48.72,0,0
V1L.DE,D,20210118,000000,48.72,48.72,48.72,48.72,0,0
V1L.DE,D,20210119,000000,49.935,49.935,49.935,49.935,0,0
V1L.DE,D,20210120,000000,49.755,49.755,49.755,49.755,0,0
V1L.DE,D,20210121,000000,49.8,49.8,48.875,48.875,100,0
V1L.DE,D,20210122,000000,48,48.005,48,48.005,60,0
V1L.DE,D,20210125,000000,48.71,48.71,48.27,48.27,130,0
V1L.DE,D,20210126,000000,48.51,48.51,48.51,48.51,0,0
V1L.DE,D,20210127,000000,48.93,48.93,48.93,48.93,0,0
V1L.DE,D,20210129,000000,48.1,48.1,48.1,48.1,13,0
V1L.DE,D,20210201,000000,47.8,47.8,47.49,47.8,182,0
V1L.DE,D,20210202,000000,47.4,47.4,47.4,47.4,51,0
V1L.DE,D,20210204,000000,50.98,51.22,50.98,51.22,4,0
V1L.DE,D,20210205,000000,51.43,51.43,51.43,51.43,0,0
V1L.DE,D,20210208,000000,52.36,53.6,52,53.17,1408,0
V1L.DE,D,20210209,000000,54.7,54.7,53.02,53.62,342,0
V1L.DE,D,20210210,000000,52.12,53.26,52.12,53.2,306,0
V1L.DE,D,20210211,000000,52.58,52.58,52.58,52.58,0,0
V1L.DE,D,20210212,000000,52.76,52.76,52.76,52.76,0,0
V1L.DE,D,20210215,000000,53.49,53.49,53.49,53.49,0,0
V1L.DE,D,20210216,000000,53.38,55.91,53.38,55.09,90,0
V1L.DE,D,20210217,000000,56.37,56.37,55.39,55.48,400,0
V1L.DE,D,20210218,000000,56.54,56.54,56,56.05,374,0
V1L.DE,D,20210219,000000,58.88,58.88,58.88,58.88,95,0
V1L.DE,D,20210223,000000,60,62.5,60,60.7,306,0
V1L.DE,D,20210225,000000,64.48,64.48,64.06,64.06,20,0
V1L.DE,D,20210226,000000,63.36,63.48,63.36,63.48,73,0
V1L.DE,D,20210301,000000,63.76,65.35,63.76,65,292,0
V1L.DE,D,20210302,000000,64.24,64.48,63.8,63.8,117,0
V1L.DE,D,20210303,000000,63.95,64.88,63.95,64.88,1000,0
V1L.DE,D,20210304,000000,64.72,64.72,61.9,64.36,580,0
V1L.DE,D,20210305,000000,63.24,63.24,63.24,63.24,0,0
V1L.DE,D,20210309,000000,68,68.09,68,68.09,40,0
V1L.DE,D,20210310,000000,63.16,64.5,63.16,63.16,45,0
V1L.DE,D,20210312,000000,69.16,69.16,69.16,69.16,0,0
V1L.DE,D,20210315,000000,67.84,67.84,67.84,67.84,0,0
V1L.DE,D,20210316,000000,68,68,67.28,67.28,50,0
V1L.DE,D,20210317,000000,65.84,65.84,65.56,65.56,40,0
V1L.DE,D,20210318,000000,63.76,63.76,63.76,63.76,0,0
V1L.DE,D,20210319,000000,62.64,62.64,62.64,62.64,0,0
V1L.DE,D,20210322,000000,62.32,62.32,60.4,60.4,85,0
V1L.DE,D,20210323,000000,61.33,61.33,59.12,60.44,750,0
V1L.DE,D,20210324,000000,60,61.64,60,61.64,100,0
V1L.DE,D,20210325,000000,59.88,60.88,59.88,60.88,90,0
V1L.DE,D,20210326,000000,61.48,61.48,61.48,61.48,0,0
V1L.DE,D,20210329,000000,60.56,60.56,60.56,60.56,0,0
V1L.DE,D,20210330,000000,61.72,61.72,61.72,61.72,0,0
V1L.DE,D,20210331,000000,60.99,60.99,60.99,60.99,0,0
V1L.DE,D,20210401,000000,62.08,62.08,62.08,62.08,0,0
V1L.DE,D,20210406,000000,62.48,63.12,62.48,63.12,30,0
V1L.DE,D,20210407,000000,62.44,62.44,62.44,62.44,0,0
V1L.DE,D,20210408,000000,61.68,61.68,61.68,61.68,0,0
V1L.DE,D,20210409,000000,60.36,60.36,60.36,60.36,0,0
V1L.DE,D,20210412,000000,59.8,59.8,59.8,59.8,0,0
V1L.DE,D,20210413,000000,58.02,58.68,58.02,58.68,40,0
V1L.DE,D,20210414,000000,61.2,61.2,61.2,61.2,0,0
V1L.DE,D,20210415,000000,59.24,59.24,59.24,59.24,0,0
V1L.DE,D,20210416,000000,60.08,60.08,60.08,60.08,0,0
V1L.DE,D,20210419,000000,58.84,58.84,58.84,58.84,0,0
V1L.DE,D,20210420,000000,56.52,56.52,56.52,56.52,0,0
V1L.DE,D,20210421,000000,57.96,57.96,57.96,57.96,0,0
V1L.DE,D,20210422,000000,58.12,58.12,58.12,58.12,0,0
V1L.DE,D,20210423,000000,57.36,57.36,57.36,57.36,0,0
V1L.DE,D,20210426,000000,58.82,58.82,58.08,58.08,36,0
V1L.DE,D,20210427,000000,59.48,59.48,59.48,59.48,0,0
V1L.DE,D,20210428,000000,60.36,61.24,60.36,60.88,162,0
V1L.DE,D,20210429,000000,61.68,62.12,61.68,61.84,662,0
V1L.DE,D,20210430,000000,62,62,62,62,0,0
V1L.DE,D,20210503,000000,62.8,64.16,62.8,64.16,140,0
V1L.DE,D,20210504,000000,64.8,64.8,64.8,64.8,0,0
V1L.DE,D,20210505,000000,66.04,66.04,66.04,66.04,0,0
V1L.DE,D,20210506,000000,66.36,66.36,66.36,66.36,0,0
V1L.DE,D,20210507,000000,67.6,67.6,65.5,65.5,125,0
V1L.DE,D,20210510,000000,67.46,67.46,66.44,66.44,15,0
V1L.DE,D,20210511,000000,64.8,64.8,63.56,63.72,271,0
V1L.DE,D,20210513,000000,65.3,65.76,65.3,65.52,47,0
V1L.DE,D,20210514,000000,65.6,65.6,65.28,65.28,66,0
V1L.DE,D,20210517,000000,65.92,65.92,65.92,65.92,0,0
V1L.DE,D,20210518,000000,66.12,66.12,66.12,66.12,0,0
V1L.DE,D,20210520,000000,63.04,63.36,63.04,63.36,401,0
V1L.DE,D,20210521,000000,64.28,64.28,64.28,64.28,0,0
V1L.DE,D,20210525,000000,62.92,62.92,62.92,62.92,0,0
V1L.DE,D,20210526,000000,64.52,64.52,64.52,64.52,0,0
V1L.DE,D,20210527,000000,65.92,65.92,65.92,65.92,0,0
V1L.DE,D,20210528,000000,66,66,66,66,0,0
V1L.DE,D,20210531,000000,65.88,65.88,65.88,65.88,0,0
V1L.DE,D,20210601,000000,66.8,66.8,66.8,66.8,0,0
V1L.DE,D,20210602,000000,68.8,68.8,68.8,68.8,0,0
V1L.DE,D,20210603,000000,68.92,68.92,68.92,68.92,0,0
V1L.DE,D,20210604,000000,67.44,67.44,67.44,67.44,0,0
V1L.DE,D,20210607,000000,67.72,67.72,67.72,67.72,0,0
V1L.DE,D,20210608,000000,67.16,68.04,67.16,68.04,305,0
V1L.DE,D,20210609,000000,67.76,67.76,67.76,67.76,0,0
V1L.DE,D,20210610,000000,67.64,67.64,67.64,67.64,0,0
V1L.DE,D,20210611,000000,67.64,67.64,67.64,67.64,0,0
V1L.DE,D,20210614,000000,66.52,67.48,66.52,67.48,66,0
V1L.DE,D,20210615,000000,67.72,67.72,67.72,67.72,0,0
V1L.DE,D,20210616,000000,67.8,67.8,67.8,67.8,0,0
V1L.DE,D,20210617,000000,66.52,66.52,66.52,66.52,0,0
V1L.DE,D,20210618,000000,65.4,65.4,65.4,65.4,0,0
V1L.DE,D,20210621,000000,65.56,65.56,65.56,65.56,0,0
V1L.DE,D,20210623,000000,68.4,68.4,68.4,68.4,0,0
V1L.DE,D,20210624,000000,68.44,68.44,68.44,68.44,0,0
V1L.DE,D,20210625,000000,67.8,67.8,67.8,67.8,0,0
V1L.DE,D,20210628,000000,69.18,69.2,65.64,65.64,95,0
V1L.DE,D,20210629,000000,65.72,65.72,65.72,65.72,0,0
V1L.DE,D,20210630,000000,64.88,65.36,64.88,65.36,155,0
V1L.DE,D,20210701,000000,65.84,65.84,65.84,65.84,0,0
V1L.DE,D,20210702,000000,65.5,65.68,65.5,65.68,34,0
V1L.DE,D,20210705,000000,66.82,66.82,65.54,65.54,12,0
V1L.DE,D,20210706,000000,65.8,66.46,63.9,63.96,1618,0
V1L.DE,D,20210707,000000,64.54,64.54,61.2,61.56,23,0
V1L.DE,D,20210708,000000,59.82,59.82,59.82,59.82,0,0
