<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
V40D.DE,D,20201211,000000,25.06,25.06,24.995,25.02,100,0
V40D.DE,D,20201214,000000,25.08,25.08,25.045,25.045,0,0
V40D.DE,D,20201215,000000,25.025,25.05,25.025,25.05,0,0
V40D.DE,D,20201216,000000,25.11,25.135,25.095,25.095,50,0
V40D.DE,D,20201217,000000,25.115,25.155,25.115,25.155,0,0
V40D.DE,D,20201218,000000,25.08,25.155,25.08,25.08,725,0
V40D.DE,D,20201221,000000,25.1,25.1,24.965,24.965,720,0
V40D.DE,D,20201222,000000,25.01,25.09,25.01,25.06,891,0
V40D.DE,D,20201223,000000,25.09,25.09,25.05,25.05,200,0
V40D.DE,D,20201228,000000,25.125,25.185,25.125,25.145,439,0
V40D.DE,D,20201229,000000,25.205,25.235,25.185,25.185,10,0
V40D.DE,D,20201230,000000,25.19,25.19,25.17,25.17,0,0
V40D.DE,D,20210104,000000,25.305,25.305,25.225,25.225,8606,0
V40D.DE,D,20210105,000000,25.21,25.21,25.18,25.2,0,0
V40D.DE,D,20210106,000000,25.23,25.345,25.18,25.25,2400,0
V40D.DE,D,20210107,000000,25.285,25.335,25.265,25.3,5492,0
V40D.DE,D,20210108,000000,25.44,25.44,25.4,25.42,415,0
V40D.DE,D,20210111,000000,25.455,25.485,25.435,25.435,445,0
V40D.DE,D,20210112,000000,25.445,25.445,25.39,25.39,479,0
V40D.DE,D,20210113,000000,25.415,25.455,25.4,25.455,100,0
V40D.DE,D,20210114,000000,25.46,25.61,25.46,25.54,1980,0
V40D.DE,D,20210115,000000,25.425,25.46,25.425,25.45,1500,0
V40D.DE,D,20210118,000000,25.385,25.465,25.385,25.465,0,0
V40D.DE,D,20210119,000000,25.485,25.515,25.485,25.515,2500,0
V40D.DE,D,20210120,000000,25.5,25.635,25.5,25.605,202,0
V40D.DE,D,20210121,000000,25.655,25.655,25.575,25.575,1158,0
V40D.DE,D,20210122,000000,25.525,25.525,25.465,25.49,1834,0
V40D.DE,D,20210125,000000,25.5,25.535,25.49,25.49,6770,0
V40D.DE,D,20210126,000000,25.56,25.56,25.53,25.53,0,0
V40D.DE,D,20210127,000000,25.485,25.485,25.43,25.43,1880,0
V40D.DE,D,20210128,000000,25.27,25.43,25.27,25.375,608,0
V40D.DE,D,20210129,000000,25.23,25.23,25.175,25.175,500,0
V40D.DE,D,20210201,000000,25.215,25.29,25.215,25.29,150,0
V40D.DE,D,20210202,000000,25.395,25.47,25.395,25.47,500,0
V40D.DE,D,20210203,000000,25.535,25.535,25.495,25.495,0,0
V40D.DE,D,20210204,000000,25.495,25.58,25.495,25.58,0,0
V40D.DE,D,20210205,000000,25.61,25.63,25.59,25.59,0,0
V40D.DE,D,20210208,000000,25.595,25.66,25.595,25.66,20,0
V40D.DE,D,20210209,000000,25.68,25.68,25.63,25.64,0,0
V40D.DE,D,20210210,000000,25.665,25.665,25.595,25.595,115,0
V40D.DE,D,20210211,000000,25.655,25.685,25.655,25.685,0,0
V40D.DE,D,20210212,000000,25.635,25.69,25.635,25.665,550,0
V40D.DE,D,20210215,000000,25.67,25.725,25.67,25.705,576,0
V40D.DE,D,20210216,000000,25.71,25.71,25.63,25.63,400,0
V40D.DE,D,20210217,000000,25.615,25.65,25.615,25.635,0,0
V40D.DE,D,20210218,000000,25.615,25.615,25.525,25.53,906,0
V40D.DE,D,20210219,000000,25.505,25.535,25.505,25.535,0,0
V40D.DE,D,20210222,000000,25.355,25.43,25.355,25.405,53,0
V40D.DE,D,20210223,000000,25.37,25.37,25.28,25.295,0,0
V40D.DE,D,20210224,000000,25.305,25.335,25.285,25.335,70,0
V40D.DE,D,20210225,000000,25.33,25.33,25.175,25.175,0,0
V40D.DE,D,20210226,000000,24.97,25.095,24.97,25.095,0,0
V40D.DE,D,20210301,000000,25.21,25.35,25.21,25.35,0,0
V40D.DE,D,20210302,000000,25.32,25.365,25.32,25.32,4,0
V40D.DE,D,20210303,000000,25.33,25.35,25.245,25.245,0,0
V40D.DE,D,20210304,000000,25.23,25.23,25.155,25.19,1000,0
