<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VEE.DE,D,20210111,000000,231.75,241,231.75,237.3,215,0
VEE.DE,D,20210112,000000,233.65,241.75,233.65,236.75,240,0
VEE.DE,D,20210113,000000,227.4,232.25,227.4,232.25,76,0
VEE.DE,D,20210114,000000,229.5,230.75,223.5,230.75,245,0
VEE.DE,D,20210115,000000,223.3,223.3,223.3,223.3,0,0
VEE.DE,D,20210118,000000,224.95,224.95,222.35,222.35,1,0
VEE.DE,D,20210119,000000,219.4,228,219.4,226.85,65,0
VEE.DE,D,20210120,000000,233.55,238.95,226,234.6,53,0
VEE.DE,D,20210121,000000,239.2,239.55,233.8,236.15,34,0
VEE.DE,D,20210122,000000,239.25,239.25,231.15,238.3,263,0
VEE.DE,D,20210125,000000,241.95,241.95,234.4,241.95,96,0
VEE.DE,D,20210126,000000,242.95,242.95,240,241,166,0
VEE.DE,D,20210127,000000,237.95,244.15,228.6,228.6,42,0
VEE.DE,D,20210128,000000,219.4,219.4,219.4,219.4,17,0
VEE.DE,D,20210129,000000,228.8,228.8,228.8,228.8,17,0
VEE.DE,D,20210201,000000,233.95,235.3,225.25,234.25,21,0
VEE.DE,D,20210202,000000,238.9,243.55,238.6,243.55,27,0
VEE.DE,D,20210203,000000,239.3,245.4,238.55,238.6,128,0
VEE.DE,D,20210204,000000,241.6,241.6,241.6,241.6,0,0
VEE.DE,D,20210205,000000,244,244.3,242.65,242.65,5,0
VEE.DE,D,20210208,000000,248.8,252.1,247.95,247.95,170,0
VEE.DE,D,20210209,000000,246.5,251.2,246.5,251.2,412,0
VEE.DE,D,20210210,000000,255.1,257.8,250.05,255.7,107,0
VEE.DE,D,20210211,000000,259.6,261.95,253,258.4,173,0
VEE.DE,D,20210212,000000,255.5,258.95,253.9,258.95,15,0
VEE.DE,D,20210215,000000,264.65,264.65,264.65,264.65,0,0
VEE.DE,D,20210216,000000,265,267.4,262.45,262.45,23,0
VEE.DE,D,20210217,000000,265,265,257.2,257.2,82,0
VEE.DE,D,20210218,000000,258.4,258.4,258.4,258.4,0,0
VEE.DE,D,20210219,000000,266,266,262.6,262.6,10,0
VEE.DE,D,20210222,000000,261.75,261.75,253.5,261.75,13,0
VEE.DE,D,20210223,000000,233.2,235.75,230.65,235.75,54,0
VEE.DE,D,20210224,000000,242.5,242.5,241.45,241.45,7,0
VEE.DE,D,20210225,000000,236.5,238,234.1,234.1,242,0
VEE.DE,D,20210226,000000,233.15,233.2,231.55,232.45,142,0
VEE.DE,D,20210301,000000,238.6,244,238.25,242.95,143,0
VEE.DE,D,20210302,000000,242.5,242.5,239.3,239.3,5,0
VEE.DE,D,20210303,000000,245,245,228.7,228.7,378,0
VEE.DE,D,20210304,000000,217.25,217.25,208,209.05,1589,0
VEE.DE,D,20210305,000000,215.8,218.1,215.8,218.1,41,0
VEE.DE,D,20210308,000000,218.35,218.35,210.75,211.75,31,0
VEE.DE,D,20210309,000000,208.05,212.8,205.35,211.8,123,0
VEE.DE,D,20210310,000000,213.75,215.35,209.65,215.35,156,0
VEE.DE,D,20210311,000000,215.05,215.75,208.65,215.35,80,0
VEE.DE,D,20210312,000000,218.3,218.95,210.7,210.7,123,0
VEE.DE,D,20210315,000000,218.6,218.6,218.6,218.6,0,0
VEE.DE,D,20210316,000000,220.95,221.8,220.9,221.35,43,0
VEE.DE,D,20210317,000000,214.6,214.6,214.6,214.6,0,0
VEE.DE,D,20210318,000000,217.6,217.6,215,215.8,80,0
VEE.DE,D,20210319,000000,208.45,218.05,208.45,218.05,8,0
VEE.DE,D,20210322,000000,213.4,224.2,213.4,224.2,14,0
VEE.DE,D,20210323,000000,223.6,223.6,223,223,5,0
VEE.DE,D,20210324,000000,227.05,227.05,216.45,217.9,17,0
VEE.DE,D,20210325,000000,212.35,212.35,209.2,210.4,50,0
VEE.DE,D,20210326,000000,209.5,214.15,209.5,214.15,20,0
VEE.DE,D,20210329,000000,211.6,211.6,211.6,211.6,0,0
VEE.DE,D,20210330,000000,212.65,212.65,212.65,212.65,0,0
VEE.DE,D,20210331,000000,215.5,219.25,215.2,219.25,110,0
VEE.DE,D,20210401,000000,220,226.9,220,226.8,175,0
VEE.DE,D,20210406,000000,223.8,223.8,223.8,223.8,24,0
VEE.DE,D,20210407,000000,219,219,219,219,0,0
VEE.DE,D,20210408,000000,225,225,223.2,223.2,25,0
VEE.DE,D,20210409,000000,222.9,222.9,219.5,221.3,14,0
VEE.DE,D,20210412,000000,221.6,221.6,221.6,221.6,0,0
VEE.DE,D,20210413,000000,229.9,229.9,224.7,225.8,16,0
VEE.DE,D,20210414,000000,221.9,225.6,221.9,225.6,28,0
VEE.DE,D,20210415,000000,224.5,229.8,220.2,229.8,54,0
VEE.DE,D,20210416,000000,228.9,228.9,228.9,228.9,0,0
VEE.DE,D,20210419,000000,225.6,225.6,223.8,223.8,28,0
VEE.DE,D,20210420,000000,224,224,224,224,0,0
VEE.DE,D,20210421,000000,227.6,227.6,227.6,227.6,0,0
VEE.DE,D,20210422,000000,230.9,236.7,230.9,236.7,150,0
VEE.DE,D,20210423,000000,230.8,233.3,230.8,233.3,7,0
VEE.DE,D,20210426,000000,233,233,233,233,0,0
VEE.DE,D,20210427,000000,234.8,234.8,234.8,234.8,0,0
VEE.DE,D,20210428,000000,236,236,235.8,235.8,20,0
VEE.DE,D,20210429,000000,234.8,234.8,234.8,234.8,0,0
VEE.DE,D,20210430,000000,232.2,234.9,232.2,234.9,4,0
VEE.DE,D,20210503,000000,232.1,232.5,232.1,232.5,1,0
VEE.DE,D,20210504,000000,228.9,229,228.4,228.4,113,0
VEE.DE,D,20210506,000000,213.6,213.6,210.5,210.6,22,0
VEE.DE,D,20210507,000000,216.6,216.6,216.6,216.6,0,0
VEE.DE,D,20210510,000000,209.7,209.7,205.7,205.7,60,0
VEE.DE,D,20210511,000000,200,200,198.85,198.85,55,0
VEE.DE,D,20210512,000000,207.7,208.9,203.7,203.7,76,0
VEE.DE,D,20210513,000000,201,206.9,201,204.8,348,0
VEE.DE,D,20210514,000000,207.8,207.8,207.8,207.8,0,0
VEE.DE,D,20210517,000000,207.9,207.9,203.9,203.9,10,0
VEE.DE,D,20210518,000000,205.2,205.2,205.2,205.2,50,0
VEE.DE,D,20210519,000000,203.1,206.3,203.1,206.3,98,0
VEE.DE,D,20210520,000000,210,215.7,210,215.7,15,0
VEE.DE,D,20210521,000000,213.9,214.7,213.9,214.7,44,0
VEE.DE,D,20210525,000000,218.2,218.2,215.4,215.4,12,0
VEE.DE,D,20210526,000000,214,219.5,214,218.6,39,0
VEE.DE,D,20210527,000000,216.5,218,216.5,218,2,0
VEE.DE,D,20210528,000000,222,242.1,222,241.1,384,0
VEE.DE,D,20210531,000000,238.4,238.4,238.4,238.4,0,0
VEE.DE,D,20210601,000000,238.9,238.9,232.4,232.4,28,0
VEE.DE,D,20210602,000000,231.5,238.4,231.5,237.8,49,0
VEE.DE,D,20210603,000000,238.1,238.1,238.1,238.1,0,0
VEE.DE,D,20210604,000000,238.8,238.8,232.9,237.2,103,0
VEE.DE,D,20210607,000000,236.8,241.2,236.8,241.2,12,0
VEE.DE,D,20210608,000000,237.2,242,237.2,240.5,37,0
VEE.DE,D,20210609,000000,240.5,240.5,238.1,239.1,30,0
VEE.DE,D,20210610,000000,240,240.8,240,240.8,26,0
VEE.DE,D,20210611,000000,244,244.4,244,244.4,10,0
VEE.DE,D,20210614,000000,249.5,249.5,249.5,249.5,0,0
VEE.DE,D,20210615,000000,248.4,248.4,248.4,248.4,0,0
VEE.DE,D,20210616,000000,247.2,247.2,247.2,247.2,0,0
VEE.DE,D,20210617,000000,248.5,257.6,248.5,257.6,14,0
VEE.DE,D,20210618,000000,256.6,260,255,260,91,0
VEE.DE,D,20210621,000000,259.6,261.3,256.3,261.3,28,0
VEE.DE,D,20210622,000000,256,260.3,256,260.3,10,0
VEE.DE,D,20210623,000000,261.9,262.1,261,261.6,38,0
VEE.DE,D,20210624,000000,262.2,262.2,262.2,262.2,0,0
VEE.DE,D,20210625,000000,262,262,260.1,260.4,19,0
VEE.DE,D,20210628,000000,257.5,268.5,255.5,268.4,199,0
VEE.DE,D,20210629,000000,265.6,270,263.8,268.4,318,0
VEE.DE,D,20210630,000000,268.6,269.1,267,267,11,0
VEE.DE,D,20210701,000000,263.1,263.1,263.1,263.1,0,0
VEE.DE,D,20210702,000000,265,266.7,261.6,266.1,191,0
VEE.DE,D,20210705,000000,266.6,266.6,266.6,266.6,0,0
VEE.DE,D,20210706,000000,267.9,271.5,264.7,271.5,10,0
VEE.DE,D,20210707,000000,271.1,272.9,270.9,272.9,83,0
VEE.DE,D,20210708,000000,269.1,270.7,268.1,268.5,21,0
VEE.DE,D,20210709,000000,271.9,271.9,270.2,270.2,4,0
VEE.DE,D,20210712,000000,268.4,270.9,268.4,270.9,10,0
VEE.DE,D,20210713,000000,273.2,273.2,273.2,273.2,4,0
VEE.DE,D,20210714,000000,269.6,271.8,265.9,267.5,378,0
VEE.DE,D,20210715,000000,265.2,265.2,265.2,265.2,0,0
VEE.DE,D,20210716,000000,266.4,266.4,266.4,266.4,0,0
VEE.DE,D,20210719,000000,269,269.2,269,269.2,100,0
VEE.DE,D,20210720,000000,273,273,273,273,0,0
VEE.DE,D,20210721,000000,272.7,276.2,272.7,275,24,0
VEE.DE,D,20210722,000000,277.1,277.1,277.1,277.1,0,0
VEE.DE,D,20210723,000000,279,282.5,279,282.5,53,0
VEE.DE,D,20210726,000000,281.9,281.9,278.9,279.2,20,0
VEE.DE,D,20210727,000000,272.4,272.4,272.4,272.4,0,0
VEE.DE,D,20210729,000000,282.6,282.6,277.6,279.4,16,0
VEE.DE,D,20210730,000000,278.4,281.9,274.9,279.7,165,0
VEE.DE,D,20210802,000000,278.8,280.5,278.7,280.5,6,0
VEE.DE,D,20210803,000000,282.5,282.8,282,282,15,0
VEE.DE,D,20210804,000000,285,285,285,285,1,0
VEE.DE,D,20210805,000000,288.2,288.2,288.2,288.2,0,0
VEE.DE,D,20210806,000000,289.4,289.4,288.8,288.8,12,0
VEE.DE,D,20210809,000000,285,285,285,285,0,0
VEE.DE,D,20210810,000000,282.1,283,273.6,274.5,117,0
VEE.DE,D,20210811,000000,269.4,269.4,269.4,269.4,0,0
VEE.DE,D,20210812,000000,271.3,276,271.3,276,29,0
VEE.DE,D,20210813,000000,271.1,271.2,271.1,271.2,8,0
VEE.DE,D,20210816,000000,275.5,275.5,270.9,271.8,46,0
VEE.DE,D,20210817,000000,267.7,272.6,267.7,272.6,16,0
VEE.DE,D,20210818,000000,271,272.6,271,272.6,10,0
VEE.DE,D,20210819,000000,269.7,274.3,269.7,274.3,25,0
VEE.DE,D,20210820,000000,275.1,275.1,275.1,275.1,0,0
VEE.DE,D,20210823,000000,274.4,274.4,274.4,274.4,0,0
VEE.DE,D,20210824,000000,276,276,276,276,0,0
