<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VFEM.DE,D,20190313,000000,48.321558,48.397865,48.245251,48.245251,2846,0
VFEM.DE,D,20190314,000000,48.159405,48.283404,48.006791,48.083098,2207,0
VFEM.DE,D,20190315,000000,48.502788,48.664941,48.388327,48.664941,24325,0
VFEM.DE,D,20190318,000000,48.97017,49.065554,48.912939,49.017862,8185,0
VFEM.DE,D,20190319,000000,49.275398,49.332629,49.0274,49.323091,11810,0
VFEM.DE,D,20190320,000000,48.951093,49.036938,48.655402,48.655402,7612,0
VFEM.DE,D,20190321,000000,48.808017,48.903401,48.579095,48.798478,8092,0
VFEM.DE,D,20190322,000000,48.769863,48.865247,48.149867,48.149867,11549,0
VFEM.DE,D,20190325,000000,47.873253,48.054483,47.692023,48.054483,7524,0
VFEM.DE,D,20190326,000000,48.092636,48.397865,48.035406,48.273866,2171,0
VFEM.DE,D,20190327,000000,48.579095,48.579095,47.978175,48.073559,9601,0
VFEM.DE,D,20190328,000000,48.071822,48.320503,48.023999,48.224856,4783,0
VFEM.DE,D,20190329,000000,48.798734,49.056979,48.760475,49.056979,45187,0
VFEM.DE,D,20190401,000000,49.420435,49.726503,49.353482,49.716938,18487,0
VFEM.DE,D,20190402,000000,49.736068,49.92736,49.573469,49.659551,14020,0
VFEM.DE,D,20190403,000000,50.080394,50.128217,49.908231,50.109088,9535,0
VFEM.DE,D,20190404,000000,49.80302,50.137782,49.745632,50.109088,8410,0
VFEM.DE,D,20190405,000000,50.329075,50.606449,50.271687,50.56819,16898,0
VFEM.DE,D,20190408,000000,50.348204,50.386462,50.147347,50.386462,9669,0
VFEM.DE,D,20190409,000000,50.491673,50.606449,50.223864,50.31951,4908,0
VFEM.DE,D,20190410,000000,50.491673,50.673401,50.491673,50.56819,13793,0
VFEM.DE,D,20190411,000000,50.348204,50.348204,49.965619,49.965619,6565,0
VFEM.DE,D,20190412,000000,49.965619,50.242993,49.917795,50.17604,6560,0
VFEM.DE,D,20190415,000000,50.0517,50.080394,49.716938,49.80302,19450,0
VFEM.DE,D,20190416,000000,50.17604,50.223864,50.089959,50.223864,3914,0
VFEM.DE,D,20190417,000000,50.415156,50.625578,50.309945,50.309945,45055,0
VFEM.DE,D,20190418,000000,50.17604,50.71166,50.166476,50.71166,54842,0
VFEM.DE,D,20190423,000000,50.357768,50.654272,50.252557,50.654272,14289,0
VFEM.DE,D,20190424,000000,50.56819,50.730789,50.309945,50.376898,6928,0
VFEM.DE,D,20190425,000000,50.338639,50.376898,50.032571,50.329075,17690,0
VFEM.DE,D,20190426,000000,50.434285,50.682966,50.329075,50.682966,39793,0
