<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VGWL.DE,D,20190313,000000,71.229722,71.402983,70.892824,71.297101,6254,0
VGWL.DE,D,20190314,000000,71.297101,71.412609,71.200845,71.297101,11043,0
VGWL.DE,D,20190315,000000,71.335604,71.749506,71.287476,71.749506,14153,0
VGWL.DE,D,20190318,000000,71.701378,71.816886,71.605122,71.749506,5224,0
VGWL.DE,D,20190319,000000,71.903516,72.288542,71.903516,72.173034,11458,0
VGWL.DE,D,20190320,000000,71.884265,71.970896,71.374106,71.374106,5540,0
VGWL.DE,D,20190321,000000,71.287476,72.038275,71.12384,71.913142,4229,0
VGWL.DE,D,20190322,000000,72.019024,72.086404,71.258599,71.287476,16959,0
VGWL.DE,D,20190325,000000,70.989081,71.037209,70.719563,70.883199,10424,0
VGWL.DE,D,20190326,000000,71.479988,71.778383,71.191219,71.460737,4368,0
VGWL.DE,D,20190327,000000,71.970896,71.970896,71.220096,71.451111,8055,0
VGWL.DE,D,20190328,000000,71.614394,71.894856,71.546697,71.585381,7466,0
VGWL.DE,D,20190329,000000,72.049593,72.214002,72.039922,72.204331,2545,0
VGWL.DE,D,20190401,000000,72.794267,73.123084,72.774925,73.055386,28281,0
VGWL.DE,D,20190402,000000,73.200453,73.374532,73.045715,73.26815,11328,0
VGWL.DE,D,20190403,000000,73.684007,73.684007,73.364861,73.684007,22686,0
VGWL.DE,D,20190404,000000,73.44223,73.71302,73.316506,73.384203,10541,0
VGWL.DE,D,20190405,000000,73.684007,73.945126,73.577625,73.829073,4090,0
VGWL.DE,D,20190408,000000,73.751704,73.751704,73.35519,73.577625,14316,0
VGWL.DE,D,20190409,000000,73.751704,73.761376,73.142426,73.384203,3095,0
VGWL.DE,D,20190410,000000,73.461572,73.654994,73.422888,73.548612,7539,0
VGWL.DE,D,20190411,000000,73.529269,73.674336,73.364861,73.548612,17794,0
VGWL.DE,D,20190412,000000,73.403545,73.71302,73.374532,73.529269,5486,0
VGWL.DE,D,20190415,000000,73.761376,73.761376,73.490585,73.548612,21339,0
VGWL.DE,D,20190416,000000,73.771047,73.983811,73.693678,73.877429,2907,0
VGWL.DE,D,20190417,000000,73.935455,74.051508,73.80006,73.80006,4557,0
VGWL.DE,D,20190418,000000,73.71302,74.24493,73.606638,74.061179,10408,0
VGWL.DE,D,20190423,000000,74.167561,74.709142,74.022495,74.593089,20051,0
VGWL.DE,D,20190424,000000,74.699471,74.747826,74.448023,74.728484,21002,0
VGWL.DE,D,20190425,000000,74.805853,74.931577,74.467365,74.815524,8420,0
VGWL.DE,D,20190426,000000,74.757497,74.941248,74.564076,74.941248,17485,0
VGWL.DE,D,20190429,000000,74.999275,75.144341,74.950919,75.076643,6130,0
VGWL.DE,D,20190430,000000,74.815524,74.844537,74.467365,74.641444,11770,0
VGWL.DE,D,20190502,000000,74.641444,74.77684,74.380325,74.380325,25706,0
VGWL.DE,D,20190503,000000,74.747826,75.144341,74.670458,74.989604,32668,0
VGWL.DE,D,20190506,000000,73.742033,74.293285,73.596967,74.293285,26915,0
VGWL.DE,D,20190507,000000,74.399667,74.399667,73.432559,73.577625,15589,0
