<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VLUS.DE,D,20170818,000000,106.14,106.14,106.14,106.14,0,0
VLUS.DE,D,20170821,000000,105.52,105.61,105.52,105.61,891,0
VLUS.DE,D,20170822,000000,106.16,106.55,106.16,106.55,684,0
VLUS.DE,D,20170824,000000,105.76,105.76,105.76,105.76,0,0
VLUS.DE,D,20170825,000000,105.4,105.4,105.4,105.4,0,0
VLUS.DE,D,20170828,000000,104.49,104.49,104.49,104.49,0,0
VLUS.DE,D,20170829,000000,103.55,103.7,103.21,103.7,2908,0
VLUS.DE,D,20170830,000000,104.77,104.77,104.77,104.77,0,0
VLUS.DE,D,20170831,000000,105.55,105.55,105.55,105.55,0,0
VLUS.DE,D,20170901,000000,105.64,105.64,105.64,105.64,0,0
VLUS.DE,D,20170904,000000,105.25,105.25,105.25,105.25,0,0
VLUS.DE,D,20170905,000000,105.14,105.14,105.14,105.14,0,0
VLUS.DE,D,20170906,000000,104.8,104.8,104.8,104.8,0,0
VLUS.DE,D,20170907,000000,103.99,103.99,103.99,103.99,0,0
VLUS.DE,D,20170908,000000,104.4,104.4,104.4,104.4,0,0
VLUS.DE,D,20170911,000000,105.65,105.65,105.65,105.65,0,0
VLUS.DE,D,20170912,000000,106.04,106.04,106.04,106.04,0,0
VLUS.DE,D,20170913,000000,106.54,106.54,106.54,106.54,0,0
VLUS.DE,D,20170914,000000,106.57,106.57,106.57,106.57,0,0
VLUS.DE,D,20170915,000000,105.93,105.93,105.93,105.93,0,0
VLUS.DE,D,20170918,000000,106.4,106.4,106.4,106.4,0,0
VLUS.DE,D,20170919,000000,106.29,106.29,106.29,106.29,0,0
VLUS.DE,D,20170920,000000,106.12,106.12,106.12,106.12,0,0
VLUS.DE,D,20170921,000000,106.25,106.25,106.25,106.25,0,0
VLUS.DE,D,20170922,000000,105.76,105.76,105.76,105.76,0,0
VLUS.DE,D,20170925,000000,106.84,106.84,106.84,106.84,0,0
VLUS.DE,D,20170926,000000,107.84,107.84,107.84,107.84,0,0
VLUS.DE,D,20170927,000000,107.47,107.47,107.47,107.47,0,0
VLUS.DE,D,20170928,000000,107.46,107.46,107.46,107.46,0,0
VLUS.DE,D,20170929,000000,107.37,107.37,107.37,107.37,0,0
VLUS.DE,D,20171002,000000,108.53,108.53,108.53,108.53,0,0
VLUS.DE,D,20171004,000000,108.73,108.73,108.73,108.73,0,0
VLUS.DE,D,20171005,000000,109.5,109.5,109.5,109.5,0,0
VLUS.DE,D,20171006,000000,109.6,109.6,109.05,109.05,951,0
VLUS.DE,D,20171009,000000,109,109,109,109,0,0
VLUS.DE,D,20171010,000000,108.51,108.51,108.51,108.51,0,0
VLUS.DE,D,20171011,000000,108.31,108.31,108.31,108.31,0,0
VLUS.DE,D,20171012,000000,108.65,108.65,108.65,108.65,0,0
VLUS.DE,D,20171013,000000,109.01,109.01,109.01,109.01,0,0
VLUS.DE,D,20171016,000000,109.07,109.07,109.07,109.07,0,0
