<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOOM.DE,D,20190402,000000,9.28,9.297,9.28,9.295,0,0
VOOM.DE,D,20190403,000000,9.34,9.364,9.33,9.364,0,0
VOOM.DE,D,20190404,000000,9.35,9.369,9.341,9.341,1035,0
VOOM.DE,D,20190405,000000,9.356,9.366,9.345,9.366,0,0
VOOM.DE,D,20190408,000000,9.356,9.356,9.339,9.339,0,0
VOOM.DE,D,20190409,000000,9.335,9.335,9.286,9.286,0,0
VOOM.DE,D,20190410,000000,9.295,9.324,9.295,9.324,0,0
VOOM.DE,D,20190411,000000,9.337,9.355,9.337,9.338,0,0
VOOM.DE,D,20190412,000000,9.336,9.361,9.336,9.361,0,0
VOOM.DE,D,20190415,000000,9.371,9.381,9.365,9.365,0,0
VOOM.DE,D,20190416,000000,9.376,9.389,9.376,9.386,0,0
VOOM.DE,D,20190417,000000,9.391,9.391,9.372,9.372,0,0
VOOM.DE,D,20190418,000000,9.361,9.42,9.361,9.42,0,0
VOOM.DE,D,20190423,000000,9.409,9.475,9.406,9.475,0,0
VOOM.DE,D,20190424,000000,9.48,9.484,9.477,9.484,0,0
VOOM.DE,D,20190425,000000,9.482,9.482,9.476,9.477,0,0
VOOM.DE,D,20190426,000000,9.452,9.479,9.452,9.479,0,0
VOOM.DE,D,20190429,000000,9.494,9.509,9.487,9.509,0,0
VOOM.DE,D,20190430,000000,9.485,9.497,9.47,9.47,11,0
VOOM.DE,D,20190502,000000,9.44,9.44,9.407,9.407,0,0
VOOM.DE,D,20190503,000000,9.427,9.469,9.427,9.469,0,0
VOOM.DE,D,20190506,000000,9.332,9.392,9.332,9.392,0,0
VOOM.DE,D,20190507,000000,9.405,9.407,9.328,9.328,39,0
VOOM.DE,D,20190508,000000,9.311,9.311,9.269,9.299,0,0
VOOM.DE,D,20190509,000000,9.253,9.262,9.157,9.157,0,0
VOOM.DE,D,20190510,000000,9.246,9.246,9.176,9.176,0,0
VOOM.DE,D,20190513,000000,9.228,9.228,9.105,9.105,39,0
VOOM.DE,D,20190514,000000,9.123,9.225,9.123,9.225,0,0
VOOM.DE,D,20190515,000000,9.217,9.232,9.192,9.232,0,0
VOOM.DE,D,20190516,000000,9.231,9.359,9.231,9.359,0,0
VOOM.DE,D,20190517,000000,9.311,9.361,9.295,9.328,250,0
VOOM.DE,D,20190520,000000,9.351,9.37,9.263,9.263,10,0
VOOM.DE,D,20190521,000000,9.321,9.349,9.321,9.341,3844,0
VOOM.DE,D,20190522,000000,9.35,9.364,9.342,9.348,16784,0
VOOM.DE,D,20190523,000000,9.29,9.29,9.222,9.222,0,0
VOOM.DE,D,20190524,000000,9.24,9.279,9.24,9.248,0,0
VOOM.DE,D,20190527,000000,9.284,9.284,9.263,9.268,0,0
VOOM.DE,D,20190528,000000,9.295,9.311,9.257,9.27,18844,0
VOOM.DE,D,20190529,000000,9.196,9.196,9.151,9.151,0,0
VOOM.DE,D,20190530,000000,9.178,9.178,9.173,9.173,0,0
VOOM.DE,D,20190531,000000,9.103,9.12,9.074,9.12,0,0
VOOM.DE,D,20190603,000000,9.054,9.107,9.052,9.107,0,0
VOOM.DE,D,20190604,000000,9.049,9.173,9.049,9.173,0,0
VOOM.DE,D,20190605,000000,9.19,9.238,9.19,9.217,0,0
VOOM.DE,D,20190606,000000,9.26,9.293,9.242,9.242,0,0
VOOM.DE,D,20190607,000000,9.301,9.331,9.301,9.331,0,0
VOOM.DE,D,20190611,000000,9.369,9.391,9.369,9.384,0,0
VOOM.DE,D,20190612,000000,9.333,9.366,9.333,9.366,0,0
VOOM.DE,D,20190613,000000,9.359,9.389,9.359,9.373,0,0
VOOM.DE,D,20190614,000000,9.353,9.391,9.353,9.37,315,0
VOOM.DE,D,20190617,000000,9.379,9.379,9.361,9.361,0,0
VOOM.DE,D,20190618,000000,9.348,9.507,9.348,9.507,0,0
VOOM.DE,D,20190619,000000,9.495,9.515,9.487,9.49,695,0
VOOM.DE,D,20190620,000000,9.53,9.55,9.515,9.515,62,0
VOOM.DE,D,20190621,000000,9.518,9.518,9.487,9.493,100,0
VOOM.DE,D,20190624,000000,9.436,9.439,9.436,9.439,0,0
VOOM.DE,D,20190625,000000,9.396,9.424,9.396,9.412,0,0
VOOM.DE,D,20190626,000000,9.378,9.41,9.378,9.378,0,0
VOOM.DE,D,20190627,000000,9.399,9.399,9.39,9.392,0,0
VOOM.DE,D,20190628,000000,9.408,9.447,9.408,9.447,0,0
VOOM.DE,D,20190701,000000,9.567,9.58,9.546,9.557,376,0
VOOM.DE,D,20190702,000000,9.572,9.572,9.562,9.572,0,0
VOOM.DE,D,20190703,000000,9.605,9.683,9.605,9.683,0,0
VOOM.DE,D,20190704,000000,9.709,9.709,9.696,9.706,0,0
