<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSC.DE,D,20070102,000000,17.847,17.847,17.219,17.847,191,0
VSC.DE,D,20070103,000000,17.412,17.799,17.122,17.799,539,0
VSC.DE,D,20070104,000000,17.412,17.799,17.412,17.799,243,0
VSC.DE,D,20070105,000000,16.977,17.364,16.928,16.928,309,0
VSC.DE,D,20070108,000000,17.412,17.412,17.17,17.412,258,0
VSC.DE,D,20070109,000000,17.654,17.654,17.267,17.46,164,0
VSC.DE,D,20070110,000000,16.928,17.557,16.928,17.557,644,0
VSC.DE,D,20070115,000000,17.654,18.621,17.654,18.525,6274,0
VSC.DE,D,20070116,000000,18.573,18.621,18.573,18.621,480,0
VSC.DE,D,20070117,000000,18.621,18.621,18.621,18.621,0,0
VSC.DE,D,20070118,000000,18.621,18.621,18.621,18.621,0,0
VSC.DE,D,20070119,000000,18.525,18.573,18.331,18.573,106,0
VSC.DE,D,20070122,000000,17.944,18.331,17.944,18.331,174,0
VSC.DE,D,20070123,000000,18.379,18.525,18.331,18.525,710,0
VSC.DE,D,20070124,000000,18.283,18.525,17.799,18.525,83,0
VSC.DE,D,20070125,000000,18.525,18.573,18.525,18.573,624,0
VSC.DE,D,20070126,000000,18.573,18.573,17.944,18.573,1006,0
VSC.DE,D,20070129,000000,18.428,18.428,18.428,18.428,40,0
VSC.DE,D,20070130,000000,17.896,18.428,17.896,17.896,630,0
VSC.DE,D,20070131,000000,18.525,18.525,18.331,18.331,111,0
VSC.DE,D,20070201,000000,18.331,18.331,18.331,18.331,0,0
VSC.DE,D,20070202,000000,17.896,18.379,17.896,18.379,121,0
VSC.DE,D,20070205,000000,18.138,18.379,18.138,18.138,190,0
VSC.DE,D,20070206,000000,18.283,18.331,17.074,17.896,5061,0
VSC.DE,D,20070207,000000,17.896,17.896,17.896,17.896,20,0
VSC.DE,D,20070208,000000,17.17,17.896,17.17,17.896,296,0
VSC.DE,D,20070209,000000,17.896,17.896,17.896,17.896,798,0
VSC.DE,D,20070212,000000,17.944,17.944,17.896,17.944,936,0
VSC.DE,D,20070213,000000,17.896,18.089,17.896,17.896,1152,0
VSC.DE,D,20070214,000000,17.896,18.138,17.896,18.138,879,0
VSC.DE,D,20070215,000000,18.331,18.525,17.896,18.525,728,0
VSC.DE,D,20070216,000000,18.476,18.476,17.702,17.702,580,0
VSC.DE,D,20070219,000000,17.896,18.525,17.799,18.525,911,0
VSC.DE,D,20070220,000000,18.379,18.379,17.702,17.702,589,0
VSC.DE,D,20070221,000000,17.944,18.525,17.799,17.799,466,0
VSC.DE,D,20070222,000000,18.428,18.428,17.751,18.379,363,0
VSC.DE,D,20070226,000000,17.896,18.041,17.896,18.041,220,0
VSC.DE,D,20070227,000000,17.896,17.896,17.412,17.412,840,0
VSC.DE,D,20070228,000000,17.17,17.896,16.928,17.896,748,0
VSC.DE,D,20070301,000000,17.896,17.896,16.928,16.928,1480,0
VSC.DE,D,20070302,000000,17.412,17.412,16.445,16.445,1538,0
VSC.DE,D,20070305,000000,16.638,16.638,16.106,16.106,490,0
VSC.DE,D,20070306,000000,16.445,17.267,16.445,17.267,208,0
VSC.DE,D,20070307,000000,16.928,16.928,16.928,16.928,1060,0
VSC.DE,D,20070308,000000,16.928,16.928,16.928,16.928,0,0
VSC.DE,D,20070309,000000,17.267,17.267,16.445,16.445,946,0
VSC.DE,D,20070312,000000,16.445,16.687,16.3,16.687,760,0
VSC.DE,D,20070313,000000,17.17,17.17,17.17,17.17,5,0
VSC.DE,D,20070314,000000,16.445,16.832,16.445,16.832,153,0
VSC.DE,D,20070315,000000,16.445,17.412,16.445,17.412,63,0
VSC.DE,D,20070316,000000,17.412,17.412,17.412,17.412,64,0
VSC.DE,D,20070319,000000,17.412,17.606,16.928,17.606,772,0
VSC.DE,D,20070320,000000,17.17,17.654,17.17,17.654,227,0
VSC.DE,D,20070321,000000,17.557,17.557,17.557,17.557,0,0
VSC.DE,D,20070322,000000,17.606,17.606,17.606,17.606,1,0
VSC.DE,D,20070323,000000,17.654,17.654,16.445,17.364,137,0
VSC.DE,D,20070326,000000,17.364,17.364,17.364,17.364,0,0
VSC.DE,D,20070327,000000,17.17,17.17,17.17,17.17,64,0
VSC.DE,D,20070328,000000,16.687,17.219,16.687,17.219,11,0
VSC.DE,D,20070329,000000,16.445,16.445,16.445,16.445,10,0
VSC.DE,D,20070330,000000,17.219,17.412,16.445,16.445,130,0
VSC.DE,D,20070402,000000,17.412,17.46,16.687,17.46,280,0
VSC.DE,D,20070403,000000,16.928,16.928,14.123,15.477,7525,0
VSC.DE,D,20070404,000000,15.381,15.526,13.785,14.51,7606,0
VSC.DE,D,20070405,000000,13.785,15.187,13.301,14.655,3848,0
VSC.DE,D,20070410,000000,16.058,16.638,15.236,15.961,3970,0
VSC.DE,D,20070411,000000,16.445,16.445,15.042,15.332,2176,0
VSC.DE,D,20070412,000000,15.913,15.913,14.994,15.236,1990,0
VSC.DE,D,20070413,000000,15.332,15.332,14.994,14.994,1464,0
VSC.DE,D,20070416,000000,14.849,15.187,14.849,14.849,2418,0
VSC.DE,D,20070417,000000,15.091,15.623,14.752,15.623,4626,0
VSC.DE,D,20070418,000000,15.961,16.687,15.332,16.542,9497,0
VSC.DE,D,20070419,000000,16.687,17.219,16.59,17.025,12451,0
VSC.DE,D,20070420,000000,17.074,17.074,14.268,15.042,7117,0
VSC.DE,D,20070423,000000,14.897,14.897,14.268,14.51,3538,0
VSC.DE,D,20070424,000000,14.317,14.655,14.268,14.51,3085,0
VSC.DE,D,20070425,000000,14.51,14.51,14.075,14.22,1189,0
VSC.DE,D,20070426,000000,14.268,14.558,14.268,14.51,1567,0
VSC.DE,D,20070427,000000,14.558,14.655,14.268,14.51,3046,0
VSC.DE,D,20070430,000000,14.462,14.51,14.317,14.51,1767,0
VSC.DE,D,20070502,000000,14.317,14.558,14.317,14.51,505,0
VSC.DE,D,20070503,000000,14.268,14.51,12.092,14.172,3140,0
VSC.DE,D,20070504,000000,13.736,13.785,12.575,13.785,5153,0
VSC.DE,D,20070507,000000,14.304,14.741,14.109,14.109,1968,0
VSC.DE,D,20070508,000000,14.255,14.255,13.622,13.866,896,0
VSC.DE,D,20070509,000000,14.109,14.352,13.476,14.012,10155,0
VSC.DE,D,20070510,000000,14.109,14.109,13.525,13.72,8897,0
VSC.DE,D,20070511,000000,13.622,13.72,12.893,13.671,16119,0
VSC.DE,D,20070514,000000,13.866,13.866,13.185,13.72,7741,0
VSC.DE,D,20070515,000000,13.282,13.525,13.136,13.428,2283,0
VSC.DE,D,20070516,000000,13.671,13.768,13.622,13.768,1320,0
VSC.DE,D,20070517,000000,13.72,13.72,13.72,13.72,140,0
VSC.DE,D,20070518,000000,13.233,14.06,13.233,13.671,2300,0
VSC.DE,D,20070521,000000,13.622,13.817,13.379,13.72,7400,0
VSC.DE,D,20070522,000000,13.136,13.622,12.309,13.525,9909,0
VSC.DE,D,20070523,000000,13.136,13.379,13.087,13.136,1005,0
VSC.DE,D,20070524,000000,13.039,13.622,12.844,12.893,776,0
VSC.DE,D,20070525,000000,13.039,13.622,13.039,13.622,2062,0
VSC.DE,D,20070528,000000,13.039,13.622,13.039,13.622,2062,0
VSC.DE,D,20070529,000000,14.304,14.741,13.622,14.304,17452,0
VSC.DE,D,20070530,000000,14.595,14.644,14.109,14.595,5565,0
VSC.DE,D,20070531,000000,14.498,14.741,14.158,14.693,3560,0
VSC.DE,D,20070601,000000,14.693,16.542,14.693,15.958,8509,0
VSC.DE,D,20070604,000000,15.763,15.763,14.644,15.082,2211,0
VSC.DE,D,20070605,000000,15.179,15.617,14.887,15.325,3952,0
VSC.DE,D,20070606,000000,14.887,15.617,14.887,15.568,3086,0
VSC.DE,D,20070607,000000,15.325,15.568,15.325,15.568,1110,0
VSC.DE,D,20070608,000000,15.52,15.812,15.374,15.812,1840,0
VSC.DE,D,20070611,000000,15.228,16.201,15.228,15.763,1658,0
VSC.DE,D,20070612,000000,15.812,15.812,15.277,15.812,904,0
VSC.DE,D,20070613,000000,16.006,16.006,15.325,15.812,911,0
VSC.DE,D,20070614,000000,15.374,15.812,15.374,15.374,497,0
VSC.DE,D,20070615,000000,15.179,15.812,15.082,15.812,1080,0
VSC.DE,D,20070618,000000,15.568,15.568,14.839,14.839,3510,0
VSC.DE,D,20070619,000000,15.131,15.131,14.985,15.131,1631,0
