<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
W311.DE,D,20200803,000000,8.541,8.706,8.541,8.706,90,0
W311.DE,D,20200804,000000,8.695,8.695,8.6,8.653,242,0
W311.DE,D,20200805,000000,8.627,8.647,8.627,8.627,105,0
W311.DE,D,20200806,000000,8.591,8.614,8.511,8.511,0,0
W311.DE,D,20200807,000000,8.519,8.635,8.501,8.635,0,0
W311.DE,D,20200810,000000,8.575,8.596,8.504,8.504,0,0
W311.DE,D,20200811,000000,8.526,8.526,8.505,8.514,0,0
W311.DE,D,20200812,000000,8.485,8.523,8.422,8.523,12000,0
W311.DE,D,20200813,000000,8.471,8.541,8.448,8.541,0,0
W311.DE,D,20200814,000000,8.547,8.547,8.481,8.481,420,0
W311.DE,D,20200817,000000,8.454,8.556,8.439,8.545,696,0
W311.DE,D,20200818,000000,8.533,8.562,8.514,8.514,70,0
W311.DE,D,20200819,000000,8.492,8.503,8.48,8.484,60,0
W311.DE,D,20200820,000000,8.448,8.459,8.42,8.423,1205,0
W311.DE,D,20200821,000000,8.398,8.428,8.39,8.39,0,0
W311.DE,D,20200824,000000,8.469,8.469,8.37,8.373,4785,0
W311.DE,D,20200825,000000,8.367,8.397,8.339,8.397,0,0
W311.DE,D,20200826,000000,8.44,8.486,8.419,8.419,6770,0
W311.DE,D,20200827,000000,8.418,8.506,8.418,8.491,20775,0
W311.DE,D,20200828,000000,8.408,8.408,8.388,8.388,0,0
W311.DE,D,20200831,000000,8.418,8.431,8.381,8.431,250,0
W311.DE,D,20200901,000000,8.46,8.477,8.405,8.405,0,0
W311.DE,D,20200902,000000,8.475,8.614,8.475,8.614,36,0
W311.DE,D,20200903,000000,8.635,8.635,8.422,8.422,466,0
W311.DE,D,20200904,000000,8.223,8.299,8.179,8.179,650,0
W311.DE,D,20200907,000000,8.093,8.18,8.093,8.18,0,0
W311.DE,D,20200908,000000,8.202,8.224,8.127,8.224,113,0
W311.DE,D,20200909,000000,8.202,8.358,8.202,8.358,0,0
W311.DE,D,20200910,000000,8.306,8.341,8.266,8.321,38,0
W311.DE,D,20200911,000000,8.285,8.293,8.264,8.293,0,0
W311.DE,D,20200914,000000,8.324,8.372,8.272,8.372,520,0
W311.DE,D,20200915,000000,8.359,8.502,8.359,8.502,0,0
W311.DE,D,20200916,000000,8.46,8.496,8.46,8.479,445,0
W311.DE,D,20200917,000000,8.272,8.298,8.272,8.298,0,0
