<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
W8A.DE,D,20150108,000000,58.39056,58.39056,57.51906,57.51906,524,0
W8A.DE,D,20150109,000000,56.856719,56.856719,56.333818,56.752141,622,0
W8A.DE,D,20150112,000000,55.776058,55.776058,55.767343,55.767345,298,0
W8A.DE,D,20150114,000000,55.070142,55.828348,54.904557,55.497178,573,0
W8A.DE,D,20150116,000000,56.412253,56.691136,56.412253,56.691136,280,0
W8A.DE,D,20150120,000000,57.67593,57.67593,57.51906,57.51906,188,0
W8A.DE,D,20150121,000000,57.083309,57.083309,57.083309,57.083309,108,0
W8A.DE,D,20150122,000000,57.414479,57.431911,57.414479,57.431911,103,0
W8A.DE,D,20150123,000000,58.573576,58.573576,58.573575,58.573575,30,0
W8A.DE,D,20150311,000000,68.803286,69.109662,68.803286,69.109659,25,0
W8A.DE,D,20150316,000000,71.079222,71.079222,70.90415,70.90415,95,0
W8A.DE,D,20150317,000000,71.429366,71.53441,70.90415,71.53441,460,0
W8A.DE,D,20150318,000000,70.90415,70.90415,70.90415,70.90415,201,0
W8A.DE,D,20150319,000000,72.190929,72.190929,71.77951,71.77951,93,0
W8A.DE,D,20150320,000000,72.313479,72.366001,72.313479,72.365999,272,0
W8A.DE,D,20150326,000000,67.516507,67.84039,66.317264,67.84039,897,0
W8A.DE,D,20150402,000000,69.240966,69.240966,68.102998,68.103001,60,0
W8A.DE,D,20150408,000000,70.475223,70.475223,70.46647,70.46647,124,0
W8A.DE,D,20150409,000000,72.87371,74.160489,72.87371,74.160489,10,0
W8A.DE,D,20150410,000000,76.917872,76.917872,76.156309,76.156309,195,0
W8A.DE,D,20150415,000000,76.112541,76.112541,76.112538,76.112538,219,0
W8A.DE,D,20150416,000000,74.405589,74.405589,74.405589,74.405589,108,0
W8A.DE,D,20150417,000000,71.604438,71.60444,71.044207,71.60444,485,0
W8A.DE,D,20150420,000000,72.199682,72.199685,72.199682,72.199685,70,0
W8A.DE,D,20150422,000000,70.772846,70.772846,70.772844,70.772844,100,0
W8A.DE,D,20150424,000000,69.503574,69.503574,69.328499,69.328499,80,0
W8A.DE,D,20150427,000000,69.416038,69.416041,69.416038,69.416041,9,0
W8A.DE,D,20150428,000000,69.065894,69.065894,68.470649,68.71575,478,0
W8A.DE,D,20150504,000000,65.214311,65.214311,63.76121,63.76121,525,0
W8A.DE,D,20150508,000000,66.352278,66.579872,66.002135,66.002136,300,0
W8A.DE,D,20150515,000000,66.833726,66.833726,66.833725,66.833725,70,0
W8A.DE,D,20150519,000000,67.671005,67.671005,67.671005,67.671005,100,0
W8A.DE,D,20150520,000000,67.310678,67.310678,67.310675,67.310675,100,0
W8A.DE,D,20150521,000000,67.319467,67.319467,66.757007,66.765796,185,0
W8A.DE,D,20150526,000000,69.05079,69.472635,69.05079,69.296865,761,0
W8A.DE,D,20150527,000000,69.419905,69.91206,69.419905,69.91206,405,0
W8A.DE,D,20150602,000000,69.068367,69.340809,67.890716,67.890716,671,0
W8A.DE,D,20150603,000000,68.128004,68.857444,68.128004,68.857443,56,0
W8A.DE,D,20150609,000000,64.946588,64.946588,64.779606,64.779606,360,0
W8A.DE,D,20150611,000000,67.029448,67.029448,65.83422,66.264856,600,0
W8A.DE,D,20150616,000000,65.298125,65.298125,65.087201,65.087201,94,0
W8A.DE,D,20150617,000000,67.161275,67.161275,67.161273,67.161273,26,0
W8A.DE,D,20150630,000000,67.090967,67.090967,67.090964,67.090964,50,0
W8A.DE,D,20150702,000000,68.268619,68.268619,67.855561,67.855561,59,0
W8A.DE,D,20150708,000000,68.558637,68.558639,68.558637,68.558639,152,0
W8A.DE,D,20150709,000000,69.956,72.214629,69.956,72.214627,246,0
W8A.DE,D,20150710,000000,71.458823,71.977343,71.186381,71.977343,533,0
W8A.DE,D,20150713,000000,75.554237,75.905778,75.185123,75.905778,118,0
W8A.DE,D,20150714,000000,75.378468,75.378468,75.378466,75.378466,35,0
W8A.DE,D,20150716,000000,76.028813,76.7231,76.028813,76.608849,276,0
W8A.DE,D,20150720,000000,77.355868,77.355868,77.355865,77.355865,3,0
W8A.DE,D,20150723,000000,76.828561,76.986753,76.828561,76.986753,65,0
W8A.DE,D,20150728,000000,74.9742,74.9742,74.9742,74.9742,189,0
W8A.DE,D,20150731,000000,77.153734,77.153734,77.153734,77.153734,10,0
W8A.DE,D,20150804,000000,77.144945,77.144945,77.144945,77.144945,5,0
W8A.DE,D,20150805,000000,78.832326,78.832326,78.832326,78.832326,20,0
W8A.DE,D,20150810,000000,75.149969,76.301255,74.895104,74.895104,245,0
W8A.DE,D,20150812,000000,72.996801,72.996801,72.864974,72.864974,194,0
W8A.DE,D,20150814,000000,72.355244,72.355244,72.355244,72.355244,10,0
W8A.DE,D,20150817,000000,72.897851,72.897851,72.897851,72.897851,18,0
W8A.DE,D,20150820,000000,72.0067,72.0067,72.0067,72.0067,35,0
W8A.DE,D,20150821,000000,70.259693,70.259693,69.33325,69.500892,144,0
W8A.DE,D,20150824,000000,64.2334,64.2334,61.648182,61.648182,436,0
W8A.DE,D,20150825,000000,64.498098,65.627477,64.498098,65.080434,1438,0
W8A.DE,D,20150827,000000,67.198019,69.615594,67.162726,69.615594,175,0
W8A.DE,D,20150828,000000,67.939173,68.33622,67.939173,68.33622,130,0
W8A.DE,D,20150901,000000,67.162726,67.162726,66.368631,66.368631,234,0
