<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WB2.DE,D,20100301,000000,13.119262,13.119262,13.119262,13.119262,0,0
WB2.DE,D,20100302,000000,13.209904,13.209904,13.209904,13.209904,0,0
WB2.DE,D,20100303,000000,13.653573,13.653573,13.653573,13.653573,0,0
WB2.DE,D,20100304,000000,13.55339,13.55339,13.55339,13.55339,0,0
WB2.DE,D,20100305,000000,13.539078,13.539078,13.539078,13.539078,0,0
WB2.DE,D,20100308,000000,13.81816,13.81816,13.81816,13.81816,0,0
WB2.DE,D,20100309,000000,13.877793,13.877793,13.877793,13.877793,0,0
WB2.DE,D,20100310,000000,13.81339,13.81339,13.81339,13.81339,0,0
WB2.DE,D,20100311,000000,13.939812,13.939812,13.939812,13.939812,0,0
WB2.DE,D,20100312,000000,14.426417,14.426417,14.426417,14.426417,0,0
WB2.DE,D,20100315,000000,14.383481,14.383481,14.383481,14.383481,0,0
WB2.DE,D,20100316,000000,14.469353,14.469353,14.469353,14.469353,0,0
WB2.DE,D,20100317,000000,14.71027,14.71027,14.71027,14.71027,0,0
WB2.DE,D,20100318,000000,14.71027,14.71027,14.71027,14.71027,0,0
WB2.DE,D,20100319,000000,14.71027,14.71027,14.71027,14.71027,0,0
WB2.DE,D,20100322,000000,15.170637,15.170637,15.170637,15.170637,0,0
WB2.DE,D,20100323,000000,15.122931,15.122931,15.122931,15.122931,0,0
WB2.DE,D,20100324,000000,14.984582,14.984582,14.984582,14.984582,0,0
WB2.DE,D,20100325,000000,15.344765,15.344765,15.344765,15.344765,0,0
WB2.DE,D,20100326,000000,15.344765,15.344765,15.344765,15.344765,0,0
WB2.DE,D,20100329,000000,16.45871,16.45871,16.45871,16.45871,0,0
WB2.DE,D,20100330,000000,15.981646,15.981646,15.981646,15.981646,0,0
WB2.DE,D,20100331,000000,15.79082,15.79082,15.79082,15.79082,0,0
WB2.DE,D,20100401,000000,15.115775,15.115775,15.115775,15.115775,0,0
WB2.DE,D,20100406,000000,15.013206,15.013206,15.013206,15.013206,0,0
WB2.DE,D,20100407,000000,14.889169,14.889169,14.889169,14.889169,0,0
WB2.DE,D,20100408,000000,15.363848,15.363848,15.363848,15.363848,0,0
WB2.DE,D,20100409,000000,15.027518,15.027518,15.027518,15.027518,0,0
WB2.DE,D,20100412,000000,14.741279,14.741279,14.741279,14.741279,0,0
WB2.DE,D,20100413,000000,14.884399,14.884399,14.884399,14.884399,0,0
WB2.DE,D,20100414,000000,14.882013,14.882013,14.882013,14.882013,0,0
WB2.DE,D,20100415,000000,14.862931,14.862931,14.862931,14.862931,0,0
WB2.DE,D,20100416,000000,15.008435,15.008435,15.008435,15.008435,0,0
WB2.DE,D,20100419,000000,15.979261,15.979261,15.979261,15.979261,0,0
WB2.DE,D,20100420,000000,16.637609,16.637609,16.637609,16.637609,0,0
WB2.DE,D,20100421,000000,16.630453,16.630453,16.630453,16.630453,0,0
WB2.DE,D,20100422,000000,16.649536,16.649536,16.649536,16.649536,0,0
WB2.DE,D,20100423,000000,16.973939,16.973939,16.973939,16.973939,0,0
WB2.DE,D,20100426,000000,17.002563,17.002563,17.002563,17.002563,0,0
WB2.DE,D,20100427,000000,17.412838,17.412838,17.412838,17.412838,0,0
WB2.DE,D,20100428,000000,17.670453,17.670453,17.670453,17.670453,0,0
WB2.DE,D,20100429,000000,17.770636,17.770636,17.770636,17.770636,0,0
WB2.DE,D,20100430,000000,17.109902,17.109902,17.109902,17.109902,0,0
WB2.DE,D,20100503,000000,17.121829,17.121829,17.121829,17.121829,0,0
WB2.DE,D,20100504,000000,17.195774,17.195774,17.195774,17.195774,0,0
WB2.DE,D,20100505,000000,16.954857,16.954857,16.954857,16.954857,0,0
WB2.DE,D,20100506,000000,17.09082,17.09082,17.09082,17.09082,0,0
WB2.DE,D,20100507,000000,17.028801,17.028801,17.028801,17.028801,0,0
WB2.DE,D,20100920,000000,16.224853,16.224853,16.224853,16.224853,0,0
WB2.DE,D,20101101,000000,15.981445,15.981445,15.981445,15.981445,0,0
WB2.DE,D,20101102,000000,15.833491,15.833491,15.833491,15.833491,0,0
WB2.DE,D,20101103,000000,16.064967,16.064967,16.064967,16.064967,0,0
WB2.DE,D,20101104,000000,15.986218,15.986218,15.986218,15.986218,0,0
WB2.DE,D,20101105,000000,15.933718,15.933718,15.933718,15.933718,0,0
WB2.DE,D,20101108,000000,16.153263,16.153263,16.153263,16.153263,0,0
WB2.DE,D,20101109,000000,16.372808,16.372808,16.372808,16.372808,0,0
WB2.DE,D,20101110,000000,16.277353,16.277353,16.277353,16.277353,0,0
WB2.DE,D,20101111,000000,16.654398,16.654398,16.654398,16.654398,0,0
WB2.DE,D,20101112,000000,16.497965,16.497965,16.497965,16.497965,0,0
WB2.DE,D,20101115,000000,16.607761,16.607761,16.607761,16.607761,0,0
WB2.DE,D,20101116,000000,16.2736,16.2736,16.2736,16.2736,0,0
WB2.DE,D,20101117,000000,16.328498,16.328498,16.328498,16.328498,0,0
WB2.DE,D,20101118,000000,16.128002,16.128002,16.128002,16.128002,0,0
WB2.DE,D,20101119,000000,16.096973,16.096973,16.096973,16.096973,0,0
WB2.DE,D,20101122,000000,16.404878,16.404878,16.404878,16.404878,0,0
WB2.DE,D,20101123,000000,16.338046,16.338046,16.338046,16.338046,0,0
WB2.DE,D,20101124,000000,16.185287,16.185287,16.185287,16.185287,0,0
WB2.DE,D,20101125,000000,16.371462,16.371462,16.371462,16.371462,0,0
WB2.DE,D,20101126,000000,16.514673,16.514673,16.514673,16.514673,0,0
WB2.DE,D,20101129,000000,16.412038,16.412038,16.412038,16.412038,0,0
WB2.DE,D,20101130,000000,16.762906,16.762906,16.762906,16.762906,0,0
WB2.DE,D,20101201,000000,16.655498,16.655498,16.655498,16.655498,0,0
WB2.DE,D,20101202,000000,16.68414,16.68414,16.68414,16.68414,0,0
WB2.DE,D,20101203,000000,17.106614,17.106614,17.106614,17.106614,0,0
WB2.DE,D,20101206,000000,17.187767,17.187767,17.187767,17.187767,0,0
WB2.DE,D,20101207,000000,17.545796,17.545796,17.545796,17.545796,0,0
WB2.DE,D,20101208,000000,17.963496,17.963496,17.963496,17.963496,0,0
WB2.DE,D,20101209,000000,18.21889,18.21889,18.21889,18.21889,0,0
WB2.DE,D,20101210,000000,18.338233,18.338233,18.338233,18.338233,0,0
WB2.DE,D,20101213,000000,18.567371,18.567371,18.567371,18.567371,0,0
WB2.DE,D,20101214,000000,18.760707,18.760707,18.760707,18.760707,0,0
WB2.DE,D,20101215,000000,18.786962,18.786962,18.786962,18.786962,0,0
WB2.DE,D,20101216,000000,18.71297,18.71297,18.71297,18.71297,0,0
WB2.DE,D,20101217,000000,18.777415,18.777415,18.777415,18.777415,0,0
WB2.DE,D,20101220,000000,18.849021,18.849021,18.849021,18.849021,0,0
WB2.DE,D,20101221,000000,19.037583,19.037583,19.037583,19.037583,0,0
WB2.DE,D,20101222,000000,18.872889,18.872889,18.872889,18.872889,0,0
WB2.DE,D,20101223,000000,18.798897,18.798897,18.798897,18.798897,0,0
WB2.DE,D,20101227,000000,19.082933,19.082933,19.082933,19.082933,0,0
WB2.DE,D,20101228,000000,19.154539,19.154539,19.154539,19.154539,0,0
WB2.DE,D,20101229,000000,18.839473,18.839473,18.839473,18.839473,0,0
WB2.DE,D,20101230,000000,18.71297,18.71297,18.71297,18.71297,0,0
WB2.DE,D,20110103,000000,18.9254,18.9254,18.9254,18.9254,0,0
WB2.DE,D,20110104,000000,18.677167,18.677167,18.677167,18.677167,0,0
WB2.DE,D,20110105,000000,18.703422,18.703422,18.703422,18.703422,0,0
WB2.DE,D,20110106,000000,18.653298,18.653298,18.653298,18.653298,0,0
WB2.DE,D,20110107,000000,18.853794,18.853794,18.853794,18.853794,0,0
WB2.DE,D,20110110,000000,18.643751,18.643751,18.643751,18.643751,0,0
WB2.DE,D,20110111,000000,18.736838,18.736838,18.736838,18.736838,0,0
WB2.DE,D,20110112,000000,18.994619,18.994619,18.994619,18.994619,0,0
WB2.DE,D,20110113,000000,19.183181,19.183181,19.183181,19.183181,0,0
WB2.DE,D,20110114,000000,19.111575,19.111575,19.111575,19.111575,0,0
WB2.DE,D,20110117,000000,19.066225,19.066225,19.066225,19.066225,0,0
WB2.DE,D,20110118,000000,18.693875,18.693875,18.693875,18.693875,0,0
WB2.DE,D,20110119,000000,18.748773,18.748773,18.748773,18.748773,0,0
WB2.DE,D,20110120,000000,18.849021,18.849021,18.849021,18.849021,0,0
WB2.DE,D,20110121,000000,19.070999,19.070999,19.070999,19.070999,0,0
WB2.DE,D,20110124,000000,18.961203,18.961203,18.961203,18.961203,0,0
WB2.DE,D,20110125,000000,18.715357,18.715357,18.715357,18.715357,0,0
WB2.DE,D,20110126,000000,18.397904,18.397904,18.397904,18.397904,0,0
WB2.DE,D,20110127,000000,18.395518,18.395518,18.395518,18.395518,0,0
WB2.DE,D,20110128,000000,18.328686,18.328686,18.328686,18.328686,0,0
WB2.DE,D,20110131,000000,18.622269,18.622269,18.622269,18.622269,0,0
