<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WCH.DE,D,20070102,000000,75.101008,76.119584,74.728543,76.051172,35634,0
WCH.DE,D,20070103,000000,76.089179,76.393232,75.306243,75.823133,49776,0
WCH.DE,D,20070104,000000,75.108609,75.671106,74.470098,74.530909,60559,0
WCH.DE,D,20070105,000000,74.865367,76.773297,73.26909,75.823133,123502,0
WCH.DE,D,20070108,000000,76.256408,77.054546,75.435466,76.978533,105697,0
WCH.DE,D,20070109,000000,77.001337,82.322258,77.001337,81.721754,393400,0
WCH.DE,D,20070110,000000,81.866179,82.626311,81.448107,82.474285,209683,0
WCH.DE,D,20070115,000000,87.415141,87.795206,86.054505,87.377134,256470,0
WCH.DE,D,20070116,000000,87.64318,87.64318,84.701471,84.952314,140270,0
WCH.DE,D,20070117,000000,85.286772,86.366159,84.496235,85.225961,62436,0
WCH.DE,D,20070118,000000,86.244538,88.403312,84.982719,87.24031,171787,0
WCH.DE,D,20070119,000000,87.149094,87.916827,85.978492,87.491154,158658,0
WCH.DE,D,20070122,000000,88.471724,89.079829,87.232709,87.795206,203251,0
WCH.DE,D,20070123,000000,87.87122,88.365305,85.058732,86.655009,80068,0
WCH.DE,D,20070124,000000,87.263114,89.254659,86.274943,88.722567,142801,0
WCH.DE,D,20070125,000000,89.695536,92.736062,88.707364,92.036741,368607,0
WCH.DE,D,20070126,000000,91.671878,94.712404,91.671878,94.256325,259071,0
WCH.DE,D,20070129,000000,94.248724,95.016457,92.287585,92.964102,145571,0
WCH.DE,D,20070130,000000,91.975931,93.5342,91.124583,92.728461,104614,0
WCH.DE,D,20070131,000000,92.051944,94.643993,91.671878,93.800246,78323,0
WCH.DE,D,20070201,000000,94.256325,96.217465,93.503795,95.069666,128261,0
WCH.DE,D,20070202,000000,95.472536,96.460707,93.268154,94.864431,136449,0
WCH.DE,D,20070205,000000,95.776589,96.399897,94.446358,95.20649,63809,0
WCH.DE,D,20070206,000000,95.396523,95.776589,93.496194,94.400751,68563,0
WCH.DE,D,20070207,000000,94.864431,94.864431,94.119502,94.636391,77574,0
WCH.DE,D,20070208,000000,94.826424,95.20649,94.043489,94.826424,119194,0
WCH.DE,D,20070209,000000,94.826424,95.09247,93.929469,95.09247,141091,0
WCH.DE,D,20070212,000000,94.940444,96.156655,94.750411,95.130477,67768,0
WCH.DE,D,20070213,000000,96.118648,96.460707,95.024058,96.156655,157312,0
WCH.DE,D,20070214,000000,96.612734,98.292625,96.316282,97.410872,136208,0
WCH.DE,D,20070215,000000,99.957313,99.957313,93.617815,95.305307,262495,0
WCH.DE,D,20070216,000000,94.423554,96.095844,94.256325,95.974223,67329,0
WCH.DE,D,20070219,000000,96.498714,97.714925,94.765614,95.358516,112233,0
WCH.DE,D,20070220,000000,95.700576,95.700576,94.45396,95.472536,139802,0
WCH.DE,D,20070221,000000,95.160882,95.654968,94.720006,95.016457,75330,0
WCH.DE,D,20070222,000000,95.016457,96.53672,94.446358,96.118648,81863,0
WCH.DE,D,20070226,000000,95.024058,95.822197,94.636391,94.940444,118745,0
WCH.DE,D,20070227,000000,94.849228,94.849228,87.415141,89.695536,429686,0
WCH.DE,D,20070228,000000,87.012271,90.227628,84.146574,87.415141,577491,0
WCH.DE,D,20070301,000000,86.807035,89.528307,84.693869,86.533388,292932,0
WCH.DE,D,20070302,000000,88.441318,88.50973,85.134746,86.609401,161422,0
WCH.DE,D,20070305,000000,84.678667,86.388963,82.436278,85.97089,241267,0
WCH.DE,D,20070306,000000,88.327299,88.327299,85.765655,86.267342,92160,0
WCH.DE,D,20070307,000000,86.655009,88.091658,86.274943,87.415141,121453,0
