<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAIN.DE,D,20110613,000000,10.49,10.49,10.41,10.44,43950,0
XAIN.DE,D,20110614,000000,10.45,10.56,10.45,10.54,10396,0
XAIN.DE,D,20110615,000000,10.67,10.69,10.61,10.63,129604,0
XAIN.DE,D,20110616,000000,10.58,10.59,10.51,10.54,109608,0
XAIN.DE,D,20110617,000000,10.4,10.53,10.39,10.39,120785,0
XAIN.DE,D,20110620,000000,10.49,10.49,10.4,10.45,46091,0
XAIN.DE,D,20110621,000000,10.49,10.6,10.42,10.59,165265,0
XAIN.DE,D,20110622,000000,10.52,10.58,10.52,10.58,141395,0
XAIN.DE,D,20110623,000000,10.63,10.69,10.62,10.66,108225,0
XAIN.DE,D,20110624,000000,10.74,10.77,10.72,10.73,61300,0
XAIN.DE,D,20110627,000000,10.77,10.77,10.65,10.65,22109,0
XAIN.DE,D,20110628,000000,10.65,10.71,10.64,10.71,23709,0
XAIN.DE,D,20110629,000000,10.81,10.82,10.72,10.76,66467,0
XAIN.DE,D,20110630,000000,10.76,10.88,10.76,10.85,3360,0
XAIN.DE,D,20110701,000000,11.04,11.09,10.96,11.06,72450,0
XAIN.DE,D,20110704,000000,11.02,11.15,11.02,11.14,6514,0
XAIN.DE,D,20110705,000000,11.01,11.07,10.99,11.04,328241,0
XAIN.DE,D,20110706,000000,11.04,11.04,11,11.03,1457,0
XAIN.DE,D,20110707,000000,11.16,11.23,11.14,11.2,32220,0
XAIN.DE,D,20110708,000000,11.46,11.46,11.35,11.36,124505,0
XAIN.DE,D,20110711,000000,11.53,11.57,11.46,11.46,14208,0
XAIN.DE,D,20110712,000000,11.47,11.51,11.42,11.46,79338,0
XAIN.DE,D,20110713,000000,11.46,11.56,11.46,11.48,186423,0
XAIN.DE,D,20110714,000000,11.35,11.5,11.35,11.42,22890,0
XAIN.DE,D,20110715,000000,11.56,11.6,11.55,11.6,25197,0
XAIN.DE,D,20110718,000000,11.72,11.72,11.58,11.58,6094,0
XAIN.DE,D,20110719,000000,11.5,11.54,11.44,11.5,12901,0
XAIN.DE,D,20110720,000000,11.53,11.57,11.52,11.52,2551,0
XAIN.DE,D,20110721,000000,11.54,11.63,11.54,11.6,5456,0
XAIN.DE,D,20110722,000000,11.62,11.62,11.52,11.62,5979,0
XAIN.DE,D,20110725,000000,11.55,11.61,11.47,11.61,93228,0
XAIN.DE,D,20110726,000000,11.59,11.67,11.55,11.62,11430,0
XAIN.DE,D,20110727,000000,11.85,11.87,11.8,11.8,40280,0
XAIN.DE,D,20110728,000000,11.76,11.82,11.74,11.82,241729,0
XAIN.DE,D,20110729,000000,11.74,11.84,11.61,11.79,235798,0
XAIN.DE,D,20110801,000000,11.91,12.02,11.9,11.93,175741,0
XAIN.DE,D,20110802,000000,12.1,12.12,12,12,13054,0
XAIN.DE,D,20110803,000000,11.85,12,11.75,11.76,87668,0
XAIN.DE,D,20110804,000000,11.67,11.8,11.55,11.55,7082,0
XAIN.DE,D,20110805,000000,11.15,11.36,10.98,11.04,120602,0
XAIN.DE,D,20110808,000000,10.77,11,10.7,10.7,33645,0
XAIN.DE,D,20110809,000000,10.82,10.92,10.52,10.69,51510,0
XAIN.DE,D,20110810,000000,10.84,11.01,10.55,10.58,543000,0
XAIN.DE,D,20110811,000000,11,11.26,10.75,11.26,368096,0
XAIN.DE,D,20110812,000000,10.9,11.11,10.9,11.11,79312,0
XAIN.DE,D,20110815,000000,11.15,11.19,11.09,11.12,123420,0
XAIN.DE,D,20110816,000000,11.18,11.2,11,11.2,116704,0
XAIN.DE,D,20110817,000000,11.16,11.24,11.07,11.17,64895,0
XAIN.DE,D,20110818,000000,11.19,11.29,10.99,11.09,185418,0
XAIN.DE,D,20110819,000000,11,11,10.64,10.8,67742,0
XAIN.DE,D,20110822,000000,10.52,10.86,10.52,10.63,10169,0
XAIN.DE,D,20110823,000000,10.83,10.83,10.7,10.78,10076,0
XAIN.DE,D,20110824,000000,10.79,10.84,10.69,10.75,103496,0
XAIN.DE,D,20110825,000000,10.65,10.65,10.56,10.56,8380,0
XAIN.DE,D,20110826,000000,10.63,10.75,10.55,10.71,48574,0
XAIN.DE,D,20110829,000000,10.89,10.89,10.7,10.84,69791,0
XAIN.DE,D,20110830,000000,11.25,11.25,10.85,10.92,55997,0
XAIN.DE,D,20110831,000000,11.05,11.18,11,11.05,72693,0
XAIN.DE,D,20110901,000000,11.15,11.31,11.03,11.31,56134,0
XAIN.DE,D,20110902,000000,11.16,11.17,11,11.06,14742,0
XAIN.DE,D,20110905,000000,11.02,11.1,10.86,10.88,15670,0
XAIN.DE,D,20110906,000000,10.92,11.12,10.92,11.06,161242,0
XAIN.DE,D,20110907,000000,11.21,11.57,11.21,11.56,40632,0
XAIN.DE,D,20110908,000000,11.54,11.54,11.4,11.51,24441,0
XAIN.DE,D,20110909,000000,11.57,11.58,11.43,11.43,111420,0
XAIN.DE,D,20110912,000000,11.55,11.55,11.25,11.27,30785,0
XAIN.DE,D,20110913,000000,11.34,11.34,11.13,11.15,264565,0
XAIN.DE,D,20110914,000000,10.7,10.87,10.5,10.7,126458,0
XAIN.DE,D,20110915,000000,10.47,10.64,10.31,10.49,160188,0
