<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBAE.DE,D,20140331,000000,19.92,19.94,19.91,19.91,3010,0
XBAE.DE,D,20140401,000000,19.94,19.94,19.92,19.92,500,0
XBAE.DE,D,20140402,000000,19.93,19.93,19.87,19.87,550,0
XBAE.DE,D,20140403,000000,19.91,19.91,19.91,19.91,0,0
XBAE.DE,D,20140404,000000,19.92,19.97,19.92,19.97,125,0
XBAE.DE,D,20140407,000000,20.01,20.01,19.98,19.98,350,0
XBAE.DE,D,20140408,000000,19.99,20,19.97,19.97,425,0
XBAE.DE,D,20140409,000000,19.99,19.99,19.97,19.97,100,0
XBAE.DE,D,20140410,000000,20.02,20.02,20.02,20.02,0,0
XBAE.DE,D,20140411,000000,20.02,20.02,20.02,20.02,0,0
XBAE.DE,D,20140414,000000,20.02,20.02,20.02,20.02,0,0
XBAE.DE,D,20140415,000000,20.08,20.08,20.04,20.04,500,0
XBAE.DE,D,20140416,000000,20.08,20.08,20.04,20.04,416,0
XBAE.DE,D,20140417,000000,20.07,20.07,20.03,20.03,2050,0
XBAE.DE,D,20140422,000000,20.03,20.03,19.98,19.98,1430,0
XBAE.DE,D,20140423,000000,20.03,20.03,20.03,20.03,572,0
XBAE.DE,D,20140424,000000,19.97,20.04,19.97,20.02,1000,0
XBAE.DE,D,20140425,000000,20.06,20.08,20.05,20.05,750,0
XBAE.DE,D,20140428,000000,20.02,20.02,20.02,20.02,0,0
XBAE.DE,D,20140429,000000,20.03,20.03,19.97,20.02,750,0
XBAE.DE,D,20140430,000000,20.05,20.06,20.05,20.06,520,0
XBAE.DE,D,20140502,000000,20.08,20.13,20.08,20.09,5700,0
XBAE.DE,D,20140505,000000,20.1,20.1,20.07,20.07,250,0
XBAE.DE,D,20140506,000000,20.11,20.11,20.09,20.09,1290,0
XBAE.DE,D,20140508,000000,20.14,20.14,20.14,20.14,0,0
XBAE.DE,D,20140509,000000,20.16,20.16,20.11,20.11,1650,0
XBAE.DE,D,20140512,000000,20.12,20.12,20.11,20.11,500,0
XBAE.DE,D,20140513,000000,20.12,20.12,20.12,20.12,1200,0
XBAE.DE,D,20140515,000000,20.23,20.23,20.22,20.22,150,0
XBAE.DE,D,20140516,000000,20.22,20.22,20.22,20.22,0,0
XBAE.DE,D,20140519,000000,20.23,20.23,20.21,20.21,2915,0
XBAE.DE,D,20140520,000000,20.2,20.2,20.16,20.16,4988,0
XBAE.DE,D,20140521,000000,20.18,20.18,20.16,20.16,2,0
XBAE.DE,D,20140522,000000,20.16,20.16,20.16,20.16,0,0
XBAE.DE,D,20140523,000000,20.18,20.18,20.18,20.18,0,0
XBAE.DE,D,20140526,000000,20.19,20.19,20.19,20.19,0,0
XBAE.DE,D,20140527,000000,20.23,20.23,20.23,20.23,33,0
XBAE.DE,D,20140528,000000,20.25,20.25,20.25,20.25,1200,0
XBAE.DE,D,20140529,000000,20.27,20.27,20.27,20.27,0,0
XBAE.DE,D,20140530,000000,20.25,20.25,20.24,20.24,150,0
XBAE.DE,D,20140602,000000,20.27,20.32,20.27,20.32,520,0
XBAE.DE,D,20140603,000000,20.32,20.32,20.32,20.32,0,0
XBAE.DE,D,20140604,000000,20.37,20.37,20.37,20.37,0,0
XBAE.DE,D,20140605,000000,20.21,20.21,20.2,20.2,55,0
XBAE.DE,D,20140606,000000,20.25,20.25,20.25,20.25,1158,0
XBAE.DE,D,20140609,000000,20.24,20.24,20.18,20.18,5000,0
XBAE.DE,D,20140610,000000,20.22,20.22,20.19,20.19,149,0
XBAE.DE,D,20140611,000000,20.21,20.23,20.2,20.2,344,0
XBAE.DE,D,20140612,000000,20.27,20.27,20.16,20.23,118,0
XBAE.DE,D,20140613,000000,20.21,20.21,20.21,20.21,0,0
XBAE.DE,D,20140616,000000,20.26,20.26,20.22,20.22,448,0
XBAE.DE,D,20140617,000000,20.23,20.23,20.19,20.19,30,0
XBAE.DE,D,20140618,000000,20.26,20.26,20.22,20.23,2447,0
XBAE.DE,D,20140619,000000,20.27,20.28,20.24,20.24,2740,0
XBAE.DE,D,20140620,000000,20.19,20.21,20.19,20.21,400,0
XBAE.DE,D,20140623,000000,20.26,20.28,20.26,20.28,462,0
