<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBO2.DE,D,20120924,000000,31.34,31.34,31.34,31.34,0,0
XBO2.DE,D,20120925,000000,31.34,31.34,31.34,31.34,0,0
XBO2.DE,D,20120926,000000,31.29,31.29,31.29,31.29,0,0
XBO2.DE,D,20120927,000000,31.3,31.3,31.3,31.3,0,0
XBO2.DE,D,20120928,000000,31.3,31.3,31.3,31.3,0,0
XBO2.DE,D,20121001,000000,31.3,31.3,31.3,31.3,0,0
XBO2.DE,D,20121002,000000,31.33,31.33,31.33,31.33,0,0
XBO2.DE,D,20121003,000000,31.33,31.33,31.33,31.33,0,0
XBO2.DE,D,20121004,000000,31.33,31.33,31.33,31.33,0,0
XBO2.DE,D,20121005,000000,31.33,31.33,31.33,31.33,0,0
XBO2.DE,D,20121008,000000,31.34,31.34,31.34,31.34,0,0
XBO2.DE,D,20121009,000000,31.33,31.33,31.33,31.33,0,0
XBO2.DE,D,20121010,000000,31.32,31.32,31.32,31.32,0,0
XBO2.DE,D,20121011,000000,31.33,31.33,31.33,31.33,0,0
XBO2.DE,D,20121012,000000,31.34,31.34,31.34,31.34,0,0
XBO2.DE,D,20121015,000000,31.36,31.36,31.36,31.36,0,0
XBO2.DE,D,20121016,000000,31.39,31.39,31.37,31.37,115,0
XBO2.DE,D,20121017,000000,31.38,31.38,31.38,31.38,0,0
XBO2.DE,D,20121018,000000,31.38,31.38,31.38,31.38,0,0
XBO2.DE,D,20121019,000000,31.37,31.37,31.37,31.37,0,0
XBO2.DE,D,20121022,000000,31.37,31.37,31.37,31.37,0,0
XBO2.DE,D,20121023,000000,31.38,31.38,31.38,31.38,0,0
XBO2.DE,D,20121025,000000,31.4,31.4,31.37,31.37,2,0
XBO2.DE,D,20121026,000000,31.37,31.37,31.37,31.37,0,0
XBO2.DE,D,20121029,000000,31.34,31.37,31.34,31.37,2,0
XBO2.DE,D,20121031,000000,31.4,31.4,31.37,31.37,25000,0
XBO2.DE,D,20121102,000000,31.38,31.38,31.38,31.38,0,0
XBO2.DE,D,20121105,000000,31.38,31.38,31.38,31.38,0,0
