<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDWM.DE,D,20160921,000000,26.47,26.47,26.47,26.47,0,0
XDWM.DE,D,20160922,000000,26.9,26.9,26.9,26.9,0,0
XDWM.DE,D,20160923,000000,26.81,26.81,26.81,26.81,0,0
XDWM.DE,D,20160926,000000,26.51,26.51,26.51,26.51,0,0
XDWM.DE,D,20160927,000000,26.56,26.56,26.56,26.56,0,0
XDWM.DE,D,20160928,000000,26.72,26.72,26.72,26.72,0,0
XDWM.DE,D,20160929,000000,27.06,27.06,27,27,215,0
XDWM.DE,D,20160930,000000,27.01,27.01,27.01,27.01,0,0
XDWM.DE,D,20161004,000000,27.13,27.15,27.04,27.04,5231,0
XDWM.DE,D,20161005,000000,26.84,26.84,26.84,26.84,0,0
XDWM.DE,D,20161006,000000,26.85,26.85,26.85,26.85,0,0
XDWM.DE,D,20161007,000000,26.9,26.9,26.66,26.66,1,0
XDWM.DE,D,20161010,000000,26.95,26.95,26.95,26.95,0,0
XDWM.DE,D,20161011,000000,26.76,26.76,26.76,26.76,0,0
XDWM.DE,D,20161012,000000,26.82,26.82,26.82,26.82,0,0
XDWM.DE,D,20161013,000000,26.47,26.47,26.47,26.47,0,0
XDWM.DE,D,20161014,000000,26.76,26.76,26.76,26.76,0,0
XDWM.DE,D,20161017,000000,26.83,26.83,26.73,26.73,62,0
XDWM.DE,D,20161018,000000,27.08,27.08,27.08,27.08,0,0
XDWM.DE,D,20161019,000000,27.33,27.33,27.33,27.33,0,0
XDWM.DE,D,20161020,000000,27.33,27.33,27.33,27.33,0,0
XDWM.DE,D,20161021,000000,27.49,27.49,27.49,27.49,0,0
XDWM.DE,D,20161024,000000,27.47,27.47,27.47,27.47,0,0
XDWM.DE,D,20161025,000000,27.69,27.69,27.59,27.59,21,0
XDWM.DE,D,20161026,000000,27.4,27.4,27.4,27.4,0,0
XDWM.DE,D,20161027,000000,27.28,27.28,27.28,27.28,0,0
XDWM.DE,D,20161028,000000,27.39,27.39,27.39,27.39,0,0
XDWM.DE,D,20161031,000000,27.42,27.42,27.42,27.42,0,0
XDWM.DE,D,20161101,000000,27.4,27.4,27.14,27.14,588,0
XDWM.DE,D,20161102,000000,26.96,26.96,26.96,26.96,0,0
XDWM.DE,D,20161103,000000,26.83,26.83,26.83,26.83,0,0
XDWM.DE,D,20161104,000000,26.78,26.78,26.74,26.74,1,0
XDWM.DE,D,20161107,000000,27.1,27.13,27.1,27.13,1630,0
XDWM.DE,D,20161108,000000,27.32,27.37,27.32,27.37,40,0
XDWM.DE,D,20161109,000000,28.11,28.11,28.11,28.11,0,0
XDWM.DE,D,20161110,000000,28.76,28.76,28.47,28.47,2231,0
XDWM.DE,D,20161111,000000,28.29,28.29,28.06,28.06,105,0
XDWM.DE,D,20161114,000000,28.35,28.35,28.35,28.35,0,0
XDWM.DE,D,20161115,000000,28.27,28.27,28.21,28.21,55,0
XDWM.DE,D,20161116,000000,28.24,28.24,28.24,28.24,0,0
XDWM.DE,D,20161117,000000,28.44,28.44,28.44,28.44,0,0
XDWM.DE,D,20161118,000000,28.35,28.35,28.28,28.28,3400,0
XDWM.DE,D,20161121,000000,28.41,28.46,28.41,28.46,148,0
XDWM.DE,D,20161122,000000,28.79,28.79,28.76,28.76,47,0
XDWM.DE,D,20161123,000000,29,29,28.92,28.97,641,0
XDWM.DE,D,20161124,000000,29.08,29.1,29.06,29.1,22,0
XDWM.DE,D,20161125,000000,29.11,29.11,29.05,29.05,50,0
XDWM.DE,D,20161128,000000,29.04,29.04,28.82,28.96,320,0
XDWM.DE,D,20161129,000000,28.84,28.84,28.84,28.84,0,0
XDWM.DE,D,20161130,000000,28.82,28.93,28.82,28.93,202,0
XDWM.DE,D,20161201,000000,29.1,29.1,29.05,29.05,9,0
XDWM.DE,D,20161202,000000,28.81,28.92,28.75,28.92,1030,0
XDWM.DE,D,20161205,000000,29.23,29.23,29.03,29.11,1007,0
XDWM.DE,D,20161206,000000,29.12,29.12,29.06,29.06,85,0
XDWM.DE,D,20161207,000000,29.39,29.45,29.39,29.45,5,0
XDWM.DE,D,20161208,000000,29.99,30.11,29.99,30.11,175,0
XDWM.DE,D,20161209,000000,30.33,30.33,30.2,30.2,2309,0
XDWM.DE,D,20161212,000000,30.2,30.2,30.06,30.06,370,0
XDWM.DE,D,20161213,000000,29.79,29.79,29.79,29.79,0,0
XDWM.DE,D,20161214,000000,29.67,29.67,29.67,29.67,0,0
XDWM.DE,D,20161215,000000,29.68,29.82,29.67,29.82,81,0
XDWM.DE,D,20161216,000000,29.81,29.81,29.7,29.7,17,0
XDWM.DE,D,20161219,000000,29.54,29.67,29.54,29.61,171,0
XDWM.DE,D,20161220,000000,29.76,29.76,29.76,29.76,0,0
XDWM.DE,D,20161221,000000,29.75,29.75,29.75,29.75,0,0
XDWM.DE,D,20161222,000000,29.48,29.58,29.48,29.58,225,0
XDWM.DE,D,20161223,000000,29.46,29.55,29.46,29.55,2791,0
XDWM.DE,D,20161227,000000,29.62,29.62,29.62,29.62,0,0
XDWM.DE,D,20161228,000000,29.88,29.93,29.88,29.93,268,0
