<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDWT.DE,D,20161109,000000,15.8,16.54,15.77,16.54,26480,0
XDWT.DE,D,20161110,000000,16.695,16.815,16.31,16.363,4723,0
XDWT.DE,D,20161111,000000,16.43,16.46,16.275,16.46,207255,0
XDWT.DE,D,20161114,000000,16.74,16.75,16.46,16.46,835,0
XDWT.DE,D,20161115,000000,16.42,16.648,16.365,16.648,2951,0
XDWT.DE,D,20161116,000000,16.71,16.85,16.65,16.85,4941,0
XDWT.DE,D,20161117,000000,16.855,17,16.82,17,8248,0
XDWT.DE,D,20161118,000000,17.08,17.11,17.065,17.11,3280,0
XDWT.DE,D,20161121,000000,17.14,17.213,17.045,17.213,11867,0
XDWT.DE,D,20161122,000000,17.33,17.33,17.23,17.235,2201,0
XDWT.DE,D,20161123,000000,17.325,17.325,17.205,17.23,1080,0
XDWT.DE,D,20161124,000000,17.28,17.28,17.26,17.26,619,0
XDWT.DE,D,20161125,000000,17.275,17.275,17.195,17.238,2947,0
XDWT.DE,D,20161128,000000,17.17,17.308,17.145,17.308,3251,0
XDWT.DE,D,20161129,000000,17.29,17.325,17.25,17.29,11675,0
XDWT.DE,D,20161130,000000,17.29,17.32,17.195,17.228,7695,0
XDWT.DE,D,20161201,000000,17.03,17.06,16.7,16.75,5824,0
XDWT.DE,D,20161202,000000,16.56,16.668,16.535,16.668,996,0
XDWT.DE,D,20161205,000000,16.81,16.81,16.71,16.73,5742,0
XDWT.DE,D,20161206,000000,16.715,16.795,16.645,16.7,6193,0
XDWT.DE,D,20161207,000000,16.82,16.82,16.705,16.793,3785,0
XDWT.DE,D,20161208,000000,17.02,17.32,16.94,17.315,15262,0
XDWT.DE,D,20161209,000000,17.335,17.52,17.27,17.49,3798,0
XDWT.DE,D,20161212,000000,17.54,17.54,17.345,17.363,1050,0
XDWT.DE,D,20161213,000000,17.35,17.525,17.35,17.508,10223,0
XDWT.DE,D,20161214,000000,17.52,17.54,17.47,17.47,5946,0
XDWT.DE,D,20161215,000000,17.72,17.96,17.645,17.96,49781,0
XDWT.DE,D,20161216,000000,17.87,17.89,17.695,17.73,4022,0
XDWT.DE,D,20161219,000000,17.74,17.86,17.66,17.818,6862,0
XDWT.DE,D,20161220,000000,17.89,18.005,17.89,17.933,1986,0
XDWT.DE,D,20161221,000000,17.945,17.96,17.83,17.84,2455,0
XDWT.DE,D,20161222,000000,17.785,17.84,17.735,17.735,15936,0
XDWT.DE,D,20161223,000000,17.705,17.805,17.7,17.715,11360,0
XDWT.DE,D,20161227,000000,17.86,17.945,17.785,17.873,4853,0
XDWT.DE,D,20161228,000000,17.86,17.985,17.845,17.895,4364,0
XDWT.DE,D,20161229,000000,17.69,17.735,17.603,17.603,4042,0
XDWT.DE,D,20161230,000000,17.635,17.635,17.56,17.578,9230,0
XDWT.DE,D,20170102,000000,17.4,17.745,17,17.663,17102,0
XDWT.DE,D,20170103,000000,17.71,17.93,17.665,17.708,7625,0
XDWT.DE,D,20170104,000000,17.845,17.845,17.7,17.7,1628,0
XDWT.DE,D,20170105,000000,17.575,17.725,17.543,17.543,46154,0
XDWT.DE,D,20170106,000000,17.605,17.76,17.58,17.75,1340,0
XDWT.DE,D,20170109,000000,17.885,17.925,17.825,17.838,1715,0
XDWT.DE,D,20170110,000000,17.815,17.85,17.745,17.84,3728,0
XDWT.DE,D,20170111,000000,17.815,18.065,17.815,17.905,2047,0
XDWT.DE,D,20170112,000000,17.82,17.82,17.64,17.64,2758,0
XDWT.DE,D,20170113,000000,17.755,17.875,17.72,17.853,4729,0
XDWT.DE,D,20170116,000000,17.85,17.9,17.845,17.845,31887,0
XDWT.DE,D,20170117,000000,17.71,17.735,17.615,17.64,9190,0
XDWT.DE,D,20170118,000000,17.65,17.755,17.65,17.71,7248,0
XDWT.DE,D,20170119,000000,17.77,17.875,17.695,17.8,19412,0
XDWT.DE,D,20170120,000000,17.755,17.855,17.755,17.783,6722,0
XDWT.DE,D,20170123,000000,17.65,17.69,17.625,17.628,7829,0
XDWT.DE,D,20170124,000000,17.66,17.768,17.66,17.768,700,0
XDWT.DE,D,20170125,000000,17.985,18.05,17.945,17.98,3225,0
XDWT.DE,D,20170126,000000,18.145,18.205,18.075,18.133,29611,0
XDWT.DE,D,20170127,000000,18.18,18.18,18.095,18.163,7826,0
XDWT.DE,D,20170130,000000,18.15,18.15,17.95,17.958,3227,0
XDWT.DE,D,20170131,000000,17.9,18.01,17.67,17.67,12619,0
XDWT.DE,D,20170201,000000,17.845,18.01,17.845,17.875,19323,0
XDWT.DE,D,20170202,000000,17.835,17.91,17.825,17.91,2172,0
