<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDWY.DE,D,20190313,000000,15.352515,15.410904,15.352515,15.410904,100,0
XDWY.DE,D,20190314,000000,15.414671,15.476827,15.414671,15.450458,1236,0
XDWY.DE,D,20190315,000000,15.448575,15.520148,15.448575,15.512614,370,0
XDWY.DE,D,20190318,000000,15.522032,15.525799,15.491895,15.525799,3700,0
XDWY.DE,D,20190319,000000,15.572887,15.610557,15.572887,15.597372,1225,0
XDWY.DE,D,20190320,000000,15.538983,15.538983,15.446691,15.446691,590,0
XDWY.DE,D,20190321,000000,15.409021,15.533333,15.380768,15.533333,0,0
XDWY.DE,D,20190322,000000,15.533333,15.550284,15.493779,15.493779,222,0
XDWY.DE,D,20190325,000000,15.454225,15.454225,15.414671,15.414671,607,0
XDWY.DE,D,20190326,000000,15.459876,15.578537,15.459876,15.578537,2900,0
XDWY.DE,D,20190327,000000,15.631275,15.631275,15.538983,15.559702,3206,0
XDWY.DE,D,20190328,000000,15.614324,15.618091,15.576654,15.576654,660,0
XDWY.DE,D,20190329,000000,15.61244,15.635042,15.61244,15.635042,340,0
XDWY.DE,D,20190401,000000,15.749937,15.787607,15.744286,15.778189,807,0
XDWY.DE,D,20190402,000000,15.793258,15.82151,15.793258,15.817743,0,0
XDWY.DE,D,20190403,000000,15.866715,15.866715,15.819627,15.861064,2892,0
XDWY.DE,D,20190404,000000,15.810209,15.868598,15.810209,15.829044,6204,0
XDWY.DE,D,20190405,000000,15.862948,15.908152,15.849763,15.879899,3071,0
XDWY.DE,D,20190408,000000,15.868598,15.872365,15.845996,15.847879,645,0
XDWY.DE,D,20190409,000000,15.938288,15.938288,15.765005,15.774422,819,0
XDWY.DE,D,20190410,000000,15.797025,15.834695,15.797025,15.813976,3618,0
XDWY.DE,D,20190411,000000,15.918104,15.918104,15.802406,15.808191,1820,0
XDWY.DE,D,20190412,000000,15.88918,15.88918,15.76384,15.76384,1695,0
XDWY.DE,D,20190415,000000,15.871825,15.871825,15.76384,15.781195,2644,0
XDWY.DE,D,20190416,000000,15.748414,15.835187,15.748414,15.827474,35,0
XDWY.DE,D,20190417,000000,15.844829,15.844829,15.773482,15.777339,1831,0
XDWY.DE,D,20190418,000000,15.792765,15.839044,15.765769,15.790837,13689,0
XDWY.DE,D,20190423,000000,15.906535,15.906535,15.78698,15.860255,817,0
XDWY.DE,D,20190424,000000,15.893036,15.893036,15.842901,15.842901,2647,0
XDWY.DE,D,20190425,000000,15.920033,15.920033,15.788908,15.864112,2322,0
XDWY.DE,D,20190426,000000,15.923889,15.923889,15.846757,15.879538,7670,0
XDWY.DE,D,20190429,000000,15.925817,15.925817,15.885323,15.904606,3470,0
XDWY.DE,D,20190430,000000,15.906535,15.912319,15.869897,15.912319,1350,0
XDWY.DE,D,20190502,000000,15.896893,15.896893,15.837116,15.837116,38728,0
XDWY.DE,D,20190503,000000,15.981738,15.981738,15.88918,15.910391,2418,0
XDWY.DE,D,20190506,000000,15.81012,15.812048,15.690565,15.77541,22525,0
XDWY.DE,D,20190507,000000,15.812048,15.812048,15.67321,15.67321,22580,0
XDWY.DE,D,20190508,000000,15.663569,15.898821,15.598007,15.655856,60545,0
XDWY.DE,D,20190509,000000,15.567154,15.601863,15.430245,15.430245,200,0
XDWY.DE,D,20190510,000000,15.547871,15.547871,15.416747,15.416747,6457,0
XDWY.DE,D,20190513,000000,15.528588,15.528588,15.370468,15.370468,14034,0
XDWY.DE,D,20190514,000000,15.443743,15.561369,15.443743,15.561369,62,0
XDWY.DE,D,20190515,000000,15.461098,15.59415,15.461098,15.59415,4046,0
XDWY.DE,D,20190516,000000,15.680924,15.833259,15.61729,15.827474,5345,0
XDWY.DE,D,20190517,000000,15.754199,15.833259,15.746486,15.804335,1609,0
XDWY.DE,D,20190520,000000,15.808191,15.808191,15.71949,15.738773,120,0
XDWY.DE,D,20190521,000000,15.790837,15.846757,15.790837,15.840972,40,0
XDWY.DE,D,20190522,000000,15.792765,15.833259,15.792765,15.802406,630,0
XDWY.DE,D,20190523,000000,15.752271,15.752271,15.665497,15.665497,35,0
XDWY.DE,D,20190524,000000,15.59415,15.756127,15.59415,15.68478,370,0
XDWY.DE,D,20190527,000000,15.736844,15.769625,15.736844,15.740701,1994,0
XDWY.DE,D,20190528,000000,15.833259,15.833259,15.651999,15.651999,6771,0
XDWY.DE,D,20190529,000000,15.51509,15.51509,15.480381,15.480381,837,0
XDWY.DE,D,20190530,000000,15.528588,15.528588,15.480381,15.480381,0,0
XDWY.DE,D,20190531,000000,15.463026,15.463026,15.320332,15.335758,725,0
XDWY.DE,D,20190603,000000,15.233558,15.368539,15.233558,15.355041,628,0
XDWY.DE,D,20190604,000000,15.308762,15.509305,15.308762,15.509305,250,0
XDWY.DE,D,20190605,000000,15.532445,15.588365,15.532445,15.578724,370,0
XDWY.DE,D,20190606,000000,15.623075,15.680924,15.611505,15.611505,100,0
XDWY.DE,D,20190607,000000,15.688637,15.744557,15.688637,15.731059,5456,0
XDWY.DE,D,20190611,000000,15.846757,15.850614,15.812048,15.829403,1102,0
XDWY.DE,D,20190612,000000,15.761912,15.812048,15.756127,15.804335,5558,0
XDWY.DE,D,20190613,000000,15.758056,15.871825,15.758056,15.825546,2192,0
XDWY.DE,D,20190614,000000,15.839044,15.858327,15.823618,15.858327,625,0
XDWY.DE,D,20190617,000000,15.898821,15.898821,15.860255,15.860255,18090,0
XDWY.DE,D,20190618,000000,15.848686,16.08201,15.840972,16.072368,9508,0
XDWY.DE,D,20190619,000000,16.05887,16.091651,16.056942,16.060798,5746,0
XDWY.DE,D,20190620,000000,16.118647,16.153357,16.107078,16.107078,2334,0
XDWY.DE,D,20190621,000000,16.109006,16.110934,16.062727,16.099364,8116,0
XDWY.DE,D,20190624,000000,16.136002,16.136002,15.983666,15.995236,1610,0
XDWY.DE,D,20190625,000000,15.943172,16.001021,15.943172,15.954742,74,0
XDWY.DE,D,20190626,000000,15.935459,15.964383,15.881467,15.881467,5019,0
XDWY.DE,D,20190627,000000,15.920033,15.939316,15.894965,15.916176,2050,0
XDWY.DE,D,20190628,000000,15.9451,15.952814,15.931602,15.952814,491,0
XDWY.DE,D,20190701,000000,16.236274,16.236274,16.139859,16.147572,21657,0
XDWY.DE,D,20190702,000000,16.195779,16.195779,16.130217,16.139859,7424,0
XDWY.DE,D,20190703,000000,16.22856,16.297979,16.22856,16.297979,2730,0
XDWY.DE,D,20190704,000000,16.436817,16.436817,16.323047,16.363541,21954,0
XDWY.DE,D,20190705,000000,16.351971,16.351971,16.27484,16.27484,7532,0
XDWY.DE,D,20190708,000000,16.257485,16.294123,16.243987,16.243987,7173,0
XDWY.DE,D,20190709,000000,16.176496,16.203492,16.162998,16.162998,9699,0
XDWY.DE,D,20190710,000000,16.130217,16.224704,16.130217,16.159142,287,0
XDWY.DE,D,20190711,000000,16.180353,16.189994,16.103221,16.120576,598,0
XDWY.DE,D,20190712,000000,16.134074,16.178425,16.134074,16.139859,29608,0
XDWY.DE,D,20190715,000000,16.180353,16.215062,16.157213,16.182281,555,0
XDWY.DE,D,20190716,000000,16.203492,16.265198,16.203492,16.247843,1040,0
XDWY.DE,D,20190717,000000,16.272911,16.272911,16.178425,16.178425,405,0
XDWY.DE,D,20190718,000000,16.16107,16.186138,16.134074,16.134074,0,0
XDWY.DE,D,20190719,000000,16.222775,16.249772,16.189994,16.22856,300,0
XDWY.DE,D,20190722,000000,16.294123,16.294123,16.159142,16.159142,2115,0
XDWY.DE,D,20190723,000000,16.22856,16.344258,16.22856,16.301836,790,0
XDWY.DE,D,20190724,000000,16.36547,16.36547,16.334617,16.357756,10290,0
XDWY.DE,D,20190725,000000,16.423319,16.434888,16.299907,16.315334,2761,0
XDWY.DE,D,20190726,000000,16.42139,16.434888,16.336545,16.434888,2243,0
XDWY.DE,D,20190729,000000,16.40982,16.436817,16.390537,16.411749,4209,0
XDWY.DE,D,20190730,000000,16.392466,16.411749,16.205421,16.278696,4887,0
XDWY.DE,D,20190731,000000,16.243987,16.301836,16.243987,16.272911,445,0
XDWY.DE,D,20190801,000000,16.338473,16.373183,16.292194,16.363541,2012,0
XDWY.DE,D,20190802,000000,16.08201,16.08201,15.941244,15.941244,1028,0
XDWY.DE,D,20190805,000000,15.941244,15.941244,15.601863,15.601863,8831,0
XDWY.DE,D,20190806,000000,15.553656,15.571011,15.470739,15.470739,335,0
XDWY.DE,D,20190807,000000,15.530516,15.642358,15.426388,15.482309,1706,0
XDWY.DE,D,20190808,000000,15.655856,15.765769,15.626931,15.765769,1750,0
XDWY.DE,D,20190809,000000,15.781195,15.781195,15.682852,15.682852,275,0
XDWY.DE,D,20190812,000000,15.781195,15.858327,15.621146,15.621146,788,0
XDWY.DE,D,20190813,000000,15.621146,15.908463,15.59415,15.908463,525,0
XDWY.DE,D,20190814,000000,15.827474,15.827474,15.705991,15.705991,1375,0
XDWY.DE,D,20190815,000000,15.513162,15.567154,15.453384,15.544014,7269,0
XDWY.DE,D,20190816,000000,15.705991,15.79855,15.69635,15.754199,463,0
XDWY.DE,D,20190819,000000,15.883395,15.954742,15.873753,15.931602,400,0
XDWY.DE,D,20190820,000000,15.9451,15.962455,15.864112,15.864112,0,0
XDWY.DE,D,20190821,000000,15.844829,15.95667,15.844829,15.947029,486,0
XDWY.DE,D,20190822,000000,15.950885,15.975953,15.908463,15.921961,1811,0
XDWY.DE,D,20190823,000000,16.016448,16.022232,15.704063,15.704063,60,0
XDWY.DE,D,20190826,000000,15.725274,15.76384,15.725274,15.748414,3888,0
