<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XESD.DE,D,20190509,000000,20.445,20.445,20.255,20.255,0,0
XESD.DE,D,20190510,000000,20.395,20.395,20.245,20.29,4380,0
XESD.DE,D,20190513,000000,20.265,20.265,20.05,20.055,165,0
XESD.DE,D,20190514,000000,20.15,20.27,20.15,20.27,0,0
XESD.DE,D,20190515,000000,20.26,20.36,20.18,20.36,2047,0
XESD.DE,D,20190516,000000,20.3,20.65,20.3,20.65,7100,0
XESD.DE,D,20190517,000000,20.62,20.62,20.505,20.57,1874,0
XESD.DE,D,20190520,000000,20.56,20.64,20.355,20.355,1834,0
XESD.DE,D,20190521,000000,20.39,20.47,20.39,20.47,0,0
XESD.DE,D,20190522,000000,20.465,20.485,20.335,20.43,738,0
XESD.DE,D,20190523,000000,20.3,20.3,20.185,20.185,0,0
XESD.DE,D,20190524,000000,20.225,20.355,20.225,20.295,0,0
XESD.DE,D,20190527,000000,20.405,20.405,20.35,20.35,670,0
XESD.DE,D,20190528,000000,20.39,20.39,20.27,20.31,332,0
XESD.DE,D,20190529,000000,20.095,20.105,20.02,20.085,107,0
XESD.DE,D,20190530,000000,20.21,20.27,20.21,20.27,0,0
XESD.DE,D,20190531,000000,20.045,20.045,19.906,19.916,200,0
XESD.DE,D,20190603,000000,19.73,19.91,19.73,19.91,31,0
XESD.DE,D,20190604,000000,19.83,20.195,19.83,20.195,623,0
XESD.DE,D,20190605,000000,20.2,20.24,20.135,20.24,4,0
XESD.DE,D,20190606,000000,20.235,20.41,20.225,20.225,118,0
XESD.DE,D,20190607,000000,20.31,20.39,20.31,20.355,0,0
XESD.DE,D,20190611,000000,20.53,20.6,20.53,20.535,0,0
XESD.DE,D,20190612,000000,20.465,20.49,20.41,20.415,100,0
XESD.DE,D,20190613,000000,20.385,20.48,20.385,20.415,151,0
XESD.DE,D,20190614,000000,20.395,20.395,20.275,20.295,0,0
XESD.DE,D,20190617,000000,20.375,20.375,20.215,20.215,15,0
XESD.DE,D,20190618,000000,20.17,20.52,20.17,20.52,1369,0
XESD.DE,D,20190619,000000,20.54,20.54,20.44,20.515,0,0
XESD.DE,D,20190620,000000,20.64,20.64,20.44,20.465,27,0
XESD.DE,D,20190621,000000,20.545,20.545,20.415,20.475,200,0
XESD.DE,D,20190624,000000,20.54,20.54,20.38,20.385,70,0
XESD.DE,D,20190625,000000,20.3,20.38,20.265,20.34,139,0
XESD.DE,D,20190626,000000,20.345,20.38,20.33,20.33,0,0
XESD.DE,D,20190627,000000,20.405,20.405,20.315,20.315,360,0
XESD.DE,D,20190628,000000,20.335,20.47,20.335,20.47,1107,0
XESD.DE,D,20190701,000000,20.7,20.7,20.58,20.645,31,0
XESD.DE,D,20190702,000000,20.645,20.685,20.61,20.685,1,0
XESD.DE,D,20190703,000000,20.73,20.895,20.73,20.895,0,0
XESD.DE,D,20190704,000000,20.905,20.955,20.88,20.955,0,0
XESD.DE,D,20190705,000000,20.99,20.99,20.81,20.835,1,0
XESD.DE,D,20190708,000000,20.72,20.78,20.72,20.75,2,0
XESD.DE,D,20190709,000000,20.655,20.665,20.655,20.665,0,0
XESD.DE,D,20190710,000000,20.595,20.655,20.595,20.645,0,0
XESD.DE,D,20190711,000000,20.695,20.71,20.68,20.71,0,0
XESD.DE,D,20190712,000000,20.765,20.765,20.74,20.74,0,0
XESD.DE,D,20190715,000000,20.79,20.85,20.79,20.81,12,0
XESD.DE,D,20190716,000000,20.825,20.915,20.825,20.915,330,0
XESD.DE,D,20190717,000000,20.895,20.895,20.72,20.72,0,0
XESD.DE,D,20190718,000000,20.57,20.65,20.495,20.56,407,0
XESD.DE,D,20190719,000000,20.655,20.655,20.41,20.455,7855,0
XESD.DE,D,20190722,000000,20.445,20.465,20.435,20.435,0,0
XESD.DE,D,20190723,000000,20.575,20.725,20.575,20.725,0,0
XESD.DE,D,20190724,000000,20.74,20.845,20.74,20.845,0,0
XESD.DE,D,20190725,000000,20.91,21.075,20.725,20.725,15878,0
XESD.DE,D,20190726,000000,20.685,20.685,20.61,20.61,0,0
XESD.DE,D,20190729,000000,20.605,20.61,20.605,20.61,0,0
XESD.DE,D,20190730,000000,20.515,20.515,20.075,20.075,0,0
XESD.DE,D,20190731,000000,20.085,20.085,20.06,20.06,0,0
XESD.DE,D,20190801,000000,20.055,20.19,20.055,20.19,148,0
XESD.DE,D,20190802,000000,19.916,20.01,19.822,19.822,98,0
XESD.DE,D,20190805,000000,19.706,19.706,19.586,19.586,0,0
XESD.DE,D,20190806,000000,19.596,19.64,19.41,19.41,0,0
XESD.DE,D,20190807,000000,19.47,19.62,19.47,19.48,2022,0
XESD.DE,D,20190808,000000,19.65,19.75,19.614,19.75,0,0
XESD.DE,D,20190809,000000,19.646,19.646,19.486,19.486,0,0
XESD.DE,D,20190812,000000,19.596,19.596,19.336,19.336,0,0
XESD.DE,D,20190813,000000,19.206,19.386,19.206,19.386,0,0
XESD.DE,D,20190814,000000,19.326,19.326,18.96,18.992,929,0
XESD.DE,D,20190815,000000,19.014,19.014,18.84,18.98,42,0
XESD.DE,D,20190816,000000,19.046,19.324,19.046,19.32,3085,0
XESD.DE,D,20190819,000000,19.49,19.49,19.446,19.446,100,0
XESD.DE,D,20190820,000000,19.416,19.416,19.208,19.208,0,0
XESD.DE,D,20190821,000000,19.336,19.43,19.336,19.37,320,0
XESD.DE,D,20190822,000000,19.346,19.458,19.346,19.414,0,0
XESD.DE,D,20190823,000000,19.506,19.528,19.25,19.25,100,0
XESD.DE,D,20190826,000000,19.176,19.338,19.176,19.33,0,0
XESD.DE,D,20190827,000000,19.306,19.45,19.306,19.408,1840,0
XESD.DE,D,20190828,000000,19.37,19.45,19.37,19.45,0,0
XESD.DE,D,20190829,000000,19.406,19.58,19.406,19.558,1827,0
XESD.DE,D,20190830,000000,19.586,19.7,19.586,19.588,1710,0
XESD.DE,D,20190902,000000,19.616,19.67,19.558,19.608,4739,0
XESD.DE,D,20190903,000000,19.62,19.62,19.568,19.58,0,0
XESD.DE,D,20190904,000000,19.714,19.732,19.702,19.702,0,0
XESD.DE,D,20190905,000000,19.846,19.992,19.846,19.992,0,0
XESD.DE,D,20190906,000000,20.035,20.035,19.986,19.986,0,0
XESD.DE,D,20190909,000000,19.99,20.04,19.99,20.035,0,0
XESD.DE,D,20190910,000000,20.04,20.24,20.04,20.195,2605,0
XESD.DE,D,20190911,000000,20.225,20.225,20.195,20.195,0,0
XESD.DE,D,20190912,000000,20.205,20.26,20.15,20.26,1712,0
XESD.DE,D,20190913,000000,20.305,20.38,20.305,20.38,2373,0
XESD.DE,D,20190916,000000,20.275,20.29,20.23,20.23,2640,0
XESD.DE,D,20190917,000000,20.2,20.2,20.065,20.1,1630,0
XESD.DE,D,20190918,000000,20.115,20.155,20.03,20.155,1584,0
XESD.DE,D,20190919,000000,20.155,20.33,20.155,20.33,0,0
XESD.DE,D,20190920,000000,20.365,20.42,20.365,20.42,0,0
XESD.DE,D,20190923,000000,20.395,20.395,20.215,20.225,466,0
XESD.DE,D,20190924,000000,20.285,20.31,20.26,20.26,1,0
XESD.DE,D,20190925,000000,20.205,20.205,20.01,20.185,0,0
XESD.DE,D,20190926,000000,20.185,20.3,20.185,20.3,0,0
XESD.DE,D,20190927,000000,20.335,20.41,20.335,20.4,240,0
