<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XGR2.DE,D,20081218,000000,3.297157,3.297157,3.297157,3.297157,47,0
XGR2.DE,D,20081219,000000,3.297157,3.297157,3.297157,3.297157,47,0
XGR2.DE,D,20081222,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20081223,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20081229,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20081230,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090102,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090105,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090106,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090107,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090108,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090109,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090112,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090113,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090114,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090115,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090116,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090120,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090121,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090122,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090123,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090126,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090127,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090129,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090130,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090202,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090203,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090204,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090205,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090206,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090209,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090210,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090211,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090212,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090213,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090216,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090217,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090218,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090219,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090220,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090223,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090224,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090225,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090226,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090302,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090303,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090304,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090305,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090306,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090309,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090310,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090311,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090312,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090313,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090316,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090317,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090318,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090319,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090320,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090323,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090324,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090325,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090326,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090327,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090330,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090331,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090401,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090402,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090403,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090406,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090407,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090408,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090409,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090414,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090415,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090416,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090417,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090420,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090421,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090422,000000,3.297157,3.297157,3.297157,3.297157,0,0
XGR2.DE,D,20090423,000000,3.297157,3.297157,3.297157,3.297157,0,0
