<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XIEE.DE,D,20151014,000000,46.832733,46.832733,46.832733,46.832733,0,0
XIEE.DE,D,20151015,000000,47.484119,47.484119,47.484119,47.484119,0,0
XIEE.DE,D,20151016,000000,47.83855,47.83855,47.83855,47.83855,0,0
XIEE.DE,D,20151019,000000,47.972658,47.972658,47.972658,47.972658,0,0
XIEE.DE,D,20151020,000000,47.694861,47.694861,47.694861,47.694861,0,0
XIEE.DE,D,20151021,000000,47.723599,47.723599,47.723599,47.723599,0,0
XIEE.DE,D,20151022,000000,47.982238,48.738995,47.982238,48.738995,4019,0
XIEE.DE,D,20151023,000000,49.706494,49.706494,49.706494,49.706494,0,0
XIEE.DE,D,20151026,000000,49.476594,49.476594,49.476594,49.476594,0,0
XIEE.DE,D,20151027,000000,49.304168,49.304168,48.968896,48.968896,2000,0
XIEE.DE,D,20151028,000000,49.447856,49.447856,49.447856,49.447856,0,0
XIEE.DE,D,20151029,000000,49.419118,49.505331,49.419118,49.505331,100,0
XIEE.DE,D,20151030,000000,49.486173,49.486173,49.486173,49.486173,0,0
XIEE.DE,D,20151102,000000,49.610702,49.610702,49.610702,49.610702,0,0
XIEE.DE,D,20151103,000000,49.831024,49.831024,49.831024,49.831024,0,0
XIEE.DE,D,20151104,000000,50.022608,50.022608,50.022608,50.022608,0,0
XIEE.DE,D,20151105,000000,49.840603,49.840603,49.840603,49.840603,0,0
XIEE.DE,D,20151106,000000,49.984291,49.984291,49.984291,49.984291,0,0
XIEE.DE,D,20151109,000000,49.39996,49.39996,49.39996,49.39996,0,0
XIEE.DE,D,20151110,000000,49.495752,49.495752,49.495752,49.495752,0,0
XIEE.DE,D,20151111,000000,49.802287,49.802287,49.802287,49.802287,0,0
XIEE.DE,D,20151112,000000,49.03595,49.03595,49.03595,49.03595,0,0
XIEE.DE,D,20151113,000000,48.652782,48.652782,48.652782,48.652782,0,0
XIEE.DE,D,20151116,000000,48.786891,48.786891,48.786891,48.786891,0,0
XIEE.DE,D,20151117,000000,49.993871,49.993871,49.993871,49.993871,0,0
XIEE.DE,D,20151118,000000,49.965133,49.965133,49.965133,49.965133,0,0
XIEE.DE,D,20151119,000000,50.127979,50.127979,50.127979,50.127979,0,0
XIEE.DE,D,20151120,000000,50.262088,50.262088,50.262088,50.262088,0,0
XIEE.DE,D,20151123,000000,50.108821,50.108821,50.108821,50.108821,0,0
XIEE.DE,D,20151124,000000,49.534069,49.534069,49.534069,49.534069,0,0
XIEE.DE,D,20151125,000000,50.185455,50.185455,50.185455,50.185455,0,0
XIEE.DE,D,20151126,000000,50.654836,50.654836,50.654836,50.654836,0,0
XIEE.DE,D,20151127,000000,50.530306,50.530306,50.530306,50.530306,0,0
XIEE.DE,D,20151130,000000,50.72189,50.72189,50.72189,50.72189,0,0
XIEE.DE,D,20151201,000000,50.491989,50.491989,50.491989,50.491989,0,0
XIEE.DE,D,20151202,000000,50.549465,50.549465,50.549465,50.549465,0,0
XIEE.DE,D,20151203,000000,48.844366,48.844366,48.844366,48.844366,0,0
XIEE.DE,D,20151204,000000,48.719836,48.719836,48.719836,48.719836,0,0
XIEE.DE,D,20151207,000000,48.978475,48.978475,48.978475,48.978475,0,0
XIEE.DE,D,20151208,000000,48.327089,48.327089,48.049292,48.049292,40,0
XIEE.DE,D,20151209,000000,47.819391,47.819391,47.819391,47.819391,0,0
XIEE.DE,D,20151210,000000,47.733178,47.733178,47.733178,47.733178,0,0
