<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLS.DE,D,20200702,000000,33.2,33.2,31.6,31.6,496,0
XLS.DE,D,20200703,000000,31.8,32.2,31.8,32.2,280,0
XLS.DE,D,20200706,000000,31.6,31.8,31.6,31.8,75,0
XLS.DE,D,20200707,000000,31.4,31.4,30.6,30.6,256,0
XLS.DE,D,20200708,000000,29.8,29.8,28.8,29.8,412,0
XLS.DE,D,20200709,000000,30,30.2,29.8,30.2,561,0
XLS.DE,D,20200710,000000,30.6,32,30.6,31.6,1390,0
XLS.DE,D,20200713,000000,31.6,31.6,30.6,30.6,300,0
XLS.DE,D,20200714,000000,31,31,30,30,318,0
XLS.DE,D,20200715,000000,30,30.6,29.8,30.2,2538,0
XLS.DE,D,20200716,000000,30.2,30.2,30.2,30.2,0,0
XLS.DE,D,20200717,000000,30.4,30.4,29.6,30,4146,0
XLS.DE,D,20200720,000000,29.6,29.6,29.6,29.6,0,0
XLS.DE,D,20200721,000000,29.6,29.6,29.6,29.6,0,0
XLS.DE,D,20200722,000000,29.2,29.2,29,29,167,0
XLS.DE,D,20200723,000000,29.6,30,28.6,28.6,1534,0
XLS.DE,D,20200724,000000,29,29.6,29,29.6,200,0
XLS.DE,D,20200727,000000,30.4,30.4,29.6,29.8,267,0
XLS.DE,D,20200728,000000,29.6,29.6,29,29,189,0
XLS.DE,D,20200729,000000,28.8,28.8,28.8,28.8,0,0
XLS.DE,D,20200730,000000,28.4,28.4,27.6,27.6,200,0
XLS.DE,D,20200731,000000,28.4,30.4,28.4,30.2,1500,0
XLS.DE,D,20200803,000000,29.8,29.8,29.8,29.8,0,0
XLS.DE,D,20200804,000000,29.8,29.8,29.8,29.8,0,0
XLS.DE,D,20200805,000000,30,30,30,30,0,0
XLS.DE,D,20200806,000000,30,30,30,30,0,0
XLS.DE,D,20200807,000000,29.6,30.6,29.6,30.2,2400,0
XLS.DE,D,20200810,000000,29.6,30.2,29.6,30.2,366,0
XLS.DE,D,20200811,000000,29.8,29.8,29.2,29.4,186,0
XLS.DE,D,20200812,000000,30.2,30.6,30.2,30.6,80,0
XLS.DE,D,20200813,000000,30.4,30.4,30.4,30.4,0,0
XLS.DE,D,20200814,000000,30.4,30.4,30.4,30.4,0,0
XLS.DE,D,20200817,000000,30,30,29.6,29.6,85,0
XLS.DE,D,20200818,000000,29.6,29.6,29.6,29.6,0,0
XLS.DE,D,20200819,000000,29.6,29.6,29.6,29.6,0,0
XLS.DE,D,20200820,000000,30,30,30,30,0,0
XLS.DE,D,20200821,000000,31.2,31.2,31,31,100,0
XLS.DE,D,20200824,000000,31.2,31.6,31.2,31.6,1300,0
XLS.DE,D,20200825,000000,31,31,31,31,0,0
XLS.DE,D,20200826,000000,31.8,32.8,31.8,32.8,1562,0
XLS.DE,D,20200827,000000,33,34,33,34,195,0
XLS.DE,D,20200828,000000,33.6,34.4,33.6,34.4,192,0
XLS.DE,D,20200831,000000,33.8,34.4,33.6,34.2,3424,0
XLS.DE,D,20200901,000000,34.6,35.6,34.6,35.4,4412,0
XLS.DE,D,20200902,000000,35.6,36.2,35.6,35.8,2454,0
XLS.DE,D,20200903,000000,36,36.2,36,36,2280,0
XLS.DE,D,20200904,000000,36.4,36.4,36.2,36.2,1100,0
XLS.DE,D,20200907,000000,35.6,36.2,35.6,35.8,3562,0
XLS.DE,D,20200908,000000,35.4,36,34.6,36,300,0
XLS.DE,D,20200909,000000,35,35.6,34.8,35.6,665,0
XLS.DE,D,20200910,000000,36,36.4,36,36.2,1310,0
XLS.DE,D,20200911,000000,36.4,36.4,36.2,36.2,400,0
XLS.DE,D,20200914,000000,36.2,36.2,36.2,36.2,0,0
XLS.DE,D,20200915,000000,36.4,36.8,36.4,36.4,2940,0
XLS.DE,D,20200916,000000,36.4,36.8,36.2,36.2,2400,0
XLS.DE,D,20200917,000000,36.4,36.4,36.4,36.4,10,0
XLS.DE,D,20200918,000000,35.6,36.4,35.6,36.4,828,0
XLS.DE,D,20200921,000000,36.2,36.2,36.2,36.2,0,0
XLS.DE,D,20200922,000000,36.2,36.2,36.2,36.2,0,0
XLS.DE,D,20200923,000000,36.2,36.2,36.2,36.2,0,0
XLS.DE,D,20200924,000000,36.2,36.2,36.2,36.2,0,0
XLS.DE,D,20200925,000000,36.2,36.2,36.2,36.2,0,0
XLS.DE,D,20200928,000000,36.2,36.2,36.2,36.2,0,0
XLS.DE,D,20200929,000000,36.6,36.6,35.8,36.2,1020,0
XLS.DE,D,20200930,000000,36.6,36.6,36.2,36.2,85,0
XLS.DE,D,20201001,000000,36.6,36.8,36.6,36.6,200,0
XLS.DE,D,20201002,000000,37,37,36.6,36.6,600,0
XLS.DE,D,20201005,000000,36.2,37.4,36,37.2,3539,0
XLS.DE,D,20201006,000000,37.4,37.4,37,37,30,0
XLS.DE,D,20201007,000000,37,37,37,37,0,0
XLS.DE,D,20201008,000000,37,37,37,37,0,0
XLS.DE,D,20201009,000000,37.2,37.2,37.2,37.2,2060,0
XLS.DE,D,20201012,000000,37,37,37,37,0,0
XLS.DE,D,20201013,000000,37.6,37.6,37.4,37.4,100,0
XLS.DE,D,20201014,000000,37.4,37.4,37.4,37.4,0,0
XLS.DE,D,20201015,000000,37.8,37.8,37,37.4,645,0
XLS.DE,D,20201016,000000,37.8,38,37.6,37.6,770,0
XLS.DE,D,20201019,000000,38,38,37.8,37.8,1282,0
XLS.DE,D,20201020,000000,38.2,38.2,37.8,37.8,3110,0
XLS.DE,D,20201021,000000,38,38,37.6,37.6,400,0
XLS.DE,D,20201022,000000,38,38.2,38,38.2,2300,0
XLS.DE,D,20201023,000000,37.2,38,36.8,37.6,1166,0
XLS.DE,D,20201026,000000,37.6,37.6,37.6,37.6,0,0
XLS.DE,D,20201027,000000,38.2,38.2,37.8,37.8,600,0
XLS.DE,D,20201028,000000,38,38,37.6,37.6,554,0
XLS.DE,D,20201029,000000,38,38.2,37.6,37.6,3510,0
XLS.DE,D,20201030,000000,38,38,37.6,37.6,2253,0
XLS.DE,D,20201102,000000,37.8,38,37.2,37.2,333,0
XLS.DE,D,20201103,000000,38,38,37.2,37.6,2133,0
XLS.DE,D,20201104,000000,38,38,37.2,37.6,3791,0
XLS.DE,D,20201105,000000,38,38.2,37.6,38.2,4500,0
XLS.DE,D,20201106,000000,38.6,39.4,37.6,37.6,865,0
XLS.DE,D,20201109,000000,38,38,37.4,37.4,4674,0
XLS.DE,D,20201110,000000,37,39.4,37,39,6608,0
XLS.DE,D,20201111,000000,39.4,39.6,38.2,38.2,4330,0
XLS.DE,D,20201112,000000,38.8,39.2,38.2,38.4,6253,0
XLS.DE,D,20201113,000000,38.6,38.8,38.6,38.8,6310,0
XLS.DE,D,20201116,000000,39.2,40.6,39.2,40.6,2913,0
XLS.DE,D,20201117,000000,40.6,41.6,40.6,41.4,1264,0
XLS.DE,D,20201118,000000,41.4,42.6,41.4,42.2,3915,0
XLS.DE,D,20201119,000000,42.4,42.4,42,42,100,0
XLS.DE,D,20201120,000000,42.2,42.2,40,40.6,1815,0
XLS.DE,D,20201123,000000,40,40,39.6,39.6,1579,0
XLS.DE,D,20201124,000000,38.8,39.6,38.8,39.6,363,0
XLS.DE,D,20201125,000000,39.6,39.6,39.4,39.4,390,0
XLS.DE,D,20201126,000000,39,40,39,40,3874,0
XLS.DE,D,20201127,000000,39.6,40,39.6,40,4560,0
XLS.DE,D,20201130,000000,39.8,40.4,39.8,40.2,4220,0
XLS.DE,D,20201201,000000,40,41,39.8,40.8,3728,0
XLS.DE,D,20201202,000000,41.2,41.2,39.8,39.8,5045,0
XLS.DE,D,20201203,000000,40.4,41.8,40,40.8,780,0
XLS.DE,D,20201204,000000,41.2,41.2,39.8,39.8,906,0
XLS.DE,D,20201207,000000,39.8,39.8,39.4,39.4,50,0
XLS.DE,D,20201208,000000,39,39.8,39,39,763,0
XLS.DE,D,20201209,000000,39.4,39.4,39.2,39.2,2050,0
XLS.DE,D,20201210,000000,39.6,39.8,39.4,39.4,2350,0
XLS.DE,D,20201211,000000,39.6,39.6,38.6,39.2,4100,0
XLS.DE,D,20201214,000000,39.8,39.8,38.8,39.6,4126,0
XLS.DE,D,20201215,000000,39.8,39.8,39,39,1990,0
XLS.DE,D,20201216,000000,39,40,37.8,39.4,4298,0
XLS.DE,D,20201217,000000,39.2,39.2,38.8,39.2,800,0
XLS.DE,D,20201218,000000,39.2,40,39,39.4,1102,0
XLS.DE,D,20201221,000000,39,39.8,38.2,39.4,6733,0
XLS.DE,D,20201222,000000,39.8,43.2,39.8,43,11048,0
XLS.DE,D,20201223,000000,43.2,46.4,43.2,46.2,9496,0
XLS.DE,D,20201228,000000,47,50,47,50,11782,0
XLS.DE,D,20201229,000000,50.5,50.5,49.8,50.5,6746,0
XLS.DE,D,20201230,000000,50.5,51,50.5,50.5,3628,0
XLS.DE,D,20210104,000000,54,58,54,57,16318,0
XLS.DE,D,20210105,000000,59,59,55,56,9150,0
XLS.DE,D,20210106,000000,55,57,54,57,6692,0
XLS.DE,D,20210107,000000,57.5,57.5,56,56.5,4075,0
XLS.DE,D,20210108,000000,57,57,55.5,57,1697,0
XLS.DE,D,20210111,000000,56.5,56.5,55.5,56,2164,0
XLS.DE,D,20210112,000000,56,56,52,54,2591,0
XLS.DE,D,20210113,000000,53,53.5,49.2,53.5,4147,0
XLS.DE,D,20210114,000000,53.5,53.5,51,52,2218,0
XLS.DE,D,20210115,000000,53.5,53.5,51.5,52.5,454,0
XLS.DE,D,20210118,000000,53.5,53.5,50.5,51,2287,0
XLS.DE,D,20210119,000000,51,51,50,51,920,0
XLS.DE,D,20210120,000000,51,51,49.6,50.5,2313,0
XLS.DE,D,20210121,000000,50.5,50.5,48.2,49.6,2357,0
XLS.DE,D,20210122,000000,50.5,50.5,49.6,49.6,1039,0
XLS.DE,D,20210125,000000,50,50,48,49.6,3652,0
XLS.DE,D,20210126,000000,50,50.5,50,50,2314,0
XLS.DE,D,20210127,000000,51,51,50,50,197,0
XLS.DE,D,20210128,000000,49.2,51,44.6,51,4819,0
XLS.DE,D,20210129,000000,50.5,51,49.2,50.5,293,0
XLS.DE,D,20210201,000000,51,51,50,50,43,0
XLS.DE,D,20210202,000000,49.8,51,49.8,50.5,110,0
XLS.DE,D,20210203,000000,50,51,49,50.5,455,0
XLS.DE,D,20210204,000000,51,52,51,52,245,0
XLS.DE,D,20210205,000000,51.5,56,51,56,9426,0
XLS.DE,D,20210208,000000,56,56.5,54,54.5,1975,0
XLS.DE,D,20210209,000000,55,55,54,54.5,866,0
XLS.DE,D,20210210,000000,54,54.5,51.5,52.5,4219,0
XLS.DE,D,20210211,000000,52.5,52.5,52.5,52.5,1429,0
XLS.DE,D,20210212,000000,53,53,50,50,1463,0
XLS.DE,D,20210215,000000,50.5,52.5,48.6,49.2,4883,0
XLS.DE,D,20210216,000000,49.8,49.8,47.2,47.8,5830,0
XLS.DE,D,20210217,000000,49,49.8,46,49.4,8329,0
XLS.DE,D,20210218,000000,49.4,49.8,49,49.4,3194,0
XLS.DE,D,20210219,000000,50,50.5,48.6,50.5,3682,0
XLS.DE,D,20210222,000000,50,50,49.4,50,1019,0
XLS.DE,D,20210223,000000,50,50,46.6,49.6,1463,0
XLS.DE,D,20210224,000000,49.8,49.8,49.4,49.4,7,0
XLS.DE,D,20210225,000000,49.4,49.6,49.2,49.2,200,0
XLS.DE,D,20210226,000000,49.6,49.6,48.8,48.8,380,0
XLS.DE,D,20210301,000000,49,50,48.4,49.6,2810,0
