<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPQP.DE,D,20120824,000000,1.26,1.26,1.21,1.21,2000,0
XPQP.DE,D,20120827,000000,1.23,1.27,1.21,1.21,29000,0
XPQP.DE,D,20120828,000000,1.22,1.22,1.22,1.22,0,0
XPQP.DE,D,20120829,000000,1.231,1.231,1.225,1.225,1000,0
XPQP.DE,D,20120830,000000,1.223,1.223,1.219,1.219,1500,0
XPQP.DE,D,20120831,000000,1.231,1.231,1.231,1.231,0,0
XPQP.DE,D,20120903,000000,1.242,1.242,1.241,1.241,500,0
XPQP.DE,D,20120904,000000,1.221,1.221,1.221,1.221,0,0
XPQP.DE,D,20120905,000000,1.23,1.23,1.226,1.226,10920,0
XPQP.DE,D,20120906,000000,1.236,1.246,1.236,1.246,2000,0
XPQP.DE,D,20120907,000000,1.234,1.234,1.234,1.234,0,0
XPQP.DE,D,20120910,000000,1.231,1.231,1.231,1.231,0,0
XPQP.DE,D,20120911,000000,1.229,1.229,1.229,1.229,0,0
XPQP.DE,D,20120912,000000,1.228,1.228,1.225,1.225,24110,0
XPQP.DE,D,20120913,000000,1.225,1.227,1.225,1.225,16610,0
XPQP.DE,D,20120914,000000,1.236,1.237,1.234,1.234,47050,0
XPQP.DE,D,20120917,000000,1.227,1.229,1.226,1.226,4250,0
XPQP.DE,D,20120918,000000,1.225,1.225,1.225,1.225,0,0
XPQP.DE,D,20120919,000000,1.226,1.226,1.226,1.226,0,0
XPQP.DE,D,20120920,000000,1.232,1.232,1.232,1.232,0,0
XPQP.DE,D,20120921,000000,1.232,1.232,1.229,1.229,500,0
XPQP.DE,D,20120924,000000,1.239,1.242,1.239,1.242,409,0
XPQP.DE,D,20120925,000000,1.241,1.241,1.241,1.241,0,0
XPQP.DE,D,20120926,000000,1.237,1.237,1.224,1.224,30,0
XPQP.DE,D,20120927,000000,1.243,1.245,1.242,1.242,3600,0
XPQP.DE,D,20120928,000000,1.252,1.252,1.248,1.248,4000,0
XPQP.DE,D,20121001,000000,1.253,1.262,1.244,1.257,8980,0
XPQP.DE,D,20121002,000000,1.263,1.263,1.252,1.252,7937,0
XPQP.DE,D,20121003,000000,1.271,1.271,1.271,1.271,4000,0
XPQP.DE,D,20121004,000000,1.282,1.285,1.277,1.277,7750,0
XPQP.DE,D,20121005,000000,1.279,1.285,1.279,1.284,12900,0
XPQP.DE,D,20121008,000000,1.28,1.28,1.274,1.274,9000,0
XPQP.DE,D,20121009,000000,1.271,1.271,1.271,1.271,0,0
XPQP.DE,D,20121010,000000,1.278,1.281,1.271,1.271,15000,0
XPQP.DE,D,20121011,000000,1.272,1.272,1.272,1.272,0,0
XPQP.DE,D,20121012,000000,1.272,1.273,1.265,1.265,11620,0
XPQP.DE,D,20121015,000000,1.275,1.275,1.275,1.275,0,0
XPQP.DE,D,20121016,000000,1.277,1.287,1.277,1.287,75070,0
XPQP.DE,D,20121017,000000,1.288,1.29,1.288,1.29,1500,0
XPQP.DE,D,20121018,000000,1.286,1.286,1.286,1.286,0,0
XPQP.DE,D,20121019,000000,1.287,1.287,1.276,1.276,7300,0
XPQP.DE,D,20121022,000000,1.282,1.288,1.281,1.281,12550,0
XPQP.DE,D,20121023,000000,1.292,1.292,1.278,1.279,21000,0
