<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XWD1.DE,D,20210309,000000,11.5985,11.671,11.5985,11.671,0,0
XWD1.DE,D,20210310,000000,13.95,13.962,13.95,13.962,400,0
XWD1.DE,D,20210311,000000,14.0455,14.0525,13.965,14.0525,300,0
XWD1.DE,D,20210312,000000,13.9985,14.004,13.9935,13.9935,0,0
XWD1.DE,D,20210315,000000,14.08,14.083,14.075,14.075,0,0
XWD1.DE,D,20210316,000000,14.177,14.211,14.172,14.211,0,0
XWD1.DE,D,20210317,000000,14.1885,14.1885,14.103,14.103,0,0
XWD1.DE,D,20210318,000000,14.134,14.1395,14.0985,14.1395,0,0
XWD1.DE,D,20210319,000000,14.036,14.0645,14.036,14.0405,0,0
XWD1.DE,D,20210322,000000,13.985,14.076,13.985,14.076,662,0
XWD1.DE,D,20210323,000000,14.0525,14.113,14.0525,14.113,0,0
XWD1.DE,D,20210324,000000,14.0295,14.098,14.0295,14.098,0,0
XWD1.DE,D,20210325,000000,14.002,14.046,13.96,14.046,0,0
XWD1.DE,D,20210326,000000,14.152,14.179,14.129,14.179,250,0
XWD1.DE,D,20210329,000000,14.23,14.2805,14.23,14.236,0,0
XWD1.DE,D,20210330,000000,14.303,14.3085,14.2885,14.3085,0,0
XWD1.DE,D,20210331,000000,14.282,14.3525,14.282,14.3525,0,0
XWD1.DE,D,20210401,000000,14.3685,14.4125,14.3685,14.4125,0,0
XWD1.DE,D,20210406,000000,14.543,14.5455,14.5385,14.5455,0,0
XWD1.DE,D,20210407,000000,14.5065,14.5065,14.4725,14.4725,0,0
XWD1.DE,D,20210408,000000,14.5535,14.563,14.538,14.538,0,0
XWD1.DE,D,20210409,000000,14.573,14.586,14.573,14.585,0,0
XWD1.DE,D,20210412,000000,14.605,14.605,14.5845,14.5845,0,0
XWD1.DE,D,20210413,000000,14.635,14.635,14.596,14.6145,0,0
XWD1.DE,D,20210414,000000,14.62,14.631,14.62,14.6205,0,0
XWD1.DE,D,20210415,000000,14.6075,14.6925,14.6075,14.6925,0,0
XWD1.DE,D,20210416,000000,14.7005,14.7345,14.7005,14.7345,0,0
XWD1.DE,D,20210419,000000,14.7355,14.7355,14.638,14.638,0,0
XWD1.DE,D,20210420,000000,14.6025,14.6025,14.4375,14.4375,0,0
XWD1.DE,D,20210421,000000,14.4945,14.558,14.4945,14.558,0,0
XWD1.DE,D,20210422,000000,14.613,14.6635,14.599,14.6635,0,0
XWD1.DE,D,20210423,000000,14.539,14.6175,14.5325,14.6175,0,0
XWD1.DE,D,20210426,000000,14.6045,14.652,14.5925,14.652,171,0
XWD1.DE,D,20210427,000000,14.6585,14.6585,14.63,14.63,0,0
XWD1.DE,D,20210428,000000,14.666,14.666,14.6305,14.6305,0,0
XWD1.DE,D,20210429,000000,14.668,14.677,14.597,14.597,0,0
XWD1.DE,D,20210430,000000,14.6225,14.634,14.602,14.634,0,0
XWD1.DE,D,20210503,000000,14.6705,14.6765,14.6665,14.6665,0,0
XWD1.DE,D,20210504,000000,14.6685,14.697,14.494,14.494,0,0
XWD1.DE,D,20210505,000000,14.6205,14.6915,14.6205,14.6915,0,0
XWD1.DE,D,20210506,000000,14.6595,14.6595,14.6115,14.6115,0,0
XWD1.DE,D,20210507,000000,14.6935,14.7085,14.6935,14.7085,0,0
XWD1.DE,D,20210510,000000,14.7405,14.7405,14.687,14.687,0,0
XWD1.DE,D,20210511,000000,14.5145,14.5145,14.4035,14.4035,2,0
XWD1.DE,D,20210512,000000,14.4345,14.439,14.351,14.351,40,0
XWD1.DE,D,20210513,000000,14.195,14.3705,14.1805,14.3705,0,0
XWD1.DE,D,20210514,000000,14.4235,14.5035,14.4235,14.5035,0,0
XWD1.DE,D,20210517,000000,14.5365,14.5365,14.443,14.4485,0,0
XWD1.DE,D,20210518,000000,14.536,14.536,14.4505,14.4505,40,0
XWD1.DE,D,20210519,000000,14.2375,14.2375,14.1945,14.1945,0,0
XWD1.DE,D,20210520,000000,14.314,14.456,14.28,14.456,0,0
XWD1.DE,D,20210521,000000,14.472,14.5225,14.472,14.5225,0,0
XWD1.DE,D,20210525,000000,14.586,14.5885,14.536,14.536,540,0
XWD1.DE,D,20210526,000000,14.575,14.588,14.5735,14.588,0,0
XWD1.DE,D,20210527,000000,14.5665,14.6345,14.5665,14.6345,0,0
XWD1.DE,D,20210528,000000,14.685,14.706,14.685,14.688,0,0
XWD1.DE,D,20210531,000000,14.6675,14.6675,14.586,14.586,0,0
XWD1.DE,D,20210601,000000,14.6205,14.702,14.6205,14.628,540,0
XWD1.DE,D,20210602,000000,14.657,14.6975,14.657,14.692,1570,0
XWD1.DE,D,20210603,000000,14.698,14.7175,14.606,14.7175,0,0
XWD1.DE,D,20210604,000000,14.7175,14.763,14.7175,14.763,0,0
XWD1.DE,D,20210607,000000,14.808,14.813,14.7745,14.7745,350,0
XWD1.DE,D,20210608,000000,14.79,14.8025,14.7575,14.7575,1140,0
XWD1.DE,D,20210609,000000,14.7785,14.7845,14.7745,14.7845,0,0
XWD1.DE,D,20210610,000000,14.7855,14.825,14.7785,14.825,0,0
XWD1.DE,D,20210611,000000,14.819,14.921,14.819,14.921,0,0
XWD1.DE,D,20210614,000000,14.976,14.976,14.9085,14.9085,0,0
XWD1.DE,D,20210615,000000,14.9845,14.9845,14.9185,14.9185,0,0
XWD1.DE,D,20210616,000000,14.953,14.9565,14.949,14.9565,0,0
XWD1.DE,D,20210617,000000,14.9575,15.0995,14.9575,15.0995,0,0
