<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XZWE.DE,D,20210311,000000,50.18,50.48,50.18,50.48,54,0
XZWE.DE,D,20210312,000000,50.22,50.22,50.08,50.21,243,0
XZWE.DE,D,20210315,000000,50.37,50.43,50.18,50.35,87,0
XZWE.DE,D,20210316,000000,50.72,50.8,50.72,50.8,183,0
XZWE.DE,D,20210317,000000,50.73,50.73,50.52,50.52,6,0
XZWE.DE,D,20210318,000000,50.75,50.75,50.6,50.73,215,0
XZWE.DE,D,20210319,000000,50.31,50.38,49.945,50.23,2005,0
XZWE.DE,D,20210322,000000,49.92,50.51,49.92,50.48,317,0
XZWE.DE,D,20210323,000000,50.26,50.42,50.26,50.41,23,0
XZWE.DE,D,20210324,000000,49.995,50.35,49.995,50.35,151,0
XZWE.DE,D,20210325,000000,49.955,49.985,49.735,49.985,81,0
XZWE.DE,D,20210326,000000,50.4,50.54,50.29,50.54,66,0
XZWE.DE,D,20210329,000000,50.7,50.88,50.57,50.71,102,0
XZWE.DE,D,20210330,000000,50.9,50.9,50.7,50.83,14,0
XZWE.DE,D,20210331,000000,50.71,50.98,50.71,50.98,214,0
XZWE.DE,D,20210401,000000,51.04,51.41,51.04,51.41,258,0
XZWE.DE,D,20210406,000000,52.13,52.25,52.03,52.13,80,0
XZWE.DE,D,20210407,000000,52.05,52.14,51.99,52.03,1954,0
XZWE.DE,D,20210408,000000,52.19,52.29,52.08,52.22,6332,0
XZWE.DE,D,20210409,000000,52.33,52.41,52.25,52.36,333,0
XZWE.DE,D,20210412,000000,52.45,52.49,52.34,52.46,1014,0
XZWE.DE,D,20210413,000000,52.58,52.67,52.43,52.56,375,0
XZWE.DE,D,20210414,000000,52.73,52.79,52.73,52.73,33,0
XZWE.DE,D,20210415,000000,52.75,52.96,52.75,52.96,73,0
XZWE.DE,D,20210416,000000,53.01,53.27,53.01,53.21,457,0
XZWE.DE,D,20210419,000000,53.2,53.2,52.98,53.01,114,0
XZWE.DE,D,20210420,000000,53,53,52.41,52.41,1827,0
XZWE.DE,D,20210421,000000,52.67,52.84,52.49,52.84,1894,0
XZWE.DE,D,20210422,000000,53.1,53.18,53.05,53.18,36,0
XZWE.DE,D,20210423,000000,52.82,53.15,52.82,53.15,98,0
XZWE.DE,D,20210426,000000,53.18,53.28,53.12,53.28,157,0
XZWE.DE,D,20210427,000000,53.22,53.22,52.92,53.09,91,0
XZWE.DE,D,20210428,000000,53.33,53.33,53.09,53.16,490,0
XZWE.DE,D,20210429,000000,53.26,53.32,52.91,52.99,4979,0
XZWE.DE,D,20210430,000000,53.06,53.06,52.9,52.9,74,0
XZWE.DE,D,20210503,000000,53.09,53.27,53.09,53.16,2,0
XZWE.DE,D,20210504,000000,53.07,53.07,52.37,52.43,116,0
XZWE.DE,D,20210505,000000,52.71,53,52.71,53,31,0
XZWE.DE,D,20210506,000000,53,53,52.72,52.94,361,0
XZWE.DE,D,20210507,000000,53.25,53.61,53.25,53.61,201,0
XZWE.DE,D,20210510,000000,53.64,53.64,53.42,53.57,19,0
