<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YOU.DE,D,20210616,000000,25.6,26.98,25.49,25.49,5087351,0
YOU.DE,D,20210617,000000,25.92,26.15,24.94,25.45,666265,0
YOU.DE,D,20210618,000000,25.6,26.18,25.26,25.3,271288,0
YOU.DE,D,20210621,000000,25.4,26.02,25.33,26,291971,0
YOU.DE,D,20210622,000000,26,26.39,25.5,26.03,154986,0
YOU.DE,D,20210623,000000,26.16,26.18,25.42,25.9,274378,0
YOU.DE,D,20210624,000000,26,26.1,25.63,26.1,186794,0
YOU.DE,D,20210625,000000,26.1,26.11,25.84,26,86097,0
YOU.DE,D,20210628,000000,26,26.1,25.91,26,86566,0
YOU.DE,D,20210629,000000,26.15,26.18,25.4,25.75,131923,0
YOU.DE,D,20210630,000000,25.79,25.93,25.4,25.5,103491,0
YOU.DE,D,20210701,000000,25.81,25.81,24.93,24.96,112107,0
YOU.DE,D,20210702,000000,25.33,25.35,24.85,25.05,80760,0
YOU.DE,D,20210705,000000,25.28,25.35,24.81,24.96,55612,0
YOU.DE,D,20210706,000000,24.95,24.95,24.6,24.95,46297,0
YOU.DE,D,20210707,000000,24.9,25,24.61,24.75,24773,0
YOU.DE,D,20210708,000000,24.81,24.81,23.66,24.8,89118,0
YOU.DE,D,20210709,000000,24.81,24.83,24.01,24.34,53644,0
YOU.DE,D,20210712,000000,24.05,24.87,24.02,24.35,51789,0
YOU.DE,D,20210713,000000,24.21,25.49,24,24.34,47795,0
YOU.DE,D,20210714,000000,24.71,25,24.1,25,30380,0
YOU.DE,D,20210715,000000,25.37,26.19,24.16,25.45,240920,0
YOU.DE,D,20210716,000000,25.82,25.85,24.63,25.21,44759,0
YOU.DE,D,20210719,000000,25.49,25.49,24.37,25.2,60449,0
YOU.DE,D,20210720,000000,25.57,25.71,24.96,25.35,43148,0
YOU.DE,D,20210721,000000,25.46,25.59,25.01,25.3,34404,0
YOU.DE,D,20210722,000000,25.92,26.1,25.4,25.7,166926,0
YOU.DE,D,20210723,000000,26,26.1,24.95,25.78,81544,0
YOU.DE,D,20210726,000000,26.2,26.8,25.15,25.44,199191,0
YOU.DE,D,20210727,000000,25.51,25.88,24.56,24.84,47775,0
YOU.DE,D,20210728,000000,24.92,25.05,24.23,24.92,60394,0
YOU.DE,D,20210729,000000,24.82,25.41,24.61,25.31,19794,0
YOU.DE,D,20210730,000000,25.29,25.29,24.52,24.56,32322,0
YOU.DE,D,20210802,000000,24.82,24.91,24.22,24.7,31606,0
YOU.DE,D,20210803,000000,24.8,24.9,24,24,51592,0
YOU.DE,D,20210804,000000,24.29,24.29,23.7,23.88,44143,0
YOU.DE,D,20210805,000000,23.47,24.04,23.33,23.86,56169,0
YOU.DE,D,20210806,000000,24.07,24.24,23.26,23.72,47947,0
YOU.DE,D,20210809,000000,23.98,24.14,23.5,23.68,25440,0
YOU.DE,D,20210810,000000,23.92,24,23.6,23.7,51480,0
YOU.DE,D,20210811,000000,23.99,24,23.25,23.25,45181,0
YOU.DE,D,20210812,000000,23.34,23.8,23.15,23.25,36431,0
YOU.DE,D,20210813,000000,23.31,23.68,23.11,23.27,25595,0
YOU.DE,D,20210816,000000,23.03,23.67,23.03,23.22,27390,0
YOU.DE,D,20210817,000000,23.22,23.44,23.06,23.44,21530,0
YOU.DE,D,20210818,000000,23.6,23.6,22.88,23,44425,0
YOU.DE,D,20210819,000000,22.82,22.84,22.27,22.46,39829,0
YOU.DE,D,20210820,000000,22.77,22.77,22.16,22.5,49281,0
YOU.DE,D,20210823,000000,22.77,22.77,22.14,22.23,25919,0
YOU.DE,D,20210824,000000,22.16,22.71,22.12,22.44,55618,0
