<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YSN.DE,D,20070102,000000,7.390624,7.724454,7.390624,7.724454,389,0
YSN.DE,D,20070103,000000,7.95628,7.974826,7.798638,7.974826,2661,0
YSN.DE,D,20070104,000000,7.947007,8.067557,7.83573,7.83573,4164,0
YSN.DE,D,20070105,000000,7.696635,7.882096,7.511174,7.511174,4342,0
YSN.DE,D,20070108,000000,7.511174,7.511174,7.511174,7.511174,0,0
YSN.DE,D,20070109,000000,7.668815,7.882096,7.640996,7.640996,790,0
YSN.DE,D,20070110,000000,7.696635,7.817184,7.696635,7.817184,420,0
YSN.DE,D,20070115,000000,7.780092,7.780092,7.780092,7.780092,100,0
YSN.DE,D,20070116,000000,7.474081,7.696635,7.474081,7.696635,4436,0
YSN.DE,D,20070117,000000,7.566812,7.789365,7.557539,7.789365,945,0
YSN.DE,D,20070118,000000,7.566812,7.566812,7.511174,7.511174,659,0
YSN.DE,D,20070119,000000,7.511174,7.511174,7.511174,7.511174,0,0
YSN.DE,D,20070122,000000,7.474081,7.650269,7.474081,7.511174,1045,0
YSN.DE,D,20070123,000000,7.474081,7.474081,7.40917,7.40917,460,0
YSN.DE,D,20070124,000000,7.52972,7.640996,7.52972,7.557539,517,0
YSN.DE,D,20070125,000000,7.557539,7.696635,7.557539,7.696635,310,0
YSN.DE,D,20070126,000000,7.418443,7.650269,7.418443,7.511174,2850,0
YSN.DE,D,20070129,000000,7.511174,7.965553,7.511174,7.826457,6849,0
YSN.DE,D,20070130,000000,7.900642,7.900642,7.900642,7.900642,200,0
YSN.DE,D,20070131,000000,7.696635,7.789365,7.696635,7.789365,700,0
YSN.DE,D,20070201,000000,7.789365,7.95628,7.789365,7.95628,2531,0
YSN.DE,D,20070202,000000,8.113922,8.206653,8.002645,8.206653,4157,0
YSN.DE,D,20070205,000000,7.743,7.761546,7.511174,7.650269,7663,0
YSN.DE,D,20070206,000000,7.650269,8.160287,7.566812,8.067557,9848,0
YSN.DE,D,20070207,000000,7.761546,8.113922,7.761546,7.780092,1777,0
YSN.DE,D,20070208,000000,8.039738,8.039738,8.002645,8.002645,2600,0
YSN.DE,D,20070209,000000,7.919188,7.919188,7.780092,7.789365,1920,0
YSN.DE,D,20070212,000000,8.067557,8.113922,7.798638,7.798638,725,0
YSN.DE,D,20070213,000000,7.798638,7.798638,7.798638,7.798638,0,0
YSN.DE,D,20070214,000000,8.067557,8.067557,7.984099,8.058284,1320,0
