<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCN.US,D,20140924,000000,17.076,17.076,17.015,17.076,8896,0
BSCN.US,D,20140925,000000,17.076,17.076,17.056,17.056,2595,0
BSCN.US,D,20140926,000000,17.015,17.015,17.015,17.015,2012,0
BSCN.US,D,20140929,000000,17.034,17.034,17.015,17.015,430,0
BSCN.US,D,20140930,000000,17.076,17.092,17.024,17.083,2179,0
BSCN.US,D,20141001,000000,17.169,17.203,17.169,17.203,4774,0
BSCN.US,D,20141002,000000,17.177,17.177,17.177,17.177,240,0
BSCN.US,D,20141007,000000,17.269,17.305,17.263,17.279,4235,0
BSCN.US,D,20141009,000000,17.352,17.361,17.269,17.269,3000,0
BSCN.US,D,20141010,000000,17.345,17.345,17.345,17.345,421,0
BSCN.US,D,20141013,000000,17.413,17.413,17.386,17.386,336,0
BSCN.US,D,20141015,000000,17.659,17.793,17.535,17.544,36741,0
BSCN.US,D,20141017,000000,17.386,17.478,17.386,17.47,2202,0
BSCN.US,D,20141020,000000,17.526,17.526,17.496,17.496,5017,0
BSCN.US,D,20141021,000000,17.496,17.496,17.438,17.478,22056,0
BSCN.US,D,20141022,000000,17.446,17.462,17.438,17.455,4166,0
BSCN.US,D,20141023,000000,17.352,17.404,17.352,17.404,1378,0
BSCN.US,D,20141024,000000,17.429,17.429,17.429,17.429,583,0
BSCN.US,D,20141027,000000,17.446,17.446,17.386,17.386,5552,0
BSCN.US,D,20141028,000000,17.378,17.404,17.361,17.404,2336,0
BSCN.US,D,20141029,000000,17.314,17.345,17.269,17.269,6563,0
BSCN.US,D,20141031,000000,17.269,17.279,17.253,17.279,6398,0
BSCN.US,D,20141103,000000,17.328,17.328,17.229,17.269,3704,0
BSCN.US,D,20141104,000000,17.269,17.269,17.211,17.211,1203,0
BSCN.US,D,20141105,000000,17.211,17.211,17.211,17.211,198,0
BSCN.US,D,20141106,000000,17.221,17.221,17.211,17.211,2245,0
BSCN.US,D,20141107,000000,17.323,17.323,17.314,17.314,271,0
BSCN.US,D,20141110,000000,17.37,17.37,17.278,17.294,5359,0
BSCN.US,D,20141111,000000,17.304,17.314,17.304,17.304,2916,0
BSCN.US,D,20141113,000000,17.246,17.246,17.229,17.237,5242,0
BSCN.US,D,20141114,000000,17.252,17.252,17.252,17.252,2936,0
BSCN.US,D,20141117,000000,17.252,17.252,17.246,17.252,2137,0
BSCN.US,D,20141118,000000,17.202,17.211,17.176,17.192,1359,0
BSCN.US,D,20141121,000000,17.262,17.269,17.262,17.269,9834,0
BSCN.US,D,20141124,000000,17.287,17.323,17.287,17.323,1173,0
BSCN.US,D,20141125,000000,17.351,17.351,17.304,17.351,2156,0
BSCN.US,D,20141126,000000,17.429,17.429,17.422,17.422,425,0
