<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABVC.US,D,20210804,000000,3.2,3.2699,3,3.05,120707,0
ABVC.US,D,20210805,000000,3.05,3.1989,3.04,3.175,42827,0
ABVC.US,D,20210806,000000,3.2,3.3,3.15,3.17,64283,0
ABVC.US,D,20210809,000000,3.17,3.1765,3.0501,3.1287,6772,0
ABVC.US,D,20210810,000000,3.06,4.46,3.06,3.73,4576131,0
ABVC.US,D,20210811,000000,3.9275,4.25,3.4,3.58,5725618,0
ABVC.US,D,20210812,000000,2.71,2.94,2.5,2.71,1536948,0
ABVC.US,D,20210813,000000,2.64,2.7,2.23,2.32,448174,0
ABVC.US,D,20210816,000000,2.26,2.4,2.1,2.18,213122,0
ABVC.US,D,20210817,000000,2.03,2.17,2.03,2.13,135982,0
ABVC.US,D,20210818,000000,2.13,2.3699,2.13,2.29,213366,0
ABVC.US,D,20210819,000000,2.41,2.5,2,2.17,220197,0
ABVC.US,D,20210820,000000,2.19,2.2201,1.95,2.03,318681,0
ABVC.US,D,20210823,000000,2.03,3.49,2.03,2.51,14062749,0
ABVC.US,D,20210824,000000,2.35,2.64,2.25,2.61,1011956,0
ABVC.US,D,20210825,000000,2.39,2.58,2.37,2.46,303087,0
