<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACTD.US,D,20210526,000000,10.32,10.32,9.8,9.8,2863,0
ACTD.US,D,20210528,000000,9.75,9.75,9.75,9.75,7650,0
ACTD.US,D,20210601,000000,9.75,9.82,9.74,9.8,18837,0
ACTD.US,D,20210602,000000,9.785,9.8,9.785,9.8,2596,0
ACTD.US,D,20210603,000000,9.8824,9.8824,9.8824,9.8824,300,0
ACTD.US,D,20210608,000000,10.2379,10.2379,9.78,9.856,2740,0
ACTD.US,D,20210609,000000,9.95,10,9.8999,9.8999,814,0
ACTD.US,D,20210610,000000,10.2999,10.2999,9.7601,9.9,12651,0
ACTD.US,D,20210614,000000,9.91,9.99,9.9,9.9,19425,0
ACTD.US,D,20210615,000000,9.97,10,9.7,9.86,3649,0
ACTD.US,D,20210616,000000,10,10,9.84,9.87,7999,0
ACTD.US,D,20210617,000000,9.95,9.95,9.8499,9.88,26615,0
ACTD.US,D,20210618,000000,9.86,9.86,9.86,9.86,353,0
ACTD.US,D,20210621,000000,9.94,9.94,9.85,9.867,4319,0
ACTD.US,D,20210622,000000,9.9,9.9,9.83,9.88,3381,0
ACTD.US,D,20210623,000000,9.86,9.86,9.845,9.85,3838,0
ACTD.US,D,20210624,000000,9.87,9.87,9.84,9.84,1284,0
ACTD.US,D,20210625,000000,9.836,9.845,9.836,9.845,364,0
ACTD.US,D,20210628,000000,9.88,9.95,9.83,9.83,1894,0
ACTD.US,D,20210629,000000,9.83,9.8332,9.8,9.83,32812,0
ACTD.US,D,20210630,000000,9.83,9.83,9.8,9.8,50625,0
ACTD.US,D,20210701,000000,9.81,9.81,9.77,9.79,11308,0
ACTD.US,D,20210702,000000,9.91,9.91,9.77,9.78,11961,0
ACTD.US,D,20210706,000000,9.78,9.93,9.78,9.78,31825,0
ACTD.US,D,20210707,000000,9.8,9.87,9.78,9.85,15564,0
ACTD.US,D,20210708,000000,9.83,9.8843,9.81,9.85,49601,0
ACTD.US,D,20210709,000000,9.85,9.9,9.85,9.85,9879,0
ACTD.US,D,20210712,000000,9.928,9.94,9.7874,9.94,19157,0
ACTD.US,D,20210714,000000,9.9299,9.9299,9.77,9.882,1061,0
ACTD.US,D,20210715,000000,9.7701,9.88,9.77,9.8661,10980,0
ACTD.US,D,20210716,000000,9.77,9.88,9.77,9.85,2932,0
ACTD.US,D,20210719,000000,9.85,9.93,9.85,9.8595,5688,0
ACTD.US,D,20210721,000000,9.8652,9.8652,9.8652,9.8652,1007,0
ACTD.US,D,20210722,000000,9.85,9.9099,9.85,9.88,2410,0
ACTD.US,D,20210723,000000,9.8799,9.8799,9.8799,9.8799,430,0
ACTD.US,D,20210726,000000,9.807,9.8402,9.8,9.825,1801,0
ACTD.US,D,20210727,000000,9.77,9.78,9.7,9.78,56953,0
ACTD.US,D,20210728,000000,9.7016,9.8,9.7016,9.75,3383,0
ACTD.US,D,20210729,000000,9.75,9.75,9.6501,9.75,8642,0
ACTD.US,D,20210730,000000,9.75,9.75,9.75,9.75,19932,0
ACTD.US,D,20210802,000000,9.73,9.79,9.73,9.79,2203,0
ACTD.US,D,20210803,000000,9.75,9.75,9.75,9.75,1639,0
ACTD.US,D,20210804,000000,9.75,9.77,9.75,9.75,480612,0
ACTD.US,D,20210805,000000,9.7555,9.7799,9.71,9.71,10984,0
ACTD.US,D,20210806,000000,9.72,9.72,9.72,9.72,11162,0
ACTD.US,D,20210809,000000,9.72,9.75,9.72,9.75,503,0
ACTD.US,D,20210810,000000,9.7061,9.725,9.7061,9.725,736,0
ACTD.US,D,20210811,000000,9.7592,9.7592,9.717,9.717,518,0
ACTD.US,D,20210812,000000,9.7197,9.745,9.7197,9.745,1323,0
ACTD.US,D,20210813,000000,9.71,9.71,9.69,9.71,3815,0
ACTD.US,D,20210816,000000,9.72,9.7227,9.6906,9.7,2765,0
ACTD.US,D,20210817,000000,9.69,9.73,9.68,9.73,2126,0
ACTD.US,D,20210818,000000,9.7103,9.73,9.68,9.68,34089,0
ACTD.US,D,20210819,000000,9.7,9.74,9.68,9.72,13096,0
ACTD.US,D,20210820,000000,9.68,9.74,9.68,9.72,4344,0
ACTD.US,D,20210823,000000,9.67,9.7,9.67,9.7,8554,0
ACTD.US,D,20210825,000000,9.68,9.6822,9.67,9.675,6857,0
