<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGNC.US,D,20080514,000000,5.1525,5.1525,5.1525,5.1525,0,0
AGNC.US,D,20080515,000000,5.023,5.0607,4.938,4.9843,16297317,0
AGNC.US,D,20080516,000000,4.9577,5.1543,4.9577,5.1496,4307520,0
AGNC.US,D,20080519,000000,5.1228,5.1496,4.9577,5.0244,1279738,0
AGNC.US,D,20080520,000000,5.0209,5.1028,4.9624,4.9843,427442,0
AGNC.US,D,20080521,000000,4.9655,5.0074,4.9556,4.9577,1165582,0
AGNC.US,D,20080522,000000,4.9127,4.995,4.8946,4.8946,814542,0
AGNC.US,D,20080523,000000,4.9096,4.9321,4.8946,4.9068,460906,0
AGNC.US,D,20080527,000000,4.9068,5.0119,4.8946,4.9194,238688,0
AGNC.US,D,20080528,000000,4.9223,4.9928,4.7915,4.9577,593401,0
AGNC.US,D,20080529,000000,4.9041,5.1254,4.8946,5.0744,912368,0
AGNC.US,D,20080530,000000,5.1053,5.113,4.9706,5.0744,608119,0
AGNC.US,D,20080602,000000,5.0716,5.0902,5.0169,5.0499,799934,0
AGNC.US,D,20080603,000000,5.0632,5.113,4.9068,4.9127,465620,0
AGNC.US,D,20080604,000000,4.8994,4.9763,4.8994,4.9194,595317,0
AGNC.US,D,20080605,000000,4.9249,5.023,4.9014,4.9787,317773,0
AGNC.US,D,20080606,000000,4.9608,4.9608,4.8994,4.8994,93942,0
AGNC.US,D,20080609,000000,4.9321,4.9577,4.8946,4.8946,396322,0
AGNC.US,D,20080610,000000,4.8946,4.9096,4.3299,4.688,1655172,0
AGNC.US,D,20080611,000000,4.688,4.688,3.941,4.4178,1176705,0
AGNC.US,D,20080612,000000,4.4458,4.4561,4.2759,4.4385,701692,0
AGNC.US,D,20080613,000000,4.4407,4.4407,4.3145,4.3942,333775,0
AGNC.US,D,20080616,000000,4.307,4.6255,4.2631,4.5851,241073,0
AGNC.US,D,20080617,000000,4.6105,4.6393,4.4119,4.603,297831,0
AGNC.US,D,20080618,000000,4.5587,4.6153,4.2785,4.3892,671561,0
AGNC.US,D,20080619,000000,4.3942,4.4254,4.2759,4.3483,329316,0
AGNC.US,D,20080620,000000,4.307,4.3739,4.1884,4.2837,374289,0
AGNC.US,D,20080623,000000,4.2886,4.6592,4.2837,4.6105,666540,0
AGNC.US,D,20080624,000000,4.5717,4.6105,4.4119,4.5749,538343,0
AGNC.US,D,20080625,000000,4.6153,4.6409,4.5463,4.5851,563148,0
AGNC.US,D,20080626,000000,4.6004,4.6409,4.4307,4.4331,399560,0
AGNC.US,D,20080627,000000,4.4561,4.5516,4.3299,4.4071,4777348,0
AGNC.US,D,20080630,000000,4.3739,4.6308,4.2499,4.2862,779300,0
AGNC.US,D,20080701,000000,4.1496,4.3115,4.031,4.2238,1003226,0
AGNC.US,D,20080702,000000,4.2551,4.351,4.1987,4.2886,445989,0
AGNC.US,D,20080703,000000,4.317,4.3765,4.2373,4.2446,258859,0
AGNC.US,D,20080707,000000,4.2499,4.2499,3.8506,3.859,1542531,0
AGNC.US,D,20080708,000000,3.8714,4.093,3.8379,3.9925,1079510,0
AGNC.US,D,20080709,000000,3.9101,4.0644,3.8304,3.8304,759282,0
AGNC.US,D,20080710,000000,3.8149,3.8379,3.3584,3.5984,2139469,0
AGNC.US,D,20080711,000000,3.5262,3.8818,3.4129,3.8278,1927082,0
AGNC.US,D,20080714,000000,3.8897,4.1132,3.869,4.0513,961643,0
AGNC.US,D,20080715,000000,4.0439,4.0439,3.7245,3.7942,1220428,0
AGNC.US,D,20080716,000000,3.779,4.0002,3.7347,3.8917,784539,0
AGNC.US,D,20080717,000000,3.9619,4.0959,3.9358,4.031,766401,0
AGNC.US,D,20080718,000000,4.0644,4.1496,3.9925,4.0002,882059,0
AGNC.US,D,20080721,000000,4.0595,4.142,3.9358,3.9817,1238029,0
AGNC.US,D,20080722,000000,3.9332,4.0985,3.8638,4.062,1602821,0
AGNC.US,D,20080723,000000,4.0877,4.1212,4.062,4.1003,387460,0
AGNC.US,D,20080724,000000,4.0959,4.1115,3.941,3.9745,964836,0
AGNC.US,D,20080725,000000,3.9925,4.0182,3.9153,3.9667,559886,0
AGNC.US,D,20080728,000000,3.9925,4.0798,3.8356,3.8662,753650,0
AGNC.US,D,20080729,000000,3.9619,4.1649,3.9024,4.047,928485,0
AGNC.US,D,20080730,000000,4.1857,4.2321,3.8638,4.0337,1110447,0
AGNC.US,D,20080731,000000,3.9799,4.1163,3.9281,4.0283,670184,0
AGNC.US,D,20080801,000000,4.0208,4.2681,4.0208,4.1003,632427,0
AGNC.US,D,20080804,000000,4.1857,4.211,4.0052,4.0439,676149,0
AGNC.US,D,20080805,000000,4.0696,4.1189,3.9925,4.067,603638,0
AGNC.US,D,20080806,000000,4.1003,4.1003,3.9925,4.0283,588137,0
AGNC.US,D,20080807,000000,4.0103,4.0513,3.9281,3.9535,557693,0
AGNC.US,D,20080808,000000,3.964,4.2731,3.964,4.2474,433377,0
AGNC.US,D,20080811,000000,4.2268,4.3683,4.1909,4.3115,320137,0
AGNC.US,D,20080812,000000,4.2837,4.4954,4.2631,4.2961,335802,0
AGNC.US,D,20080813,000000,4.2658,4.3765,4.201,4.2886,302613,0
AGNC.US,D,20080814,000000,4.2551,4.3666,4.2192,4.3243,243567,0
AGNC.US,D,20080815,000000,4.428,4.5054,4.2499,4.3041,452003,0
AGNC.US,D,20080818,000000,4.3583,4.3635,4.2551,4.3041,310031,0
AGNC.US,D,20080819,000000,4.351,4.351,4.2886,4.3015,214810,0
AGNC.US,D,20080820,000000,4.3015,4.4148,4.2759,4.4046,309631,0
AGNC.US,D,20080821,000000,4.3559,4.5054,4.327,4.4971,455649,0
AGNC.US,D,20080822,000000,4.5081,4.6751,4.5081,4.6649,938057,0
AGNC.US,D,20080825,000000,4.6592,4.6592,4.5236,4.5486,594337,0
AGNC.US,D,20080826,000000,4.529,4.5875,4.4407,4.5127,853015,0
AGNC.US,D,20080827,000000,4.6368,4.7265,4.6105,4.688,1154308,0
AGNC.US,D,20080828,000000,4.716,4.829,4.716,4.8263,850611,0
AGNC.US,D,20080829,000000,4.8263,4.9301,4.7113,4.8814,498319,0
AGNC.US,D,20080902,000000,4.9556,4.9577,4.7241,4.8013,538947,0
AGNC.US,D,20080903,000000,4.8161,4.8222,4.7036,4.7701,376405,0
AGNC.US,D,20080904,000000,4.7368,4.8139,4.7011,4.7241,292220,0
AGNC.US,D,20080905,000000,4.688,4.8237,4.5717,4.796,520869,0
AGNC.US,D,20080908,000000,5.1643,5.2157,4.838,5.1525,3424972,0
AGNC.US,D,20080909,000000,5.1525,5.1525,4.8683,4.8683,1140062,0
AGNC.US,D,20080910,000000,4.9041,4.9577,4.7834,4.9301,1168189,0
AGNC.US,D,20080911,000000,4.8891,4.9655,4.7915,4.8814,989405,0
AGNC.US,D,20080912,000000,4.8558,5.1414,4.829,5.0695,606734,0
AGNC.US,D,20080915,000000,4.8946,5.0662,4.688,4.706,1606007,0
AGNC.US,D,20080916,000000,4.5205,4.8406,4.5127,4.8161,1325871,0
AGNC.US,D,20080917,000000,4.7933,4.7933,4.1649,4.3191,1550515,0
AGNC.US,D,20080918,000000,4.4484,4.6649,4.0773,4.5931,2239949,0
AGNC.US,D,20080919,000000,4.8683,4.9408,4.3789,4.8111,3042439,0
AGNC.US,D,20080922,000000,4.8946,4.9979,4.6574,4.6751,2641197,0
AGNC.US,D,20080923,000000,4.819,5.0792,4.7088,5.0209,3137880,0
AGNC.US,D,20080924,000000,5.1254,5.1387,4.9867,5.0302,2196500,0
AGNC.US,D,20080925,000000,4.8037,4.8037,4.4385,4.6961,1449990,0
AGNC.US,D,20080926,000000,4.5875,4.6335,4.3789,4.5875,1369975,0
AGNC.US,D,20080929,000000,4.5054,4.6368,3.8743,4.0852,1879472,0
AGNC.US,D,20080930,000000,4.1212,4.4616,4.1212,4.4616,1006597,0
AGNC.US,D,20081001,000000,4.4222,4.533,4.1939,4.3377,972530,0
AGNC.US,D,20081002,000000,4.3115,4.3115,4.1265,4.2192,533989,0
AGNC.US,D,20081003,000000,4.3396,4.4999,4.1472,4.1987,910051,0
AGNC.US,D,20081006,000000,4.124,4.3431,3.8221,4.3115,1539211,0
AGNC.US,D,20081007,000000,4.4484,4.4484,4.062,4.1987,1088566,0
AGNC.US,D,20081008,000000,4.093,4.271,3.8943,4.0747,1100912,0
AGNC.US,D,20081009,000000,4.1393,4.271,3.8561,3.8743,1407290,0
AGNC.US,D,20081010,000000,3.8249,3.9304,3.0913,3.789,2776976,0
AGNC.US,D,20081013,000000,4.0238,4.2238,3.8638,3.9667,1646881,0
AGNC.US,D,20081014,000000,4.1189,4.2192,3.8897,3.9127,1049211,0
AGNC.US,D,20081015,000000,3.8609,3.9101,3.6709,3.812,1531480,0
AGNC.US,D,20081016,000000,3.9071,4.2446,3.6604,4.2192,1070439,0
AGNC.US,D,20081017,000000,4.1884,4.3611,3.9898,4.222,1067484,0
AGNC.US,D,20081020,000000,4.3356,4.4769,4.2422,4.4458,853661,0
AGNC.US,D,20081021,000000,4.4432,4.5081,4.307,4.3531,829556,0
AGNC.US,D,20081022,000000,4.2886,4.4199,4.1597,4.1857,629705,0
AGNC.US,D,20081023,000000,4.2089,4.3789,3.9182,4.1086,1576834,0
AGNC.US,D,20081024,000000,3.8638,4.214,3.6782,4.0822,740883,0
AGNC.US,D,20081027,000000,3.9925,4.2837,3.9898,4.0696,569707,0
AGNC.US,D,20081028,000000,4.2394,4.3789,3.9535,4.3739,632343,0
AGNC.US,D,20081029,000000,4.3789,4.4895,4.1987,4.4222,746705,0
AGNC.US,D,20081030,000000,4.5081,4.6393,4.4432,4.6393,1268185,0
AGNC.US,D,20081031,000000,4.6086,4.8814,4.4741,4.7915,878462,0
AGNC.US,D,20081103,000000,4.829,4.8558,4.7036,4.765,389906,0
AGNC.US,D,20081104,000000,4.829,4.8912,4.7775,4.8891,999991,0
AGNC.US,D,20081105,000000,4.838,4.9843,4.7605,4.8912,569074,0
AGNC.US,D,20081106,000000,4.829,4.9556,4.6803,4.829,561133,0
AGNC.US,D,20081107,000000,4.8683,4.9321,4.7988,4.8584,414524,0
AGNC.US,D,20081110,000000,4.9438,4.9624,4.5749,4.5906,1507756,0
AGNC.US,D,20081111,000000,4.6409,4.6409,4.3396,4.4842,1178253,0
AGNC.US,D,20081112,000000,4.4307,4.6335,4.4199,4.428,311065,0
AGNC.US,D,20081113,000000,4.4199,4.8946,4.2785,4.8755,925652,0
AGNC.US,D,20081114,000000,4.765,4.9556,4.5307,4.7011,748349,0
AGNC.US,D,20081117,000000,4.6335,4.8237,4.5176,4.6904,487598,0
AGNC.US,D,20081118,000000,4.7307,4.8683,4.5749,4.8602,428499,0
AGNC.US,D,20081119,000000,4.8946,4.8946,4.6061,4.6086,400234,0
AGNC.US,D,20081120,000000,4.5665,4.6751,4.3323,4.351,837867,0
AGNC.US,D,20081121,000000,4.4641,4.5587,4.2525,4.5176,924799,0
AGNC.US,D,20081124,000000,4.529,4.8111,4.4616,4.765,870141,0
AGNC.US,D,20081125,000000,4.8891,5.1009,4.838,4.9731,2494185,0
AGNC.US,D,20081126,000000,4.9684,5.1496,4.9352,5.0744,1016145,0
AGNC.US,D,20081128,000000,5.1496,5.1496,4.9979,5.1357,282388,0
AGNC.US,D,20081201,000000,4.9898,5.113,4.688,4.7502,722545,0
AGNC.US,D,20081202,000000,4.9145,5.1332,4.8037,5.1332,446117,0
AGNC.US,D,20081203,000000,5.0027,5.1902,4.9478,5.1414,711882,0
AGNC.US,D,20081204,000000,5.0824,5.1525,4.9321,4.995,542613,0
AGNC.US,D,20081205,000000,4.8946,5.1254,4.8662,5.0499,729656,0
AGNC.US,D,20081208,000000,5.1332,5.1387,5.0119,5.113,965219,0
AGNC.US,D,20081209,000000,5.1387,5.1387,4.9167,4.9249,570910,0
AGNC.US,D,20081210,000000,4.9655,4.9655,4.838,4.9276,231067,0
AGNC.US,D,20081211,000000,4.8662,4.9321,4.5637,4.6184,599471,0
AGNC.US,D,20081212,000000,4.4842,4.7417,4.4432,4.7216,702018,0
AGNC.US,D,20081215,000000,4.74,4.74,4.5587,4.6184,565993,0
AGNC.US,D,20081216,000000,4.6618,4.9577,4.6393,4.938,886549,0
AGNC.US,D,20081217,000000,4.9787,5.1309,4.8139,4.9301,1524667,0
AGNC.US,D,20081218,000000,5.0119,5.0716,4.9321,4.9706,719530,0
AGNC.US,D,20081219,000000,4.9577,5.1902,4.8733,5.1525,2454460,0
AGNC.US,D,20081222,000000,5.3581,5.587,5.293,5.4698,2516958,0
AGNC.US,D,20081223,000000,5.5374,5.6304,5.5027,5.5109,1501254,0
AGNC.US,D,20081224,000000,5.5901,5.6776,5.5109,5.6552,748904,0
AGNC.US,D,20081226,000000,5.7932,5.7932,5.5428,5.5639,1039989,0
AGNC.US,D,20081229,000000,5.3426,5.3996,5.1009,5.3163,727849,0
AGNC.US,D,20081230,000000,4.7686,5.5514,4.7686,5.3669,528128,0
AGNC.US,D,20081231,000000,5.4655,5.5374,5.3163,5.5027,878185,0
AGNC.US,D,20090102,000000,5.3426,5.5408,5.3426,5.3946,566844,0
AGNC.US,D,20090105,000000,5.4094,5.513,5.3305,5.4351,1394394,0
AGNC.US,D,20090106,000000,5.4731,5.513,5.3367,5.4584,780042,0
AGNC.US,D,20090107,000000,5.4484,5.4484,5.3669,5.4434,583227,0
AGNC.US,D,20090108,000000,5.4484,5.4808,5.3669,5.4698,618908,0
AGNC.US,D,20090109,000000,5.4698,5.513,5.3581,5.3646,788098,0
AGNC.US,D,20090112,000000,5.4185,5.4285,5.2805,5.3068,587916,0
AGNC.US,D,20090113,000000,5.2805,5.4285,5.177,5.4185,1717519,0
AGNC.US,D,20090114,000000,5.4094,5.4185,5.2291,5.3825,722081,0
AGNC.US,D,20090115,000000,5.3888,5.4038,5.1872,5.3768,1015383,0
AGNC.US,D,20090116,000000,5.3825,5.4731,5.2506,5.2998,639035,0
AGNC.US,D,20090120,000000,5.2823,5.4094,5.107,5.1155,609998,0
AGNC.US,D,20090121,000000,5.3581,5.3581,4.9979,5.2626,882164,0
AGNC.US,D,20090122,000000,5.2745,5.3305,5.0902,5.1496,633326,0
AGNC.US,D,20090123,000000,5.0874,5.2037,4.9979,5.1332,665591,0
AGNC.US,D,20090126,000000,5.2506,5.4094,5.161,5.1902,599780,0
AGNC.US,D,20090127,000000,5.3068,5.3068,5.1525,5.2626,1024235,0
AGNC.US,D,20090128,000000,5.3703,5.3946,5.293,5.3305,683066,0
AGNC.US,D,20090129,000000,5.3752,5.3978,5.1962,5.1962,444672,0
AGNC.US,D,20090130,000000,5.2805,5.3031,5.0989,5.1471,1160463,0
AGNC.US,D,20090202,000000,5.0744,5.2365,5.0744,5.1254,685807,0
AGNC.US,D,20090203,000000,5.2205,5.2907,5.1285,5.2291,975218,0
AGNC.US,D,20090204,000000,5.2037,5.2186,5.1097,5.1097,1078148,0
AGNC.US,D,20090205,000000,4.6521,4.74,4.3918,4.5851,5281269,0
AGNC.US,D,20090206,000000,4.5851,4.678,4.4432,4.4714,2034507,0
AGNC.US,D,20090209,000000,4.4714,4.5259,4.327,4.4407,1282364,0
AGNC.US,D,20090210,000000,4.4432,4.4534,4.2551,4.3323,2319157,0
AGNC.US,D,20090211,000000,4.3431,4.4863,4.2886,4.3789,1332063,0
AGNC.US,D,20090212,000000,4.3666,4.41,4.2681,4.3483,1174167,0
AGNC.US,D,20090213,000000,4.3707,4.3707,4.271,4.3483,967525,0
AGNC.US,D,20090217,000000,4.2499,4.2944,4.1731,4.2238,1094724,0
