<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBSH.US,D,20050225,000000,20.465,20.761,20.465,20.743,129101,0
CBSH.US,D,20050228,000000,20.634,20.765,20.6,20.699,329874,0
CBSH.US,D,20050301,000000,20.612,21.054,20.612,20.973,250708,0
CBSH.US,D,20050302,000000,21.017,21.042,20.827,20.87,101419,0
CBSH.US,D,20050303,000000,20.877,20.906,20.67,20.765,141066,0
CBSH.US,D,20050304,000000,20.761,21.059,20.67,21.024,401775,0
CBSH.US,D,20050307,000000,20.912,21.192,20.863,20.992,470006,0
CBSH.US,D,20050308,000000,20.846,21.076,20.846,21.017,312950,0
CBSH.US,D,20050309,000000,21.096,21.096,20.809,20.96,216314,0
CBSH.US,D,20050310,000000,21.042,21.042,20.827,20.924,142766,0
CBSH.US,D,20050311,000000,20.827,20.96,20.634,20.93,306646,0
CBSH.US,D,20050314,000000,20.804,21.042,20.705,20.98,295689,0
CBSH.US,D,20050315,000000,20.897,21.108,20.67,20.78,235622,0
CBSH.US,D,20050316,000000,20.688,20.877,20.681,20.827,215151,0
CBSH.US,D,20050317,000000,20.771,20.912,20.718,20.857,170736,0
CBSH.US,D,20050318,000000,20.822,20.952,20.777,20.857,186338,0
CBSH.US,D,20050321,000000,20.651,20.897,20.651,20.809,283588,0
CBSH.US,D,20050322,000000,20.809,20.936,20.634,20.748,251328,0
CBSH.US,D,20050323,000000,20.681,20.804,20.628,20.67,185696,0
CBSH.US,D,20050324,000000,20.809,20.863,20.606,20.618,116172,0
CBSH.US,D,20050328,000000,20.718,20.827,20.694,20.748,113721,0
CBSH.US,D,20050329,000000,20.827,20.846,20.618,20.748,234168,0
CBSH.US,D,20050330,000000,20.651,20.973,20.634,20.906,211887,0
CBSH.US,D,20050331,000000,20.827,21.209,20.827,21.134,557777,0
CBSH.US,D,20050401,000000,21.076,21.221,20.897,21.096,374826,0
CBSH.US,D,20050404,000000,20.973,21.151,20.901,21.03,209014,0
CBSH.US,D,20050405,000000,21.139,21.253,21.017,21.169,259416,0
CBSH.US,D,20050406,000000,21.082,21.339,21.082,21.241,115825,0
CBSH.US,D,20050407,000000,21.221,21.259,21.071,21.198,151149,0
CBSH.US,D,20050408,000000,21.071,21.209,20.941,20.955,153827,0
CBSH.US,D,20050411,000000,20.955,21.071,20.84,20.955,157168,0
CBSH.US,D,20050412,000000,20.827,21.312,20.827,21.096,368267,0
CBSH.US,D,20050413,000000,21.198,21.373,20.924,21.017,364658,0
CBSH.US,D,20050414,000000,21.09,21.09,20.618,20.688,325671,0
CBSH.US,D,20050415,000000,20.651,20.809,20.405,20.424,362934,0
CBSH.US,D,20050418,000000,20.227,20.945,20.227,20.688,289765,0
CBSH.US,D,20050419,000000,20.694,20.857,20.634,20.846,220898,0
CBSH.US,D,20050420,000000,20.731,20.809,20.481,20.523,399725,0
CBSH.US,D,20050421,000000,20.622,20.705,20.356,20.465,320030,0
CBSH.US,D,20050422,000000,20.555,20.634,20.325,20.448,247754,0
CBSH.US,D,20050425,000000,20.394,20.853,20.394,20.853,227982,0
CBSH.US,D,20050426,000000,20.705,20.897,20.694,20.8,151053,0
CBSH.US,D,20050427,000000,20.722,21.042,20.6,20.955,184425,0
