<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCBG.US,D,20050225,000000,27.463,29.17,27.288,29.065,47475,0
CCBG.US,D,20050228,000000,28.276,28.993,28.242,28.872,22505,0
CCBG.US,D,20050301,000000,28.679,29.127,28.679,28.88,16741,0
CCBG.US,D,20050302,000000,28.311,29.01,28.276,28.398,4975,0
CCBG.US,D,20050303,000000,28.872,29.136,28.872,28.978,16400,0
CCBG.US,D,20050304,000000,28.688,29.396,28.364,28.843,16715,0
CCBG.US,D,20050307,000000,28.993,29.188,28.715,28.942,13340,0
CCBG.US,D,20050308,000000,28.853,29.153,28.715,28.872,17420,0
CCBG.US,D,20050309,000000,28.872,29.153,28.533,28.603,17423,0
CCBG.US,D,20050310,000000,28.458,29.127,28.156,28.637,23674,0
CCBG.US,D,20050311,000000,28.768,29.038,28.533,28.818,18089,0
CCBG.US,D,20050314,000000,28.758,28.863,28.539,28.603,12337,0
CCBG.US,D,20050315,000000,28.364,29.153,28.364,28.715,50212,0
CCBG.US,D,20050316,000000,28.715,29.188,28.715,29.01,17853,0
CCBG.US,D,20050317,000000,28.905,29.065,28.734,28.898,18061,0
CCBG.US,D,20050318,000000,29.047,29.047,28.346,28.458,92784,0
CCBG.US,D,20050321,000000,28.88,29.1,28.734,29.047,17107,0
CCBG.US,D,20050322,000000,28.978,29.196,28.792,28.942,18234,0
CCBG.US,D,20050323,000000,28.697,28.888,28.356,28.768,15421,0
CCBG.US,D,20050324,000000,28.924,28.924,28.276,28.276,10227,0
CCBG.US,D,20050328,000000,28.629,28.629,28.346,28.557,8964,0
CCBG.US,D,20050329,000000,28.566,28.801,28.016,28.016,10943,0
CCBG.US,D,20050330,000000,28.294,29.029,28.026,29.029,9234,0
CCBG.US,D,20050331,000000,28.697,29.01,28.077,28.356,22971,0
CCBG.US,D,20050401,000000,28.505,28.801,27.218,27.28,10430,0
CCBG.US,D,20050404,000000,27.419,28.044,27.419,27.91,6799,0
CCBG.US,D,20050405,000000,28.259,28.523,28.208,28.478,2691,0
CCBG.US,D,20050406,000000,28.662,28.801,28.398,28.688,8284,0
CCBG.US,D,20050407,000000,28.671,28.697,28.242,28.644,3482,0
CCBG.US,D,20050408,000000,28.172,28.242,27.436,27.436,10451,0
CCBG.US,D,20050411,000000,27.351,28.383,27.192,28.094,36669,0
CCBG.US,D,20050412,000000,27.896,28.294,27.052,28.016,24460,0
CCBG.US,D,20050413,000000,27.719,28.118,27.165,27.351,2470,0
CCBG.US,D,20050414,000000,27.288,27.436,26.598,26.598,15187,0
CCBG.US,D,20050415,000000,26.81,27.097,25.878,25.896,17805,0
CCBG.US,D,20050418,000000,26.073,26.765,26.073,26.49,17348,0
CCBG.US,D,20050419,000000,26.482,27.367,26.482,27.367,15135,0
CCBG.US,D,20050420,000000,27.079,27.079,26.159,26.159,19114,0
CCBG.US,D,20050421,000000,26.658,26.944,26.073,26.667,42101,0
CCBG.US,D,20050422,000000,26.334,26.415,24.499,24.874,41574,0
CCBG.US,D,20050425,000000,25.117,26.267,24.927,25.198,23054,0
CCBG.US,D,20050426,000000,25.301,25.794,24.533,24.646,19803,0
CCBG.US,D,20050427,000000,24.723,25.845,24.517,25.739,28002,0
CCBG.US,D,20050428,000000,25.862,26.203,25.545,25.545,42609,0
CCBG.US,D,20050429,000000,25.87,26.415,25.688,26.369,43509,0
CCBG.US,D,20050502,000000,26.508,27.21,26.369,27.21,39663,0
CCBG.US,D,20050503,000000,27.21,27.298,26.166,26.212,17661,0
CCBG.US,D,20050504,000000,26.117,26.405,25.968,26.203,9574,0
CCBG.US,D,20050505,000000,26.405,27.192,26.259,27.192,39824,0
CCBG.US,D,20050506,000000,27.387,27.551,27.052,27.463,21580,0
CCBG.US,D,20050509,000000,27.394,27.525,26.757,26.963,8380,0
CCBG.US,D,20050510,000000,26.71,27.454,26.098,26.534,9759,0
CCBG.US,D,20050511,000000,26.73,26.73,25.968,26.351,14144,0
CCBG.US,D,20050512,000000,26.544,26.879,26.002,26.002,34403,0
CCBG.US,D,20050513,000000,26.49,26.49,25.222,25.39,34555,0
CCBG.US,D,20050516,000000,25.688,26.58,25.554,26.524,9219,0
CCBG.US,D,20050517,000000,26.615,26.615,25.983,26.361,25151,0
CCBG.US,D,20050518,000000,26.615,27.767,26.615,27.639,26483,0
CCBG.US,D,20050519,000000,27.49,27.767,27.351,27.525,17885,0
CCBG.US,D,20050520,000000,27.28,27.402,26.879,27.246,18100,0
CCBG.US,D,20050523,000000,26.791,27.648,26.791,27.559,18033,0
CCBG.US,D,20050524,000000,27.648,27.694,27.314,27.63,18860,0
CCBG.US,D,20050525,000000,27.419,27.559,26.747,26.782,11998,0
CCBG.US,D,20050526,000000,26.963,27.62,26.81,27.351,9936,0
CCBG.US,D,20050527,000000,27.192,27.534,27.139,27.272,14840,0
CCBG.US,D,20050531,000000,27.034,28.383,27.034,28.137,40931,0
CCBG.US,D,20050601,000000,28.101,28.697,27.719,28.697,21801,0
CCBG.US,D,20050602,000000,27.803,28.697,27.803,28.584,29101,0
CCBG.US,D,20050603,000000,28.697,29.386,28.077,28.853,91539,0
CCBG.US,D,20050606,000000,28.715,28.715,28.118,28.269,12358,0
CCBG.US,D,20050607,000000,28.337,28.715,28.191,28.276,19193,0
CCBG.US,D,20050608,000000,28.006,28.697,27.767,28.026,54399,0
CCBG.US,D,20050609,000000,27.709,28.162,27.568,28.077,30225,0
CCBG.US,D,20050610,000000,27.919,27.997,27.758,27.775,3871,0
CCBG.US,D,20050613,000000,27.903,27.903,26.909,27.034,22515,0
CCBG.US,D,20050614,000000,27.104,27.943,27.043,27.63,36064,0
CCBG.US,D,20050615,000000,28.035,28.208,27.454,28.156,36985,0
CCBG.US,D,20050616,000000,27.959,29.065,27.767,29.047,43875,0
CCBG.US,D,20050617,000000,29.1,29.17,28.118,28.398,66764,0
CCBG.US,D,20050620,000000,28.478,28.478,27.767,28.458,17518,0
CCBG.US,D,20050621,000000,28.346,28.872,27.997,28.069,25654,0
CCBG.US,D,20050622,000000,28.416,28.951,28.035,28.951,39177,0
CCBG.US,D,20050623,000000,29.001,29.188,28.724,28.872,45447,0
CCBG.US,D,20050624,000000,28.697,28.697,28.016,28.458,107579,0
CCBG.US,D,20050627,000000,28.052,28.328,27.832,28.101,24090,0
CCBG.US,D,20050628,000000,28.311,29.275,27.943,29.238,39346,0
CCBG.US,D,20050629,000000,29.265,29.8,28.784,29.109,31455,0
CCBG.US,D,20050630,000000,29.284,29.976,28.147,28.276,50551,0
CCBG.US,D,20050701,000000,28.276,28.416,27.803,27.926,16067,0
CCBG.US,D,20050705,000000,28.016,30.49,28.016,30.421,39702,0
CCBG.US,D,20050706,000000,30.317,30.317,29.616,29.809,31196,0
CCBG.US,D,20050707,000000,29.001,29.809,28.843,29.79,19104,0
CCBG.US,D,20050708,000000,30.088,30.096,29.415,29.967,16373,0
CCBG.US,D,20050711,000000,29.744,30.594,29.744,30.594,14183,0
CCBG.US,D,20050712,000000,30.578,31.46,30.352,31.27,29923,0
CCBG.US,D,20050713,000000,31.078,31.078,30.684,30.935,15589,0
CCBG.US,D,20050714,000000,31.243,31.243,29.477,29.726,11550,0
CCBG.US,D,20050715,000000,29.529,30.14,29.503,30.096,10565,0
CCBG.US,D,20050718,000000,29.762,30.218,29.319,29.319,12426,0
CCBG.US,D,20050719,000000,29.976,30.473,29.477,30.473,12252,0
CCBG.US,D,20050720,000000,30.553,31.786,30.526,31.567,29278,0
CCBG.US,D,20050721,000000,31.418,31.496,29.959,29.967,32163,0
CCBG.US,D,20050722,000000,30.264,31.35,29.754,31.35,38683,0
CCBG.US,D,20050725,000000,31.402,31.402,30.859,30.859,18773,0
CCBG.US,D,20050726,000000,31.368,31.872,31.368,31.872,24085,0
CCBG.US,D,20050727,000000,31.681,32.152,31.503,32.152,50354,0
CCBG.US,D,20050728,000000,32.019,32.807,31.636,32.799,24543,0
CCBG.US,D,20050729,000000,32.807,33.159,32.233,32.502,16632,0
CCBG.US,D,20050801,000000,32.152,33.388,32.152,32.834,15159,0
CCBG.US,D,20050802,000000,32.59,33.854,32.59,33.761,18466,0
CCBG.US,D,20050803,000000,33.769,33.876,33.553,33.685,14633,0
CCBG.US,D,20050804,000000,33.876,33.876,32.168,32.371,18220,0
CCBG.US,D,20050805,000000,32.152,32.259,31.476,32.029,29550,0
CCBG.US,D,20050808,000000,32.188,32.293,31.087,31.087,11841,0
CCBG.US,D,20050809,000000,31.531,31.646,31.163,31.163,10491,0
CCBG.US,D,20050810,000000,31.043,31.313,29.692,30.14,70143,0
CCBG.US,D,20050811,000000,30.29,31.296,29.923,31.016,15048,0
CCBG.US,D,20050812,000000,30.777,30.824,29.994,30.621,17575,0
CCBG.US,D,20050815,000000,30.742,31.585,30.621,31.575,13649,0
CCBG.US,D,20050816,000000,31.278,31.567,30.631,30.631,14395,0
CCBG.US,D,20050817,000000,30.621,30.85,30.343,30.85,9644,0
CCBG.US,D,20050818,000000,30.621,30.887,30.48,30.49,12450,0
CCBG.US,D,20050819,000000,30.44,31.016,30.431,30.84,8346,0
CCBG.US,D,20050822,000000,30.641,31.331,30.543,31.052,13474,0
CCBG.US,D,20050823,000000,31.103,32.109,30.658,31.892,21675,0
CCBG.US,D,20050824,000000,31.936,33.195,31.795,32.696,24275,0
CCBG.US,D,20050825,000000,32.509,32.816,31.603,31.945,14813,0
CCBG.US,D,20050826,000000,31.736,31.952,30.859,30.859,19692,0
CCBG.US,D,20050829,000000,30.734,31.709,30.174,31.681,15426,0
CCBG.US,D,20050830,000000,31.795,31.795,31.128,31.296,10858,0
CCBG.US,D,20050831,000000,30.955,32.509,30.955,32.039,32576,0
CCBG.US,D,20050901,000000,31.882,32.068,31.207,31.653,10366,0
CCBG.US,D,20050902,000000,31.496,31.496,31.07,31.078,16597,0
CCBG.US,D,20050906,000000,31.061,32.269,31.043,32.269,19293,0
CCBG.US,D,20050907,000000,32.618,33.037,32.398,33.037,10568,0
CCBG.US,D,20050908,000000,32.435,32.775,31.594,31.845,13550,0
CCBG.US,D,20050909,000000,31.594,32.31,31.594,32.31,13952,0
CCBG.US,D,20050912,000000,32.371,32.986,31.826,32.799,9360,0
CCBG.US,D,20050913,000000,32.443,32.545,31.835,32.293,10404,0
CCBG.US,D,20050914,000000,32.178,32.792,31.744,31.969,22291,0
CCBG.US,D,20050915,000000,32.226,32.284,31.27,31.636,20746,0
CCBG.US,D,20050916,000000,31.952,31.952,31.163,31.594,77640,0
CCBG.US,D,20050919,000000,31.786,31.818,30.859,30.903,8556,0
CCBG.US,D,20050920,000000,31.215,31.503,30.578,30.604,19909,0
CCBG.US,D,20050921,000000,30.323,30.621,29.744,29.744,17657,0
CCBG.US,D,20050922,000000,30.104,30.2,29.718,29.967,11073,0
CCBG.US,D,20050923,000000,29.923,31.006,29.616,31.006,16425,0
CCBG.US,D,20050926,000000,31.061,32.371,30.666,32.371,31656,0
CCBG.US,D,20050927,000000,32.362,32.895,31.92,32.486,34418,0
CCBG.US,D,20050928,000000,32.371,32.672,32.197,32.672,12758,0
CCBG.US,D,20050929,000000,32.435,33.685,32.317,33.492,21488,0
CCBG.US,D,20050930,000000,33.031,33.115,32.816,32.996,8007,0
CCBG.US,D,20051003,000000,33.187,33.327,32.178,32.293,12949,0
CCBG.US,D,20051004,000000,32.342,32.867,31.945,32.002,18125,0
CCBG.US,D,20051005,000000,31.936,32.635,31.726,31.936,40085,0
CCBG.US,D,20051006,000000,31.892,32.242,31.287,31.377,23067,0
CCBG.US,D,20051007,000000,31.672,31.672,30.903,30.971,11223,0
CCBG.US,D,20051010,000000,31.145,31.145,30.631,30.777,11667,0
CCBG.US,D,20051011,000000,31.078,31.078,29.941,29.941,5819,0
CCBG.US,D,20051012,000000,29.959,29.959,29.319,29.406,32369,0
CCBG.US,D,20051013,000000,29.312,30.001,29.153,30.001,10864,0
CCBG.US,D,20051014,000000,30.44,30.867,29.959,30.867,6022,0
CCBG.US,D,20051017,000000,30.585,30.585,29.754,29.949,10009,0
CCBG.US,D,20051018,000000,29.754,29.754,29.17,29.328,15939,0
CCBG.US,D,20051019,000000,29.109,29.915,29.056,29.915,77010,0
CCBG.US,D,20051020,000000,30.183,30.578,29.846,30.14,47574,0
CCBG.US,D,20051021,000000,29.744,31.078,29.726,30.887,22450,0
CCBG.US,D,20051024,000000,31.061,31.496,31.061,31.496,13661,0
CCBG.US,D,20051025,000000,31.418,31.451,30.431,30.578,5114,0
CCBG.US,D,20051026,000000,30.323,31.418,30.323,30.877,10526,0
CCBG.US,D,20051027,000000,30.561,30.988,29.564,29.662,9169,0
CCBG.US,D,20051028,000000,29.598,31.043,29.598,31.043,10868,0
CCBG.US,D,20051031,000000,31.043,31.952,31.033,31.952,43351,0
CCBG.US,D,20051101,000000,31.575,31.826,31.46,31.646,9619,0
CCBG.US,D,20051102,000000,31.681,32.582,31.681,32.582,15650,0
CCBG.US,D,20051103,000000,32.59,32.599,32.161,32.46,19985,0
CCBG.US,D,20051104,000000,32.635,32.766,31.558,31.92,13122,0
CCBG.US,D,20051107,000000,32.407,32.407,31.594,31.945,6466,0
CCBG.US,D,20051108,000000,31.409,32.342,31.27,31.769,7798,0
CCBG.US,D,20051109,000000,32.076,32.284,31.761,32.25,4199,0
CCBG.US,D,20051110,000000,32.01,32.807,31.128,32.807,12295,0
CCBG.US,D,20051111,000000,32.371,33.045,32.371,33.022,5014,0
CCBG.US,D,20051114,000000,33.031,33.031,32.59,32.688,4560,0
CCBG.US,D,20051115,000000,32.178,32.326,31.233,31.287,11228,0
CCBG.US,D,20051116,000000,31.172,31.172,30.131,30.569,27399,0
CCBG.US,D,20051117,000000,30.246,31.385,30.246,31.078,27825,0
CCBG.US,D,20051118,000000,31.436,32.334,31.207,32.152,18219,0
CCBG.US,D,20051121,000000,32.326,32.739,31.952,32.739,10754,0
CCBG.US,D,20051122,000000,32.342,32.807,32.342,32.653,10375,0
CCBG.US,D,20051123,000000,32.979,33.089,32.775,32.959,6696,0
CCBG.US,D,20051125,000000,33.106,33.106,33.031,33.031,1257,0
CCBG.US,D,20051128,000000,32.495,32.618,32.25,32.443,14054,0
CCBG.US,D,20051129,000000,32.627,32.663,32.326,32.478,18228,0
CCBG.US,D,20051130,000000,32.663,33.648,32.416,33.648,48370,0
CCBG.US,D,20051201,000000,34.111,34.12,33.614,33.901,19752,0
CCBG.US,D,20051202,000000,33.675,34.087,33.413,33.926,9318,0
CCBG.US,D,20051205,000000,33.789,33.789,33.133,33.336,14252,0
CCBG.US,D,20051206,000000,33.694,33.936,33.343,33.439,20860,0
CCBG.US,D,20051207,000000,33.685,33.685,32.478,32.502,21249,0
CCBG.US,D,20051208,000000,32.509,32.663,31.845,32.389,13217,0
CCBG.US,D,20051209,000000,32.226,32.842,32.226,32.784,8710,0
CCBG.US,D,20051212,000000,32.93,33.396,32.217,33.396,19417,0
CCBG.US,D,20051213,000000,33.396,34.101,33.396,34.027,17957,0
CCBG.US,D,20051214,000000,34.101,34.413,34.101,34.386,25529,0
CCBG.US,D,20051215,000000,34.111,34.111,33.054,33.586,13526,0
CCBG.US,D,20051216,000000,33.448,33.596,32.478,32.912,88683,0
CCBG.US,D,20051219,000000,32.478,32.553,32.086,32.086,28122,0
CCBG.US,D,20051220,000000,32.527,32.527,31.503,31.653,21416,0
CCBG.US,D,20051221,000000,31.699,31.91,31.585,31.585,7384,0
CCBG.US,D,20051222,000000,31.663,31.91,31.585,31.91,4256,0
CCBG.US,D,20051223,000000,31.611,31.969,31.368,31.496,14035,0
CCBG.US,D,20051227,000000,31.418,31.845,31.233,31.233,5495,0
CCBG.US,D,20051228,000000,31.672,31.672,31.27,31.278,3743,0
CCBG.US,D,20051229,000000,31.27,31.523,30.621,30.65,11670,0
CCBG.US,D,20051230,000000,30.621,30.621,29.967,30.001,17059,0
CCBG.US,D,20060103,000000,30.059,31.443,30.059,31.443,29208,0
CCBG.US,D,20060104,000000,31.585,31.928,31.558,31.872,6438,0
CCBG.US,D,20060105,000000,31.9,32.342,31.585,31.826,6866,0
CCBG.US,D,20060106,000000,32.058,32.152,31.07,31.402,9694,0
CCBG.US,D,20060109,000000,31.646,31.786,31.061,31.061,14309,0
CCBG.US,D,20060110,000000,31.061,31.418,30.796,31.418,12113,0
CCBG.US,D,20060111,000000,31.192,31.296,31.061,31.233,12019,0
CCBG.US,D,20060112,000000,30.962,31.128,30.578,30.613,3190,0
CCBG.US,D,20060113,000000,30.832,30.935,30.343,30.824,6130,0
CCBG.US,D,20060117,000000,30.49,30.535,30.042,30.104,10344,0
CCBG.US,D,20060118,000000,30.059,30.553,30.001,30.553,3912,0
CCBG.US,D,20060119,000000,30.641,31.27,30.317,31.207,7863,0
CCBG.US,D,20060120,000000,31.567,31.567,31.153,31.163,13227,0
CCBG.US,D,20060123,000000,31.163,31.476,31.163,31.476,4826,0
CCBG.US,D,20060124,000000,31.513,32.109,31.006,32.109,8950,0
CCBG.US,D,20060125,000000,32.326,32.834,31.752,32.058,13699,0
CCBG.US,D,20060126,000000,31.736,33.005,31.681,33.005,10071,0
CCBG.US,D,20060127,000000,32.732,33.217,32.31,32.766,10638,0
CCBG.US,D,20060130,000000,32.398,32.766,31.172,31.418,25390,0
CCBG.US,D,20060131,000000,31.253,31.672,30.919,31.12,14172,0
CCBG.US,D,20060201,000000,31.016,31.426,30.421,30.971,13884,0
CCBG.US,D,20060202,000000,31.12,31.12,30.183,30.323,15647,0
CCBG.US,D,20060203,000000,30.272,30.666,30.209,30.516,6710,0
CCBG.US,D,20060206,000000,30.962,30.962,30.299,30.701,7597,0
CCBG.US,D,20060207,000000,30.621,30.621,30.05,30.193,17965,0
CCBG.US,D,20060208,000000,30.569,30.569,30.001,30.236,8954,0
CCBG.US,D,20060209,000000,30.526,30.927,29.986,30.042,13012,0
CCBG.US,D,20060210,000000,30.001,30.44,29.754,30.033,30119,0
CCBG.US,D,20060213,000000,29.79,30.317,29.736,29.838,15355,0
CCBG.US,D,20060214,000000,30.112,30.719,29.79,30.641,9555,0
CCBG.US,D,20060215,000000,30.183,31.262,30.183,31.262,10400,0
CCBG.US,D,20060216,000000,31.278,31.313,30.804,31.253,5461,0
CCBG.US,D,20060217,000000,31.287,31.287,30.385,30.48,9109,0
CCBG.US,D,20060221,000000,30.308,30.308,29.652,29.67,11266,0
CCBG.US,D,20060222,000000,29.828,29.878,29.633,29.67,14311,0
CCBG.US,D,20060223,000000,29.607,30.011,29.564,29.79,8560,0
CCBG.US,D,20060224,000000,29.616,30.621,29.616,30.516,13024,0
CCBG.US,D,20060227,000000,30.621,30.887,30.456,30.867,31179,0
CCBG.US,D,20060228,000000,30.561,30.585,29.941,30.553,22725,0
CCBG.US,D,20060301,000000,30.361,30.421,30.001,30.272,34633,0
CCBG.US,D,20060302,000000,30.402,30.412,29.78,30.193,26935,0
CCBG.US,D,20060303,000000,29.967,30.561,29.846,30.333,22579,0
CCBG.US,D,20060306,000000,30.333,30.569,30.05,30.323,37865,0
CCBG.US,D,20060307,000000,30.001,30.44,29.625,30.14,47519,0
CCBG.US,D,20060308,000000,29.994,30.385,29.838,30.183,19988,0
CCBG.US,D,20060309,000000,30.059,30.465,29.726,30.193,45130,0
CCBG.US,D,20060310,000000,30.236,30.361,30.079,30.361,11217,0
CCBG.US,D,20060313,000000,30.361,30.621,30.2,30.431,16950,0
CCBG.US,D,20060314,000000,30.131,31.192,30.131,31.153,21838,0
CCBG.US,D,20060315,000000,31.278,31.531,31.128,31.451,20604,0
CCBG.US,D,20060316,000000,31.496,31.539,31.253,31.385,19416,0
CCBG.US,D,20060317,000000,31.539,31.539,31.11,31.451,95935,0
CCBG.US,D,20060320,000000,31.12,31.12,30.333,30.927,28147,0
CCBG.US,D,20060321,000000,30.621,31.024,29.897,29.897,39315,0
CCBG.US,D,20060322,000000,29.967,30.48,29.754,30.246,9433,0
CCBG.US,D,20060323,000000,30.2,30.333,29.771,30.333,12243,0
CCBG.US,D,20060324,000000,30.121,30.604,30.011,30.604,9846,0
CCBG.US,D,20060327,000000,30.49,30.516,29.986,30.516,13138,0
CCBG.US,D,20060328,000000,30.256,30.465,30.042,30.183,10575,0
CCBG.US,D,20060329,000000,29.976,30.658,29.828,30.658,11899,0
CCBG.US,D,20060330,000000,30.343,30.832,30.343,30.701,2705,0
CCBG.US,D,20060331,000000,30.421,31.103,30.033,31.103,14773,0
CCBG.US,D,20060403,000000,30.962,30.962,30.02,30.29,13648,0
CCBG.US,D,20060404,000000,30.15,30.507,30.05,30.323,5860,0
CCBG.US,D,20060405,000000,30.05,30.44,29.838,29.976,10900,0
CCBG.US,D,20060406,000000,29.846,30.011,29.536,29.536,18354,0
CCBG.US,D,20060407,000000,29.573,30.011,28.679,28.961,22057,0
CCBG.US,D,20060410,000000,29.038,29.178,28.566,28.671,10175,0
CCBG.US,D,20060411,000000,28.924,29.212,27.997,28.016,21556,0
CCBG.US,D,20060412,000000,28.208,28.478,27.997,28.478,19434,0
CCBG.US,D,20060413,000000,28.118,28.644,28.052,28.603,17674,0
