<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHRW.US,D,19971016,000000,4.3892,4.3892,4.1988,4.2938,4693390,0
CHRW.US,D,19971017,000000,4.27,4.3411,4.0878,4.2224,2139806,0
CHRW.US,D,19971020,000000,4.1514,4.2465,4.1275,4.1751,1936326,0
CHRW.US,D,19971021,000000,4.1988,4.2938,4.1514,4.2224,1503618,0
CHRW.US,D,19971022,000000,4.2938,4.3411,4.2224,4.3177,962611,0
CHRW.US,D,19971023,000000,4.2938,4.2938,4.1751,4.2224,1023953,0
CHRW.US,D,19971024,000000,4.27,4.3177,4.1988,4.3177,513495,0
CHRW.US,D,19971027,000000,4.27,4.3411,4.0562,4.0958,951246,0
CHRW.US,D,19971028,000000,3.9609,4.2938,3.7315,4.2224,1865385,0
CHRW.US,D,19971029,000000,4.2938,4.3177,4.2224,4.27,1173416,0
CHRW.US,D,19971030,000000,4.1751,4.1988,4.0562,4.1514,540253,0
CHRW.US,D,19971031,000000,4.1036,4.2621,4.1036,4.1514,354447,0
CHRW.US,D,19971103,000000,4.2465,4.4124,4.1751,4.3253,633657,0
CHRW.US,D,19971104,000000,4.3411,4.4363,4.2938,4.3653,229731,0
CHRW.US,D,19971105,000000,4.3892,4.579,4.3653,4.4604,204741,0
CHRW.US,D,19971106,000000,4.4363,4.7216,4.4363,4.7216,228221,0
CHRW.US,D,19971107,000000,4.6742,5.0068,4.5552,4.8562,418068,0
CHRW.US,D,19971110,000000,4.7613,4.9119,4.6502,4.6502,168386,0
CHRW.US,D,19971111,000000,4.4839,4.5316,4.3411,4.5316,390046,0
CHRW.US,D,19971112,000000,4.5316,4.5316,4.1988,4.2938,198682,0
CHRW.US,D,19971113,000000,4.1988,4.2465,4.1275,4.1514,315569,0
CHRW.US,D,19971114,000000,4.1036,4.1514,4.0164,4.1036,276437,0
CHRW.US,D,19971117,000000,4.1514,4.4124,4.1514,4.3892,179244,0
CHRW.US,D,19971118,000000,4.4363,4.4363,4.2938,4.3177,902273,0
CHRW.US,D,19971119,000000,4.3177,4.3892,4.1988,4.1988,93661,0
CHRW.US,D,19971120,000000,4.2465,4.2465,4.0164,4.1988,800282,0
CHRW.US,D,19971121,000000,4.1988,4.2465,4.1514,4.1751,404432,0
CHRW.US,D,19971124,000000,4.1514,4.2224,4.1514,4.1751,40647,0
CHRW.US,D,19971125,000000,4.1988,4.2465,4.1514,4.1591,206254,0
CHRW.US,D,19971126,000000,4.1514,4.1751,3.9534,3.969,292343,0
CHRW.US,D,19971128,000000,3.993,4.0164,3.9609,3.9609,134308,0
CHRW.US,D,19971201,000000,3.9609,4.0562,3.9609,3.9769,299919,0
CHRW.US,D,19971202,000000,4.0562,4.1514,3.993,4.0324,808360,0
CHRW.US,D,19971203,000000,4.1036,4.1514,4.0324,4.1514,589736,0
CHRW.US,D,19971204,000000,4.1514,4.2465,4.0878,4.1908,430183,0
CHRW.US,D,19971205,000000,4.1514,4.3411,4.1036,4.2938,178486,0
CHRW.US,D,19971208,000000,4.2938,4.3411,4.27,4.3177,143651,0
CHRW.US,D,19971209,000000,4.3411,4.3892,4.2224,4.2224,78262,0
CHRW.US,D,19971210,000000,4.2621,4.2621,4.0247,4.0643,170154,0
CHRW.US,D,19971211,000000,3.969,4.0643,3.9058,4.0247,252959,0
CHRW.US,D,19971212,000000,4.0643,4.0643,3.9058,3.9058,260281,0
CHRW.US,D,19971215,000000,3.969,4.0643,3.9218,3.9534,182522,0
CHRW.US,D,19971216,000000,3.8818,4.0247,3.8818,3.9534,120421,0
CHRW.US,D,19971217,000000,3.9058,3.9294,3.8107,3.8107,369088,0
CHRW.US,D,19971218,000000,3.8579,3.8579,3.763,3.7868,171921,0
CHRW.US,D,19971219,000000,3.8107,3.8107,3.7392,3.7392,581656,0
CHRW.US,D,19971222,000000,3.7392,4.0247,3.7392,3.8344,583171,0
CHRW.US,D,19971223,000000,3.9294,3.9294,3.7392,3.7868,1471305,0
CHRW.US,D,19971224,000000,3.8107,3.8107,3.7392,3.7392,31809,0
CHRW.US,D,19971226,000000,3.7868,3.8344,3.763,3.8344,787910,0
CHRW.US,D,19971229,000000,3.8344,3.993,3.7868,3.993,271895,0
CHRW.US,D,19971230,000000,3.8344,4.0484,3.8344,3.993,418319,0
CHRW.US,D,19971231,000000,4.0958,4.3017,3.969,4.2302,575344,0
CHRW.US,D,19980102,000000,4.1908,4.3809,4.1908,4.3809,70938,0
CHRW.US,D,19980105,000000,4.5633,4.6184,4.2621,4.2621,397361,0
CHRW.US,D,19980106,000000,4.2302,4.2302,3.969,4.1036,577614,0
CHRW.US,D,19980107,000000,4.1036,4.3569,4.1036,4.2146,104013,0
CHRW.US,D,19980108,000000,4.1591,4.3809,4.1591,4.3569,148948,0
CHRW.US,D,19980109,000000,4.2861,4.3569,4.1591,4.1591,88615,0
CHRW.US,D,19980112,000000,4.0643,4.1908,4.0484,4.0484,585195,0
CHRW.US,D,19980113,000000,4.1591,4.1591,4.0247,4.1197,63366,0
CHRW.US,D,19980114,000000,4.1197,4.2146,4.0484,4.0562,369590,0
CHRW.US,D,19980115,000000,4.1197,4.1197,4.0484,4.0643,263309,0
CHRW.US,D,19980116,000000,4.1197,4.2302,4.0484,4.2146,43675,0
