<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLAQR.US,D,20210805,000000,0.25,0.25,0.2011,0.2011,734090,0
CLAQR.US,D,20210806,000000,0.22,0.22,0.1862,0.198999,685191,0
CLAQR.US,D,20210809,000000,0.21,0.2198,0.199899,0.21,292280,0
CLAQR.US,D,20210810,000000,0.22,0.22,0.19,0.1936,187986,0
CLAQR.US,D,20210811,000000,0.19,0.2175,0.19,0.195,200300,0
CLAQR.US,D,20210812,000000,0.2,0.2074,0.1912,0.195,491690,0
CLAQR.US,D,20210813,000000,0.2,0.21,0.2,0.2021,603087,0
CLAQR.US,D,20210816,000000,0.2197,0.2197,0.1903,0.2,458372,0
CLAQR.US,D,20210817,000000,0.1911,0.205016,0.1911,0.205,71700,0
CLAQR.US,D,20210818,000000,0.212351,0.212351,0.2,0.2025,99500,0
CLAQR.US,D,20210819,000000,0.2,0.2197,0.2,0.2174,1469981,0
CLAQR.US,D,20210820,000000,0.218,0.231304,0.2001,0.226,733765,0
CLAQR.US,D,20210823,000000,0.22,0.22,0.22,0.22,267,0
CLAQR.US,D,20210824,000000,0.225,0.26,0.2001,0.22,13721,0
