<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCRC.US,D,20210525,000000,9.75,9.75,9.75,9.75,802,0
DCRC.US,D,20210526,000000,9.8,9.8,9.73,9.79,954,0
DCRC.US,D,20210528,000000,9.76,9.76,9.7,9.7,11155,0
DCRC.US,D,20210602,000000,9.7,9.7,9.68,9.68,21571,0
DCRC.US,D,20210603,000000,9.69,9.69,9.68,9.68,2138,0
DCRC.US,D,20210604,000000,9.68,9.78,9.68,9.72,26258,0
DCRC.US,D,20210607,000000,9.72,10.75,9.72,9.99,25845,0
DCRC.US,D,20210608,000000,9.87,11,9.87,10.65,2448468,0
DCRC.US,D,20210609,000000,11.25,11.25,10.6,10.79,3731948,0
DCRC.US,D,20210610,000000,11.05,11.2,10.69,10.99,1885003,0
DCRC.US,D,20210611,000000,11.165,12.5,11,12.44,2279919,0
DCRC.US,D,20210614,000000,13,13.7,11.62,12.09,2274254,0
DCRC.US,D,20210615,000000,11.18,11.25,10.37,10.45,7250939,0
DCRC.US,D,20210616,000000,10.61,10.7,10.45,10.59,3353433,0
DCRC.US,D,20210617,000000,10.69,10.89,10.61,10.67,1792600,0
DCRC.US,D,20210618,000000,10.7236,10.76,10.53,10.6,946383,0
DCRC.US,D,20210621,000000,10.65,10.65,10.38,10.43,1048856,0
DCRC.US,D,20210622,000000,10.5,10.59,10.21,10.58,2051474,0
DCRC.US,D,20210623,000000,10.57,10.62,10.46,10.53,1366079,0
DCRC.US,D,20210624,000000,10.53,10.68,10.38,10.38,1042755,0
DCRC.US,D,20210625,000000,10.5,10.67,10.4,10.5,909727,0
DCRC.US,D,20210628,000000,10.55,10.69,10.455,10.55,1040081,0
DCRC.US,D,20210629,000000,10.59,10.59,10.41,10.47,566270,0
DCRC.US,D,20210630,000000,10.5,10.5,10.31,10.37,691681,0
DCRC.US,D,20210701,000000,10.4,10.44,10.29,10.31,582328,0
DCRC.US,D,20210702,000000,10.31,10.35,10.26,10.27,726287,0
DCRC.US,D,20210706,000000,10.32,10.3261,10.2,10.22,695071,0
DCRC.US,D,20210707,000000,10.25,10.3,10.18,10.18,440879,0
DCRC.US,D,20210708,000000,10.19,10.23,10.08,10.15,964181,0
DCRC.US,D,20210709,000000,10.12,10.2,10.09,10.12,481000,0
DCRC.US,D,20210712,000000,10.15,10.2,10.05,10.07,612146,0
DCRC.US,D,20210713,000000,10.1,10.11,9.98,9.99,1121455,0
DCRC.US,D,20210714,000000,10,10.0477,9.96,9.97,727431,0
DCRC.US,D,20210715,000000,10,10.05,9.955,10.02,502706,0
DCRC.US,D,20210716,000000,10.01,10.04,9.96,9.97,440945,0
DCRC.US,D,20210719,000000,9.95,9.97,9.86,9.9,1330872,0
DCRC.US,D,20210720,000000,9.95,9.985,9.88,9.975,852191,0
DCRC.US,D,20210721,000000,10,10.15,9.95,10.09,3520890,0
DCRC.US,D,20210722,000000,10.06,10.15,10,10,468452,0
DCRC.US,D,20210723,000000,10.05,10.0784,9.95,9.98,264109,0
DCRC.US,D,20210726,000000,9.96,9.98,9.95,9.975,318355,0
DCRC.US,D,20210727,000000,9.95,10,9.88,9.96,381498,0
DCRC.US,D,20210728,000000,9.96,9.97,9.92,9.95,261573,0
DCRC.US,D,20210729,000000,9.98,9.98,9.9,9.95,250080,0
DCRC.US,D,20210730,000000,9.95,9.97,9.91,9.92,360917,0
DCRC.US,D,20210802,000000,9.91,9.96,9.87,9.87,638122,0
DCRC.US,D,20210803,000000,9.89,9.93,9.85,9.87,368145,0
DCRC.US,D,20210804,000000,9.87,9.88,9.85,9.87,525785,0
DCRC.US,D,20210805,000000,9.88,9.885,9.85,9.86,173331,0
DCRC.US,D,20210806,000000,9.89,9.89,9.85,9.89,204901,0
DCRC.US,D,20210809,000000,9.89,9.91,9.85,9.88,293485,0
DCRC.US,D,20210810,000000,9.93,9.93,9.885,9.93,162054,0
DCRC.US,D,20210811,000000,9.97,10,9.89,9.91,262427,0
DCRC.US,D,20210812,000000,9.88,9.95,9.88,9.89,207408,0
DCRC.US,D,20210813,000000,9.9,9.9,9.85,9.87,151242,0
DCRC.US,D,20210816,000000,9.86,9.88,9.85,9.87,245852,0
DCRC.US,D,20210817,000000,9.82,9.86,9.82,9.84,592884,0
DCRC.US,D,20210818,000000,9.89,9.89,9.82,9.82,302720,0
DCRC.US,D,20210819,000000,9.83,9.88,9.8184,9.83,278893,0
DCRC.US,D,20210820,000000,9.85,9.85,9.82,9.83,228328,0
DCRC.US,D,20210823,000000,9.84,9.84,9.82,9.84,181944,0
DCRC.US,D,20210824,000000,9.82,9.86,9.82,9.86,302190,0
DCRC.US,D,20210825,000000,9.85,9.85,9.828,9.84,84448,0
