<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUOL.US,D,20210728,000000,141.4,145,130,139.01,2887918,0
DUOL.US,D,20210729,000000,137,139,132,134.44,693999,0
DUOL.US,D,20210730,000000,135.18,141.4,128.5,140.25,617792,0
DUOL.US,D,20210802,000000,140,147.25,134.72,143.8,586661,0
DUOL.US,D,20210803,000000,143.16,146.99,138.01,139.86,740097,0
DUOL.US,D,20210804,000000,136.47,142.345,135.9,141.5,475890,0
DUOL.US,D,20210805,000000,139.01,152.84,137.01,146,724944,0
DUOL.US,D,20210806,000000,140.1,141.86,132.4,134.38,425188,0
DUOL.US,D,20210809,000000,135,138.53,135,138.25,353739,0
DUOL.US,D,20210810,000000,138.6,141.5,138.6,140,233674,0
DUOL.US,D,20210811,000000,140.5,142.97,135.4,135.96,324805,0
DUOL.US,D,20210812,000000,135.5,137.21,130.16,133.8,365432,0
DUOL.US,D,20210813,000000,134,137.7894,131.74,136.63,156208,0
DUOL.US,D,20210816,000000,137.11,137.99,133.365,135,171438,0
DUOL.US,D,20210817,000000,135.39,136.13,132.2,133.48,245279,0
DUOL.US,D,20210818,000000,133.4,133.97,129.14,131.5,341757,0
DUOL.US,D,20210819,000000,130.78,131,125.1,126.16,303141,0
DUOL.US,D,20210820,000000,126.5,127.4,125.01,126.03,132046,0
DUOL.US,D,20210823,000000,125.26,126,123,124.01,151922,0
DUOL.US,D,20210824,000000,123.69,130.62,123.69,127.16,226091,0
DUOL.US,D,20210825,000000,127.28,130.58,126.29,127.33,113375,0
