<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELYM.US,D,20210810,000000,16.25,19.44,13.65,15.9,1522126,0
ELYM.US,D,20210811,000000,16.29,22.89,15.2882,20.63,662139,0
ELYM.US,D,20210812,000000,18.1,18.7638,16.16,17.34,192991,0
ELYM.US,D,20210813,000000,16.8,17.34,14.27,14.45,135100,0
ELYM.US,D,20210816,000000,14.76,19.99,14.5001,15.67,1242161,0
ELYM.US,D,20210817,000000,16.05,17.1383,15.25,16.83,169032,0
ELYM.US,D,20210818,000000,16.32,17.0926,15.7211,16.14,162822,0
ELYM.US,D,20210819,000000,16.01,16.89,15.27,16.75,100035,0
ELYM.US,D,20210820,000000,16.84,18.8425,15.76,18.09,80720,0
ELYM.US,D,20210823,000000,18.41,20.5,17.4501,20.1,207105,0
ELYM.US,D,20210824,000000,20.45,20.7535,19,20.49,157193,0
ELYM.US,D,20210825,000000,19.72,21.9,19.18,21.45,314308,0
