<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESSA.US,D,20070404,000000,9.3573,9.4301,8.8868,9.1822,3710506,0
ESSA.US,D,20070405,000000,9.2318,9.384,9.1592,9.3642,1716547,0
ESSA.US,D,20070409,000000,9.3573,9.515,9.2754,9.4727,505932,0
ESSA.US,D,20070410,000000,9.504,9.51,9.3573,9.4727,318971,0
ESSA.US,D,20070411,000000,9.4727,9.4727,9.3573,9.4008,386699,0
ESSA.US,D,20070412,000000,9.3573,9.3712,9.2754,9.3573,346313,0
ESSA.US,D,20070413,000000,9.3573,9.384,9.3318,9.3642,310461,0
ESSA.US,D,20070416,000000,9.3573,9.384,9.3054,9.3396,538232,0
ESSA.US,D,20070417,000000,9.3396,9.3771,9.3054,9.3485,435302,0
ESSA.US,D,20070418,000000,9.3573,9.3573,9.324,9.3485,139630,0
ESSA.US,D,20070419,000000,9.3396,9.3573,9.3152,9.3485,198811,0
ESSA.US,D,20070420,000000,9.3485,9.3485,9.3152,9.3485,344478,0
ESSA.US,D,20070423,000000,9.3396,9.3485,9.2754,9.2754,376132,0
ESSA.US,D,20070424,000000,9.2754,9.2754,8.9656,9.2132,367733,0
ESSA.US,D,20070425,000000,9.1592,9.1592,9.0411,9.0572,104064,0
ESSA.US,D,20070426,000000,9.0411,9.0729,8.9722,9.0024,238049,0
ESSA.US,D,20070427,000000,9.0411,9.0411,8.9656,8.9883,179367,0
ESSA.US,D,20070430,000000,8.9167,9.0411,8.9167,8.9335,201446,0
ESSA.US,D,20070501,000000,8.9335,8.9562,8.8933,8.9259,54799,0
ESSA.US,D,20070502,000000,8.9335,8.9562,8.9259,8.9259,64189,0
ESSA.US,D,20070503,000000,8.9259,8.9562,8.9167,8.9335,94867,0
ESSA.US,D,20070504,000000,8.9335,8.9948,8.9335,8.9495,68159,0
ESSA.US,D,20070507,000000,8.9562,8.9722,8.9335,8.9656,120695,0
ESSA.US,D,20070508,000000,8.9562,8.9948,8.9335,8.9816,53110,0
ESSA.US,D,20070509,000000,8.9419,8.9816,8.9419,8.9656,79259,0
ESSA.US,D,20070510,000000,8.9419,9.0825,8.9259,9.0024,157809,0
