<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSBC.US,D,20210505,000000,23.105,25.301,22.856,24.099,2225186,0
FSBC.US,D,20210506,000000,23.86,24.188,23.681,24.188,211876,0
FSBC.US,D,20210507,000000,24.337,24.834,23.91,24.744,197348,0
FSBC.US,D,20210510,000000,24.993,26.265,24.744,25.341,154356,0
FSBC.US,D,20210511,000000,25.589,26.484,25.084,25.589,141314,0
FSBC.US,D,20210512,000000,25.639,26.228,23.78,24.635,145981,0
FSBC.US,D,20210513,000000,24.446,26.394,24.248,24.784,125452,0
FSBC.US,D,20210514,000000,24.665,25.241,24.605,24.764,23788,0
FSBC.US,D,20210517,000000,24.953,26.066,24.953,25.838,11361,0
FSBC.US,D,20210518,000000,26.156,26.732,25.025,25.768,73644,0
FSBC.US,D,20210519,000000,25.957,26.444,24.998,26.136,66624,0
FSBC.US,D,20210520,000000,26.205,26.762,26.156,26.583,83198,0
FSBC.US,D,20210521,000000,26.643,26.753,26.005,26.434,13983,0
FSBC.US,D,20210524,000000,26.692,26.692,25.47,26.126,54543,0
FSBC.US,D,20210525,000000,26.086,26.831,25.838,26.156,23947,0
FSBC.US,D,20210526,000000,26.364,26.364,25.5,25.798,21293,0
FSBC.US,D,20210527,000000,25.639,26.772,25.639,25.788,16092,0
FSBC.US,D,20210528,000000,26.136,26.593,25.589,26.175,21559,0
FSBC.US,D,20210601,000000,26.633,26.99,25.589,25.589,56766,0
FSBC.US,D,20210602,000000,25.589,25.758,24.605,24.844,112494,0
FSBC.US,D,20210603,000000,24.794,25.043,24.287,24.426,91981,0
FSBC.US,D,20210604,000000,24.725,24.963,24.556,24.963,28812,0
FSBC.US,D,20210607,000000,25.082,26.424,25.018,25.848,115127,0
FSBC.US,D,20210608,000000,25.848,26.185,25.281,25.659,73708,0
FSBC.US,D,20210609,000000,25.619,26.285,24.903,25.539,86821,0
FSBC.US,D,20210610,000000,25.47,26.583,25.054,26.315,79377,0
FSBC.US,D,20210611,000000,26.305,27.428,25.569,27.05,95354,0
FSBC.US,D,20210614,000000,27.129,27.994,26.951,27.1,98002,0
FSBC.US,D,20210615,000000,26.841,27.428,26.538,27.408,84015,0
FSBC.US,D,20210616,000000,27.378,28.014,26.394,27.229,171915,0
FSBC.US,D,20210617,000000,27.328,28.118,26.831,27.12,155705,0
FSBC.US,D,20210618,000000,26.831,26.861,25.659,25.778,309555,0
FSBC.US,D,20210621,000000,25.967,26.563,25.743,26.235,133805,0
FSBC.US,D,20210622,000000,26.185,26.901,25.997,26.712,116290,0
FSBC.US,D,20210623,000000,26.613,26.742,26.434,26.553,46716,0
FSBC.US,D,20210624,000000,26.652,27.601,26.384,26.871,110681,0
FSBC.US,D,20210625,000000,27.05,27.259,25.49,26.036,678569,0
FSBC.US,D,20210628,000000,26.166,26.166,25.53,25.53,77415,0
FSBC.US,D,20210629,000000,25.539,26.046,24.004,24.397,42920,0
FSBC.US,D,20210630,000000,24.258,24.556,23.85,23.999,55458,0
FSBC.US,D,20210701,000000,24.188,24.983,23.85,24.337,58012,0
FSBC.US,D,20210702,000000,24.069,24.62,23.944,24.158,18376,0
FSBC.US,D,20210706,000000,24.158,24.158,23.472,23.91,11435,0
FSBC.US,D,20210707,000000,24.635,24.635,23.85,23.944,16722,0
FSBC.US,D,20210708,000000,23.81,24.357,23.641,23.751,37936,0
FSBC.US,D,20210709,000000,23.721,24.635,23.721,23.86,8660,0
FSBC.US,D,20210712,000000,23.96,24.45,23.45,24,61746,0
FSBC.US,D,20210713,000000,23.9,24.5,23.75,24.35,185160,0
FSBC.US,D,20210714,000000,24.45,24.8,23.66,24.42,97009,0
FSBC.US,D,20210715,000000,24.37,24.8588,24.37,24.69,11939,0
FSBC.US,D,20210716,000000,24.5,24.63,24.01,24.15,45483,0
FSBC.US,D,20210719,000000,24.3,24.3,23.92,23.96,15140,0
FSBC.US,D,20210720,000000,24.35,24.7686,23.85,24.22,162922,0
FSBC.US,D,20210721,000000,24,24.425,23.3501,24,208886,0
FSBC.US,D,20210722,000000,23.75,23.75,23.37,23.44,26483,0
FSBC.US,D,20210723,000000,23.5,23.75,23.125,23.67,71762,0
FSBC.US,D,20210726,000000,23.75,24.39,23.5,23.87,78821,0
FSBC.US,D,20210727,000000,23.67,24.13,23.5,23.82,92133,0
FSBC.US,D,20210728,000000,24.17,24.66,23.51,24.4,73419,0
FSBC.US,D,20210729,000000,24.42,24.735,23.74,24.35,30573,0
FSBC.US,D,20210730,000000,24.4,24.73,24.005,24.37,24138,0
FSBC.US,D,20210802,000000,24.53,24.53,23.4778,24.4,33167,0
FSBC.US,D,20210803,000000,24.4,24.58,23.83,24.45,38967,0
FSBC.US,D,20210804,000000,24.3,24.48,23.75,23.9,30558,0
FSBC.US,D,20210805,000000,24.1,24.45,24.1,24.27,6914,0
FSBC.US,D,20210806,000000,24.38,24.58,24.31,24.415,11794,0
FSBC.US,D,20210809,000000,24.25,25.105,23.78,24.79,31374,0
FSBC.US,D,20210810,000000,24.05,25.33,24.05,24.83,106002,0
FSBC.US,D,20210811,000000,24.505,25.35,24.505,25.1,12794,0
FSBC.US,D,20210812,000000,25.12,25.31,24.8717,25,6399,0
FSBC.US,D,20210813,000000,24.995,25.12,24.556,24.84,17660,0
FSBC.US,D,20210816,000000,24.81,25.17,24.81,25.07,12864,0
FSBC.US,D,20210817,000000,25.2,25.25,24.82,25,11907,0
FSBC.US,D,20210818,000000,24.68,25.25,24.5,24.89,10918,0
FSBC.US,D,20210819,000000,24.7,25.24,24.5,24.78,59427,0
FSBC.US,D,20210820,000000,24.91,25.17,24.8,24.9,23255,0
FSBC.US,D,20210823,000000,25.34,25.395,24.6,24.65,16216,0
