<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITRN.US,D,20050927,000000,7.3428,7.3428,7.3428,7.3428,0,0
ITRN.US,D,20050928,000000,7.4275,7.7893,7.3991,7.6075,5269418,0
ITRN.US,D,20050929,000000,7.5467,7.6756,7.3428,7.3991,1662125,0
ITRN.US,D,20050930,000000,7.4382,7.6537,7.3428,7.4275,305122,0
ITRN.US,D,20051003,000000,7.4275,7.4275,7.3428,7.359,459908,0
ITRN.US,D,20051004,000000,7.3759,7.432,7.3428,7.359,86617,0
ITRN.US,D,20051005,000000,7.3428,7.3818,7.2015,7.2291,402719,0
ITRN.US,D,20051006,000000,7.1165,7.2805,7.1165,7.2805,221410,0
ITRN.US,D,20051007,000000,7.3428,7.3428,7.161,7.2068,188137,0
ITRN.US,D,20051010,000000,7.2291,7.2354,6.993,7.0599,104114,0
ITRN.US,D,20051011,000000,7.032,7.1043,6.7774,6.9753,461271,0
ITRN.US,D,20051012,000000,7.2015,7.2015,6.8625,6.9359,71444,0
ITRN.US,D,20051013,000000,6.8904,7.2129,6.8396,6.8396,50848,0
ITRN.US,D,20051014,000000,6.8396,7.0031,6.8396,6.9185,36027,0
ITRN.US,D,20051017,000000,6.8342,6.8508,6.3936,6.6875,130924,0
ITRN.US,D,20051018,000000,6.721,6.8283,6.6926,6.7774,60891,0
ITRN.US,D,20051019,000000,6.5858,6.6531,6.5237,6.6306,179044,0
ITRN.US,D,20051020,000000,6.6926,6.7831,6.6926,6.721,50180,0
ITRN.US,D,20051021,000000,6.6364,6.7774,6.6364,6.7267,21516,0
ITRN.US,D,20051024,000000,6.721,6.721,6.6418,6.6645,77205,0
ITRN.US,D,20051025,000000,6.6985,6.9989,6.6985,6.7831,103765,0
ITRN.US,D,20051026,000000,6.6364,7.2015,6.6364,7.0879,521865,0
ITRN.US,D,20051027,000000,7.3365,7.3365,7.0599,7.2625,179797,0
ITRN.US,D,20051028,000000,7.2625,7.2625,7.0879,7.1904,57700,0
ITRN.US,D,20051031,000000,7.0879,7.472,7.0879,7.3428,131419,0
ITRN.US,D,20051101,000000,7.3428,7.3759,7.3314,7.3428,63279,0
ITRN.US,D,20051102,000000,7.1443,7.5684,7.1443,7.4898,159912,0
ITRN.US,D,20051103,000000,7.5629,7.9745,7.4275,7.7376,322510,0
ITRN.US,D,20051104,000000,7.7664,8.1655,7.6241,7.8403,425442,0
ITRN.US,D,20051107,000000,8.0707,8.0707,7.8211,7.9531,190132,0
ITRN.US,D,20051108,000000,7.8562,8.4714,7.8562,8.1718,558296,0
ITRN.US,D,20051109,000000,8.3681,8.4822,8.0476,8.2346,168807,0
ITRN.US,D,20051110,000000,8.0532,8.4051,8.0532,8.2346,151782,0
ITRN.US,D,20051111,000000,8.202,8.697,8.202,8.6574,351834,0
ITRN.US,D,20051114,000000,8.1542,8.3481,7.9531,8.1105,481715,0
ITRN.US,D,20051115,000000,7.8729,7.957,7.7376,7.7664,372694,0
ITRN.US,D,20051116,000000,7.7376,7.7537,7.7036,7.7202,231285,0
ITRN.US,D,20051117,000000,7.957,8.355,7.957,8.2804,274012,0
ITRN.US,D,20051118,000000,8.2854,8.3315,8.038,8.1043,105398,0
ITRN.US,D,20051121,000000,8.0532,8.0532,7.8506,7.957,212679,0
ITRN.US,D,20051122,000000,7.8403,8.3368,7.8403,8.2804,208546,0
ITRN.US,D,20051123,000000,8.1655,8.46,8.1655,8.3315,303394,0
ITRN.US,D,20051125,000000,8.2513,8.2513,8.038,8.1503,125719,0
ITRN.US,D,20051128,000000,8.0707,8.2672,8.0077,8.0532,182351,0
ITRN.US,D,20051129,000000,8.1503,8.3315,8.1433,8.2176,121304,0
ITRN.US,D,20051130,000000,8.3428,8.3428,8.1503,8.2131,115724,0
ITRN.US,D,20051201,000000,8.1282,8.2854,8.1004,8.1844,132499,0
ITRN.US,D,20051202,000000,8.3935,8.5469,8.2614,8.4384,295043,0
ITRN.US,D,20051205,000000,8.4714,8.4714,8.202,8.2459,132576,0
ITRN.US,D,20051206,000000,8.2236,8.355,8.1607,8.2288,73797,0
ITRN.US,D,20051207,000000,8.1896,8.1896,8.0476,8.1542,130053,0
ITRN.US,D,20051208,000000,8.0196,8.4155,8.0196,8.4155,124841,0
ITRN.US,D,20051209,000000,8.3811,8.4051,8.3028,8.3028,88989,0
ITRN.US,D,20051212,000000,8.427,8.466,8.2614,8.4155,109745,0
ITRN.US,D,20051213,000000,8.466,8.6772,8.2916,8.4714,168540,0
ITRN.US,D,20051214,000000,8.6418,9.165,8.4155,8.9617,843792,0
ITRN.US,D,20051215,000000,8.9098,9.1938,8.9098,9.1228,193931,0
ITRN.US,D,20051216,000000,9.1228,9.2523,8.9861,9.039,115155,0
ITRN.US,D,20051219,000000,9.0097,9.0097,8.697,8.7599,240035,0
ITRN.US,D,20051220,000000,8.7544,8.7967,8.6708,8.7544,73977,0
ITRN.US,D,20051221,000000,8.8005,8.879,8.6708,8.7655,51752,0
ITRN.US,D,20051222,000000,8.8614,9.617,8.8098,9.4034,451105,0
ITRN.US,D,20051223,000000,9.657,9.675,9.3303,9.3429,320357,0
ITRN.US,D,20051227,000000,9.2293,9.2523,9.0429,9.0808,110794,0
ITRN.US,D,20051228,000000,8.8503,9.0638,8.7544,8.9796,124880,0
ITRN.US,D,20051229,000000,8.8678,9.1391,8.8678,8.9448,40953,0
ITRN.US,D,20051230,000000,8.7839,9.2628,8.7839,9.0097,166654,0
ITRN.US,D,20060103,000000,9.2571,9.589,9.2523,9.2854,149303,0
ITRN.US,D,20060104,000000,9.596,9.596,9.1343,9.2523,88056,0
ITRN.US,D,20060105,000000,9.0145,9.234,8.8098,9.2006,225232,0
ITRN.US,D,20060106,000000,9.1516,9.211,9.004,9.1161,81329,0
ITRN.US,D,20060109,000000,9.1814,9.539,9.039,9.2786,137833,0
ITRN.US,D,20060110,000000,9.381,10.353,9.3488,10.088,859982,0
ITRN.US,D,20060111,000000,10.161,10.224,9.941,10.088,264548,0
ITRN.US,D,20060112,000000,10.154,10.278,9.884,9.941,402459,0
ITRN.US,D,20060113,000000,9.839,10.111,9.8,10.102,60602,0
ITRN.US,D,20060117,000000,10.165,10.394,10.052,10.278,288066,0
ITRN.US,D,20060118,000000,10.278,10.394,10.082,10.239,89849,0
ITRN.US,D,20060119,000000,10.295,10.353,10.111,10.181,209114,0
ITRN.US,D,20060120,000000,10.234,10.267,9.804,9.916,127686,0
ITRN.US,D,20060123,000000,9.975,10.058,9.72,9.782,119168,0
ITRN.US,D,20060124,000000,9.753,10.047,9.753,9.922,75002,0
ITRN.US,D,20060125,000000,9.934,10.418,9.934,10.234,126843,0
ITRN.US,D,20060126,000000,10.295,10.538,10.295,10.499,111649,0
ITRN.US,D,20060127,000000,10.555,10.555,10.138,10.274,72894,0
ITRN.US,D,20060130,000000,10.25,10.25,9.947,10.188,106960,0
ITRN.US,D,20060131,000000,10.208,10.208,9.862,10.029,54792,0
ITRN.US,D,20060201,000000,9.981,10.278,9.956,10.208,109674,0
ITRN.US,D,20060202,000000,10.224,10.274,9.997,10.203,80599,0
ITRN.US,D,20060203,000000,10.165,10.278,10.133,10.165,106613,0
ITRN.US,D,20060206,000000,10.165,10.165,10.076,10.165,41149,0
ITRN.US,D,20060207,000000,10.133,10.133,9.2678,9.603,193982,0
ITRN.US,D,20060208,000000,9.603,9.737,9.2727,9.682,776466,0
ITRN.US,D,20060209,000000,9.782,9.997,9.715,9.72,53086,0
ITRN.US,D,20060210,000000,9.667,9.839,9.574,9.794,66326,0
ITRN.US,D,20060213,000000,9.822,9.822,9.4385,9.596,42641,0
ITRN.US,D,20060214,000000,9.568,9.596,9.4248,9.574,56371,0
ITRN.US,D,20060215,000000,9.4132,9.4772,9.1391,9.1708,178717,0
ITRN.US,D,20060216,000000,9.1458,9.2523,9.0989,9.211,84521,0
ITRN.US,D,20060217,000000,9.1756,9.4083,9.1756,9.2854,38708,0
ITRN.US,D,20060221,000000,9.3254,9.511,9.2628,9.3926,66058,0
ITRN.US,D,20060222,000000,9.3634,9.4772,8.8448,8.924,423878,0
ITRN.US,D,20060223,000000,8.879,9.0097,8.3742,8.4573,373105,0
ITRN.US,D,20060224,000000,8.4822,9.1756,8.46,9.1161,211442,0
ITRN.US,D,20060227,000000,9.0933,9.631,9.0808,9.563,172653,0
ITRN.US,D,20060228,000000,9.515,9.941,9.3488,9.603,164136,0
ITRN.US,D,20060301,000000,9.603,9.846,9.603,9.603,59996,0
ITRN.US,D,20060302,000000,9.515,9.653,9.4327,9.603,57481,0
ITRN.US,D,20060303,000000,9.603,9.748,9.596,9.608,60266,0
ITRN.US,D,20060306,000000,9.608,9.637,9.4629,9.4822,235391,0
ITRN.US,D,20060307,000000,9.4327,9.608,9.4132,9.511,267877,0
ITRN.US,D,20060308,000000,9.515,9.617,9.4629,9.603,190745,0
ITRN.US,D,20060309,000000,9.586,9.698,9.526,9.603,123549,0
ITRN.US,D,20060310,000000,9.603,9.61,9.302,9.3069,113504,0
ITRN.US,D,20060313,000000,9.2961,9.4629,9.234,9.2446,81103,0
ITRN.US,D,20060314,000000,9.2006,9.3303,9.0534,9.0638,190115,0
ITRN.US,D,20060315,000000,9.039,9.1161,8.7133,8.924,263118,0
ITRN.US,D,20060316,000000,8.924,9.3175,8.8978,9.2006,31214,0
ITRN.US,D,20060317,000000,9.189,9.189,8.8614,8.9285,86548,0
ITRN.US,D,20060320,000000,8.9617,9.1046,8.8678,8.8726,106303,0
ITRN.US,D,20060321,000000,8.9182,9.1343,8.9182,9.021,57290,0
ITRN.US,D,20060322,000000,9.0429,9.1228,8.9448,9.0638,40479,0
ITRN.US,D,20060323,000000,9.0145,9.0638,8.8978,8.9285,11596,0
ITRN.US,D,20060324,000000,8.9342,8.974,8.8726,8.938,33135,0
ITRN.US,D,20060327,000000,8.974,9.2628,8.9098,9.1708,99506,0
ITRN.US,D,20060328,000000,9.1286,9.2902,9.021,9.0808,137237,0
ITRN.US,D,20060329,000000,9.059,9.059,8.8503,8.8913,68957,0
ITRN.US,D,20060330,000000,8.8614,8.9448,8.8251,8.8913,35646,0
ITRN.US,D,20060331,000000,8.8978,8.8978,8.51,8.5469,224448,0
ITRN.US,D,20060403,000000,8.6536,8.7719,8.6536,8.7719,63202,0
ITRN.US,D,20060404,000000,8.8978,9.021,8.8005,9.021,90315,0
ITRN.US,D,20060405,000000,9.0638,9.3175,9.0429,9.302,101722,0
ITRN.US,D,20060406,000000,9.3175,9.515,9.3175,9.4629,50415,0
ITRN.US,D,20060407,000000,9.3576,9.4981,9.3488,9.4981,16828,0
ITRN.US,D,20060410,000000,9.539,9.686,9.4512,9.4981,24903,0
ITRN.US,D,20060411,000000,9.4822,9.515,8.7895,9.0097,63832,0
ITRN.US,D,20060412,000000,9.039,9.1564,9.004,9.1228,8745,0
ITRN.US,D,20060413,000000,9.1564,9.526,9.1564,9.4662,31542,0
ITRN.US,D,20060417,000000,9.526,9.815,9.515,9.603,91465,0
ITRN.US,D,20060418,000000,9.657,9.657,9.4981,9.589,14870,0
ITRN.US,D,20060419,000000,9.58,9.782,9.553,9.715,225782,0
ITRN.US,D,20060420,000000,9.748,9.748,9.515,9.563,53887,0
ITRN.US,D,20060421,000000,9.603,9.631,9.419,9.4872,31957,0
ITRN.US,D,20060424,000000,9.4872,9.574,9.3926,9.3926,53324,0
ITRN.US,D,20060425,000000,9.534,9.563,9.3692,9.4872,57407,0
ITRN.US,D,20060426,000000,9.3303,9.4872,9.2902,9.419,16580,0
ITRN.US,D,20060427,000000,9.4083,9.4248,9.0989,9.2786,31200,0
ITRN.US,D,20060428,000000,9.3175,9.4712,9.2786,9.3975,30933,0
ITRN.US,D,20060501,000000,9.3761,9.715,9.2188,9.4512,46515,0
ITRN.US,D,20060502,000000,9.758,9.81,9.4327,9.539,107912,0
ITRN.US,D,20060503,000000,9.568,9.686,9.539,9.589,137010,0
ITRN.US,D,20060504,000000,9.563,9.563,9.4629,9.4981,56636,0
ITRN.US,D,20060505,000000,9.521,9.603,9.419,9.4872,225092,0
ITRN.US,D,20060508,000000,9.4872,9.506,9.2628,9.3175,141445,0
ITRN.US,D,20060509,000000,9.338,9.338,9.1516,9.234,127795,0
ITRN.US,D,20060510,000000,9.2006,9.2006,8.5469,8.6237,617654,0
ITRN.US,D,20060511,000000,8.7719,8.924,8.6772,8.6772,151013,0
ITRN.US,D,20060512,000000,8.6237,8.8152,8.6177,8.6772,201483,0
ITRN.US,D,20060515,000000,9.2628,9.2628,8.938,9.1228,130931,0
ITRN.US,D,20060516,000000,9.165,9.4034,9.165,9.3303,75019,0
ITRN.US,D,20060517,000000,9.3975,9.4248,9.1286,9.211,54609,0
ITRN.US,D,20060518,000000,9.211,9.381,8.8005,9.1814,60352,0
ITRN.US,D,20060519,000000,9.1458,9.3175,9.1458,9.234,11745,0
ITRN.US,D,20060522,000000,8.9137,8.9137,8.7839,8.7839,59897,0
ITRN.US,D,20060523,000000,8.749,8.8847,8.51,8.5627,260158,0
ITRN.US,D,20060524,000000,8.5336,8.5336,7.9357,7.9745,658706,0
ITRN.US,D,20060525,000000,7.9745,8.1344,7.7442,7.907,394105,0
ITRN.US,D,20060526,000000,7.9421,8.0077,7.795,7.9921,283959,0
ITRN.US,D,20060530,000000,8.3863,8.4998,8.2513,8.2977,286128,0
ITRN.US,D,20060531,000000,8.3681,8.4511,8.2614,8.3987,98269,0
ITRN.US,D,20060601,000000,8.3742,8.466,8.3081,8.4384,32774,0
ITRN.US,D,20060602,000000,8.4778,8.5056,8.4051,8.4448,146995,0
ITRN.US,D,20060605,000000,8.6491,8.7544,8.3315,8.3629,341460,0
ITRN.US,D,20060606,000000,8.355,8.3742,7.9983,8.0762,115883,0
ITRN.US,D,20060607,000000,8.0587,8.202,7.9238,8.038,221734,0
ITRN.US,D,20060608,000000,7.957,7.9682,7.7997,7.8841,214010,0
ITRN.US,D,20060609,000000,7.9633,7.9921,7.834,7.9183,522944,0
ITRN.US,D,20060612,000000,7.9238,7.9802,7.8841,7.907,229290,0
ITRN.US,D,20060613,000000,7.834,7.9921,7.7154,7.8211,74810,0
ITRN.US,D,20060614,000000,7.8506,8.0884,7.7893,7.8792,77707,0
ITRN.US,D,20060615,000000,7.907,8.4051,7.907,8.4051,143725,0
ITRN.US,D,20060616,000000,8.3742,8.4051,8.2062,8.4051,23812,0
ITRN.US,D,20060619,000000,8.4778,8.4778,8.1896,8.2916,36595,0
ITRN.US,D,20060620,000000,8.2977,8.2977,8.1164,8.2131,535897,0
ITRN.US,D,20060621,000000,8.202,8.4714,8.1344,8.2572,112602,0
ITRN.US,D,20060622,000000,8.4206,8.4206,8.0429,8.1105,50362,0
ITRN.US,D,20060623,000000,8.1344,8.1433,8.0325,8.1433,62866,0
ITRN.US,D,20060626,000000,8.1386,8.1386,7.8625,7.9633,84400,0
ITRN.US,D,20060627,000000,8.1004,8.1164,7.8625,7.9357,597125,0
ITRN.US,D,20060628,000000,7.9183,8.1607,7.8625,7.907,250359,0
ITRN.US,D,20060629,000000,7.8792,7.9357,7.7202,7.8099,137896,0
ITRN.US,D,20060630,000000,7.8157,7.9921,7.8157,7.9125,200489,0
ITRN.US,D,20060703,000000,8.0325,8.3579,7.9802,8.2804,232659,0
ITRN.US,D,20060705,000000,8.3629,8.5336,8.2804,8.466,124337,0
ITRN.US,D,20060706,000000,8.5056,8.6865,8.5056,8.6061,26183,0
ITRN.US,D,20060707,000000,8.5753,8.6004,8.4714,8.5789,90189,0
ITRN.US,D,20060710,000000,8.6635,8.6708,8.4714,8.5531,94214,0
ITRN.US,D,20060711,000000,8.5531,8.5627,8.4206,8.5225,59301,0
ITRN.US,D,20060712,000000,8.1896,8.1896,7.8792,7.9531,76640,0
ITRN.US,D,20060713,000000,7.8729,7.907,7.6368,7.7091,74344,0
ITRN.US,D,20060714,000000,7.6869,7.7376,7.4037,7.5467,61430,0
ITRN.US,D,20060717,000000,8.1282,8.4086,7.9022,8.0476,161017,0
ITRN.US,D,20060718,000000,8.3133,8.4332,8.1896,8.3257,101160,0
ITRN.US,D,20060719,000000,8.2804,8.466,8.2572,8.4332,50449,0
ITRN.US,D,20060720,000000,8.46,8.5281,8.4332,8.4448,37944,0
ITRN.US,D,20060721,000000,8.4448,8.4448,7.907,8.1164,95216,0
ITRN.US,D,20060724,000000,8.1607,8.3194,7.9983,8.202,96738,0
ITRN.US,D,20060725,000000,8.202,8.2854,8.1043,8.1844,123230,0
ITRN.US,D,20060726,000000,7.9633,8.0143,7.7091,7.8506,59849,0
