<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRCC.US,D,20121025,000000,5.8583,6.056,5.7903,6.056,1743890,0
MRCC.US,D,20121026,000000,5.9166,6.0286,5.8818,6.0129,282012,0
MRCC.US,D,20121031,000000,6.112,6.112,5.9166,6.056,167368,0
MRCC.US,D,20121101,000000,5.9966,5.9966,5.9368,5.9577,78396,0
MRCC.US,D,20121102,000000,5.9689,6.0011,5.9536,5.9602,77700,0
MRCC.US,D,20121105,000000,5.9739,5.9739,5.7989,5.9302,308067,0
MRCC.US,D,20121106,000000,5.9739,6.0027,5.6749,5.9577,209335,0
MRCC.US,D,20121107,000000,5.9966,6.016,5.9577,5.9577,154769,0
MRCC.US,D,20121108,000000,6.0092,6.0323,5.9276,5.9645,281928,0
MRCC.US,D,20121109,000000,5.9689,6.016,5.9302,5.9615,76419,0
MRCC.US,D,20121112,000000,5.9368,6.056,5.9211,6.056,68302,0
MRCC.US,D,20121113,000000,5.9645,6.0286,5.9577,5.9645,96850,0
MRCC.US,D,20121114,000000,5.9577,6.0242,5.9368,5.9577,205917,0
MRCC.US,D,20121115,000000,5.9331,5.9577,5.7989,5.9449,138405,0
MRCC.US,D,20121116,000000,5.9929,6.0524,5.9166,6.0524,43812,0
MRCC.US,D,20121119,000000,5.9615,6.056,5.9401,5.9645,38058,0
MRCC.US,D,20121120,000000,5.9645,5.9777,5.8651,5.9615,105121,0
MRCC.US,D,20121121,000000,5.9966,6.0129,5.9259,5.9615,95031,0
MRCC.US,D,20121123,000000,5.9777,5.9815,5.9577,5.9577,4651,0
MRCC.US,D,20121126,000000,5.9777,6.0369,5.9368,5.9777,40214,0
MRCC.US,D,20121127,000000,5.9815,6.056,5.9739,5.9777,80449,0
MRCC.US,D,20121128,000000,6.056,6.056,5.8983,5.9577,35759,0
MRCC.US,D,20121129,000000,5.9577,5.9966,5.8616,5.9067,25416,0
MRCC.US,D,20121130,000000,5.9815,6.056,5.9577,5.9577,37086,0
