<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAVI.US,D,20140506,000000,11.805,11.839,11.454,11.516,20303846,0
NAVI.US,D,20140507,000000,11.529,11.705,11.46,11.699,8077823,0
NAVI.US,D,20140508,000000,11.629,11.728,11.523,11.594,8042824,0
NAVI.US,D,20140509,000000,11.56,11.635,11.297,11.472,3968782,0
NAVI.US,D,20140512,000000,11.472,11.663,11.116,11.242,9904298,0
NAVI.US,D,20140513,000000,11.12,11.37,11.12,11.17,11765863,0
NAVI.US,D,20140514,000000,11.113,11.305,10.922,11.092,6495134,0
NAVI.US,D,20140515,000000,11.036,11.276,10.985,11.092,6979792,0
NAVI.US,D,20140516,000000,11.036,11.242,11.036,11.177,3954389,0
NAVI.US,D,20140519,000000,11.106,11.305,11.038,11.292,6431229,0
NAVI.US,D,20140520,000000,11.346,11.393,11.151,11.235,13841349,0
NAVI.US,D,20140521,000000,11.177,11.37,11.151,11.229,2474011,0
NAVI.US,D,20140522,000000,11.164,11.305,11.137,11.254,3020766,0
NAVI.US,D,20140523,000000,11.283,11.37,11.254,11.324,4010496,0
NAVI.US,D,20140527,000000,11.248,11.516,11.128,11.261,2450410,0
NAVI.US,D,20140528,000000,11.292,11.314,11.039,11.05,5986678,0
NAVI.US,D,20140529,000000,11.087,11.151,10.945,11.05,4914264,0
NAVI.US,D,20140530,000000,11.016,11.214,11.016,11.137,7464993,0
NAVI.US,D,20140602,000000,11.164,11.235,11.128,11.143,4238083,0
NAVI.US,D,20140603,000000,11.699,11.699,11.092,11.158,4942926,0
NAVI.US,D,20140604,000000,11.098,11.358,11.086,11.306,4541773,0
NAVI.US,D,20140605,000000,11.404,11.869,11.314,11.859,6440514,0
NAVI.US,D,20140606,000000,11.844,12.059,11.821,11.859,2280711,0
NAVI.US,D,20140609,000000,11.821,11.961,11.646,11.961,4454403,0
NAVI.US,D,20140610,000000,11.898,12.094,11.884,11.955,4837412,0
NAVI.US,D,20140611,000000,11.922,12.073,11.904,12.008,2610151,0
NAVI.US,D,20140612,000000,12.094,12.094,11.869,11.909,3283802,0
NAVI.US,D,20140613,000000,11.904,11.993,11.774,11.859,2087970,0
NAVI.US,D,20140616,000000,11.85,12.018,11.813,11.939,1131246,0
NAVI.US,D,20140617,000000,11.878,12.067,11.838,11.982,1783295,0
NAVI.US,D,20140618,000000,11.922,12.181,11.878,12.139,3187791,0
NAVI.US,D,20140619,000000,11.904,12.321,11.901,12.228,5276201,0
NAVI.US,D,20140620,000000,12.295,12.472,12.203,12.423,5492500,0
NAVI.US,D,20140623,000000,12.423,12.645,12.416,12.579,6268476,0
NAVI.US,D,20140624,000000,12.565,12.637,12.508,12.562,3667219,0
NAVI.US,D,20140625,000000,12.514,12.637,12.463,12.528,7271340,0
NAVI.US,D,20140626,000000,12.508,12.579,12.472,12.572,1309449,0
NAVI.US,D,20140627,000000,12.528,12.743,12.528,12.692,6534831,0
NAVI.US,D,20140630,000000,12.637,12.794,12.552,12.6,2844287,0
NAVI.US,D,20140701,000000,12.658,12.788,12.645,12.646,3196149,0
NAVI.US,D,20140702,000000,12.63,12.764,12.552,12.645,3527499,0
NAVI.US,D,20140703,000000,12.637,12.727,12.579,12.593,2745909,0
NAVI.US,D,20140707,000000,12.559,12.645,12.521,12.559,2455741,0
NAVI.US,D,20140708,000000,12.552,12.593,12.409,12.521,6381814,0
NAVI.US,D,20140709,000000,12.521,12.622,12.502,12.607,3509430,0
NAVI.US,D,20140710,000000,12.481,12.716,12.451,12.653,3784305,0
NAVI.US,D,20140711,000000,12.67,12.76,12.622,12.727,9490888,0
NAVI.US,D,20140714,000000,12.788,12.854,12.677,12.806,3930759,0
NAVI.US,D,20140715,000000,12.798,12.87,12.556,12.593,5223048,0
NAVI.US,D,20140716,000000,12.6,12.747,12.444,12.677,4470321,0
NAVI.US,D,20140717,000000,12.586,13.005,12.586,12.593,3943557,0
NAVI.US,D,20140718,000000,12.63,12.63,12.451,12.586,3080358,0
NAVI.US,D,20140721,000000,12.559,12.734,12.502,12.709,3188313,0
NAVI.US,D,20140722,000000,12.724,12.798,12.685,12.788,2494053,0
NAVI.US,D,20140723,000000,12.77,12.821,12.743,12.794,1987960,0
NAVI.US,D,20140724,000000,12.75,12.915,12.75,12.788,2996276,0
NAVI.US,D,20140725,000000,12.734,12.915,12.653,12.716,2765470,0
NAVI.US,D,20140728,000000,12.662,12.843,12.565,12.798,4076523,0
NAVI.US,D,20140729,000000,12.755,12.885,12.559,12.593,4919739,0
NAVI.US,D,20140730,000000,12.593,12.788,12.438,12.508,4261925,0
NAVI.US,D,20140731,000000,12.472,12.78,12.228,12.235,5014724,0
NAVI.US,D,20140801,000000,12.235,12.451,12.196,12.338,2575587,0
NAVI.US,D,20140804,000000,12.321,12.338,12.082,12.219,2389833,0
NAVI.US,D,20140805,000000,12.188,12.276,12.008,12.059,2939323,0
NAVI.US,D,20140806,000000,12.04,12.203,11.993,12.089,3567904,0
NAVI.US,D,20140807,000000,12.124,12.228,11.923,11.993,1957574,0
NAVI.US,D,20140808,000000,12.027,12.342,11.922,12.295,5048279,0
NAVI.US,D,20140811,000000,12.345,12.372,12.16,12.167,1540880,0
NAVI.US,D,20140812,000000,12.172,12.219,12.054,12.167,1640061,0
NAVI.US,D,20140813,000000,12.203,12.264,12.146,12.219,1322415,0
NAVI.US,D,20140814,000000,12.203,12.219,12.124,12.203,2035426,0
NAVI.US,D,20140815,000000,12.203,12.276,11.993,12.11,2241879,0
NAVI.US,D,20140818,000000,12.188,12.456,12.146,12.366,4121991,0
NAVI.US,D,20140819,000000,12.345,12.423,12.225,12.321,1987225,0
NAVI.US,D,20140820,000000,12.223,12.497,12.172,12.451,1797885,0
NAVI.US,D,20140821,000000,12.451,12.481,12.301,12.423,1640529,0
NAVI.US,D,20140822,000000,12.394,12.521,12.359,12.416,1492613,0
