<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMFC.US,D,20110524,000000,4.5398,4.5924,4.5256,4.5642,547145,0
NMFC.US,D,20110525,000000,4.5573,4.575,4.5221,4.5573,463540,0
NMFC.US,D,20110526,000000,4.5573,4.645,4.5573,4.61,626715,0
NMFC.US,D,20110527,000000,4.61,4.6271,4.61,4.6132,279776,0
NMFC.US,D,20110531,000000,4.6503,4.6503,4.5587,4.5994,934274,0
NMFC.US,D,20110601,000000,4.5924,4.6623,4.5924,4.6201,213589,0
NMFC.US,D,20110602,000000,4.61,4.6623,4.5924,4.6201,205146,0
NMFC.US,D,20110603,000000,4.6271,4.6556,4.6201,4.6556,99148,0
NMFC.US,D,20110606,000000,4.704,4.704,4.6271,4.6803,134724,0
NMFC.US,D,20110607,000000,4.733,4.733,4.645,4.6589,141984,0
NMFC.US,D,20110608,000000,4.715,4.715,4.645,4.6695,218428,0
NMFC.US,D,20110609,000000,4.6623,4.7537,4.6623,4.7503,125803,0
NMFC.US,D,20110610,000000,4.733,4.7503,4.575,4.6271,1205028,0
NMFC.US,D,20110613,000000,4.704,4.704,4.6271,4.645,257675,0
NMFC.US,D,20110614,000000,4.6556,4.6556,4.575,4.6132,410717,0
NMFC.US,D,20110615,000000,4.5924,4.6167,4.529,4.5607,645497,0
NMFC.US,D,20110616,000000,4.548,4.5664,4.5039,4.5664,138456,0
NMFC.US,D,20110617,000000,4.5994,4.5994,4.5221,4.5221,175311,0
NMFC.US,D,20110620,000000,4.5221,4.5221,4.4028,4.459,246717,0
NMFC.US,D,20110621,000000,4.4695,4.4872,4.3819,4.4238,161570,0
NMFC.US,D,20110622,000000,4.417,4.431,4.2139,4.3292,484079,0
NMFC.US,D,20110623,000000,4.2664,4.41,4.2417,4.3923,369510,0
NMFC.US,D,20110624,000000,4.3784,4.4872,4.3118,4.4138,2347758,0
NMFC.US,D,20110627,000000,4.41,4.4872,4.3469,4.4837,263427,0
NMFC.US,D,20110628,000000,4.4872,4.61,4.3996,4.4764,431429,0
NMFC.US,D,20110629,000000,4.5433,4.5783,4.4695,4.4942,181096,0
NMFC.US,D,20110630,000000,4.4586,4.4699,4.3538,4.4512,170646,0
NMFC.US,D,20110701,000000,4.4556,4.575,4.4556,4.5536,143031,0
NMFC.US,D,20110705,000000,4.5607,4.61,4.5361,4.5677,63361,0
NMFC.US,D,20110706,000000,4.5736,4.6432,4.5039,4.5406,588016,0
NMFC.US,D,20110707,000000,4.5711,4.5994,4.5329,4.5956,166596,0
