<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXPI.US,D,20100805,000000,13.497,13.497,13.497,13.497,0,0
NXPI.US,D,20100806,000000,12.532,13.574,12.522,13.497,11076698,0
NXPI.US,D,20100809,000000,13.497,13.497,13.206,13.497,1887387,0
NXPI.US,D,20100810,000000,13.276,13.343,13.093,13.111,1638171,0
NXPI.US,D,20100811,000000,12.776,12.898,12.002,12.291,2684728,0
NXPI.US,D,20100812,000000,11.819,12.061,11.667,11.944,1846730,0
NXPI.US,D,20100813,000000,11.81,12.08,11.426,11.568,993278,0
NXPI.US,D,20100816,000000,11.367,11.791,11.269,11.357,572191,0
NXPI.US,D,20100817,000000,11.433,11.857,11.329,11.781,1127176,0
NXPI.US,D,20100818,000000,11.647,12.148,11.568,11.568,1048292,0
NXPI.US,D,20100819,000000,11.519,11.667,10.903,11.136,773796,0
NXPI.US,D,20100820,000000,11.037,11.087,10.634,10.749,467450,0
NXPI.US,D,20100823,000000,10.874,11.087,10.084,10.586,790222,0
NXPI.US,D,20100824,000000,10.372,10.894,10.123,10.297,774580,0
NXPI.US,D,20100825,000000,10.123,10.729,9.862,10.363,1153649,0
NXPI.US,D,20100826,000000,10.547,10.749,10.411,10.605,603049,0
NXPI.US,D,20100827,000000,10.749,11.077,10.595,10.709,383889,0
NXPI.US,D,20100830,000000,10.615,10.866,10.615,10.7,235318,0
NXPI.US,D,20100831,000000,10.615,10.827,10.48,10.671,244817,0
NXPI.US,D,20100901,000000,10.681,11.519,10.372,11.309,428164,0
NXPI.US,D,20100902,000000,10.681,11.481,10.681,11.442,102176,0
NXPI.US,D,20100903,000000,11.472,11.876,11.163,11.462,235982,0
NXPI.US,D,20100907,000000,11.568,11.915,11.357,11.597,485868,0
NXPI.US,D,20100908,000000,11.077,11.742,11.01,11.722,1539064,0
NXPI.US,D,20100909,000000,11.771,12.166,11.097,11.472,244400,0
NXPI.US,D,20100910,000000,11.549,11.695,11.386,11.549,375833,0
NXPI.US,D,20100913,000000,11.657,11.801,11.416,11.509,315236,0
NXPI.US,D,20100914,000000,11.426,11.81,11.426,11.801,259985,0
NXPI.US,D,20100915,000000,12.07,12.456,11.906,12.021,582041,0
NXPI.US,D,20100916,000000,12.011,12.185,11.578,11.587,335350,0
NXPI.US,D,20100917,000000,11.578,11.81,11.396,11.647,260772,0
NXPI.US,D,20100920,000000,11.771,12.503,11.667,12.234,419182,0
NXPI.US,D,20100921,000000,12.156,12.389,11.915,12.061,185424,0
NXPI.US,D,20100922,000000,11.954,12.148,11.578,11.742,191516,0
NXPI.US,D,20100923,000000,11.568,12.041,11.462,11.568,332755,0
NXPI.US,D,20100924,000000,11.667,11.925,11.396,11.781,150453,0
NXPI.US,D,20100927,000000,11.732,11.944,11.587,11.81,193555,0
NXPI.US,D,20100928,000000,11.771,12.166,11.676,12.156,175050,0
NXPI.US,D,20100929,000000,12.176,12.418,12.041,12.1,247377,0
NXPI.US,D,20100930,000000,12.166,12.484,11.819,11.944,204126,0
NXPI.US,D,20101001,000000,12.021,12.31,11.819,11.915,175994,0
NXPI.US,D,20101004,000000,11.934,12.253,11.81,11.906,145961,0
NXPI.US,D,20101005,000000,11.983,12.234,11.781,11.906,266437,0
NXPI.US,D,20101006,000000,11.876,12.041,11.695,12.021,93748,0
NXPI.US,D,20101007,000000,12.051,12.051,11.191,11.426,262216,0
NXPI.US,D,20101008,000000,11.377,11.676,11.299,11.549,262890,0
NXPI.US,D,20101011,000000,11.519,11.713,11.481,11.617,66060,0
NXPI.US,D,20101012,000000,11.578,11.857,11.481,11.857,61819,0
NXPI.US,D,20101013,000000,11.867,11.886,11.587,11.637,230290,0
NXPI.US,D,20101014,000000,11.637,11.791,11.568,11.713,232029,0
NXPI.US,D,20101015,000000,11.906,11.906,11.433,11.509,410554,0
NXPI.US,D,20101018,000000,11.529,11.848,11.23,11.801,55541,0
NXPI.US,D,20101019,000000,11.627,11.81,11.578,11.676,134955,0
NXPI.US,D,20101020,000000,11.732,12.002,11.107,11.761,129409,0
NXPI.US,D,20101021,000000,11.676,11.954,11.676,11.81,60964,0
NXPI.US,D,20101022,000000,11.761,12.156,11.742,11.886,97849,0
NXPI.US,D,20101025,000000,11.761,12.138,11.761,11.925,133061,0
NXPI.US,D,20101026,000000,11.81,12.041,11.481,11.839,193086,0
NXPI.US,D,20101027,000000,11.839,12.339,11.839,12.31,273592,0
NXPI.US,D,20101028,000000,12.359,12.869,12.148,12.716,425200,0
NXPI.US,D,20101029,000000,12.686,12.987,12.418,12.716,450295,0
NXPI.US,D,20101101,000000,12.793,13.015,12.109,12.234,448170,0
NXPI.US,D,20101102,000000,12.437,12.947,12.021,12.793,312107,0
NXPI.US,D,20101103,000000,12.736,13.306,12.639,13.148,373321,0
NXPI.US,D,20101104,000000,13.246,13.497,13.045,13.468,284873,0
NXPI.US,D,20101105,000000,13.401,13.497,13.148,13.468,165299,0
NXPI.US,D,20101108,000000,13.497,13.497,13.12,13.276,186638,0
NXPI.US,D,20101109,000000,13.226,13.448,12.726,13.139,279831,0
NXPI.US,D,20101110,000000,13.111,13.236,12.58,12.84,178716,0
NXPI.US,D,20101111,000000,12.726,12.726,12.129,12.398,328987,0
NXPI.US,D,20101112,000000,12.234,12.61,12.185,12.359,112909,0
NXPI.US,D,20101115,000000,12.437,12.667,12.32,12.513,53705,0
NXPI.US,D,20101116,000000,12.272,12.793,12.176,12.379,214157,0
NXPI.US,D,20101117,000000,12.339,12.437,12.3,12.339,70118,0
NXPI.US,D,20101118,000000,12.532,12.532,12.156,12.437,123135,0
NXPI.US,D,20101119,000000,12.427,12.437,12.244,12.437,76775,0
NXPI.US,D,20101122,000000,12.389,12.84,12.379,12.522,122038,0
NXPI.US,D,20101123,000000,12.339,12.437,12.244,12.339,456404,0
NXPI.US,D,20101124,000000,12.418,12.466,12.051,12.205,259371,0
NXPI.US,D,20101126,000000,12.109,12.466,12.109,12.369,353857,0
NXPI.US,D,20101129,000000,12.349,12.639,12.148,12.272,280212,0
NXPI.US,D,20101130,000000,12.148,12.379,11.867,12.129,299477,0
NXPI.US,D,20101201,000000,12.281,12.977,12.148,12.785,707551,0
NXPI.US,D,20101202,000000,12.869,13.497,12.686,13.478,284055,0
