<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCCI.US,D,20181005,000000,12.522,12.522,11.865,12.358,517388,0
OCCI.US,D,20181008,000000,12.358,12.358,11.6,12.061,44765,0
OCCI.US,D,20181009,000000,12.061,12.061,11.067,11.865,108967,0
OCCI.US,D,20181010,000000,11.865,12.156,11.865,11.93,38106,0
OCCI.US,D,20181011,000000,12.061,12.172,11.969,12.093,36540,0
OCCI.US,D,20181012,000000,12.102,12.522,12.093,12.359,37734,0
OCCI.US,D,20181015,000000,12.2,12.44,12.2,12.326,9330,0
OCCI.US,D,20181016,000000,12.326,12.463,12.258,12.423,35134,0
OCCI.US,D,20181017,000000,12.288,12.444,12.16,12.437,25530,0
OCCI.US,D,20181018,000000,12.267,12.267,12.093,12.147,28957,0
OCCI.US,D,20181019,000000,12.192,12.522,11.93,11.938,19648,0
OCCI.US,D,20181022,000000,12.192,12.258,12.192,12.192,13242,0
OCCI.US,D,20181023,000000,12.067,12.067,11.865,11.93,7370,0
OCCI.US,D,20181024,000000,12.423,12.423,11.896,11.963,18480,0
OCCI.US,D,20181025,000000,11.896,12.061,11.832,11.832,23441,0
OCCI.US,D,20181026,000000,11.865,11.865,11.739,11.857,12529,0
OCCI.US,D,20181029,000000,11.806,11.865,11.806,11.865,13357,0
OCCI.US,D,20181030,000000,12.001,12.167,11.163,12.167,40340,0
OCCI.US,D,20181031,000000,12.154,12.422,12.03,12.379,69766,0
OCCI.US,D,20181101,000000,12.456,12.456,12.03,12.03,13001,0
OCCI.US,D,20181102,000000,12.6,12.6,12.268,12.268,10423,0
OCCI.US,D,20181105,000000,12.495,12.512,12.268,12.48,7018,0
OCCI.US,D,20181106,000000,12.488,12.533,12.433,12.433,3103,0
OCCI.US,D,20181107,000000,12.457,12.457,12.386,12.406,6518,0
OCCI.US,D,20181108,000000,12.282,12.368,11.837,11.837,11006,0
OCCI.US,D,20181109,000000,12.036,12.036,12.036,12.036,829,0
OCCI.US,D,20181112,000000,11.937,12.091,11.937,11.937,3230,0
OCCI.US,D,20181113,000000,11.937,12.135,11.937,12.135,893,0
OCCI.US,D,20181114,000000,12.135,12.248,11.838,12.045,17548,0
OCCI.US,D,20181115,000000,11.943,11.943,11.439,11.813,6488,0
OCCI.US,D,20181116,000000,11.937,11.937,11.439,11.676,27720,0
OCCI.US,D,20181119,000000,11.923,11.923,11.272,11.469,11815,0
OCCI.US,D,20181120,000000,11.517,11.517,11.108,11.241,12895,0
OCCI.US,D,20181121,000000,11.606,11.606,10.949,11.217,11976,0
OCCI.US,D,20181123,000000,11.241,11.499,11.241,11.425,734,0
OCCI.US,D,20181126,000000,11.272,11.53,11.147,11.53,15989,0
OCCI.US,D,20181127,000000,11.273,11.412,11.075,11.321,24709,0
OCCI.US,D,20181128,000000,11.309,11.567,11.111,11.405,12656,0
OCCI.US,D,20181129,000000,11.397,11.397,11.121,11.206,6052,0
OCCI.US,D,20181130,000000,11.272,11.572,11.172,11.492,8841,0
OCCI.US,D,20181203,000000,11.439,11.439,11.181,11.405,5190,0
OCCI.US,D,20181204,000000,11.272,11.341,11.14,11.272,15099,0
OCCI.US,D,20181206,000000,10.974,11.272,10.974,11.272,10542,0
OCCI.US,D,20181207,000000,11.019,11.387,10.987,11.387,27439,0
OCCI.US,D,20181210,000000,11.185,11.185,10.972,11.005,7069,0
OCCI.US,D,20181211,000000,11.153,11.168,11.153,11.168,527,0
OCCI.US,D,20181212,000000,11.251,11.251,10.855,10.882,7227,0
OCCI.US,D,20181213,000000,10.81,11.251,10.609,11.194,3659,0
OCCI.US,D,20181217,000000,10.456,10.958,10.113,10.958,3568,0
OCCI.US,D,20181218,000000,10.442,11.176,10.389,10.882,17202,0
OCCI.US,D,20181219,000000,10.717,10.717,10.382,10.704,15282,0
OCCI.US,D,20181220,000000,10.655,10.986,9.887,10.228,16650,0
OCCI.US,D,20181221,000000,10.048,10.215,9.74,9.74,32055,0
OCCI.US,D,20181224,000000,9.74,10.479,9.3784,10.449,6163,0
OCCI.US,D,20181226,000000,10.046,10.636,10.046,10.316,5618,0
OCCI.US,D,20181227,000000,10.409,10.644,9.619,10.256,23502,0
OCCI.US,D,20181228,000000,10.046,10.215,9.2115,10.215,34648,0
OCCI.US,D,20181231,000000,10.089,10.632,9.4508,10.222,22631,0
OCCI.US,D,20190102,000000,9.979,10.523,9.713,10.523,4633,0
OCCI.US,D,20190103,000000,10.083,10.784,9.782,10.06,3175,0
OCCI.US,D,20190104,000000,10.089,10.382,10.089,10.234,5357,0
OCCI.US,D,20190107,000000,10.173,10.664,10.173,10.302,5187,0
OCCI.US,D,20190108,000000,10.882,10.882,10.393,10.549,14270,0
OCCI.US,D,20190109,000000,10.697,10.717,10.423,10.717,14466,0
OCCI.US,D,20190110,000000,10.816,10.882,10.553,10.7,13877,0
OCCI.US,D,20190111,000000,10.495,10.9,10.495,10.561,20014,0
OCCI.US,D,20190114,000000,10.662,10.662,10.662,10.662,190,0
OCCI.US,D,20190115,000000,10.662,10.715,10.416,10.528,4547,0
OCCI.US,D,20190116,000000,10.744,10.749,10.542,10.561,6901,0
OCCI.US,D,20190117,000000,10.629,10.659,10.599,10.601,9474,0
OCCI.US,D,20190118,000000,10.735,10.832,10.594,10.594,3795,0
OCCI.US,D,20190122,000000,11.098,11.428,10.46,10.531,8942,0
OCCI.US,D,20190123,000000,10.885,11.151,10.765,11.151,2896,0
OCCI.US,D,20190124,000000,10.766,11.17,10.766,11.138,8819,0
OCCI.US,D,20190125,000000,11.083,11.083,10.732,10.944,5200,0
OCCI.US,D,20190128,000000,10.942,11.048,10.832,10.966,7168,0
OCCI.US,D,20190129,000000,10.833,11.138,10.832,10.878,15528,0
OCCI.US,D,20190130,000000,11.101,11.369,11.07,11.07,15472,0
OCCI.US,D,20190131,000000,11.016,11.341,11.016,11.17,2814,0
OCCI.US,D,20190201,000000,11.035,11.451,11.035,11.364,8561,0
OCCI.US,D,20190204,000000,11.473,11.473,11.043,11.309,10749,0
OCCI.US,D,20190205,000000,11.309,11.309,11.167,11.308,21074,0
OCCI.US,D,20190206,000000,11.32,11.325,11.155,11.272,11793,0
OCCI.US,D,20190207,000000,11.279,11.309,11.028,11.249,13431,0
OCCI.US,D,20190208,000000,11.408,11.49,11.38,11.417,3519,0
OCCI.US,D,20190211,000000,11.414,11.508,11.36,11.421,6130,0
OCCI.US,D,20190212,000000,11.246,11.509,11.239,11.457,16097,0
OCCI.US,D,20190213,000000,11.412,11.428,11.412,11.421,2374,0
OCCI.US,D,20190214,000000,11.442,11.509,11.36,11.435,13935,0
OCCI.US,D,20190215,000000,11.453,11.509,11.442,11.442,6526,0
OCCI.US,D,20190219,000000,11.442,11.579,11.442,11.509,23105,0
OCCI.US,D,20190220,000000,11.694,11.694,11.406,11.406,6249,0
OCCI.US,D,20190221,000000,11.47,11.624,11.348,11.434,38385,0
OCCI.US,D,20190222,000000,11.558,11.558,11.42,11.558,21617,0
OCCI.US,D,20190225,000000,11.546,11.546,11.42,11.42,4962,0
OCCI.US,D,20190226,000000,11.502,11.558,11.383,11.542,10935,0
OCCI.US,D,20190227,000000,11.525,11.56,11.442,11.45,3911,0
OCCI.US,D,20190228,000000,11.427,11.591,11.142,11.591,4410,0
OCCI.US,D,20190301,000000,11.502,11.538,11.156,11.524,5501,0
OCCI.US,D,20190304,000000,11.524,11.672,11.524,11.524,7504,0
OCCI.US,D,20190305,000000,11.134,11.735,11.12,11.672,9517,0
OCCI.US,D,20190306,000000,11.53,11.672,11.53,11.579,6249,0
OCCI.US,D,20190307,000000,11.559,11.706,11.559,11.662,10714,0
OCCI.US,D,20190308,000000,11.624,11.732,11.624,11.732,7730,0
OCCI.US,D,20190311,000000,11.857,12.252,11.522,11.714,5814,0
OCCI.US,D,20190312,000000,11.762,11.762,11.624,11.624,2323,0
OCCI.US,D,20190313,000000,11.612,11.774,11.612,11.624,3557,0
OCCI.US,D,20190314,000000,11.627,11.724,11.618,11.702,5975,0
OCCI.US,D,20190315,000000,11.76,11.889,11.757,11.889,4418,0
OCCI.US,D,20190318,000000,11.889,11.889,11.749,11.88,11638,0
OCCI.US,D,20190319,000000,11.899,11.899,11.776,11.814,14787,0
OCCI.US,D,20190320,000000,11.857,12.232,11.825,11.908,28878,0
OCCI.US,D,20190321,000000,11.962,11.98,11.751,11.926,8938,0
OCCI.US,D,20190322,000000,11.913,12.079,11.913,12.079,29151,0
OCCI.US,D,20190325,000000,12.051,12.111,12,12.018,22246,0
OCCI.US,D,20190326,000000,12.079,12.079,11.947,11.947,3331,0
OCCI.US,D,20190327,000000,12.057,12.086,12.018,12.086,15466,0
OCCI.US,D,20190328,000000,12.086,12.086,12.021,12.029,6431,0
OCCI.US,D,20190329,000000,12.086,12.715,11.947,12.328,59852,0
OCCI.US,D,20190401,000000,12.439,12.502,12.305,12.479,58026,0
OCCI.US,D,20190402,000000,12.445,12.679,12.445,12.604,61609,0
OCCI.US,D,20190403,000000,12.604,12.742,12.604,12.74,28892,0
OCCI.US,D,20190404,000000,12.742,12.88,12.742,12.775,25933,0
OCCI.US,D,20190405,000000,12.892,12.941,12.721,12.721,25736,0
OCCI.US,D,20190408,000000,12.872,13.122,12.833,12.952,56673,0
OCCI.US,D,20190409,000000,12.951,13.048,12.775,12.93,33407,0
OCCI.US,D,20190410,000000,12.899,13.027,12.899,12.998,31512,0
OCCI.US,D,20190411,000000,12.99,13.024,12.646,12.706,72637,0
OCCI.US,D,20190412,000000,12.733,12.775,12.659,12.754,19792,0
OCCI.US,D,20190415,000000,12.775,12.999,12.775,12.893,33290,0
OCCI.US,D,20190416,000000,12.915,12.942,12.838,12.852,13772,0
OCCI.US,D,20190417,000000,12.88,12.977,12.839,12.977,39367,0
OCCI.US,D,20190418,000000,12.984,12.984,12.714,12.96,29410,0
OCCI.US,D,20190422,000000,13.067,13.067,12.745,12.893,22325,0
OCCI.US,D,20190423,000000,12.859,12.927,12.719,12.774,21836,0
OCCI.US,D,20190424,000000,12.999,13.061,12.705,12.733,7544,0
OCCI.US,D,20190425,000000,12.733,12.886,12.69,12.69,17110,0
OCCI.US,D,20190426,000000,12.782,12.788,12.682,12.687,17019,0
OCCI.US,D,20190429,000000,12.671,12.741,12.652,12.723,19501,0
OCCI.US,D,20190430,000000,12.699,12.781,12.594,12.674,23843,0
OCCI.US,D,20190501,000000,12.736,12.736,12.579,12.597,23646,0
OCCI.US,D,20190502,000000,12.652,12.851,12.601,12.727,7823,0
OCCI.US,D,20190503,000000,12.727,12.806,12.623,12.659,24365,0
OCCI.US,D,20190506,000000,12.655,12.655,12.399,12.476,41349,0
OCCI.US,D,20190507,000000,12.531,12.677,12.468,12.552,12274,0
OCCI.US,D,20190508,000000,12.543,12.733,12.459,12.712,17059,0
OCCI.US,D,20190509,000000,12.781,12.83,12.413,12.538,18361,0
OCCI.US,D,20190510,000000,12.691,12.691,12.579,12.659,6712,0
OCCI.US,D,20190513,000000,12.605,12.706,12.515,12.706,13804,0
OCCI.US,D,20190514,000000,12.886,12.886,12.552,12.627,12262,0
OCCI.US,D,20190515,000000,12.613,12.712,12.574,12.627,34469,0
OCCI.US,D,20190516,000000,12.69,12.722,12.627,12.651,17937,0
OCCI.US,D,20190517,000000,12.679,12.679,12.642,12.676,4475,0
OCCI.US,D,20190520,000000,12.746,12.781,12.652,12.652,21743,0
OCCI.US,D,20190521,000000,12.746,12.768,12.652,12.676,27594,0
OCCI.US,D,20190522,000000,12.682,13.004,12.682,12.949,48250,0
OCCI.US,D,20190523,000000,12.999,12.999,12.751,12.784,10142,0
OCCI.US,D,20190524,000000,12.773,12.803,12.471,12.648,46576,0
OCCI.US,D,20190528,000000,12.619,12.633,12.16,12.519,20235,0
OCCI.US,D,20190529,000000,12.577,12.854,12.527,12.624,8659,0
OCCI.US,D,20190530,000000,12.584,12.584,12.245,12.308,33125,0
OCCI.US,D,20190531,000000,12.216,12.308,12.203,12.308,20791,0
OCCI.US,D,20190603,000000,12.308,12.308,12.216,12.272,5773,0
OCCI.US,D,20190604,000000,12.239,12.836,12.234,12.357,57873,0
OCCI.US,D,20190605,000000,12.449,12.765,12.428,12.449,21152,0
OCCI.US,D,20190606,000000,12.548,12.636,12.239,12.584,19411,0
OCCI.US,D,20190607,000000,12.379,12.598,12.262,12.519,12320,0
OCCI.US,D,20190610,000000,12.449,12.858,12.449,12.589,21605,0
OCCI.US,D,20190611,000000,12.765,12.779,12.605,12.724,14143,0
OCCI.US,D,20190612,000000,12.732,12.743,12.659,12.743,10881,0
