<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OFS.US,D,20121108,000000,5.5234,5.5234,5.243,5.3741,8387953,0
OFS.US,D,20121109,000000,5.2616,5.2874,5.0592,5.1225,950631,0
OFS.US,D,20121112,000000,5.0886,5.1863,4.9698,5.0739,547762,0
OFS.US,D,20121113,000000,5.0107,5.0739,4.6889,4.98,508132,0
OFS.US,D,20121114,000000,4.9244,5.0739,4.9244,4.9244,493197,0
OFS.US,D,20121115,000000,4.9167,4.9433,4.7039,4.8231,418404,0
OFS.US,D,20121116,000000,4.7932,5.2046,4.5723,5.1114,412575,0
OFS.US,D,20121119,000000,5.0669,5.2379,5.0502,5.0739,157884,0
OFS.US,D,20121120,000000,4.9958,5.1305,4.9958,5.1114,286001,0
OFS.US,D,20121121,000000,4.9649,5.0929,4.9552,5.0602,115878,0
OFS.US,D,20121123,000000,5.0552,5.2194,5.0552,5.1894,71236,0
OFS.US,D,20121126,000000,5.243,5.243,5.1305,5.1489,234203,0
OFS.US,D,20121127,000000,5.1489,5.243,5.1305,5.2385,144849,0
OFS.US,D,20121128,000000,5.2385,5.243,5.1452,5.2385,145510,0
OFS.US,D,20121129,000000,5.2385,5.3879,5.1939,5.3813,220176,0
OFS.US,D,20121130,000000,5.3813,5.3813,5.1838,5.2841,163561,0
OFS.US,D,20121203,000000,5.0592,5.2793,5.0552,5.2046,145333,0
OFS.US,D,20121204,000000,5.2094,5.3475,5.0179,5.2983,193611,0
OFS.US,D,20121205,000000,5.2805,5.2805,5.0179,5.243,345096,0
OFS.US,D,20121206,000000,5.2243,5.243,5.2017,5.2046,56064,0
OFS.US,D,20121207,000000,5.3257,5.3257,5.0327,5.1047,189491,0
OFS.US,D,20121210,000000,5.2194,5.2194,5.0327,5.1151,61422,0
OFS.US,D,20121211,000000,5.0669,5.1526,5.0362,5.0857,133168,0
OFS.US,D,20121212,000000,5.2173,5.2243,4.9433,5.1939,261930,0
OFS.US,D,20121213,000000,4.98,5.0739,4.7782,5.0216,209610,0
OFS.US,D,20121214,000000,4.9619,5.1416,4.8535,5.1004,244909,0
OFS.US,D,20121217,000000,5.1114,5.1193,4.9244,5.0929,623739,0
